"NetC","Comune di Barletta","","","","","","",""
"Stat","Via Casardi - C. Sportivo","","","","","","",""
,NO2,NOX,O3
13/01/2012 13.00,"22,29696008","37,9520528","55,597059"
13/01/2012 14.00,"25,91863224","43,19053128","58,28035395"
13/01/2012 15.00,"25,20507384","38,50651368","63,5969691"
13/01/2012 16.00,"30,9713408","44,51734456","60,57616005"
13/01/2012 17.00,"54,6577704","68,81876896","41,04183825"
13/01/2012 18.00,"98,1537628","145,35649224","6,75918768"
13/01/2012 19.00,"100,86970144","186,11520808","4,87042343"
13/01/2012 20.00,"87,91913272","123,11528608","9,47960559"
13/01/2012 21.00,"87,74707184","126,95693384","10,87423428"
13/01/2012 22.00,"64,10934088","84,36560424","21,1321572"
13/01/2012 23.00,"49,37066976","62,66721488","32,58423525"
14/01/2012 0.00,"32,62831824","42,50379824","42,9528687"
14/01/2012 1.00,"20,556868","30,09369456","49,92130395"
14/01/2012 2.00,"14,75296141","23,7203676","51,3078489"
14/01/2012 3.00,,,"49,417746"
14/01/2012 4.00,"11,48642795","20,278194","48,53613555"
14/01/2012 5.00,"8,1893828","17,74520699",
14/01/2012 6.00,"6,88952107","16,60646377","62,9644743"
14/01/2012 7.00,"11,46435582","21,06155952","59,78230965"
14/01/2012 8.00,"32,61273544","43,59325584","37,88937915"
14/01/2012 9.00,"46,9326212","66,2312976","23,3807217"
14/01/2012 10.00,"35,43905384","54,81011856","34,05311385"
14/01/2012 11.00,"27,41848152","44,96546","43,1000199"
14/01/2012 12.00,"20,11859936","36,4170992","51,1620543"
14/01/2012 13.00,"20,28092816","36,31526608","54,36309165"
14/01/2012 14.00,"19,65308472","34,31405216","57,79229715"
14/01/2012 15.00,"16,92480221","30,77394592","61,81150395"
14/01/2012 16.00,"19,08496642","32,09102712","60,4499364"
14/01/2012 17.00,"26,29456968","38,7847288","54,91798095"
14/01/2012 18.00,"28,41903112","41,19514896","54,0174579"
14/01/2012 19.00,"31,29337896","44,88957272","51,599478"
14/01/2012 20.00,"35,35983968","47,99972752","47,6403606"
14/01/2012 21.00,"57,50032168","84,17233928","21,9347856"
14/01/2012 22.00,"53,3176496","77,52727888","17,15212023"
14/01/2012 23.00,"43,242748","61,26386424","20,2404321"
15/01/2012 0.00,"33,98595296","47,51660336","24,8813208"
15/01/2012 1.00,"23,49033488","34,19795552","31,77418545"
15/01/2012 2.00,"18,27855366","28,07429752","35,81633475"
15/01/2012 3.00,"17,2189309","26,89015768","39,0761049"
15/01/2012 4.00,"12,81096404","22,21004056","45,1170447"
15/01/2012 5.00,"12,54540827","22,298222","44,63439435"
15/01/2012 6.00,"12,16622234","21,94025736","44,2658181"
15/01/2012 7.00,"17,65070639","27,79805176","40,0609965"
15/01/2012 8.00,"24,3902368","35,8120468","35,17705695"
15/01/2012 9.00,"29,63707072","44,91098712","29,08616235"
15/01/2012 10.00,"33,88922488","54,08577648","31,84843935"
15/01/2012 11.00,"20,44715744","35,81399704","50,8771683"
15/01/2012 12.00,"16,1904661","31,64161152","56,46989145"
15/01/2012 13.00,"16,08333674","31,34268944","59,6635074"
15/01/2012 14.00,"18,0026119","34,93269888","58,9439109"
15/01/2012 15.00,"9,34899933","21,47919768","65,46953595"
15/01/2012 16.00,"8,36988134","19,4520188","66,88038"
15/01/2012 17.00,"11,42734142","22,54789096","64,4610435"
15/01/2012 18.00,"18,83303939","30,57486848","58,654995"
15/01/2012 19.00,"26,7704856","38,43324584","52,780119"
15/01/2012 20.00,"32,0998032","44,0705484","48,32686005"
15/01/2012 21.00,"74,6075784","114,17720232","9,942683"
15/01/2012 22.00,"53,91694688","75,6440736","20,5219266"
15/01/2012 23.00,"36,125328","49,87905144","31,3752453"
16/01/2012 0.00,"28,00087672","40,43445976","33,5799198"
16/01/2012 1.00,"21,604166","32,1669144","33,3564798"
16/01/2012 2.00,"15,19122622","24,8603976","31,5446607"
16/01/2012 3.00,,,"37,80702555"
16/01/2012 4.00,"11,34683092","20,72564024","41,54405955"
16/01/2012 5.00,"11,67147514","21,45390192",
16/01/2012 6.00,"19,72837928","30,29407216","37,52688765"
16/01/2012 7.00,"33,36979184","46,45890408","25,6501938"
16/01/2012 8.00,"57,90352424","91,15396904","9,80429982"
16/01/2012 9.00,"63,84898384","119,53630888","11,75179089"
16/01/2012 10.00,"55,6550696","102,88703352","15,50637291"
16/01/2012 11.00,"44,6640332","80,94029448","27,59701455"
16/01/2012 12.00,"24,9258836","42,38447032","47,49251115"
16/01/2012 13.00,"16,3436957","29,6047388","56,0945721"
16/01/2012 14.00,"24,80382152","43,18533064","52,59516255"
16/01/2012 15.00,"18,31685866","34,42494816","60,22312485"
16/01/2012 16.00,"23,52475088","39,62516752","55,39386825"
16/01/2012 17.00,"26,41015008","40,92408472","51,74122275"
16/01/2012 18.00,"34,74172832","50,35179344","42,59374875"
16/01/2012 19.00,"43,40572688","61,83260776","36,0579891"
16/01/2012 20.00,"45,0380204","63,8902448","33,5070225"
16/01/2012 21.00,"51,44773272","76,44885352","29,48512245"
16/01/2012 22.00,"69,1633496","120,20812832","7,12168716"
16/01/2012 23.00,"50,84258472","72,09945504","15,03451152"
17/01/2012 0.00,"38,24913936","52,75831312","23,13028935"
17/01/2012 1.00,"24,73175824","35,63564568","31,8173772"
17/01/2012 2.00,"18,55644756","28,4640396","36,25443675"
17/01/2012 3.00,"12,76550624","22,50575048","43,37746455"
17/01/2012 4.00,"10,86636253","20,71137672","43,5556779"
17/01/2012 5.00,"11,18385778","21,05182744","42,71592255"
17/01/2012 6.00,"15,95087912","26,30912","38,37675765"
17/01/2012 7.00,"26,2069236","38,38395448","29,32919325"
17/01/2012 8.00,"46,22101304","67,31102312","16,02075374"
17/01/2012 9.00,"51,15424072","87,57558456","19,45603601"
17/01/2012 10.00,"39,260052","71,55862672","30,025149"
17/01/2012 11.00,"32,94450568","58,04606384","35,8595265"
17/01/2012 12.00,"32,4426248","57,287344","39,85577085"
17/01/2012 13.00,"21,45548888","39,37612952","53,94861045"
17/01/2012 14.00,"19,612818","37,68942048","55,9143438"
17/01/2012 15.00,"19,6537348","36,44822656","55,945386"
17/01/2012 16.00,"24,57267984","41,38126304","52,79968995"
17/01/2012 17.00,"24,45904968","38,21923568","51,70950225"
17/01/2012 18.00,"38,82180248","53,98266232","42,08274945"
17/01/2012 19.00,"49,06161408","67,03477736","31,1227581"
17/01/2012 20.00,"65,05664128","94,02544888","14,04828128"
17/01/2012 21.00,"64,39698216","94,6142684","14,94540684"
17/01/2012 22.00,"61,49079952","90,1851204","15,00549026"
17/01/2012 23.00,"32,43677408","46,27410928","36,60208545"
18/01/2012 0.00,"21,76842592","32,91397104","42,63492555"
18/01/2012 1.00,"18,45191087","28,56975408","43,21814385"
18/01/2012 2.00,"22,68911128","32,75443376","39,50341395"
18/01/2012 3.00,,,"47,1928023"
18/01/2012 4.00,"13,33688067","23,076406","46,07087415"
18/01/2012 5.00,"16,23526426","26,89730856",
18/01/2012 6.00,"16,45082697","27,13269488","44,50882905"
18/01/2012 7.00,"32,59455232","44,99010568","32,59233495"
18/01/2012 8.00,"46,7021296","65,60678104","19,97783025"
18/01/2012 9.00,"46,26711136","72,36598784","21,2077677"
18/01/2012 10.00,"39,85739904","65,34934936","29,00516535"
18/01/2012 11.00,"31,96929008","57,13042616","36,6371775"
18/01/2012 12.00,"22,651464","43,31699096","43,61710395"
18/01/2012 13.00,"26,79711976","51,04632744","40,2500028"
18/01/2012 14.00,"31,32196336","54,64736912","40,36948335"
18/01/2012 15.00,"34,37682312","50,792758","44,7221544"
18/01/2012 16.00,"47,99160152","67,13659136","35,51660595"
18/01/2012 17.00,"69,3847592","91,9541984","18,55485062"
