TARANTO - Carcere,,,
,SO2,NO2,PM10
18/01/2011 8.00,"3,490278","32,177467","26,617821"
18/01/2011 9.00,"2,660592","28,928904",
18/01/2011 10.00,"1,514921","23,315615","27,83882"
18/01/2011 11.00,"1,047264","23,714706",
18/01/2011 12.00,"0,761975","13,918373","21,48962"
18/01/2011 13.00,"0,650026","16,972914",
18/01/2011 14.00,"0,650026","11,252548","28,571421"
18/01/2011 15.00,"0,650026","8,227212",
18/01/2011 16.00,"0,650026","7,462765","22,46641"
18/01/2011 17.00,"0,650026","9,110414",
18/01/2011 18.00,"0,604885","14,041024","21,24542"
18/01/2011 19.00,"0,512798","14,79249",
18/01/2011 20.00,"0,390015","11,289531","28,327221"
18/01/2011 21.00,"0,603982","16,364213",
18/01/2011 22.00,"0,524535","25,78351","31,990231"
18/01/2011 23.00,"0,649123","31,514273",
19/01/2011 0.00,"0,781837","25,270865","33,455421"
19/01/2011 1.00,"0,650026","13,575733",
19/01/2011 2.00,"0,646414","11,312245","35,653221"
19/01/2011 3.00,"0,650026","11,272015",
19/01/2011 4.00,"0,650026","10,276548","40,781441"
19/01/2011 5.00,"0,639192","7,44784",
19/01/2011 6.00,"0,650026","14,771729","40,293041"
19/01/2011 7.00,"0,669888","23,831511",
19/01/2011 8.00,"0,767392","29,100218","34,18803"
19/01/2011 9.00,"1,574507","29,587569",
19/01/2011 10.00,"0,59044","21,909359","31,01343"
19/01/2011 11.00,"0,626552","26,014538",
19/01/2011 12.00,,,"25,15262"
19/01/2011 13.00,"8,657983","16,961237",
19/01/2011 14.00,"5,686823","10,321325","22,710621"
19/01/2011 15.00,"3,42708","11,08577",
19/01/2011 16.00,"2,736429","9,556882","21,97802"
19/01/2011 17.00,"1,950077","10,695762",
19/01/2011 18.00,"1,791182","10,974805","19,53602"
19/01/2011 19.00,"1,868824","21,918459",
19/01/2011 20.00,"2,065638","22,503799","22,46641"
19/01/2011 21.00,"2,704829","51,147833",
19/01/2011 22.00,"2,341899","41,674008","30,52503"
19/01/2011 23.00,"1,950077","31,313091",
20/01/2011 0.00,"1,908548","28,039211","26,12941"
20/01/2011 1.00,,"22,883409",
20/01/2011 2.00,"1,935633",,"27,10622"
20/01/2011 3.00,"1,919382","10,49978",
20/01/2011 4.00,"1,489642","5,992277","24,908421"
20/01/2011 5.00,"1,509505","10,533531",
20/01/2011 6.00,"1,478809","16,844425","22,46641"
20/01/2011 7.00,"1,876047","32,04315",
20/01/2011 8.00,"4,079815","56,679365","22,22221"
20/01/2011 9.00,"4,584487","55,444424",
20/01/2011 10.00,"3,623894","52,184177","32,234421"
20/01/2011 11.00,"2,402387","26,928244",
20/01/2011 12.00,,,"27,59462"
20/01/2011 13.00,"1,922993","4,924127",
20/01/2011 14.00,"1,619648","3,847542","23,68742"
20/01/2011 15.00,"1,948272","5,381626",
20/01/2011 16.00,"1,950077","7,362829","13,43101"
20/01/2011 17.00,"1,327136","6,148021",
20/01/2011 18.00,"1,968134","20,088446","19,0476"
20/01/2011 19.00,"2,069249","21,254594",
20/01/2011 20.00,"1,942855","11,137686","21,73382"
20/01/2011 21.00,"1,950077","14,50307",
20/01/2011 22.00,"1,950077","15,653628","19,78022"
20/01/2011 23.00,"1,950077","37,152224",
21/01/2011 0.00,"1,913965","24,887988","19,2918"
21/01/2011 1.00,"1,950077","14,845708",
21/01/2011 2.00,"1,950077","14,63869","17,582411"
21/01/2011 3.00,"1,950077","13,347966",
21/01/2011 4.00,"1,950077","10,488101","15,14041"
21/01/2011 5.00,"1,950077","8,088987",
21/01/2011 6.00,"1,357832","7,404361","12,21001"
21/01/2011 7.00,"2,197449","35,03604",
21/01/2011 8.00,"3,238392","40,191844","11,72161"
21/01/2011 9.00,"3,761122","39,631152",
21/01/2011 10.00,,,"18,07081"
21/01/2011 11.00,"2,309397","17,490773",
21/01/2011 12.00,"2,229949","13,339523","13,18681"
21/01/2011 13.00,"1,975357","11,429058",
21/01/2011 14.00,"1,950077","5,152553","11,96581"
21/01/2011 15.00,,,
21/01/2011 16.00,"1,950077","4,031777","13,43101"
21/01/2011 17.00,"1,950077","7,701572",
21/01/2011 18.00,"1,950077","23,594003","17,3382"
21/01/2011 19.00,"1,950077","21,738693",
21/01/2011 20.00,"1,950077","24,107968","16,36141"
21/01/2011 21.00,"1,950077","19,449895",
21/01/2011 22.00,"1,850768","13,394036","16,84981"
21/01/2011 23.00,"1,756876","11,831397",
22/01/2011 0.00,"1,653954","14,048815","12,21001"
22/01/2011 1.00,,"15,6413",
22/01/2011 2.00,"1,950077",,"6,593407"
22/01/2011 3.00,"1,908548","5,582797",
22/01/2011 4.00,"1,836323","4,168766","4,151404"
22/01/2011 5.00,"1,857991","8,604242",
22/01/2011 6.00,"2,05661","9,887189","8,058608"
22/01/2011 7.00,"1,950077","14,50956",
22/01/2011 8.00,"2,033136","26,501238","5,372406"
22/01/2011 9.00,"1,950077","18,18903",
22/01/2011 10.00,"1,950077","14,285678","12,21001"
22/01/2011 11.00,"1,950077","11,858006",
22/01/2011 12.00,"1,950077","13,090333","13,18681"
22/01/2011 13.00,"1,950077","7,811893",
22/01/2011 14.00,"1,950077","4,64768","15,14041"
22/01/2011 15.00,"1,950077","4,03119",
22/01/2011 16.00,"1,950077","4,051956","8,547009"
22/01/2011 17.00,"1,950077","8,089637",
22/01/2011 18.00,"1,950077","3,989011","4,884005"
22/01/2011 19.00,"1,950077","2,694383",
22/01/2011 20.00,"1,950077","2,336169","6,349206"
22/01/2011 21.00,"1,950077","2,430915",
22/01/2011 22.00,"1,950077","1,693724","7,570208"
22/01/2011 23.00,"1,950077","1,401702",
23/01/2011 0.00,"1,941049","2,343957","4,639805"
23/01/2011 1.00,"2,978382","8,936499",
23/01/2011 2.00,"4,842693","20,718565","2,197802"
23/01/2011 3.00,"4,768662","17,280512",
23/01/2011 4.00,"3,724106","10,785964","4,151404"
23/01/2011 5.00,"2,309397","5,791106",
23/01/2011 6.00,"2,099944","10,486149","6,105006"
23/01/2011 7.00,"3,056927","13,728892",
23/01/2011 8.00,"3,883001","7,651604","9,27961"
23/01/2011 9.00,"4,919432","7,539989",
23/01/2011 10.00,"8,797919","7,341415","5,372406"
23/01/2011 11.00,"6,710614","5,620437",
23/01/2011 12.00,"7,883369","5,965021","7,814408"
23/01/2011 13.00,"8,555063","8,047457",
23/01/2011 14.00,"8,955009","10,638004","9,76801"
23/01/2011 15.00,"8,62187","7,186319",
23/01/2011 16.00,"8,129837","7,45887","8,058608"
23/01/2011 17.00,"6,731378","9,056551",
23/01/2011 18.00,"5,0377","14,395991","10,50061"
23/01/2011 19.00,"3,472222","17,15787",
