MANDURIA,,,,
,NO2,CO,O3,PM10
16/01/2011 5.00,"10,162339","0,337874","29,933379",
16/01/2011 6.00,"9,785956","0,329772","29,252267",
16/01/2011 7.00,"11,053973","0,3705","27,298283",
16/01/2011 8.00,"12,637372","0,41903","26,382898",
16/01/2011 9.00,"14,11825","0,452557","28,590106",
16/01/2011 10.00,"12,616611","0,485911","38,380348",
16/01/2011 11.00,"17,504394","0,584818","39,460942",
16/01/2011 12.00,"24,510309","0,681022","42,5341",
16/01/2011 13.00,"26,80624","0,654527","45,386551",
16/01/2011 14.00,"11,987136","0,446341","53,824723",
16/01/2011 15.00,"8,694445","0,436566","55,22555",
16/01/2011 16.00,"11,395307","0,512921","49,960068",
16/01/2011 17.00,"14,46219","0,583102","45,538209",
16/01/2011 18.00,"21,177368","0,732983","37,802835",
16/01/2011 19.00,"23,429169","0,753004","31,830505",
16/01/2011 20.00,"29,020411","0,844065","25,139136",
16/01/2011 21.00,"26,881515","0,802821","24,528424",
16/01/2011 22.00,"18,323349","0,610883","29,498031",
16/01/2011 23.00,"13,086438","0,508033","32,815617",
17/01/2011 0.00,"12,547819","0,516694","30,569145",
17/01/2011 1.00,"9,33819","0,419287","31,222488",
17/01/2011 2.00,,"0,37543","33,144672",
17/01/2011 3.00,"8,114296",,"31,208285",
17/01/2011 4.00,"8,825531","0,286503",,
17/01/2011 5.00,"7,497807","0,312189","29,550858",
17/01/2011 6.00,"20,163723","0,408207","19,202027",
17/01/2011 7.00,"25,017774","0,57111","15,976532",
17/01/2011 8.00,"29,50581","0,662516","14,882402",
17/01/2011 9.00,"34,728439","1,046547","16,264274",
17/01/2011 10.00,"31,038603","0,743193","23,983411",
17/01/2011 11.00,"32,370218","0,807966","29,607037",
17/01/2011 12.00,"33,32155","0,71518","33,473727",
17/01/2011 13.00,"33,400727","0,701045","38,905072",
17/01/2011 14.00,"30,265066","0,674153","47,937717",
17/01/2011 15.00,"22,920406","0,530642","49,842261",
17/01/2011 16.00,"35,845925","0,702726","38,620705",
17/01/2011 17.00,"44,444324","0,969275","24,065327",
17/01/2011 18.00,"52,729939","1,244444","15,691481",
17/01/2011 19.00,"49,121861","1,182644","15,912206",
17/01/2011 20.00,"49,744827","1,485438","16,669158",
17/01/2011 21.00,"47,778544","1,469449","15,560139",
17/01/2011 22.00,"42,956959","1,473371","14,891205",
17/01/2011 23.00,"34,509114","1,842403","13,736143",
18/01/2011 0.00,"30,043121","1,679801","7,23707",
18/01/2011 1.00,"22,45317","1,147219","5,849101",
18/01/2011 2.00,,"0,793443","13,064505",
18/01/2011 3.00,"17,905438",,"6,929684",
18/01/2011 4.00,"19,677023","0,722513",,
18/01/2011 5.00,"18,362286","0,565831","13,404385",
18/01/2011 6.00,"24,427234","0,557131","9,744214",
18/01/2011 7.00,"39,311236","0,899868","3,518669",
18/01/2011 8.00,"47,101069","1,733755","5,70895",
18/01/2011 9.00,"64,515907","2,7773","5,933056",
18/01/2011 10.00,"74,323929","1,589218","10,433451",
18/01/2011 11.00,"34,261223","0,710152","28,071485",
18/01/2011 12.00,"22,411641","0,440201","50,540991",
18/01/2011 13.00,"28,860759","0,490547","49,000015",
18/01/2011 14.00,"25,499273","0,497094","57,560717",
18/01/2011 15.00,"24,252037","0,415781","55,870792",
18/01/2011 16.00,"41,766799","0,733624","31,85622",
18/01/2011 17.00,"48,959628","1,033207","21,522977",
18/01/2011 18.00,"54,752011","1,246352","14,037432",
