"NetC","Comune Bari","","","","","","","",""
"Stat","Piazza Kennedy","","","","","","","",""
,NO2,NOx,O3,PM10,
13/01/2011 6.00,"21,13501856","21,89291624","15,74970705","44,09999084",
13/01/2011 7.00,"29,9272932","33,96937592","6,97194645","44,09999084",
13/01/2011 8.00,"36,41340904","51,85301936","1,8726686","44,09999084",
13/01/2011 9.00,"47,27823432","142,91523152","0,48318701","44,09999084",
13/01/2011 10.00,"49,1325684","135,67813944","3,59640446","44,09999084",
13/01/2011 11.00,"37,28623704","64,52122392","15,24366533","44,09999084",
13/01/2011 12.00,"23,13780032","32,68049672","28,46827095","44,09999084",
13/01/2011 13.00,"25,74165752","36,74649856","30,89351265","44,09999084",
13/01/2011 14.00,"27,90910072","40,85632344","29,64959025","44,09999084",
13/01/2011 15.00,"26,29973208","35,63436464","34,37482755","44,09999084",
13/01/2011 16.00,"23,78998352","30,829088","39,1356357","44,09999084",
13/01/2011 17.00,"32,06554016","37,2474808","31,2979989","44,09999084",
13/01/2011 18.00,"64,34036784","97,54546","4,30891472","44,09999084",
13/01/2011 19.00,"81,05858992","192,0525608","0,31394517","44,09999084",
13/01/2011 20.00,"89,12162776","294,3384424","0,37402659","44,09999084",
13/01/2011 21.00,"71,524096","223,760404","2,08506827","44,09999084",
13/01/2011 22.00,"54,94541168","163,39611664","2,20438323","44,09999084",
13/01/2011 23.00,"42,27168144","73,92268088","0,5077275","44,09999084",
14/01/2011 0.00,"37,00394936","46,20470368","3,35269526","44,09999084",
14/01/2011 1.00,"33,76251664","38,35963384","8,01193995",,
14/01/2011 2.00,"31,71512792","34,98910288","9,38449796",,
14/01/2011 3.00,,,"11,82497348",,
14/01/2011 4.00,"18,04041979","19,36219304","17,2221168",,
14/01/2011 5.00,"19,69925952","21,1325712","15,14381558",,
14/01/2011 6.00,"21,86182712","23,51576448",,"56,5",
14/01/2011 7.00,"34,75052352","43,40001","6,04872828","56,5",
14/01/2011 8.00,"46,29022744","86,07370856","0,89613804","56,5",
14/01/2011 9.00,"59,94546376","194,294572","0,75059082","56,5",
14/01/2011 10.00,"74,8872084","297,4140856","2,97697691","56,5",
14/01/2011 11.00,"75,4874808","190,95520664","7,53975338","56,5",
14/01/2011 12.00,"53,65402776","88,69846392","22,87141815","56,5",
14/01/2011 13.00,"30,55676184","42,92011712","32,77719165","56,5",
14/01/2011 14.00,"22,82145992","31,8780112","36,2331102","56,5",
14/01/2011 15.00,"19,32043496","25,29424952","40,1155398","56,5",
14/01/2011 16.00,"24,82504472","31,14519896","39,5841117","56,5",
14/01/2011 17.00,"32,21316568","36,98970496","36,42437085","56,5",
14/01/2011 18.00,"69,0922232","106,1865528","4,81833398","56,5",
14/01/2011 19.00,"97,47506016","349,4956272","0,87075167","56,5",
14/01/2011 20.00,"94,40234232","282,0092928","1,48171842","56,5",
14/01/2011 21.00,"69,77683392","155,89956616","1,16861913","56,5",
14/01/2011 22.00,"65,35271448","157,9066308","1,65096026","56,5",
14/01/2011 23.00,"52,25717792","98,1680072","0,61435028","56,5",
15/01/2011 0.00,"42,86384696","52,37182144","5,10943241","56,5",
15/01/2011 1.00,"38,78853368","44,70670904","7,23173136",,
15/01/2011 2.00,"32,24561232","37,31719232","12,5594826",,
15/01/2011 3.00,"27,78744016","29,9325512","14,69871113",,
15/01/2011 4.00,"28,20274568","30,7496444","10,60303598",,
15/01/2011 5.00,"22,35258016","24,18695296","11,3612457",,
15/01/2011 6.00,"21,37432448","23,01642656","10,89921368","45,09999084",
15/01/2011 7.00,"29,59309472","44,20413984","3,05821131","45,09999084",
15/01/2011 8.00,"36,2203544","63,11238584","0,59065766","45,09999084",
15/01/2011 9.00,"41,72819544","109,4549256","0,93083309","45,09999084",
15/01/2011 10.00,"50,64972128","131,86339352","4,51877475","45,09999084",
15/01/2011 11.00,"57,5314108","143,40646256","6,50060576","45,09999084",
15/01/2011 12.00,"45,66724048","72,61758792","20,91667725","45,09999084",
15/01/2011 13.00,"22,31040144","28,82039816","36,14171925","45,09999084",
15/01/2011 14.00,"22,32825952","27,708226","34,7759223","45,09999084",
15/01/2011 15.00,"18,17020062","22,37118392","41,16991725","45,09999084",
15/01/2011 16.00,"16,41808397","18,83531467","43,39545945","45,09999084",
15/01/2011 17.00,"14,76328621","16,78933701","43,1889969","45,09999084",
15/01/2011 18.00,"18,80616623","21,38709664","36,857625","45,09999084",
15/01/2011 19.00,"22,91878072","26,31885208","31,28277705","45,09999084",
15/01/2011 20.00,"20,02452896","23,53683472","31,81248945","45,09999084",
15/01/2011 21.00,"21,8529172","24,80787496","30,06762255","45,09999084",
15/01/2011 22.00,"19,91258136","22,59167576","26,96200605",,
15/01/2011 23.00,"23,48660648","27,08407272","16,97671185",,
16/01/2011 0.00,"23,86298368","26,08377168","14,15374695",,
16/01/2011 1.00,"24,25396856","28,39562824","15,29443808",,
16/01/2011 2.00,"22,23497304","24,41715776","15,0659607",,
16/01/2011 3.00,,,"14,79010208",,
16/01/2011 4.00,"19,56541952","22,1425852","14,61747473",,
16/01/2011 5.00,"16,68819412","17,73126469","16,37589566",,
16/01/2011 6.00,"15,25486141","16,14247299",,,
16/01/2011 7.00,"14,86712119","16,46671569","16,45544828",,
16/01/2011 8.00,"18,72667483","21,36116992","13,98281535",,
16/01/2011 9.00,"20,4333528","23,91619464","12,37839645",,
16/01/2011 10.00,"20,88762488","27,5185556","15,736161",,
16/01/2011 11.00,"17,35255102","22,92727","24,94633785",,
16/01/2011 12.00,"14,15167374","19,83721032","28,45981215",,
16/01/2011 13.00,"14,93850571","21,1341964","29,7375897",,
16/01/2011 14.00,"14,94824162","20,88127704","32,28299025",,
16/01/2011 15.00,"13,20746313","17,59021836","34,43914635",,
16/01/2011 16.00,"11,2979755","13,78684119","39,042549",,
16/01/2011 17.00,"13,34698942","15,8360597","37,46859375",,
16/01/2011 18.00,"18,1199131","21,65297936","32,8533408",,
16/01/2011 19.00,"25,0018856","30,60697096","25,03603305",,
16/01/2011 20.00,"24,66118632","30,13681016","24,73478805",,
16/01/2011 21.00,"25,92823048","30,66046872","24,5824698",,
16/01/2011 22.00,,,,,
16/01/2011 23.00,,,,,
17/01/2011 0.00,,,,,
17/01/2011 1.00,,,,,
17/01/2011 2.00,,,,,
17/01/2011 3.00,,,,,
17/01/2011 4.00,,,,,
17/01/2011 5.00,,,,,
17/01/2011 6.00,,,,,
17/01/2011 7.00,,,,,
17/01/2011 8.00,,,,,
17/01/2011 9.00,,,,,
17/01/2011 10.00,,,,,
17/01/2011 11.00,,,,,
17/01/2011 12.00,,,,,
17/01/2011 13.00,,,,,
17/01/2011 14.00,,,,,
17/01/2011 15.00,,,,,
17/01/2011 16.00,,,,,
17/01/2011 17.00,,,,,
17/01/2011 18.00,,,,,
17/01/2011 19.00,,,,,
17/01/2011 20.00,,,,,
17/01/2011 21.00,,,,,
17/01/2011 22.00,,,,,
17/01/2011 23.00,,,,,
18/01/2011 0.00,,,,,
18/01/2011 1.00,,,,,
