BARI - JAPIGIA,,,,,,,
,Japigia,,,,,,
,SO2,NO2,NOX,CO,PM10,BENZENE,CH4



11/01/2011 5.00,"4,61157226","13,42389006","15,86589072","0,33481867",,"0,72021906","647,87163"
11/01/2011 6.00,"4,98714324","30,31957824","40,54212448","0,33635764","15,73449993","0,70870154","724,36308"
11/01/2011 7.00,"5,86287279","52,50021224","95,04356976","0,53413153","15,73367977","0,62921892","652,25909"
11/01/2011 8.00,"6,31427943","60,3328732","127,53148984","0,79172934","15,73449993","1,27157646","638,27939"
11/01/2011 9.00,"6,81082663","74,76262248","165,89341808","0,93686038","15,73694038","3,89778064","624,5687"
11/01/2011 10.00,"6,44608975","77,38041816","152,86657968","0,85729321","15,73558044","2,32530236","603,15668"
11/01/2011 11.00,"7,29389451","66,58580152","127,86826952","0,84051605","15,73340988","2,67000129","617,86452"
11/01/2011 12.00,"8,76270998","45,78371952","73,95996488","0,62712999","15,73517036","2,50697924","543,07435"
11/01/2011 13.00,"8,80965572","39,05944496","57,79836424","0,58314658","15,73707008","2,14654529","588,93688"
11/01/2011 14.00,"7,73350191","31,2332848","42,5407572","0,56900348","15,73707008","1,87208241","598,93827"
11/01/2011 15.00,"7,4446017","41,05297264","54,19405304","0,49320392","15,7353096","1,31180491","597,82156"
11/01/2011 16.00,"6,68082148","54,09399808","73,12212648","0,49533354","15,73666954","1,70322075","510,86665"
11/01/2011 17.00,"7,50238256","47,82397648","59,12517752","0,38688951","15,73639965","1,42973216","597,93132"
11/01/2011 18.00,"8,49547696","69,4867644","87,48092144","0,41109122","15,73843002","0,99046342","599,99912"
