,Provincia di TARANTO,,,,
,Paolo VI -CISI,,,,
Parm,SO2,NOX,NO,NO2,PM10
,,,,,,
,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,,
13/01/2006 9.00,"1,807874","27,306495","4,868078","19,856138",
13/01/2006 10.00,"2,429161","11,085242","3,285425","6,051979","33,699631"
13/01/2006 11.00,"2,183537","7,770175","3,082412","3,046107",
13/01/2006 12.00,"1,836771","5,768944","2,387939","2,109043","27,83882"
13/01/2006 13.00,,"8,762361","2,901391","4,316722",
13/01/2006 14.00,,"9,649491","3,098483","4,902064","22,954821"
13/01/2006 15.00,"2,391234","8,774034","3,249051","3,794978",
13/01/2006 16.00,"0,973471","14,033265","4,292875","7,464062","22,46641"
13/01/2006 17.00,"1,103508","21,191268","4,518726","14,272699",
13/01/2006 18.00,"0,865107","16,711517","2,107104","13,490077","20,51281"
13/01/2006 19.00,"0,892198","10,96203","2,081727","7,775551",
13/01/2006 20.00,"0,919289","21,558296","2,49875","17,739313","21,97802"
13/01/2006 21.00,"0,722427","14,064392","2,181543","10,726907",
13/01/2006 22.00,"0,883168","12,762231","1,892249","9,867721","32,722832"
13/01/2006 23.00,"0,946379","8,05551","1,848262","5,225234",
14/01/2006 0.00,"0,959022","8,078856","1,860105","5,230425","25,88522"
14/01/2006 1.00,,"11,77653","1,82204","8,989063",
14/01/2006 2.00,"2,557393",,,,"30,28083"
14/01/2006 3.00,"2,57726","5,903827","1,82627","3,105807",
14/01/2006 4.00,"2,570035","4,609448","1,688389","2,022085","25,88522"
14/01/2006 5.00,"2,564618","3,788463","1,827116","0,98768",
14/01/2006 6.00,"2,624217","3,845531","1,82627","1,046086","28,327221"
14/01/2006 7.00,"3,166038","3,740474","1,829653","0,935765",
14/01/2006 8.00,"3,579627","6,941409","2,318576","3,388745","25,39682"
14/01/2006 9.00,"3,92278","7,678091","2,210301","4,292063",
14/01/2006 10.00,"3,857762","14,379557","3,759967","8,620468","23,93162"
14/01/2006 11.00,"3,834283","21,125114","4,611775","14,063739",
14/01/2006 12.00,"2,626023","33,627929","10,081278","18,18318","34,67643"
14/01/2006 13.00,"3,666318","12,814109","2,997823","8,223319",
14/01/2006 14.00,"3,534476","16,925518","3,284579","11,897593","38,58363"
14/01/2006 15.00,"2,441805","15,33024","2,458993","11,567925",
14/01/2006 16.00,"1,27689","13,653251","2,441229","9,917041","34,18803"
14/01/2006 17.00,"1,396091","12,284944","1,981066","9,253829",
14/01/2006 18.00,"0,933737","35,840594","4,719202","28,624551","41,514042"
14/01/2006 19.00,"1,466527","25,800699","2,117255","22,569975",
14/01/2006 20.00,"1,013204","19,079791","2,207764","15,705544","50,793652"
14/01/2006 21.00,"1,130599","41,814445","12,983502","21,922341",
14/01/2006 22.00,"0,906646","16,405432","2,283047","12,913821","70,329674"
14/01/2006 23.00,"0,874137","8,007521","1,82204","5,217446",
15/01/2006 0.00,"0,942768","5,030965","1,825425","2,233638","69,84127"
15/01/2006 1.00,"0,922901","21,586842","2,716142","17,43431",
15/01/2006 2.00,"0,872331","13,204499","1,813581","10,430998","57,142841"
15/01/2006 3.00,"0,84524","16,267953","1,825425","13,478401",
15/01/2006 4.00,"0,391917","12,405562","1,987834","9,364147","50,793652"
15/01/2006 5.00,"0,722427","5,047825","1,978529","2,015596",
15/01/2006 6.00,"0,505699","9,243537","1,821194","6,455617","42,490841"
15/01/2006 7.00,"0,628512","10,617034","1,829653","7,817083",
15/01/2006 8.00,"0,8037","11,506758","2,391322","7,845637","38,58363"
15/01/2006 9.00,"0,968053","11,753184","3,460522","7,435452",
15/01/2006 10.00,"4,121448","34,891209","8,851359","21,334402","36,141621"
15/01/2006 11.00,"4,051011","24,945996","5,988032","15,775628",
15/01/2006 12.00,"6,579507","13,485942","3,139931","8,677573","30,28083"
