,Regione Puglia,,,,,,
,Liceo Scientifico Via dei Mandorli,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE


17/01/2007 5.00,"4,36526707","14,58029442",,"1,6734293",,,
17/01/2007 6.00,"4,26232124","32,93479272",,"1,65660437",,,
17/01/2007 7.00,"4,5946382","57,51389688",,"1,76095459",,,
17/01/2007 8.00,"4,52600798","87,25981776",,"1,90934297",,,
17/01/2007 9.00,"5,65480069","113,52870928",,"2,08889393",,,
17/01/2007 10.00,"5,18702849","102,35534456",,"2,11444821",,,
17/01/2007 11.00,"4,41944978","81,29999904",,"1,94133503",,,
17/01/2007 12.00,"4,06546055","37,25281528",,"1,85700884",,,
17/01/2007 13.00,"3,89749588","55,13619104",,"1,85140169",,,
17/01/2007 14.00,"3,96612609","75,79313312",,"2,06314161",,,
17/01/2007 15.00,"3,43514226","64,70930736",,"1,97652619",,,
17/01/2007 16.00,"3,96793229","106,52021592",,"2,0634981",,,
17/01/2007 17.00,"4,40861262","135,41994296",,"2,17321896",,,
17/01/2007 18.00,"4,88360858","136,3790404",,"2,35853784",,,
17/01/2007 19.00,"4,41944978","110,16986064",,"2,19269077",,,
17/01/2007 20.00,"3,81983471","60,50808888",,"1,89599323",,,
