,,lecce,,
,,GUAGNANO,,
Parm,SO2,NO2,NOX,PM10



18/01/2009 19.00,"1,8","17,0","34,0","78,0"
18/01/2009 20.00,"1,8","19,1","37,4","78,0"
18/01/2009 21.00,"2,3","25,5","44,2","78,0"
18/01/2009 22.00,"2,1","15,8","29,0","78,0"
18/01/2009 23.00,"2,2","15,6","28,0","78,0"
19/01/2009 0.00,"1,5","17,0","25,9","78,0"
19/01/2009 1.00,"1,2","15,2","22,1","76,8"
19/01/2009 2.00,"1,1","9,8","15,3","76,8"
19/01/2009 3.00,"1,1","7,3","12,2","76,8"
19/01/2009 4.00,"0,9","5,3","9,6","76,8"
19/01/2009 5.00,"0,8","4,9","9,1","76,8"
19/01/2009 6.00,"1,0","5,2","9,5","76,8"
19/01/2009 7.00,"1,4","4,3","8,2","76,8"
19/01/2009 8.00,"1,0","7,3","12,1","76,8"
19/01/2009 9.00,"1,6","19,9","39,1","76,8"
19/01/2009 10.00,"4,2","16,7","27,9","76,8"
19/01/2009 11.00,"1,6","13,3","19,6","76,8"
19/01/2009 12.00,"1,2","11,8","20,6","76,8"
19/01/2009 13.00,"1,4","14,2","30,0","76,8"
19/01/2009 14.00,"1,4","9,0","22,1","76,8"
19/01/2009 15.00,"1,5","6,8","19,6","76,8"
19/01/2009 16.00,"1,2","6,3","19,4","76,8"
19/01/2009 17.00,"1,6","10,8","24,0","76,8"
19/01/2009 18.00,"2,9","24,9","43,7","76,8"
19/01/2009 19.00,"3,6","34,9","58,8","76,8"
19/01/2009 20.00,"3,9","35,6","58,0","76,8"
19/01/2009 21.00,"3,9","28,6","51,3","76,8"
19/01/2009 22.00,"2,9","28,3","48,6","76,8"
19/01/2009 23.00,"3,2","26,3","45,2","76,8"
20/01/2009 0.00,"2,4","19,8","34,0","76,8"
20/01/2009 1.00,,"14,0","23,9","41,1"
20/01/2009 2.00,"0,3",,,"41,1"
20/01/2009 3.00,"0,3","10,1","16,7","41,1"
20/01/2009 4.00,"0,2","6,8","12,9","41,1"
20/01/2009 5.00,"0,3","5,7","11,3","41,1"
20/01/2009 6.00,"0,3","5,7","11,0","41,1"
20/01/2009 7.00,"0,4","5,8","10,8","41,1"
20/01/2009 8.00,"0,2","8,5","13,8","41,1"
20/01/2009 9.00,"0,4","14,7","23,3","41,1"
20/01/2009 10.00,"0,5","17,2","25,3","41,1"
20/01/2009 11.00,"0,7","16,9","25,0","41,1"
20/01/2009 12.00,"0,9","13,7","23,5","41,1"
20/01/2009 13.00,"0,8","13,1","26,9","41,1"
20/01/2009 14.00,"0,4","10,3","25,6","41,1"
20/01/2009 15.00,"0,3","11,1","26,3","41,1"
20/01/2009 16.00,"0,4","12,8","29,5","41,1"
20/01/2009 17.00,"0,3","10,6","26,3","41,1"
20/01/2009 18.00,"0,1","13,1","30,6","41,1"
20/01/2009 19.00,"0,0","11,6","28,8","41,1"
20/01/2009 20.00,"0,1","12,6","30,0","41,1"
20/01/2009 21.00,"0,0","11,4","28,0","41,1"
20/01/2009 22.00,"0,1","10,0","26,1","41,1"
20/01/2009 23.00,"0,0","9,2","25,5","41,1"
21/01/2009 0.00,"0,0","6,7","22,8","41,1"
21/01/2009 1.00,"0,1","5,7","21,9","64,5"
21/01/2009 2.00,"0,1","4,9","21,3","64,5"
21/01/2009 3.00,"0,1","4,4","20,7","64,5"
21/01/2009 4.00,"0,0","4,2","20,7","64,5"
21/01/2009 5.00,"0,0","4,3","20,2","64,5"
21/01/2009 6.00,"0,0","4,3","20,5","64,5"
21/01/2009 7.00,"0,1","4,4","20,6","64,5"
21/01/2009 8.00,"0,1","6,0","22,8","64,5"
21/01/2009 9.00,"0,0","11,2","29,3","64,5"
21/01/2009 10.00,"0,1","14,4","35,1","64,5"
