"NetC","Provincia Bari","","","","","","","","","",""
"Stat","Casamassima","","","","","","","","","",""
"","NO2","NOX","PM10"
"2012-01-17 20:00:02","35.91795248","48.0392868","38.0952301"
"2012-01-17 21:00:02","35.62981408","89.16634944",""
"2012-01-17 22:00:02","19.71011968","32.05731856","36.38582993"
"2012-01-17 23:00:02","8.31936056","14.77643312",""
"2012-01-18 00:00:02","3.4166484","7.34801102","36.8742218"
"2012-01-18 01:00:02","0.13108481","0.99477918",""
"2012-01-18 02:00:02","","","28.81562042"
"2012-01-18 03:00:02","7.15517053","10.8226045",""
"2012-01-18 04:00:02","4.61653165","7.40831933","15.62880993"
"2012-01-18 05:00:02","0.900074","2.46879161",""
"2012-01-18 06:00:02","0.97145661","2.97655762","9.27960968"
"2012-01-18 07:00:02","7.46795652","12.40621085",""
"2012-01-18 08:00:02","26.71993232","57.2432724","5.12820482"
"2012-01-18 09:00:02","30.4435332","76.4560044",""
"2012-01-18 10:00:02","21.0352504","41.05958816","18.07081032"
"2012-01-18 11:00:02","25.39610176","54.55788752",""
"2012-01-18 12:00:02","16.56927537","32.16496416","22.95482063"
"2012-01-18 13:00:02","27.18131704","43.48494104",""
"2012-01-18 14:00:02","21.9444064","35.18626832","26.37360954"
"2012-01-18 15:00:02","21.5407832","31.94772272",""
"2012-01-18 16:00:02","34.38775976","46.28252208","31.50181961"
"2012-01-18 17:00:02","55.44119328","78.70105568",""
"2012-01-18 18:00:02","68.40564312","105.02705864","34.18803024"
"2012-01-18 19:00:02","47.39763872","72.44120592",""
"2012-01-18 20:00:02","34.03734752","58.9487764","46.64223099"
"2012-01-18 21:00:02","31.20731984","51.09624976",""
"2012-01-18 22:00:02","18.46418018","26.132738","51.77045059"
"2012-01-18 23:00:02","9.6769341","12.31023418",""
"2012-01-19 00:00:02","8.09872341","13.77970752","41.75823975"
"2012-01-19 01:00:02","3.46986127","5.9537615",""
"2012-01-19 02:00:02","1.56198928","2.68084579","26.86202049"
"2012-01-19 03:00:02","0.46723353","2.05181309",""
"2012-01-19 04:00:02","0.1408188","1.36247208","14.16361046"
"2012-01-19 05:00:02","0.24789462","1.52329614",""
"2012-01-19 06:00:02","2.81703182","5.6035787","16.11721039"
"2012-01-19 07:00:02","11.13314006","18.18099003",""
"2012-01-19 08:00:02","27.48696936","52.59489448","9.03540897"
"2012-01-19 09:00:02","33.79333808","83.20285968",""
"2012-01-19 10:00:02","17.13644914","33.62793096","16.11721039"
"2012-01-19 11:00:02","12.31680573","25.8694556",""
"2012-01-19 12:00:02","7.94557221","14.93141984","15.87300968"
"2012-01-19 13:00:02","8.09417858","14.3270309",""
"2012-01-19 14:00:02","6.59254158","11.06124886","9.76801014"
"2012-01-19 15:00:02","6.34724537","9.37972134",""
"2012-01-19 16:00:02","7.41085082","9.94455291","15.14041042"
"2012-01-19 17:00:02","9.96246644","12.06056714",""
"2012-01-19 18:00:02","7.78723375","10.02431773","10.25640965"
"2012-01-19 19:00:02","6.66002945","9.23381089",""
"2012-01-19 20:00:02","8.49132966","11.09367256","11.23320961"
