"NetC","","","","","","",""
"Stat","GROTTAGLIE","","","","","",""
,SO2,NO2,NOX,CO,O3,PM10
14/01/2012 6.00,"0,039733","5,613295","13,849095","0,175627","60,814285","10,1"
14/01/2012 7.00,,"5,120106","13,178559","0,152051","61,1024","10,1"
14/01/2012 8.00,,"4,593169","12,615672","0,135065","59,563776","10,1"
14/01/2012 9.00,,"10,14417","20,379357","0,276642","53,176285","10,1"
14/01/2012 10.00,,"20,765945","31,775872","0,302023","39,185669","10,1"
14/01/2012 11.00,,"7,796317","16,622027","0,213366","57,039543","10,1"
14/01/2012 12.00,,"4,973447","13,638984","0,228782","60,065281","10,1"
14/01/2012 13.00,,"4,128532","12,549526","0,251692","61,780282","10,1"
14/01/2012 14.00,"0,15171","2,89685","11,234395","0,303907","67,950761","10,1"
14/01/2012 15.00,"0,175188","2,639872","10,575532","0,293941","70,108469","10,1"
14/01/2012 16.00,,"3,785894","11,72076","0,295982","65,335071","10,1"
14/01/2012 17.00,,"7,548425","15,695986","0,3327","58,287875","10,1"
14/01/2012 18.00,,"10,64774","19,040885","0,349686","47,640142","10,1"
14/01/2012 19.00,,"9,438125","17,716673","0,37699","40,236578","10,1"
14/01/2012 20.00,,"14,808713","23,318292","0,394759","33,817885","10,1"
14/01/2012 21.00,,"13,198054","21,415643","0,390131","28,987171","10,1"
14/01/2012 22.00,,"36,746632","46,250113","0,442187","14,595187","10,1"
14/01/2012 23.00,,"14,488137","23,065392","0,453838","45,7408","10,1"
15/01/2012 0.00,,"10,918992","18,96955","0,459566","41,900765","10,1"
15/01/2012 1.00,,"8,324552","16,256281","0,376008","52,245139","9,8"
15/01/2012 2.00,,"6,097404","14,03067","0,383737","52,69946","9,8"
15/01/2012 3.00,,"4,822892","12,757041","0,316421","53,420873","9,8"
15/01/2012 4.00,,"4,369935","12,304399","0,310144","53,905696","9,8"
15/01/2012 5.00,,"5,19668","13,130572","0,316734","38,343762","9,8"
15/01/2012 6.00,,"7,94687","16,607759","0,313753","41,640218","9,8"
15/01/2012 7.00,,"4,325808","12,260302","0,302375","54,359283","9,8"
15/01/2012 8.00,,"4,928021","13,116304","0,326541","55,075627","9,8"
15/01/2012 9.00,,"5,536724","14,430139","0,343135","55,512551","9,8"
15/01/2012 10.00,,"3,710616","12,473004","0,295354","60,103024","9,8"
15/01/2012 11.00,,"4,37383","12,907491","0,306064","61,221422","9,8"
15/01/2012 12.00,,"4,503616","12,978824","0,377068","63,783383","9,8"
15/01/2012 13.00,,"1,800148","9,988","0,308143","67,880358","9,8"
15/01/2012 14.00,,"1,182362","9,387503","0,314771","69,856621","9,8"
15/01/2012 15.00,,"1,077234","9,013975","0,317557","70,954707","9,8"
15/01/2012 16.00,,"0,986384","8,923185","0,316146","70,096856","9,8"
15/01/2012 17.00,,"1,739149","9,781782","0,334347","67,328039","9,8"
15/01/2012 18.00,,"8,268744","17,147301","0,409941","58,824213","9,8"
15/01/2012 19.00,,"6,776191","15,44697","0,401311","56,993839","9,8"
15/01/2012 20.00,,"10,084465","18,833368","0,467491","53,35845","9,8"
15/01/2012 21.00,,"12,113032","20,965576","0,384953","57,466314","9,8"
