,Provincia di TARANTO,,,
,MARTINA FRANCA,,,
Parm,NOX,NO2,CO,O3
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K
,,,,,,
,,,,,,
,,,,,
,,,,,,
13/01/2009 5.00,"17,034464","11,553654","0,313465","38,481235"
13/01/2009 6.00,"211,28727","75,193505","0,665435","8,365725"
13/01/2009 7.00,"96,712782","50,458655","0,874173","11,459875"
13/01/2009 8.00,"212,114784","66,653501","1,576195","4,908668"
13/01/2009 9.00,"121,510943","51,650099","1,005023","10,350854"
13/01/2009 10.00,"77,372309","39,805716","0,769364","20,815451"
13/01/2009 11.00,"105,189806","45,682477","0,839423","17,097056"
13/01/2009 12.00,"117,477351","51,844779","0,901253","14,136959"
13/01/2009 13.00,"156,739372","66,822219","1,160318","12,409103"
13/01/2009 14.00,"213,850116","72,696398","0,933366","12,640667"
13/01/2009 15.00,"161,413657","58,334141","0,894464","17,516836"
13/01/2009 16.00,"78,47473","40,026361","0,685326","24,199369"
13/01/2009 17.00,"62,010921","33,459138","0,639074","31,080983"
13/01/2009 18.00,"53,160387","28,078159","0,565899","33,068839"
13/01/2009 19.00,"51,126725","29,228073","0,583234","31,72826"
13/01/2009 20.00,"43,676906","24,314329","0,614709","35,454781"
13/01/2009 21.00,"26,658001","15,758754","0,422828","43,831347"
13/01/2009 22.00,"15,011184","9,95987","0,2895","49,081251"
13/01/2009 23.00,"6,22029","4,687914","0,225673","56,495028"
14/01/2009 0.00,"4,145132","3,275829","0,19987","65,601462"
14/01/2009 1.00,"4,095846","3,205743","0,162005","68,288035"
14/01/2009 2.00,,,"0,153298","71,333442"
14/01/2009 3.00,"9,807722","10,211652",,"68,714563"
14/01/2009 4.00,"4,850684","4,703489","0,129824",
14/01/2009 5.00,"7,060729","5,204468","0,165896","62,021179"
14/01/2009 6.00,"13,265458","8,783999","0,190128","56,836275"
14/01/2009 7.00,"21,293714","12,758082","0,238197","52,707581"
14/01/2009 8.00,"34,185642","18,354505","0,370644","47,479343"
14/01/2009 9.00,"33,140294","18,370077","0,367624","44,929536"
14/01/2009 10.00,"27,443968","15,680888","0,285391","45,561912"
14/01/2009 11.00,"22,686663","13,583524","0,263621","47,528084"
14/01/2009 12.00,"28,836918","15,709439","0,211422","46,404157"
14/01/2009 13.00,"30,634521","15,935265","0,265528","46,465104"
14/01/2009 14.00,"26,753984","14,492032","0,212534","47,942443"
14/01/2009 15.00,"18,679028","11,839187","0,167564","50,45297"
14/01/2009 16.00,"22,720391","13,785996","0,256631","45,905849"
14/01/2009 17.00,"23,226211","14,216886","0,321542","44,458297"
14/01/2009 18.00,"28,167679","16,643906","0,364845","42,454218"
14/01/2009 19.00,"36,590229","20,566065","0,484498","36,240174"
14/01/2009 20.00,"32,349128","19,854838","0,465032","37,44128"
14/01/2009 21.00,"23,418155","14,821694","0,330202","40,232107"
14/01/2009 22.00,"8,879089","6,650297","0,237244","50,371714"
14/01/2009 23.00,"6,516","5,290127","0,209991","51,295219"
15/01/2009 0.00,"8,186503","6,953999","0,219367","45,614716"
15/01/2009 1.00,"12,386107","10,463435","0,276175","40,010023"
15/01/2009 2.00,"4,412307","3,846892","0,179482","47,865259"
15/01/2009 3.00,"3,600401","3,704127","0,169471","43,829989"
15/01/2009 4.00,"6,87656","6,144126","0,170424","37,575325"
15/01/2009 5.00,"19,516873","14,7594","0,206734","23,946164"
15/01/2009 6.00,"68,044468","32,207984","0,371915","12,763891"
15/01/2009 7.00,"73,730411","36,532489","0,380734","10,910107"
15/01/2009 8.00,"217,979853","60,138191","1,389696","2,029819"
15/01/2009 9.00,"96,925474","40,836228","0,951835","11,801107"
15/01/2009 10.00,"74,638265","40,280733","1,103748","13,248663"
15/01/2009 11.00,"92,007368","39,722659","0,737156","20,386207"
15/01/2009 12.00,"51,495071","24,893168","0,335208","39,319435"
15/01/2009 13.00,"72,212949","33,119088","0,377159","36,944307"
15/01/2009 14.00,"74,513776","33,51883","0,366115","37,494088"
15/01/2009 15.00,"41,272297","23,314946","0,487438","45,858467"
15/01/2009 16.00,"40,457824","24,830876","0,338705","46,890301"
15/01/2009 17.00,"74,975504","38,59091","0,617978","33,339664"
15/01/2009 18.00,"104,502404","52,85194","0,794044","15,354306"
15/01/2009 19.00,"82,832563","44,550746","0,792613","16,916958"
15/01/2009 20.00,"68,581394","36,677856","0,856095","19,109267"
15/01/2009 21.00,"90,541764","44,872613","0,924027","12,800447"
15/01/2009 22.00,"79,561608","40,262571","0,892565","5,928316"
15/01/2009 23.00,"87,525031","38,69475","1,180736","1,627647"
16/01/2009 0.00,"59,126456","22,333765","0,915207","0,693306"
16/01/2009 1.00,"43,033612","18,733477","0,638874","13,538443"
16/01/2009 2.00,,,"0,464795","10,126075"
16/01/2009 3.00,,,,"38,79134"
16/01/2009 4.00,,,"0,280767",
16/01/2009 5.00,,,"0,250334","42,806275"
16/01/2009 6.00,,,"0,260399","38,647798"
16/01/2009 7.00,,,"0,426142","31,832538"
16/01/2009 8.00,,,"0,731191","22,597465"
16/01/2009 9.00,,,"0,76434","24,227819"
16/01/2009 10.00,,,"0,65483","30,444559"
16/01/2009 11.00,,,"0,528545","39,913885"
16/01/2009 12.00,,,"0,47966","47,3209"
16/01/2009 13.00,,,"0,516164","44,374348"
16/01/2009 14.00,,,"0,504182","48,31888"
16/01/2009 15.00,,,"0,420551","55,153112"
16/01/2009 16.00,,,"0,49843","52,699441"
16/01/2009 17.00,,,"0,542203","48,385234"
16/01/2009 18.00,,,"0,624395","42,413579"
16/01/2009 19.00,,,"0,574793","41,203013"
16/01/2009 20.00,,,"0,595082","41,311342"
16/01/2009 21.00,,,"0,56361","33,499442"
16/01/2009 22.00,,,"0,428619","40,66271"
16/01/2009 23.00,,,"0,384367","42,99586"
17/01/2009 0.00,,,"0,392195","41,276133"
17/01/2009 1.00,,,"0,352256","42,196924"
17/01/2009 2.00,,,"0,322463","48,290451"
17/01/2009 3.00,,,"0,318628","48,846998"
17/01/2009 4.00,,,"0,31703","47,820567"
17/01/2009 5.00,,,"0,293307","47,746097"
17/01/2009 6.00,,,"0,338597","45,215258"
17/01/2009 7.00,,,"0,399065","40,517833"
17/01/2009 8.00,,,"0,623598","33,687668"
17/01/2009 9.00,,,"0,747486","33,345067"
17/01/2009 10.00,,,"0,663216","37,407426"
17/01/2009 11.00,,,"0,561613","43,953223"
17/01/2009 12.00,,,"0,619924","44,80766"
17/01/2009 13.00,,,"0,70611","42,015479"
17/01/2009 14.00,,,"0,642608","44,477247"
17/01/2009 15.00,,,"0,513047","56,018382"
17/01/2009 16.00,,,"0,583579","46,171262"
17/01/2009 17.00,,,"1,039355","27,397793"
17/01/2009 18.00,,,"1,484509","16,696232"
17/01/2009 19.00,,,"1,514382","9,815982"
17/01/2009 20.00,,,"2,017127","5,949984"
17/01/2009 21.00,,,"1,900587","2,853121"
17/01/2009 22.00,,,"1,670701","2,784062"
17/01/2009 23.00,,,"1,392571","2,545738"
18/01/2009 0.00,,,"1,322519","1,366302"
18/01/2009 1.00,,,"1,038077","0,858508"
18/01/2009 2.00,,,"0,755634","11,482889"
18/01/2009 3.00,,,,"25,678083"
18/01/2009 4.00,,,"0,581367",
18/01/2009 5.00,,,"0,409351","28,799302"
18/01/2009 6.00,,,"0,382516","22,050395"
18/01/2009 7.00,,,"0,431445","12,610876"
18/01/2009 8.00,,,"0,450808","14,851932"
18/01/2009 9.00,,,"0,415056","33,809544"
18/01/2009 10.00,,,"0,449764","46,544986"
18/01/2009 11.00,,,"0,447595","52,462475"
18/01/2009 12.00,,,"0,520788","53,937119"
18/01/2009 13.00,,,"0,583054","52,841644"
18/01/2009 14.00,,,"0,347005","59,690739"
