,Bari,,,,,,
,Caldarola,,,,,,
,SO2,NO2,,CO,O3,PM10,BENZENE
,,,,
,,,,
,,,,,
,,,,,
,,,,,
10/01/2009 23.00,"3,09560155",,,"0,72632857","19,91169002","17,87421989","2,8745505"
11/01/2009 0.00,"3,50377247",,,"0,56434115","23,0269683","17,87421989","2,3701185"
11/01/2009 1.00,"3,09740774",,,"0,51409004","27,46905525","33,9560318","2,056374"
11/01/2009 2.00,"3,18229267",,,"0,51624412","30,8204358","33,9560318","1,92213"
11/01/2009 3.00,"3,18409886",,,"0,44764077","32,82519135","33,9560318","1,8321255"
11/01/2009 4.00,"3,44056083",,,"0,39142602","36,5458464","33,9560318","1,701441"
11/01/2009 5.00,"3,11366246",,,"0,34967825","39,73762695","33,9560318","1,564146"
11/01/2009 6.00,"3,13894711",,,"0,37626471","39,1810419","33,9560318","1,541772"
11/01/2009 7.00,"3,35025734",,,"0,39461929","36,9679086","33,9560318","1,540755"
11/01/2009 8.00,"3,73675598",,,"0,46164523","33,5004789","33,9560318","1,561095"
11/01/2009 9.00,"3,5164148",,,"0,48226923","33,884277","33,9560318","1,632285"
11/01/2009 10.00,"3,52725195",,,"0,49158107","33,5255361","33,9560318","1,9033155"
11/01/2009 11.00,"3,90110725",,,"0,61193722","33,2221764","33,9560318","2,5460595"
11/01/2009 12.00,"3,56156654",,,"0,69612478","35,91013965","33,9560318","3,3627105"
11/01/2009 13.00,"3,88485356",,,"0,61886198","43,05998025","33,9560318","2,941164"
11/01/2009 14.00,"3,4622331",,,"0,69204612","41,96396715","33,9560318","2,541483"
11/01/2009 15.00,"3,67354333",,,"0,59115945","43,36729005","33,9560318","2,4408"
11/01/2009 16.00,"3,31774791",,,"0,43713596","48,7510968","33,9560318","1,851957"
11/01/2009 17.00,"3,17145653",,,"0,45452708","46,2992418","33,9560318","1,9989135"
11/01/2009 18.00,"3,20215976",,,"0,53009714","42,7830144","33,9560318","1,8534825"
11/01/2009 19.00,"3,22202584",,,"0,65410789","35,9299101","33,9560318","2,251638"
11/01/2009 20.00,"3,3538687",,,"0,89955242","24,5067795","33,9560318","2,7047115"
11/01/2009 21.00,"3,00710425",,,"0,77873377","23,49517485","33,9560318","2,801835"
11/01/2009 22.00,"3,81080477",,,"0,80416805","22,8634182","33,9560318","2,954385"
11/01/2009 23.00,"3,87221021",,,"0,8099779","33,51103245","33,9560318","2,5318215"
12/01/2009 0.00,"3,49474253",,,"0,72059561","30,1003206","33,9560318","2,724543"
12/01/2009 1.00,,,,"0,57803922","27,03514275","62,86297989","2,3507955"
12/01/2009 2.00,"3,30691076",,,"0,50220121","31,56957825","62,86297989","1,9612845"
12/01/2009 3.00,"3,02877652",,,,"36,8966871","62,86297989","1,737036"
12/01/2009 4.00,"3,29246326",,,"0,44570687","37,69067715","62,86297989","1,5255"
12/01/2009 5.00,"3,37554199",,,"0,39770537",,"62,86297989","1,5046515"
12/01/2009 6.00,"3,13714092",,,"0,38323258","41,46030945","62,86297989","1,4558355"
12/01/2009 7.00,"3,15520182",,,"0,53570195","33,11171325","62,86297989","1,4283765"
12/01/2009 8.00,"3,47668162",,,"0,73059014","17,83824861","62,86297989","1,8809415"
12/01/2009 9.00,"4,62353523",,,"1,61838538","16,14759185","62,86297989","2,7453915"
12/01/2009 10.00,"5,23940501",,,"1,74217712","18,40223112","62,86297989","6,514902"
12/01/2009 11.00,"3,85415033",,,"1,09718885","33,03582345","62,86297989","5,3336565"
12/01/2009 12.00,"4,14853928",,,"1,05385201","47,42731455","62,86297989","4,2027525"
12/01/2009 13.00,"3,78371291",,,"0,91754818","48,76727625","62,86297989","3,786291"
12/01/2009 14.00,"3,92278054",,,"0,90988947","47,2964625","62,86297989","3,527973"
