, Brindisi,,
,Via Dei Mille,,
Parm,SO2,NO2,PM10
,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
14/01/2008 11.00,"1,49318","51,499546",
14/01/2008 12.00,"1,557325","46,700025","8,302809"
14/01/2008 13.00,"1,587039","43,30609",
14/01/2008 14.00,"1,814258","44,498837","9,76801"
14/01/2008 15.00,"1,630734","40,707742",
14/01/2008 16.00,"1,58529","33,52403","6,349206"
14/01/2008 17.00,"1,576551","33,032132",
14/01/2008 18.00,"1,871936","36,362473","17,094"
14/01/2008 19.00,"3,597055","39,077607",
14/01/2008 20.00,"6,638295","44,901175","36,141621"
14/01/2008 21.00,"6,433798","41,075035",
14/01/2008 22.00,"4,439513","32,939973","43,956032"
14/01/2008 23.00,"3,458974","36,688238",
15/01/2008 0.00,"1,821249","43,83562","37,118431"
15/01/2008 1.00,"1,838728","43,457942",
15/01/2008 2.00,"1,546838","40,102938","38,58363"
15/01/2008 3.00,"1,362266","35,360508",
15/01/2008 4.00,"1,421518","39,73306","37,118431"
15/01/2008 5.00,"1,458572","38,612973",
15/01/2008 6.00,"1,552256","43,052999","42,002441"
15/01/2008 7.00,"2,053711","39,936802",
15/01/2008 8.00,"3,118146","36,226186","44,444431"
15/01/2008 9.00,"7,917715","54,990818",
15/01/2008 10.00,"7,562903","55,560595","61,05006"
15/01/2008 11.00,"3,029006","47,241235",
15/01/2008 12.00,"1,751335","42,135411","42,002441"
15/01/2008 13.00,"1,580047","38,823236",
15/01/2008 14.00,"1,969815","44,337901","21,48962"
15/01/2008 15.00,"2,172565","41,909587",
15/01/2008 16.00,"1,658699","38,945241","10,74481"
15/01/2008 17.00,"2,438237","39,132121",
15/01/2008 18.00,"2,550098","38,320973","26,37361"
15/01/2008 19.00,"2,932875","40,239206",
15/01/2008 20.00,"3,242243","40,237926","26,86202"
15/01/2008 21.00,"2,932875","34,727159",
15/01/2008 22.00,"2,441733","33,578543","27,83882"
15/01/2008 23.00,"2,12013","31,165791",
16/01/2008 0.00,"1,669187","38,20675","36,141621"
16/01/2008 1.00,,"31,912064",
16/01/2008 2.00,"1,729247",,"29,30402"
16/01/2008 3.00,"1,562435","27,483717",
16/01/2008 4.00,"1,547996","23,804266","17,094"
16/01/2008 5.00,"1,295305","22,546609",
16/01/2008 6.00,"1,478244","22,246807","10,25641"
16/01/2008 7.00,"1,678592","24,99959",
16/01/2008 8.00,"1,715273","28,72059","10,74481"
16/01/2008 9.00,"3,556311","33,072361",
16/01/2008 10.00,"3,006095","33,923773","20,51281"
16/01/2008 11.00,"2,410466","37,03737",
16/01/2008 12.00,"2,207847","33,839395","22,46641"
16/01/2008 13.00,"2,70566","38,838819",
16/01/2008 14.00,"2,672472","40,537726","20,02442"
16/01/2008 15.00,"2,868105","43,038718",
16/01/2008 16.00,"2,744089","39,19183","14,16361"
16/01/2008 17.00,"2,988628","37,546134",
16/01/2008 18.00,"2,820943","35,743387","26,37361"
16/01/2008 19.00,"2,862865","34,958165",
16/01/2008 20.00,"2,93972","35,36701","34,18803"
16/01/2008 21.00,"3,014829","34,998394",
16/01/2008 22.00,"2,871598","32,262494","52,25885"
16/01/2008 23.00,"2,475094","33,795287",
17/01/2008 0.00,"2,150205","36,057468","59,096451"
17/01/2008 1.00,"2,649766","33,034732",
17/01/2008 2.00,"1,838766","30,767347","47,37484"
17/01/2008 3.00,"1,863744","25,321476",
17/01/2008 4.00,"1,84977","24,153377","24,908421"
17/01/2008 5.00,"2,012215","23,035929",
17/01/2008 6.00,"2,253261","23,801666","21,97802"
17/01/2008 7.00,"1,973787","27,474637",
17/01/2008 8.00,"2,44016","31,648608","17,582411"
17/01/2008 9.00,"2,988628","38,253459",
17/01/2008 10.00,"2,988628","40,01208","17,094"
17/01/2008 11.00,"2,843651","39,765487",
17/01/2008 12.00,"2,981642","40,709041","27,83882"
17/01/2008 13.00,"2,941467","41,447531",
17/01/2008 14.00,"2,983388","39,152904","27,83882"
17/01/2008 15.00,"2,178152","35,908221",
17/01/2008 16.00,"1,629684","39,58639","19,0476"
17/01/2008 17.00,"2,46636","42,153576",
17/01/2008 18.00,"1,998241","44,501415","21,001221"
17/01/2008 19.00,"1,729247","43,756444",
17/01/2008 20.00,"2,174659","43,246381","23,93162"
17/01/2008 21.00,"2,066363","42,958261",
17/01/2008 22.00,"1,641911","40,048425","30,28083"
17/01/2008 23.00,"1,804355","35,309897",
18/01/2008 0.00,"1,703047","35,289132","20,02442"
18/01/2008 1.00,,"41,400801",
18/01/2008 2.00,"1,56971",,"18,07081"
18/01/2008 3.00,"1,558115","37,169739",
18/01/2008 4.00,"1,594823","30,833523","7,326007"
18/01/2008 5.00,"1,609914","28,71671",
18/01/2008 6.00,"1,585442","28,261157","5,860806"
18/01/2008 7.00,"1,385936","32,507784",
18/01/2008 8.00,"1,577897","35,344943","6,349206"
18/01/2008 9.00,"2,204238","38,361202",
18/01/2008 10.00,"1,770731","37,17234","21,97802"
18/01/2008 11.00,"1,304945","35,383873",
18/01/2008 12.00,"1,805692","36,566233","24,908421"
18/01/2008 13.00,"1,985736","39,158082",
18/01/2008 14.00,"1,868619","37,622689","26,86202"
18/01/2008 15.00,"1,95602","36,856953",
18/01/2008 16.00,"1,68333","36,776496","19,53602"
18/01/2008 17.00,"1,725282","36,205421",
18/01/2008 18.00,"1,606419","32,847835","31,746031"
18/01/2008 19.00,"3,221577","36,153508",
18/01/2008 20.00,"4,46441","36,927049","46,88644"
18/01/2008 21.00,"5,719481","35,695376",
18/01/2008 22.00,"6,749057","35,379971","56,654442"
18/01/2008 23.00,"5,925746","32,523367",
19/01/2008 0.00,"2,78982","37,743414","51,770451"
19/01/2008 1.00,"1,574955","36,897181",
19/01/2008 2.00,"1,559222","30,588232","40,04884"
19/01/2008 3.00,"1,465908","23,888623",
19/01/2008 4.00,"0,669603","21,5265","31,25762"
19/01/2008 5.00,"1,530234","19,301944",
19/01/2008 6.00,"1,227859","19,189023","19,0476"
19/01/2008 7.00,"1,527933","21,186451",
19/01/2008 8.00,"1,536585","21,919741","18,07081"
19/01/2008 9.00,"1,066808","23,661497",
19/01/2008 10.00,"1,2641","20,341538","20,02442"
19/01/2008 11.00,"1,460663","18,229911",
19/01/2008 12.00,"1,084289","20,676386","15,14041"
19/01/2008 13.00,"1,055272","19,747115",
19/01/2008 14.00,"1,218273","19,788646","11,23321"
19/01/2008 15.00,"1,028061","19,831474",
19/01/2008 16.00,"1,251864","17,255202","12,21001"
19/01/2008 17.00,"0,802597","19,505707",
19/01/2008 18.00,"0,878985","19,636795","12,69841"
19/01/2008 19.00,"0,780864","22,666033",
19/01/2008 20.00,"1,476949","21,333102","8,302809"
19/01/2008 21.00,"1,460663","23,420087",
19/01/2008 22.00,"1,485049","21,590093","10,74481"
19/01/2008 23.00,"1,432055","19,818492",
20/01/2008 0.00,"1,373963","20,229915","7,326007"
20/01/2008 1.00,,"21,985953",
20/01/2008 2.00,"1,210137",,"11,23321"
20/01/2008 3.00,"1,425108","23,777",
20/01/2008 4.00,"1,481314","23,04761","5,860806"
20/01/2008 5.00,"1,662421","22,111839",
20/01/2008 6.00,"1,389045","20,553082","12,69841"
20/01/2008 7.00,"1,267047","20,569965",
20/01/2008 8.00,"1,478851","19,124129","11,72161"
20/01/2008 9.00,"1,518785","19,230552",
20/01/2008 10.00,"1,357908","19,051461","13,67521"
20/01/2008 11.00,"1,060959","16,81393",
20/01/2008 12.00,"0,440849","17,994992","10,74481"
20/01/2008 13.00,"0,317091","19,32791",
20/01/2008 14.00,"0,709915","18,782801","10,25641"
20/01/2008 15.00,"1,090161","17,863907",
20/01/2008 16.00,"1,356237","19,860038","5,372406"
20/01/2008 17.00,"1,683532","22,432406",
20/01/2008 18.00,"1,676495","23,23969","12,21001"
20/01/2008 19.00,"1,569976","23,847094",
20/01/2008 20.00,"1,62196","24,995708","16,60561"
20/01/2008 21.00,"1,702882","26,754329",
20/01/2008 22.00,"1,627238","26,61156","24,42001"
20/01/2008 23.00,"1,625478","27,318903",
21/01/2008 0.00,"1,630756","32,23135","24,908421"
