Stat,MONOPOLI,,,,,
,,,,,,,
Parm,NO2,NOX,CO,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,Aver,,Aver
,,,,,,
,,,,,,,
,,,,,,,
15/01/2014 6.00,"29,5","50,3","1,2","14,7","1,1",
15/01/2014 7.00,"46,3","78,8","1,3",,"1,5",
15/01/2014 8.00,"69,5","139,0","1,6","20,8","2,1",
15/01/2014 9.00,"95,0","284,8","2,5",,"3,2",
15/01/2014 10.00,"89,7","331,7","2,9","37,6","7,3",
15/01/2014 11.00,"66,4","134,8","1,5",,"4,9",
15/01/2014 12.00,"54,2","99,8","1,3","27,8","3,1",
15/01/2014 13.00,"40,0","72,5","1,3",,"1,9",
15/01/2014 14.00,"26,3","46,3","1,2","21,7","1,9",
15/01/2014 15.00,"23,2","43,3","1,1",,"1,7",
15/01/2014 16.00,"27,2","49,3","1,2","13,2","1,5",
15/01/2014 17.00,"43,7","74,0","1,3",,"1,8",
15/01/2014 18.00,"45,9","79,4","1,1","14,9","1,9",
15/01/2014 19.00,"47,2","83,6","1,2",,"1,9",
15/01/2014 20.00,"31,8","56,1","1,1","19,5","1,8",
15/01/2014 21.00,"31,5","55,4","1,1",,"1,6",
15/01/2014 22.00,"37,9","59,4","1,1","23,4","1,7",
15/01/2014 23.00,"28,1","45,6","1,1",,"1,9",
16/01/2014 0.00,"21,4","38,6","1,0","17,6","1,7",
16/01/2014 1.00,"16,6","33,3","0,9",,"1,4",
16/01/2014 2.00,"14,3","29,9","0,9","20,8","1,1",
16/01/2014 3.00,,,"0,9",,"1,0",
16/01/2014 4.00,"25,8","42,5",,"12,7","1,0",
16/01/2014 5.00,"17,7","33,6","0,9",,"0,9","11,9"
16/01/2014 6.00,"18,1","35,1","0,9","15,9","0,9",
16/01/2014 7.00,"23,0","42,0","1,0",,"1,0",
16/01/2014 8.00,"25,9","50,3","1,1","12,2","1,2",
16/01/2014 9.00,"40,7","88,5","1,1",,"1,4",
16/01/2014 10.00,"35,1","72,8","1,1","27,8","1,8",
16/01/2014 11.00,"34,2","72,1","0,9",,"1,6",
16/01/2014 12.00,"23,4","53,2","1,0",,"1,4",
16/01/2014 13.00,"15,3","34,7","1,0",,"1,2",
16/01/2014 14.00,"18,1","39,2","1,0",,"1,5",
16/01/2014 15.00,"15,2","32,3","1,0",,"1,7",
16/01/2014 16.00,"20,7","38,0","1,0","16,1","1,5",
16/01/2014 17.00,"38,9","71,3","1,7",,"1,5",
16/01/2014 18.00,"92,4","208,6","1,6","9,3","3,0",
16/01/2014 19.00,"66,0","114,4","1,3",,"4,0",
16/01/2014 20.00,"79,2","154,9","1,4","10,7","3,5",
16/01/2014 21.00,"85,3","192,3","1,6",,"4,1",
16/01/2014 22.00,"74,0","148,6","1,5","23,9","5,0",
16/01/2014 23.00,"57,6","89,6","1,3",,"4,1",
17/01/2014 0.00,"42,4","64,2","1,1","23,0","2,9",
17/01/2014 1.00,"36,3","57,8","1,1",,"2,4",
17/01/2014 2.00,"24,7","42,5","1,0","16,4","1,7",
17/01/2014 3.00,"18,7","35,1","1,0",,"1,5",
17/01/2014 4.00,"16,3","32,7","1,0","12,7","1,3",
17/01/2014 5.00,"19,2","35,5","1,1",,"1,4","13,3"
17/01/2014 6.00,"25,1","45,1","1,2","9,8","1,5",
17/01/2014 7.00,"21,9","41,8","1,1",,"1,9",
17/01/2014 8.00,"45,9","81,9","1,2","8,3","1,7",
17/01/2014 9.00,"67,9","143,7","1,6",,"2,1",
17/01/2014 10.00,"46,5","89,0","1,4","31,7","2,6",
17/01/2014 11.00,"43,7","81,7","1,3",,"2,4",
17/01/2014 12.00,"31,9","64,0","1,1","25,9","1,9",
17/01/2014 13.00,"28,8","58,3","1,1",,"1,8",
17/01/2014 14.00,"28,5","58,9","1,1","14,9","1,8",
17/01/2014 15.00,"27,5","52,4","1,0",,"1,8",
17/01/2014 16.00,"34,3","62,2","1,1","9,5","1,4",
17/01/2014 17.00,"39,5","72,9","1,3",,"1,9",
17/01/2014 18.00,"36,5","68,1","1,2","13,2","1,8",
17/01/2014 19.00,"33,6","66,3","1,2",,"2,1",
17/01/2014 20.00,"22,7","47,6","1,1","12,2","2,0",
17/01/2014 21.00,"27,7","53,6","1,2",,"1,9",
17/01/2014 22.00,"29,4","51,8","1,2","23,2","1,9",
17/01/2014 23.00,"31,2","52,7","1,2",,"2,1",
18/01/2014 0.00,"26,2","47,0","1,2","23,4","2,1",
18/01/2014 1.00,"20,5","39,7","1,2",,"2,1",
