Stat,Francavilla Fontana,,,,,,  ,
,,,,,,,,,,,,,,,,,,,
Parm,NO2,NOX,CO,O3,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,
12/01/2014 21.00,"47,8","53,3","1,1","29,7","3,1",,,
12/01/2014 22.00,"52,4","57,3","0,9","28,3","3,4",,,
12/01/2014 23.00,"40,3","42,4","0,8","28,8","2,0",,,
13/01/2014 0.00,"28,6","29,3","0,6","34,6","1,5",,,
13/01/2014 1.00,"21,8","22,8","0,4","35,9","1,1",,,
13/01/2014 2.00,"16,4","16,7","0,3","40,7","0,8",,,
13/01/2014 3.00,"11,7","12,5","0,3","42,8","0,6",,,
13/01/2014 4.00,"9,3","9,6","0,2","42,5","0,5",,,
13/01/2014 5.00,"9,4","10,1","0,2","44,3","0,5",,,
13/01/2014 6.00,"14,0","14,8","0,2","42,2","0,4",,,
13/01/2014 7.00,"25,6","27,3","0,3","30,7","0,5",,,
13/01/2014 8.00,"46,2","55,4","0,4","18,1","0,7",,,
13/01/2014 9.00,"39,0","50,0","0,3","24,3","0,8",,,
13/01/2014 10.00,"30,5","39,2","0,4","31,7","0,9",,,
13/01/2014 11.00,"19,6","23,3","0,2","46,7","1,2",,,
13/01/2014 12.00,"19,7","25,0","0,2","55,4","0,9",,,
13/01/2014 13.00,"15,0","21,6","0,2","58,7","0,5",,,
13/01/2014 14.00,"23,6","28,2","0,2","52,8","0,6",,,
13/01/2014 15.00,"21,5","27,3","0,2","56,7","1,1",,,
13/01/2014 16.00,"26,6","31,3","0,3","50,5","0,8",,,
13/01/2014 17.00,"37,0","40,9","0,5","42,8","1,5",,,
13/01/2014 18.00,"66,4","87,1","0,7","20,3","2,2",,,
13/01/2014 19.00,"67,7","80,9","0,8","17,9","2,6",,,
13/01/2014 20.00,"72,9","102,1","1,1","16,6","3,5",,,
