 Brindisi,,,,
,Mesagne,,,,
Parm,SO2,NO2,PM10,NOX
,,,,,,
,,,,,,,
,,,,,,,
,,,,,,
,,,,,,,
14/01/2010 8.00,"0,59026273","21,81331968","39,90000153","34,29718832"
14/01/2010 9.00,"0,43262977","33,2969064","39,90000153","52,13448488"
14/01/2010 10.00,"0,53794724","18,86845919","39,90000153","29,95102112"
14/01/2010 11.00,"0,39545842","16,71139815","39,90000153","26,89405816"
14/01/2010 12.00,"0,27568531","14,97483945","39,90000153","23,75407616"
14/01/2010 13.00,"0,20340814","18,59461108","39,90000153","27,9614704"
14/01/2010 14.00,"0,33350684","19,54463608","39,90000153","28,7785636"
14/01/2010 15.00,"0,14007955","21,1514044","39,90000153","29,91731256"
14/01/2010 16.00,"0,1772509","19,0280959","39,90000153","26,86681216"
14/01/2010 17.00,"0,19273879","24,05473816","39,90000153","33,66685928"
14/01/2010 18.00,"0,4463969","33,90561072","39,90000153","44,29945304"
14/01/2010 19.00,"0,30321957","40,18859568","39,90000153","54,58056384"
14/01/2010 20.00,"0,40578402","46,82721264","39,90000153","66,1807252"
14/01/2010 21.00,"0,54242204","49,04398544","39,90000153","79,79374456"
14/01/2010 22.00,"0,52486862","47,03487496","39,90000153","88,37585216"
14/01/2010 23.00,"0,4147326","41,78758216","39,90000153","65,56595984"
15/01/2010 0.00,"0,55756618","37,83165416","39,90000153","61,88253008"
15/01/2010 1.00,"0,29874477","27,16835368","37,90000153","38,212754"
15/01/2010 2.00,"0,48494425","21,47717096","37,90000153","30,08201224"
15/01/2010 3.00,"0,71072435","18,25846236","37,90000153","25,2883988"
15/01/2010 4.00,"0,43400678","14,24414762","37,90000153","20,69451288"
15/01/2010 5.00,"0,40234249","16,19354825","37,90000153","24,06276856"
15/01/2010 6.00,"0,35587881","18,67767601","37,90000153","27,5931236"
15/01/2010 7.00,"0,70108726","32,54283272","37,90000153","61,59462112"
15/01/2010 8.00,"0,85872022","39,13862088","37,90000153","102,8669384"
15/01/2010 9.00,"0,99363646","45,54751104","37,90000153","118,3165102"
15/01/2010 10.00,"1,34848301","42,64547744","37,90000153","107,8304713"
15/01/2010 11.00,"0,78128076","37,0438528","37,90000153","60,15368056"
15/01/2010 12.00,"0,7816245","20,68546912","37,90000153","30,6811948"
15/01/2010 13.00,"0,68559936","13,92486274","37,90000153","21,35338808"
15/01/2010 14.00,"0,50800472","13,71461157","37,90000153","21,21331496"
15/01/2010 15.00,"0,32180524","11,75222846","37,90000153","18,9903033"
15/01/2010 16.00,"0,4801257","13,94952945","37,90000153","22,60626432"
15/01/2010 17.00,"0,39545842","18,17669186","37,90000153","27,34410472"
15/01/2010 18.00,"0,47530715","20,28052664","37,90000153","28,84860016"
15/01/2010 19.00,"0,43744831","16,56214552","37,90000153","25,44793608"
15/01/2010 20.00,"0,39649169","16,49594634","37,90000153","25,6774908"
15/01/2010 21.00,"0,3111359","20,453142","37,90000153","29,7331296"
15/01/2010 22.00,"0,55894218","9,61593556","37,90000153","18,74647168"
15/01/2010 23.00,"0,30321957","7,76516927","37,90000153","16,05524946"
16/01/2010 0.00,"0,39098463","7,09416817","37,90000153","15,8619998"
16/01/2010 1.00,,"8,31546582",23,"17,00982311"
16/01/2010 2.00,"0,78425447",,23,
16/01/2010 3.00,"1,68921768","7,1318078",23,"16,85029539"
16/01/2010 4.00,"1,05064439","6,88261493",23,"16,58830742"
16/01/2010 5.00,"1,42369423","8,21033832",23,"17,57789743"
16/01/2010 6.00,"1,07561886","7,57048752",23,"16,70244043"
16/01/2010 7.00,"1,37582811","11,42646572",23,"20,92796808"
16/01/2010 8.00,"1,25928194","15,37329069",23,"25,50370912"
16/01/2010 9.00,"1,02393594","15,62507623",23,"26,8512676"
16/01/2010 10.00,"1,09244106","12,32848422",23,"21,86568936"
