,Provincia di FOGGIA,,,
,MICHELANGELO,,,
Parm,SO2,NO2,CO,PM10



19/01/2005 2.59,"2,94569779","16,08971518","0,67503595",
19/01/2005 3.59,"2,9240245","13,80675658","0,62823208",
19/01/2005 4.59,"2,95653392","20,46742464","0,58162625",
19/01/2005 5.59,"3,19493499","21,53946392","0,70169581",
19/01/2005 6.59,"3,39360289","41,90438624","0,83361459",
19/01/2005 7.59,"3,37915437","43,04391912","0,94811428",
19/01/2005 8.59,"3,50919104","39,38781184","1,29793582",
19/01/2005 9.59,"3,48029401","17,92880297","0,57005431",
19/01/2005 10.59,"3,48932395","18,8087589","0,58608937",
19/01/2005 11.59,"3,47126406","24,1793432","0,66863661",
19/01/2005 12.59,"3,47487543","24,92431576","0,65682817",
19/01/2005 13.59,"3,68076708","32,06521512","0,8203033",
19/01/2005 14.59,"3,58865841","18,61148639","0,66156739",
19/01/2005 15.59,"3,78913148","29,17484472","0,74360086",
