,Regione Puglia,,,,,
,CERRATE,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE



14/01/2006 17.00,2,"4,70997682","0,93334674","74,9654766",,"1,9561995"
14/01/2006 18.00,2,"24,19752632","0,62809111","41,2600713",,"1,931283"
14/01/2006 19.00,2,"15,50827215","0,43189696","28,55904345",,"1,780767"
14/01/2006 20.00,1,"24,68550696","0,48692107","32,3201571",,"1,077003"
14/01/2006 21.00,2,"30,69595544","0,52329004","35,4190704",,"2,5104645"
14/01/2006 22.00,2,"25,20597248","0,46588933","43,0115616",,"3,358134"
14/01/2006 23.00,2,"22,07549312","0,40499012","49,25800635",,"2,757087"
15/01/2006 0.00,2,"19,65107712","0,48167508","52,0339092",,"3,3576255"
15/01/2006 1.00,2,"15,41612522","0,3302344","51,87309225",,"3,882906"
15/01/2006 2.00,3,"14,31423006","0,30812619","34,00272015",,"3,045915"
15/01/2006 3.00,2,"23,62254968","0,46396125","29,21990715",,"3,19338"
15/01/2006 4.00,2,"18,2844235","0,36489897","35,68530315",,"2,8470915"
15/01/2006 5.00,2,"12,32069282","0,26502702","32,5499013",,"2,399103"
15/01/2006 6.00,2,"18,25197303","0,33534758","34,05678465",,"2,277063"
15/01/2006 7.00,2,"14,22078106","0,29808156","41,50739145",,"2,659455"
15/01/2006 8.00,2,"13,3343358","0,25977753","35,39878125",,"3,04083"
15/01/2006 9.00,3,"26,00545616","0,34727485","27,7035675",,"2,5775865"
15/01/2006 10.00,3,"19,03978204","0,35202922","52,23662115",,"2,812005"
15/01/2006 11.00,4,"13,981978","0,43996808","61,2751881",,"4,1580045"
15/01/2006 12.00,3,"11,5315913","0,65549191","67,8311172",,"2,999133"
15/01/2006 13.00,3,"6,26353227","0,70746722","74,65599225",,"1,516347"
15/01/2006 14.00,2,"4,43223397","0,76598867","74,6046609",,"3,0586275"
