Stat,Casardi,,,,,
,,,,,,,,,,
Parm,NO2,NOX,O3,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3 293K
Field,Aver,Aver,Aver,Aver,,Aver
,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,
25/10/2014 13.00,"15,7","20,0","54,9","13,3","2,7","8,1"
25/10/2014 14.00,"7,4","9,9","65,7","13,3","2,1","8,1"
25/10/2014 15.00,"8,6","11,3","69,9","13,3","1,6","8,1"
25/10/2014 16.00,"9,7","12,5","69,1","13,3","1,7","8,1"
25/10/2014 17.00,"12,4","14,1","67,2","13,3","1,6","8,1"
25/10/2014 18.00,"16,8","18,4","65,0","13,3","2,0","8,1"
25/10/2014 19.00,"26,5","28,9","51,8","13,3","2,0","8,1"
25/10/2014 20.00,"36,1","40,4","34,5","13,3","2,6","8,1"
25/10/2014 21.00,"29,9","33,9","34,9","13,3","3,1","8,1"
25/10/2014 22.00,"29,8","32,9","33,3","13,3","3,0","8,1"
25/10/2014 23.00,"21,5","24,2","38,5","13,3","2,6","8,1"
26/10/2014 0.00,"13,6","15,3","42,7","13,3","2,2","8,1"
26/10/2014 1.00,"11,2","12,9","42,4","13,8","1,8","9,2"
26/10/2014 2.00,"12,3","14,2","40,8","13,8","1,8","9,2"
26/10/2014 3.00,"9,2","11,0","41,2","13,8","1,7","9,2"
26/10/2014 4.00,"7,5","8,9","40,7","13,8","1,7","9,2"
26/10/2014 5.00,"7,5","9,1","40,9","13,8","1,6","9,2"
26/10/2014 6.00,"9,8","11,9","40,3","13,8","1,8","9,2"
26/10/2014 7.00,"12,0","14,3","40,5","13,8","1,7","9,2"
26/10/2014 8.00,"12,1","14,5","40,8","13,8","1,7","9,2"
26/10/2014 9.00,"14,4","18,4","38,9","13,8","2,2","9,2"
26/10/2014 10.00,"15,9","24,2","40,7","13,8","3,0","9,2"
26/10/2014 11.00,"8,9","12,8","60,4","13,8","2,6","9,2"
26/10/2014 12.00,"8,3","11,8","63,9","13,8","1,8","9,2"
26/10/2014 13.00,"10,4","14,6","67,0","13,8","2,0","9,2"
26/10/2014 14.00,"10,9","15,3","65,8","13,8","1,9","9,2"
26/10/2014 15.00,"4,8","6,7","76,5","13,8","2,0","9,2"
26/10/2014 16.00,"5,4","6,9","80,4","13,8","1,7","9,2"
26/10/2014 17.00,"7,3","8,6","81,0","13,8","1,4","9,2"
26/10/2014 18.00,"10,6","12,0","77,3","13,8","1,8","9,2"
26/10/2014 19.00,"15,6","17,1","64,4","13,8","1,6","9,2"
26/10/2014 20.00,"22,5","24,3","46,0","13,8","2,1","9,2"
26/10/2014 21.00,"22,3","24,6","42,8","13,8","2,3","9,2"
26/10/2014 22.00,"25,9","28,4","38,4","13,8","2,2","9,2"
26/10/2014 23.00,"24,3","26,6","36,7","13,8","2,4","9,2"
27/10/2014 0.00,"18,1","19,9","42,2","13,8","2,4","9,2"
27/10/2014 1.00,"11,6","13,0","47,8","14,2","1,8","10,2"
27/10/2014 2.00,"9,3","10,7","48,7","14,2","1,7","10,2"
27/10/2014 3.00,,,"50,4","14,2","1,5","10,2"
27/10/2014 4.00,"6,1","7,7","50,8","14,2","1,6","10,2"
27/10/2014 5.00,"6,7","8,2","50,0","14,2","1,6","10,2"
27/10/2014 6.00,"11,8","13,5","44,6","14,2","1,5","10,2"
27/10/2014 7.00,"15,2","17,4","40,9","14,2","1,9","10,2"
27/10/2014 8.00,"20,7","24,8","36,3","14,2","2,1","10,2"
27/10/2014 9.00,"24,7","33,6","33,4","14,2","2,7","10,2"
27/10/2014 10.00,"23,2","35,1","37,6","14,2","3,0","10,2"
27/10/2014 11.00,"15,5","23,1","47,3","14,2","2,8","10,2"
27/10/2014 12.00,"15,0","22,7","50,7","14,2","2,4","10,2"
27/10/2014 13.00,"12,7","16,9","58,8","14,2","2,1","10,2"
27/10/2014 14.00,"14,7","17,7","64,0","14,2","2,0","10,2"
27/10/2014 15.00,"7,8","9,6","70,0","14,2","1,6","10,2"
27/10/2014 16.00,"21,9","25,2","58,9","14,2","1,8","10,2"
27/10/2014 17.00,"26,3","29,0","51,4","14,2","2,1","10,2"
27/10/2014 18.00,"27,1","30,1","40,6","14,2","2,4","10,2"
27/10/2014 19.00,"31,2","34,5","39,5","14,2","2,4","10,2"
27/10/2014 20.00,"32,3","36,3","35,5","14,2","2,9","10,2"
27/10/2014 21.00,"36,5","40,9","29,5","14,2","2,5","10,2"
27/10/2014 22.00,"33,1","38,0","28,7","14,2","3,0","10,2"
27/10/2014 23.00,"22,7","25,0","33,8","14,2","2,4","10,2"
28/10/2014 0.00,"16,6","18,2","40,5","14,2","1,9","10,2"
28/10/2014 1.00,"11,9","13,4","47,6","17,2","1,8","12,0"
28/10/2014 2.00,"10,4","11,8","46,3","17,2","1,6","12,0"
28/10/2014 3.00,"8,6","9,7","44,3","17,2","1,4","12,0"
28/10/2014 4.00,"9,3","11,1","41,4","17,2","1,6","12,0"
28/10/2014 5.00,"9,0","10,8","41,0","17,2","1,6","12,0"
28/10/2014 6.00,"11,3","13,6","38,2","17,2","1,8","12,0"
28/10/2014 7.00,"17,6","20,2","33,0","17,2","1,7","12,0"
28/10/2014 8.00,"27,0","34,7","25,7","17,2","2,3","12,0"
28/10/2014 9.00,"27,3","39,9","28,5","17,2","2,7","12,0"
28/10/2014 10.00,"25,3","33,6","35,1","17,2","3,1","12,0"
28/10/2014 11.00,"23,2","31,5","38,2","17,2","2,6","12,0"
28/10/2014 12.00,"18,8","25,4","50,8","17,2","2,8","12,0"
28/10/2014 13.00,"12,5","16,2","60,5","17,2","2,4","12,0"
28/10/2014 14.00,"12,5","15,6","64,1","17,2","2,1","12,0"
28/10/2014 15.00,"12,6","15,0","65,7","17,2","1,9","12,0"
28/10/2014 16.00,"17,8","20,6","60,8","17,2","1,8","12,0"
28/10/2014 17.00,"20,3","22,6","58,3","17,2","1,9","12,0"
28/10/2014 18.00,"35,0","37,2","44,0","17,2","2,2","12,0"
28/10/2014 19.00,"38,0","40,1","41,2","17,2","2,6","12,0"
28/10/2014 20.00,"59,2","95,1","18,8","17,2","2,8","12,0"
28/10/2014 21.00,"40,1","46,9","28,4","17,2","4,0","12,0"
28/10/2014 22.00,"31,3","34,0","35,5","17,2","2,5","12,0"
28/10/2014 23.00,"25,3","27,4","33,3","17,2","2,4","12,0"
29/10/2014 0.00,"18,8","20,7","33,4","17,2","2,1","12,0"
29/10/2014 1.00,"11,0","12,5","42,4","19,3","2,1","13,6"
29/10/2014 2.00,"6,9","8,4","47,4","19,3","1,5","13,6"
29/10/2014 3.00,,,"46,3","19,3","1,4","13,6"
29/10/2014 4.00,"7,1","8,7","46,5","19,3","1,6","13,6"
29/10/2014 5.00,"6,5","7,9","48,9","19,3","1,3","13,6"
29/10/2014 6.00,"10,9","12,6","47,0","19,3","1,8","13,6"
29/10/2014 7.00,"20,3","22,7","37,8","19,3","1,7","13,6"
29/10/2014 8.00,"27,6","36,4","33,0","19,3","2,2","13,6"
29/10/2014 9.00,"23,2","33,0","44,7","19,3","2,8","13,6"
29/10/2014 10.00,"16,7","23,3","58,4","19,3","2,8","13,6"
29/10/2014 11.00,"11,9","16,5","65,5","19,3","2,2","13,6"
29/10/2014 12.00,"10,3","14,2","70,3","19,3","2,0","13,6"
29/10/2014 13.00,"13,8","18,0","70,6","19,3","2,0","13,6"
29/10/2014 14.00,"12,6","16,3","74,0","19,3","2,1","13,6"
29/10/2014 15.00,"9,9","12,6","76,5","19,3","1,6","13,6"
29/10/2014 16.00,"13,7","16,8","72,8","19,3","1,6","13,6"
29/10/2014 17.00,"19,9","22,1","66,8","19,3","2,2","13,6"
29/10/2014 18.00,"33,0","35,8","54,8","19,3","2,5","13,6"
29/10/2014 19.00,"58,5","68,9","28,0","19,3","3,2","13,6"
29/10/2014 20.00,"81,6","159,2","7,0","19,3","4,5","13,6"
29/10/2014 21.00,"58,7","76,7","15,4","19,3","5,2","13,6"
29/10/2014 22.00,"46,7","54,7","24,1","19,3","4,2","13,6"
29/10/2014 23.00,"28,2","30,6","34,2","19,3","3,3","13,6"
30/10/2014 0.00,"23,7","26,2","29,8","19,3","2,4","13,6"
30/10/2014 1.00,"29,0","31,7","24,0","24,1","1,0","18,8"
30/10/2014 2.00,"17,6","19,8","26,0","24,1","2,3","18,8"
30/10/2014 3.00,"16,1","18,2","25,5","24,1","2,2","18,8"
30/10/2014 4.00,"16,0","18,9","28,7","24,1","1,9","18,8"
30/10/2014 5.00,"12,6","14,1","34,1","24,1","1,9","18,8"
30/10/2014 6.00,"19,6","22,0","26,6","24,1","1,9","18,8"
30/10/2014 7.00,"25,0","29,0","23,3","24,1","2,8","18,8"
30/10/2014 8.00,"27,5","34,4","25,8","24,1","2,8","18,8"
30/10/2014 9.00,"33,8","44,8","25,4","24,1","3,5","18,8"
30/10/2014 10.00,"29,7","41,3",,"24,1","4,0","18,8"
30/10/2014 11.00,"23,0","31,6",,"24,1","4,1","18,8"
30/10/2014 12.00,"22,8","27,7","51,8","24,1","3,2","18,8"
30/10/2014 13.00,"22,5","26,5","62,1","24,1","2,3","18,8"
30/10/2014 14.00,"32,1","38,9","52,1","24,1","2,3","18,8"
30/10/2014 15.00,"24,1","28,6","51,7","24,1","3,0","18,8"
30/10/2014 16.00,"21,0","24,1","50,1","24,1","2,2","18,8"
30/10/2014 17.00,"24,9","27,3","44,8","24,1","2,6","18,8"
30/10/2014 18.00,"36,8","40,2","30,2","24,1","2,6","18,8"
30/10/2014 19.00,"44,5","49,9","28,7","24,1","3,2","18,8"
30/10/2014 20.00,"40,4","44,7","32,8","24,1","3,6","18,8"
30/10/2014 21.00,"40,6","44,7","31,3","24,1","3,6","18,8"
30/10/2014 22.00,"39,4","44,0","30,1","24,1","3,3","18,8"
30/10/2014 23.00,"24,6","26,8","42,1","24,1","2,8","18,8"
31/10/2014 0.00,"17,6","19,3","46,3","24,1","2,2","18,8"
31/10/2014 1.00,"17,1","19,1","43,2","25,8","1,8","19,5"
31/10/2014 2.00,"12,1","13,4","43,7","25,8","1,9","19,5"
31/10/2014 3.00,,,"42,9","25,8","1,9","19,5"
31/10/2014 4.00,"10,9","12,2","41,5","25,8","2,0","19,5"
31/10/2014 5.00,"12,5","14,1",,"25,8","1,9","19,5"
31/10/2014 6.00,"14,3","16,0","37,0","25,8","1,9","19,5"
31/10/2014 7.00,"20,4","23,0","30,4","25,8","1,8","19,5"
31/10/2014 8.00,"27,3","34,2","26,1","25,8","2,2","19,5"
31/10/2014 9.00,"30,0","43,5","27,3","25,8","3,1","19,5"
31/10/2014 10.00,"24,3","35,7","36,1","25,8","3,8","19,5"
31/10/2014 11.00,"26,1","38,0","35,1","25,8","3,4","19,5"
31/10/2014 12.00,"17,6","24,0","57,2","25,8","3,0","19,5"
31/10/2014 13.00,"18,7","25,1","64,0","25,8","4,1","19,5"
31/10/2014 14.00,"18,8","25,0","65,5","25,8","3,0","19,5"
31/10/2014 15.00,"10,0","12,7","74,6","25,8","2,4","19,5"
31/10/2014 16.00,"12,3","14,9","75,1","25,8","2,2","19,5"
31/10/2014 17.00,"18,0","20,0","71,0","25,8","2,0","19,5"
31/10/2014 18.00,"17,9","20,1","72,3","25,8","2,0","19,5"
31/10/2014 19.00,"22,6","24,3","64,7","25,8","1,8","19,5"
31/10/2014 20.00,"49,9","55,8","26,0","25,8","2,8","19,5"
31/10/2014 21.00,"45,3","52,4","21,9","25,8","3,4","19,5"
31/10/2014 22.00,"39,7","45,1","23,6","25,8","3,2","19,5"
31/10/2014 23.00,"30,9","34,5","28,5","25,8","3,1","19,5"
01/11/2014 0.00,"22,4","24,4","35,0","25,8","3,4","19,5"
01/11/2014 1.00,"16,3","18,1","38,8","29,1","3,3","18,7"
01/11/2014 2.00,"13,8","15,6","37,7","29,1","2,1","18,7"
01/11/2014 3.00,"12,8","14,4","37,1","29,1","2,0","18,7"
01/11/2014 4.00,"11,6","13,0","40,5","29,1","2,1","18,7"
01/11/2014 5.00,"10,7","12,3","42,7","29,1","1,9","18,7"
01/11/2014 6.00,"12,4","14,0","42,8","29,1","2,2","18,7"
01/11/2014 7.00,"15,5","17,8","40,8","29,1","1,9","18,7"
01/11/2014 8.00,"15,9","19,5","42,0","29,1","2,2","18,7"
01/11/2014 9.00,"14,5","19,7","44,4","29,1","2,4","18,7"
01/11/2014 10.00,"13,6","19,3","48,7","29,1","2,1","18,7"
01/11/2014 11.00,"12,3","17,5","55,0","29,1","2,1","18,7"
01/11/2014 12.00,"9,7","13,5","66,8","29,1","2,0","18,7"
01/11/2014 13.00,"11,8","15,7","71,0","29,1","1,9","18,7"
01/11/2014 14.00,"15,6","20,0","72,1","29,1","2,3","18,7"
01/11/2014 15.00,"7,9","10,1","80,5","29,1","1,9","18,7"
01/11/2014 16.00,"10,3","12,4","76,5","29,1","1,6","18,7"
01/11/2014 17.00,"16,1","17,7","69,2","29,1","1,6","18,7"
01/11/2014 18.00,"25,6","27,6","52,9","29,1","2,0","18,7"
01/11/2014 19.00,"48,5","52,8","25,8","29,1","3,1","18,7"
01/11/2014 20.00,"25,1","27,4","43,0","29,1","3,5","18,7"
01/11/2014 21.00,"28,1","30,5","48,2","29,1","3,2","18,7"
01/11/2014 22.00,"28,4","30,7","45,2","29,1","3,1","18,7"
01/11/2014 23.00,"24,5","26,6","45,2","29,1","3,8","18,7"
02/11/2014 0.00,"19,0","20,7","49,0","29,1","3,4","18,7"
02/11/2014 1.00,"13,7","14,8","53,8","34,9","2,5","26,1"
02/11/2014 2.00,"10,4","11,8","57,1","34,9","2,0","26,1"
02/11/2014 3.00,,,"57,1","34,9","1,7","26,1"
02/11/2014 4.00,"8,6","9,9","55,8","34,9","1,9","26,1"
02/11/2014 5.00,"7,7","8,9",,"34,9","1,7","26,1"
02/11/2014 6.00,"9,0","10,2","52,5","34,9","1,6","26,1"
02/11/2014 7.00,"12,7","14,1","47,2","34,9","1,8","26,1"
02/11/2014 8.00,"15,2","18,2","47,1","34,9","2,0","26,1"
02/11/2014 9.00,"14,0","18,0","51,4","34,9","2,8","26,1"
02/11/2014 10.00,"11,8","15,5","61,2","34,9","2,6","26,1"
02/11/2014 11.00,"12,0","15,4","71,1","34,9","2,4","26,1"
02/11/2014 12.00,"8,3","10,6","80,9","34,9","2,1","26,1"
02/11/2014 13.00,"13,2","16,8","79,2","34,9","1,9","26,1"
02/11/2014 14.00,"21,2","26,6","77,8","34,9","2,5","26,1"
02/11/2014 15.00,"9,1","11,2","91,2","34,9","2,5","26,1"
02/11/2014 16.00,"7,7","9,1","91,9","34,9","1,8","26,1"
02/11/2014 17.00,"45,3","71,5","71,7","34,9","1,7","26,1"
02/11/2014 18.00,"37,4","42,0","53,9","34,9","2,2","26,1"
02/11/2014 19.00,"36,3","38,3","41,6","34,9","2,0","26,1"
02/11/2014 20.00,"37,5","39,7","39,1","34,9","2,5","26,1"
02/11/2014 21.00,"30,9","33,1","37,8","34,9","2,6","26,1"
02/11/2014 22.00,"39,8","44,0","23,6","34,9","3,0","26,1"
02/11/2014 23.00,"36,9","41,6","19,2","34,9","3,1","26,1"
03/11/2014 0.00,"32,8","36,4","23,2","34,9","2,9","26,1"
03/11/2014 1.00,"18,0","19,7","37,7","28,8","2,3","20,5"
03/11/2014 2.00,"12,0","13,5","41,5","28,8","2,0","20,5"
03/11/2014 3.00,"12,1","13,7","42,4","28,8","1,7","20,5"
03/11/2014 4.00,"20,2","25,5","38,6","28,8","2,0","20,5"
03/11/2014 5.00,"13,0","14,3","42,4","28,8","2,0","20,5"
03/11/2014 6.00,"20,1","24,3","36,3","28,8","1,8","20,5"
03/11/2014 7.00,"35,7","39,0","24,7","28,8","2,5","20,5"
03/11/2014 8.00,"58,2","97,4","9,9","28,8","4,2","20,5"
03/11/2014 9.00,"65,7","121,3","15,4","28,8","5,8","20,5"
03/11/2014 10.00,"49,9","80,8","43,8","28,8","6,8","20,5"
03/11/2014 11.00,"25,3","32,3","71,6","28,8","4,2","20,5"
03/11/2014 12.00,"28,2","35,8","76,8","28,8","3,8","20,5"
03/11/2014 13.00,"21,4","25,9","88,6","28,8","2,8","20,5"
03/11/2014 14.00,"19,2","22,9","92,1","28,8","2,1","20,5"
03/11/2014 15.00,"23,0","27,5","83,5","28,8","2,1","20,5"
03/11/2014 16.00,"20,7","23,1","92,2","28,8","2,0","20,5"
03/11/2014 17.00,"61,4","75,8","50,4","28,8","2,3","20,5"
03/11/2014 18.00,"47,1","53,2","55,3","28,8","2,2","20,5"
03/11/2014 19.00,"51,5","54,0","40,5","28,8","2,3","20,5"
03/11/2014 20.00,"38,9","42,5","39,7","28,8","2,8","20,5"
03/11/2014 21.00,"23,1","25,4","50,8","28,8","2,4","20,5"
03/11/2014 22.00,"23,0","25,1","50,6","28,8","2,1","20,5"
03/11/2014 23.00,"13,5","14,9","57,4","28,8","1,9","20,5"
04/11/2014 0.00,"13,6","15,0","57,4","28,8","1,6","20,5"
04/11/2014 1.00,"7,0","8,2","64,2","31,2","1,6","15,1"
04/11/2014 2.00,"4,7","6,0","63,4","31,2","1,7","15,1"
04/11/2014 3.00,,,"58,1","31,2","1,6","15,1"
04/11/2014 4.00,"5,0","6,2","59,8","31,2","1,4","15,1"
04/11/2014 5.00,"12,2","13,8",,"31,2","1,4","15,1"
04/11/2014 6.00,"48,6","60,3","11,6","31,2","2,4","15,1"
04/11/2014 7.00,"52,5","65,5","9,4","31,2","2,0","15,1"
04/11/2014 8.00,"59,3","84,6","16,1","31,2","2,7","15,1"
04/11/2014 9.00,"68,3","135,3","14,0","31,2","3,9","15,1"
04/11/2014 10.00,"50,2","83,9","26,9","31,2","6,2","15,1"
04/11/2014 11.00,"29,6","40,3","56,5","31,2","4,2","15,1"
04/11/2014 12.00,"28,7","37,3","63,5","31,2","2,8","15,1"
04/11/2014 13.00,"41,0","56,2","53,7","31,2","2,3","15,1"
04/11/2014 14.00,"24,5","31,0","73,9","31,2","2,5","15,1"
04/11/2014 15.00,"18,7","22,0","79,9","31,2","1,9","15,1"
04/11/2014 16.00,"32,9","37,0","61,0","31,2","1,9","15,1"
04/11/2014 17.00,"30,5","33,0","56,2","31,2","1,9","15,1"
04/11/2014 18.00,"40,2","42,7","47,6","31,2","1,9","15,1"
04/11/2014 19.00,"27,6","29,3","60,2","31,2","2,0","15,1"
04/11/2014 20.00,"27,1","29,3","60,5","31,2","2,0","15,1"
04/11/2014 21.00,"24,7","26,6","60,8","31,2","2,0","15,1"
04/11/2014 22.00,"24,8","26,6","58,4","31,2","1,9","15,1"
04/11/2014 23.00,"16,1","17,5","67,7","31,2","1,6","15,1"
05/11/2014 0.00,"11,0","12,3","72,2","31,2","1,8","15,1"
05/11/2014 1.00,"6,5","7,8","80,4","22,4","1,2","10,6"
05/11/2014 2.00,"8,2","8,9","79,6","22,4","1,3","10,6"
05/11/2014 3.00,"7,1","8,1","76,0","22,4","1,2","10,6"
05/11/2014 4.00,"6,7","7,7","73,3","22,4","1,3","10,6"
05/11/2014 5.00,"8,1","9,2","71,5","22,4","1,3","10,6"
05/11/2014 6.00,"12,8","14,1","66,4","22,4","1,2","10,6"
05/11/2014 7.00,"12,8","14,0","67,9","22,4","1,6","10,6"
05/11/2014 8.00,"14,4","16,6","63,8","22,4","1,5","10,6"
05/11/2014 9.00,"21,4","27,0","57,1","22,4","1,4","10,6"
05/11/2014 10.00,"13,4","17,4","65,2","22,4","1,7","10,6"
05/11/2014 11.00,"10,0","13,0","71,5","22,4","1,6","10,6"
05/11/2014 12.00,"10,5","13,7","69,6","22,4","1,3","10,6"
05/11/2014 13.00,"10,7","14,5","69,6","22,4","1,6","10,6"
05/11/2014 14.00,"10,7","13,9","71,0","22,4","1,1","10,6"
05/11/2014 15.00,"7,4","9,4","72,4","22,4","1,3","10,6"
05/11/2014 16.00,"9,0","10,5","68,9","22,4","1,2","10,6"
05/11/2014 17.00,"12,3","13,6","66,6","22,4","1,0","10,6"
05/11/2014 18.00,"9,8","11,1","72,7","22,4","1,2","10,6"
05/11/2014 19.00,"8,3","9,9","75,4","22,4","1,1","10,6"
05/11/2014 20.00,"8,2","9,3","74,3","22,4","1,2","10,6"
05/11/2014 21.00,"9,5","10,9","69,2","22,4","1,5","10,6"
05/11/2014 22.00,"41,5","81,5","33,3","22,4","1,4","10,6"
05/11/2014 23.00,"48,2","98,4","32,5","22,4","1,1","10,6"
06/11/2014 0.00,"7,2","8,6","69,0","22,4","0,9","10,6"
06/11/2014 1.00,"14,2","19,2","60,2","69,2","0,9","16,1"
06/11/2014 2.00,"2,1","2,7","72,9","69,2","0,9","16,1"
06/11/2014 3.00,,,"70,6","69,2","0,8","16,1"
06/11/2014 4.00,"3,3","4,2","69,7","69,2","0,9","16,1"
06/11/2014 5.00,"3,3","4,0",,"69,2","1,1","16,1"
06/11/2014 6.00,"14,3","16,8","55,9","69,2","1,0","16,1"
06/11/2014 7.00,"18,5","21,8","51,0","69,2","1,1","16,1"
06/11/2014 8.00,"37,1","56,0","33,6","69,2","1,4","16,1"
06/11/2014 9.00,"17,2","22,0","53,6","69,2","1,5","16,1"
06/11/2014 10.00,"10,5","13,4","62,1","69,2","1,3","16,1"
06/11/2014 11.00,"9,6","11,8","64,1","69,2","1,4","16,1"
06/11/2014 12.00,"8,0","10,7","65,9","69,2","1,5","16,1"
06/11/2014 13.00,"8,4","11,4","64,9","69,2","1,3","16,1"
06/11/2014 14.00,"11,7","14,1","60,6","69,2","1,3","16,1"
06/11/2014 15.00,"9,8","11,2","59,4","69,2","1,6","16,1"
06/11/2014 16.00,"10,8","12,2","57,6","69,2","1,3","16,1"
06/11/2014 17.00,"25,6","34,5","40,1","69,2","1,3","16,1"
06/11/2014 18.00,"27,5","35,3","38,1","69,2","1,4","16,1"
06/11/2014 19.00,"16,1","19,3","46,7","69,2","1,4","16,1"
06/11/2014 20.00,"20,1","27,5","44,3","69,2","1,1","16,1"
06/11/2014 21.00,"41,9","67,6","24,6","69,2","1,3","16,1"
06/11/2014 22.00,"16,1","19,3","48,8","69,2","1,9","16,1"
06/11/2014 23.00,"10,4","13,1","58,1","69,2","1,3","16,1"
07/11/2014 0.00,"2,8","3,8","64,7","69,2","1,1","16,1"
07/11/2014 1.00,"3,2","4,4","66,9","36,4","1,1","8,6"
07/11/2014 2.00,"9,4","13,0","62,3","36,4","0,9","8,6"
07/11/2014 3.00,"39,6","59,8","31,0","36,4","0,7","8,6"
07/11/2014 4.00,"23,7","33,7","48,5","36,4","1,0","8,6"
07/11/2014 5.00,"16,4","23,1","54,6","36,4","1,0","8,6"
07/11/2014 6.00,"4,5","5,4","66,8","36,4","0,7","8,6"
07/11/2014 7.00,"9,5","11,6","62,5","36,4","0,8","8,6"
07/11/2014 8.00,"8,8","10,4","59,8","36,4","1,0","8,6"
07/11/2014 9.00,"18,7","24,7","47,2","36,4","1,1","8,6"
07/11/2014 10.00,"25,4","30,1","40,5","36,4","1,3","8,6"
07/11/2014 11.00,"10,0","12,2","54,3","36,4","1,5","8,6"
07/11/2014 12.00,"16,2","22,6","51,0","36,4","1,0","8,6"
07/11/2014 13.00,"10,4","13,4","53,3","36,4","0,9","8,6"
07/11/2014 14.00,"25,8","36,3","38,2","36,4","0,9","8,6"
07/11/2014 15.00,"21,4","29,6","40,2","36,4","1,6","8,6"
07/11/2014 16.00,"31,2","50,4","29,1","36,4","1,5","8,6"
07/11/2014 17.00,"30,2","41,9","33,5","36,4","1,2","8,6"
07/11/2014 18.00,"38,2","59,1","28,5","36,4","2,0","8,6"
07/11/2014 19.00,"53,9","86,1","16,8","36,4","1,6","8,6"
07/11/2014 20.00,"55,2","79,2","21,6","36,4","1,8","8,6"
07/11/2014 21.00,"52,6","77,1","26,3","36,4","1,6","8,6"
07/11/2014 22.00,"45,8","60,0","31,3","36,4","1,6","8,6"
07/11/2014 23.00,"30,5","34,7","40,7","36,4","1,6","8,6"
08/11/2014 0.00,"16,7","18,3","51,9","36,4","1,5","8,6"
08/11/2014 1.00,"34,0","44,5","34,5","30,2","1,6","7,8"
08/11/2014 2.00,"29,5","43,0","35,5","30,2","1,2","7,8"
08/11/2014 3.00,,,"31,8","30,2","1,1","7,8"
08/11/2014 4.00,"35,6","50,9","29,0","30,2","1,3","7,8"
08/11/2014 5.00,"19,4","22,1",,"30,2","1,3","7,8"
08/11/2014 6.00,"27,0","38,3","30,8","30,2","0,9","7,8"
08/11/2014 7.00,"37,6","57,4","30,1","30,2","1,1","7,8"
08/11/2014 8.00,"35,7","44,1","29,6","30,2","1,4","7,8"
08/11/2014 9.00,"44,9","59,8","27,7","30,2","2,5","7,8"
08/11/2014 10.00,"32,6","42,2","41,0","30,2","2,6","7,8"
08/11/2014 11.00,"27,7","36,7","47,5","30,2","1,9","7,8"
08/11/2014 12.00,"22,1","28,2","56,3","30,2","2,0","7,8"
08/11/2014 13.00,"17,2","22,2","52,0","30,2","1,7","7,8"
08/11/2014 14.00,"14,1","18,1","54,5","30,2","1,9","7,8"
08/11/2014 15.00,"10,8","12,7","56,7","30,2","1,7","7,8"
08/11/2014 16.00,"10,3","11,7","57,3","30,2","1,4","7,8"
08/11/2014 17.00,"29,3","35,8","42,5","30,2","1,3","7,8"
08/11/2014 18.00,"42,8","63,1","25,4","30,2","1,8","7,8"
08/11/2014 19.00,"37,7","53,5","29,6","30,2","1,6","7,8"
08/11/2014 20.00,"28,9","31,1","35,5","30,2","1,9","7,8"
08/11/2014 21.00,"33,0","35,5","28,5","30,2","1,9","7,8"
08/11/2014 22.00,"36,0","40,2","21,2","30,2","1,8","7,8"
08/11/2014 23.00,"31,5","33,8","30,0","30,2","2,6","7,8"
09/11/2014 0.00,"32,9","35,0","23,3","30,2","2,3","7,8"
09/11/2014 1.00,"38,4","44,0","12,2","24,9","2,8","11,5"
09/11/2014 2.00,"23,1","24,8","27,9","24,9","2,7","11,5"
09/11/2014 3.00,"18,1","19,2","31,4","24,9","1,9","11,5"
09/11/2014 4.00,"20,8","22,7","19,7","24,9","2,0","11,5"
09/11/2014 5.00,"27,1","30,2","11,1","24,9","2,0","11,5"
09/11/2014 6.00,"26,5","29,8","19,1","24,9","2,5","11,5"
09/11/2014 7.00,"21,6","24,0","22,9","24,9","1,8","11,5"
09/11/2014 8.00,"20,5","24,6","27,0","24,9","1,9","11,5"
09/11/2014 9.00,"26,2","38,7","26,8","24,9","2,8","11,5"
09/11/2014 10.00,"20,1","31,8","30,5","24,9","3,4","11,5"
09/11/2014 11.00,"20,7","31,6","39,2","24,9","3,1","11,5"
09/11/2014 12.00,"17,0","23,7","51,1","24,9","2,0","11,5"
09/11/2014 13.00,"16,0","21,5","61,4","24,9","1,2","11,5"
09/11/2014 14.00,"14,2","18,3","67,5","24,9","1,8","11,5"
09/11/2014 15.00,"7,4","9,0","74,4","24,9","1,7","11,5"
09/11/2014 16.00,"12,6","14,4","69,7","24,9","1,3","11,5"
09/11/2014 17.00,"32,8","38,8","50,9","24,9","1,5","11,5"
09/11/2014 18.00,"26,9","28,9","48,0","24,9","1,5","11,5"
09/11/2014 19.00,"35,6","38,2","29,2","24,9","2,1","11,5"
09/11/2014 20.00,"23,8","25,9","28,5","24,9","2,4","11,5"
09/11/2014 21.00,"17,9","19,8","36,5","24,9","2,0","11,5"
09/11/2014 22.00,"19,7","21,4","35,1","24,9","1,6","11,5"
09/11/2014 23.00,"20,5","21,5","36,2","24,9","1,5","11,5"
10/11/2014 0.00,"25,5","27,2","29,0","24,9","1,7","11,5"
10/11/2014 1.00,"38,5","43,8","11,9","31,5","2,2","12,4"
10/11/2014 2.00,"29,0","32,8","18,1","31,5","3,0","12,4"
10/11/2014 3.00,,,"19,6","31,5","2,6","12,4"
