Stat,Campi Salentina,,,,,,  ,
Parm,NO2,NOX,CO,O3,PM10,PM2.5,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,ug/m3,,
Field,,,Aver,Aver,Aver,Aver,,
15/01/2014 0.00,,,"0,26","41,98","39,15","24,76",,
15/01/2014 1.00,,,"0,24","41,87","27,45","15,04",,
15/01/2014 2.00,,,"0,15","54,04","27,45","15,04",,
15/01/2014 3.00,,,"0,13","58,02","27,45","15,04",,
15/01/2014 4.00,,,"0,09","57,77","27,45","15,04",,
15/01/2014 5.00,,,"0,12","57,35","27,45","15,04",,
15/01/2014 6.00,,,"0,12","56,76","27,45","15,04",,
15/01/2014 7.00,,,"0,14","48,48","27,45","15,04",,
15/01/2014 8.00,,,"0,22","22,10","27,45","15,04",,
15/01/2014 9.00,,,"0,49","32,09","27,45","15,04",,
15/01/2014 10.00,,,"0,35","36,87","27,45","15,04",,
15/01/2014 11.00,,,"0,30","34,69","27,45","15,04",,
15/01/2014 12.00,,,"0,29","46,47","27,45","15,04",,
15/01/2014 13.00,,,"0,22","63,92","27,45","15,04",,
15/01/2014 14.00,,,"0,21","68,68","27,45","15,04",,
15/01/2014 15.00,,,"0,19","70,41","27,45","15,04",,
15/01/2014 16.00,,,"0,32","62,13","27,45","15,04",,
15/01/2014 17.00,,,"0,27","39,27","27,45","15,04",,
15/01/2014 18.00,,,"0,50","33,29","27,45","15,04",,
15/01/2014 19.00,,,"0,55","29,34","27,45","15,04",,
15/01/2014 20.00,,,"0,98","9,19","27,45","15,04",,
15/01/2014 21.00,,,"0,89","19,89","27,45","15,04",,
15/01/2014 22.00,,,"0,52","29,38","27,45","15,04",,
15/01/2014 23.00,,,"0,49","21,97","27,45","15,04",,
16/01/2014 0.00,,,"0,53","29,16","27,45","15,04",,
16/01/2014 1.00,,,"0,50","30,73","34,92","17,14",,
16/01/2014 2.00,,,"0,45","34,25","34,92","17,14",,
16/01/2014 3.00,,,,"44,52","34,92","17,14",,
16/01/2014 4.00,,,"0,37","42,13","34,92","17,14",,
16/01/2014 5.00,,,"0,34",,"34,92","17,14",,
16/01/2014 6.00,,,"0,36","35,21","34,92","17,14",,
16/01/2014 7.00,,,"0,41","32,04","34,92","17,14",,
16/01/2014 8.00,,,"0,43","27,64","34,92","17,14",,
16/01/2014 9.00,,,"0,49","33,31","34,92","17,14",,
16/01/2014 10.00,,,"0,42","42,11","34,92","17,14",,
16/01/2014 11.00,,,"0,49","52,66","34,92","17,14",,
16/01/2014 12.00,,,"0,40","62,67","34,92","17,14",,
16/01/2014 13.00,,,"0,39","65,25","34,92","17,14",,
16/01/2014 14.00,,,"0,43","67,06","34,92","17,14",,
16/01/2014 15.00,,,"0,44","66,36","34,92","17,14",,
16/01/2014 16.00,,,"0,36","61,47","34,92","17,14",,
16/01/2014 17.00,,,"0,45","50,25","34,92","17,14",,
16/01/2014 18.00,,,"0,92","19,69","34,92","17,14",,
16/01/2014 19.00,,,"1,07","6,31","34,92","17,14",,
16/01/2014 20.00,,,"1,30","5,15","34,92","17,14",,
