,Regione Puglia,,,,,
,Bari Via Caldarola,,,,,
,SO2,NO2,CO,O3,PM10,BENZENE
,,,,,
,,,
,,,,
,,,,,
,,,,
11/01/2008 8.00,"1,19259501","16,82094407","0,82966175","15,11190279","49,18111038","2,49499989"
11/01/2008 9.00,"1,37337399","20,39222196","1,0537841","15,28468043","49,18111038","3,23850012"
11/01/2008 10.00,"1,15685105","23,7694446","1,0946068","18,32937678","49,18111038","3,92050004"
11/01/2008 11.00,"1,21871495","23,64685983","0,8983455","24,89626926","49,18111038","3,99499989"
11/01/2008 12.00,"0,83069199","19,71933183","0,62937545","38,89941642","49,18111038","2,85649991"
11/01/2008 13.00,"0,82931697","18,78726059","0,5895981","43,36306452","49,18111038","2,71600008"
11/01/2008 14.00,"1,06680501","17,20399656","0,66838115","39,55788324","49,18111038","2,35949993"
11/01/2008 15.00,"0,712807","17,35337993","0,6480273","40,8285333","49,18111038","2,59800005"
11/01/2008 16.00,"0,82622403","15,47516193","0,58549605","41,48154576","49,18111038","2,19099998"
11/01/2008 17.00,"0,715213","16,948632","0,6984847","34,03036026","49,18111038","2,18000007"
11/01/2008 18.00,"0,83240998","19,92874356","0,7934816","29,14360686","49,18111038","3,09150004"
11/01/2008 19.00,"0,55574203","18,35824587","0,77618445","33,87253698","49,18111038","2,94149995"
11/01/2008 20.00,"0,426516","16,70091746","0,60457225","41,98764366","49,18111038","2,5710001"
11/01/2008 21.00,"0,409675","16,00249652","0,6159492","45,23640174","49,18111038","2,18300009"
11/01/2008 22.00,"0,47600701","15,15340936","0,50829885","48,84296976","49,18111038","1,94850004"
11/01/2008 23.00,"0,39489701","12,56910158","0,4556346","51,91758072","49,18111038","1,67649996"
12/01/2008 0.00,"0,535465","9,9426688","0,3683772","56,57713452","49,18111038","1,43700004"
12/01/2008 1.00,,"8,43601037","0,3308044","57,25055178","25,79528046","1,22150004"
12/01/2008 2.00,"0,60387999",,"0,32395615","53,79909948","25,79528046","1,08449996"
12/01/2008 3.00,"0,56016701","7,45923717",,"51,52714272","25,79528046","1,09749997"
12/01/2008 4.00,"0,48403999","5,90405835","0,2861039","52,17470082","25,79528046","1,00510001"
12/01/2008 5.00,"0,49100199","5,70998053","0,25537245",,"25,79528046","0,91654998"
12/01/2008 6.00,"0,65158802","4,72682133","0,26749345","59,21673084","25,79528046","0,89424998"
12/01/2008 7.00,"0,50709498","6,09175205","0,26939785","58,12713414","25,79528046","0,91399997"
12/01/2008 8.00,"0,57466203","8,60455362","0,3225865","48,31540758","25,79528046","0,93194997"
12/01/2008 9.00,"0,55777001","13,07473131","0,55231625","39,28759812","25,79528046","1,65450001"
12/01/2008 10.00,"0,79254198","12,40438805","0,4812175","50,00684778","25,79528046","1,87899995"
12/01/2008 11.00,"0,64599502","11,2271548","0,45464215","54,7116453","25,79528046","1,88499999"
12/01/2008 12.00,"0,734106","10,9066719","0,41381025","60,3524934","25,79528046","1,78750002"
12/01/2008 13.00,"0,72143698","10,31677337","0,3782994","65,49746562","25,79528046","1,6135"
12/01/2008 14.00,"0,86615801","9,48556323","0,45693525","64,75975362","25,79528046","1,32350004"
12/01/2008 15.00,"0,76378101","10,16482995","0,4236002","63,67694544","25,79528046","1,5345"
12/01/2008 16.00,"0,81685299","10,70876436","0,4348288","56,40579306","25,79528046","1,33099997"
12/01/2008 17.00,"0,73467702","10,17504566","0,44578485","60,26553756","25,79528046","1,30149996"
