Stat,COSTA Morena Diga,,  ,
Parm,PM10,,,
Unit,ug/m3,,,
Field,Aver,,,
27/01/2014 19.00,,,,
27/01/2014 20.00,,,,
27/01/2014 21.00,,,,
27/01/2014 22.00,"2,7",,,
27/01/2014 23.00,,,,
28/01/2014 0.00,"3,6",,,
28/01/2014 1.00,,,,
28/01/2014 2.00,"2,5",,,
28/01/2014 3.00,,,,
28/01/2014 4.00,"3,9",,,
28/01/2014 5.00,,,,
28/01/2014 6.00,"6,9",,,
28/01/2014 7.00,,,,
28/01/2014 8.00,"6,8",,,
28/01/2014 9.00,,,,
28/01/2014 10.00,"4,4",,,
28/01/2014 11.00,,,,
28/01/2014 12.00,"2,8",,,
28/01/2014 13.00,,,,
28/01/2014 14.00,"1,5",,,
28/01/2014 15.00,,,,
28/01/2014 16.00,"2,1",,,
28/01/2014 17.00,,,,
28/01/2014 18.00,"8,0",,,
28/01/2014 19.00,,,,
28/01/2014 20.00,"11,1",,,
28/01/2014 21.00,,,,
28/01/2014 22.00,"5,8",,,
28/01/2014 23.00,,,,
29/01/2014 0.00,"3,0",,,
29/01/2014 1.00,,,,
29/01/2014 2.00,"1,9",,,
29/01/2014 3.00,,,,
29/01/2014 4.00,"4,8",,,
29/01/2014 5.00,,,,
29/01/2014 6.00,"6,8",,,
29/01/2014 7.00,,,,
29/01/2014 8.00,"3,3",,,
29/01/2014 9.00,,,,
29/01/2014 10.00,"1,9",,,
29/01/2014 11.00,,,,
29/01/2014 12.00,"1,0",,,
29/01/2014 13.00,,,,
29/01/2014 14.00,,,,
29/01/2014 15.00,,,,
29/01/2014 16.00,,,,
29/01/2014 17.00,,,,
29/01/2014 18.00,,,,
29/01/2014 19.00,,,,
29/01/2014 20.00,,,,
29/01/2014 21.00,,,,
29/01/2014 22.00,,,,
29/01/2014 23.00,,,,
30/01/2014 0.00,"3,6",,,
30/01/2014 1.00,,,,
30/01/2014 2.00,"7,8",,,
30/01/2014 3.00,,,,
30/01/2014 4.00,"7,6",,,
30/01/2014 5.00,,,,
30/01/2014 6.00,"6,1",,,
30/01/2014 7.00,,,,
30/01/2014 8.00,"3,9",,,
30/01/2014 9.00,,,,
30/01/2014 10.00,"3,0",,,
30/01/2014 11.00,,,,
30/01/2014 12.00,"1,9",,,
30/01/2014 13.00,,,,
30/01/2014 14.00,"1,5",,,
30/01/2014 15.00,,,,
30/01/2014 16.00,"1,5",,,
30/01/2014 17.00,,,,
30/01/2014 18.00,"1,1",,,
30/01/2014 19.00,,,,
30/01/2014 20.00,"14,3",,,
30/01/2014 21.00,,,,
30/01/2014 22.00,"26,3",,,
30/01/2014 23.00,,,,
31/01/2014 0.00,"32,4",,,
31/01/2014 1.00,,,,
31/01/2014 2.00,"42,6",,,
31/01/2014 3.00,,,,
31/01/2014 4.00,"47,7",,,
31/01/2014 5.00,,,,
31/01/2014 6.00,"36,0",,,
31/01/2014 7.00,,,,
31/01/2014 8.00,"21,4",,,
31/01/2014 9.00,,,,
31/01/2014 10.00,"16,2",,,
31/01/2014 11.00,,,,
31/01/2014 12.00,"12,1",,,
31/01/2014 13.00,,,,
31/01/2014 14.00,"9,4",,,
31/01/2014 15.00,,,,
31/01/2014 16.00,"13,4",,,
31/01/2014 17.00,,,,
31/01/2014 18.00,"18,0",,,
31/01/2014 19.00,,,,
31/01/2014 20.00,"25,7",,,
31/01/2014 21.00,,,,
31/01/2014 22.00,"27,9",,,
31/01/2014 23.00,,,,
01/02/2014 0.00,"43,2",,,
01/02/2014 1.00,,,,
01/02/2014 2.00,"56,4",,,
01/02/2014 3.00,,,,
01/02/2014 4.00,"41,1",,,
01/02/2014 5.00,,,,
01/02/2014 6.00,"24,5",,,
01/02/2014 7.00,,,,
01/02/2014 8.00,"17,5",,,
01/02/2014 9.00,,,,
01/02/2014 10.00,"59,1",,,
01/02/2014 11.00,,,,
01/02/2014 12.00,"96,4",,,
01/02/2014 13.00,,,,
01/02/2014 14.00,"84,5",,,
01/02/2014 15.00,,,,
01/02/2014 16.00,"108,6",,,
01/02/2014 17.00,,,,
01/02/2014 18.00,"99,7",,,
01/02/2014 19.00,,,,
01/02/2014 20.00,"55,2",,,
01/02/2014 21.00,,,,
01/02/2014 22.00,"38,8",,,
01/02/2014 23.00,,,,
02/02/2014 0.00,"25,2",,,
02/02/2014 1.00,,,,
02/02/2014 2.00,"13,0",,,
02/02/2014 3.00,,,,
02/02/2014 4.00,"30,1",,,
02/02/2014 5.00,,,,
02/02/2014 6.00,"51,8",,,
02/02/2014 7.00,,,,
02/02/2014 8.00,"44,7",,,
02/02/2014 9.00,,,,
02/02/2014 10.00,"46,4",,,
02/02/2014 11.00,,,,
02/02/2014 12.00,"42,2",,,
02/02/2014 13.00,,,,
02/02/2014 14.00,"25,6",,,
02/02/2014 15.00,,,,
02/02/2014 16.00,"16,1",,,
02/02/2014 17.00,,,,
02/02/2014 18.00,"11,7",,,
02/02/2014 19.00,,,,
02/02/2014 20.00,"22,8",,,
02/02/2014 21.00,,,,
02/02/2014 22.00,"31,2",,,
02/02/2014 23.00,,,,
03/02/2014 0.00,"22,5",,,
03/02/2014 1.00,,,,
03/02/2014 2.00,"15,6",,,
03/02/2014 3.00,,,,
03/02/2014 4.00,"14,7",,,
03/02/2014 5.00,,,,
03/02/2014 6.00,"10,6",,,
03/02/2014 7.00,,,,
03/02/2014 8.00,"7,5",,,
03/02/2014 9.00,,,,
03/02/2014 10.00,"12,4",,,
03/02/2014 11.00,,,,
03/02/2014 12.00,"20,1",,,
03/02/2014 13.00,,,,
03/02/2014 14.00,"19,2",,,
03/02/2014 15.00,,,,
03/02/2014 16.00,"11,4",,,
03/02/2014 17.00,,,,
