Stat,Mesagne2_Via_Antonucci,,,,,
Parm,NOX,NO,NO2,CO,O3,BENZENE
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver,Aver
14/01/2014 9.00,"72,358838","35,667042","19,964721","1,1","17,0","1,0"
14/01/2014 10.00,"33,16882","16,247288","9,842508","0,8","33,5","1,1"
14/01/2014 11.00,"29,755175","13,077763","10,903088","0,7","44,8","1,0"
14/01/2014 12.00,"23,244374","10,360369","8,653545","0,6","60,8","0,6"
14/01/2014 13.00,"21,368301","9,166406","9,000715","0,5","70,9","0,4"
14/01/2014 14.00,"19,978583","9,32374","7,320401","0,5","77,1","0,3"
14/01/2014 15.00,"16,007909","6,40333","6,531564","0,5","81,6","0,3"
14/01/2014 16.00,"18,46438","8,70244","6,533491","0,5","79,4","0,3"
14/01/2014 17.00,"24,805924","10,53166","9,932289","0,6","63,9","0,3"
14/01/2014 18.00,"23,614002","9,429899","9,535257","0,6","52,8","0,4"
14/01/2014 19.00,"24,346795","9,728071","9,940388","0,5","52,5","0,3"
14/01/2014 20.00,"18,806131","8,279499","6,710546","0,5","56,1","0,3"
14/01/2014 21.00,"18,632986","7,935647","6,653481","0,5","53,5","0,3"
14/01/2014 22.00,"20,55769","8,433026","7,782496","0,5","43,0","0,4"
