, Brindisi,,,,,,
,Filzi,,,,,,
Parm,SO2,NO2,NOX,CO,O3,,Benzene
,,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
10/01/2010 3.00,"0,87233073","23,07770616","27,39662736","0,58603694","45,1195584",,"0,71532831"
10/01/2010 4.00,"1,02494379","22,12314016","23,96418584","0,5680575","41,0177985",,"0,55412872"
10/01/2010 5.00,"0,85246466","18,25427126","19,75616064","0,4479192","45,2264904",,"0,46940347"
10/01/2010 6.00,"0,87413693","17,02603496","18,95722953","0,31398964","49,5014961",,"0,506705"
10/01/2010 7.00,"1,03758611","16,41580678","27,86808832","0,24703476",,,"0,32085842"
10/01/2010 8.00,"0,97888894","10,69615055","11,78949907","0,17115015","63,65879415",,"0,24592484"
10/01/2010 9.00,"1,16672071","14,73687384","18,71858516","0,17237573","69,70049205",,"0,26870157"
10/01/2010 10.00,"0,84614298","15,51246517","19,84046072","0,48304628","63,6012783",,"0,31425605"
10/01/2010 11.00,"0,82266452","16,55393539","23,92592672","0,39416144","59,66931285",,"1,69913851"
10/01/2010 12.00,"1,44937043","25,39669448","38,86189712","0,97435008","50,2423992",,"0,73535405"
10/01/2010 13.00,"1,27598719","15,40351941","25,64961384","0,66976433","69,72890085",,"1,48490339"
10/01/2010 14.00,"0,84433679","16,31788561","25,62301792","0,59265531","74,13721245",,"0,80599589"
10/01/2010 15.00,"0,77390039","16,80425252","24,92848392","0,69663272","74,6473938",,"1,54333106"
10/01/2010 16.00,"0,87142764","16,49427526","22,85463312","0,54863695","77,04201225",,"1,23787816"
10/01/2010 17.00,"0,79828195","14,00084179","18,88006121","0,63645465","77,31536715",,"1,02595265"
10/01/2010 18.00,"0,77570658","19,0810908","23,84680816","0,72160566","69,63214335",,"1,21752189"
10/01/2010 19.00,"0,96082804","30,59498272","37,84505728","1,18803555","50,23834935",,"1,56654815"
10/01/2010 20.00,"0,82176143","41,20553112","51,41465512","1,7187746","32,5402056",,"2,59800278"
10/01/2010 21.00,"0,65921533","42,83646712","52,01966928","1,76944977","27,1467231",,"3,03208482"
10/01/2010 22.00,"0,87504002","35,43723744","45,26310104","1,43204829","35,7596169",,"2,97200758"
10/01/2010 23.00,"0,6637298","33,5702268","45,06920512","1,23825753","37,48371585",,"1,64874311"
11/01/2010 0.00,"0,64928128","36,638222","45,77993376","1,20909642","36,05194425",,"1,54465113"
11/01/2010 1.00,"0,64928128","29,8349436","37,0033184","1,04087042","41,72013825",,"1,98346527"
11/01/2010 2.00,"0,65018437","27,5094736","31,292748","0,88748069","40,5779808",,"0,76275305"
11/01/2010 3.00,"0,66734218","23,72424896","28,11255664","0,81126057","41,55774525",,"0,75637036"
11/01/2010 4.00,"0,65018437","14,69991106","16,63759113","0,60917151","49,97445075",,"0,49680145"
11/01/2010 5.00,"0,65018437","8,58467542","9,51849622","0,5788454","53,87391765",,"0,42406968"
11/01/2010 6.00,"0,64928128","12,35044163","14,26672069","0,72405566","44,6953017",,"0,39678153"
11/01/2010 7.00,"0,69623922","25,76309104","29,01461912","1,04958229","26,7515535",,"1,21972268"
11/01/2010 8.00,"1,00959217","26,33959728","29,17413728","0,91592999","27,00122775",,"0,83669505"
11/01/2010 9.00,"0,78744581","50,41014768","73,77383168","1,83468511","5,4740027",,"1,49458625"
11/01/2010 10.00,"0,72513626","59,5207512","103,9213682","2,78463659","4,00569866",,"1,94737397"
11/01/2010 11.00,,"69,0502548","151,4120257","2,81612771","5,86239329",,"2,63607417"
11/01/2010 12.00,,"64,32604696","123,4032333","2,41631602","11,59148865",,"3,75676647"
11/01/2010 13.00,,"41,85465512","76,10838368","1,6633171","32,8331514",,"3,6115226"
11/01/2010 14.00,,"23,16135616","39,8021996","1,13297532","55,0018707",,"1,28079048"
11/01/2010 15.00,,"19,83007856","32,10919112","0,98304331","63,8908725",,"0,93187405"
11/01/2010 16.00,,"28,34213048","47,7189312","1,24764161","56,64138165",,"1,16569557"
11/01/2010 17.00,,"23,75667648","34,16942848","1,0615946","59,603019",,"1,5073496"
11/01/2010 18.00,,"28,85898232","43,16395448","1,27383896","50,46230805",,"1,36419668"
11/01/2010 19.00,,"34,43466112","47,57302648","2,13788801","44,72373045",,"0,01760529"
11/01/2010 20.00,,"38,45397192","48,61124248","3,14145745","33,4340454",,"0,02052306"
11/01/2010 21.00,,"41,30214448","47,81812576","3,66881684","34,5294999",,"0,02269842"
11/01/2010 22.00,,"34,5105484","40,25549656","3,20764227","34,3921641",,"3,16489586"
11/01/2010 23.00,,"46,70081032","59,28209536","3,01379209","21,1794387",,"2,91875135"
12/01/2010 0.00,,"46,37072264","62,09587104","2,84645382","15,37524954",,"2,69142134"
12/01/2010 1.00,,"31,71296736","35,58897376","2,46124191","30,1015974",,"2,10835389"
12/01/2010 2.00,,"26,92778584","28,57040416","2,8910442","27,68395665",,"2,29354043"
12/01/2010 3.00,,"16,97804567","17,97671769","2,29418091","38,3193615",,"2,16546047"
12/01/2010 4.00,,"10,52495007","11,45877087","1,97914511","49,57321635",,"0,8465986"
12/01/2010 5.00,,"7,75980038","8,69362118","1,78102637","48,8600238",,"0,50626463"
12/01/2010 6.00,,"6,96410437","7,89792708","1,82794791","49,14895965",,"0,39458075"
12/01/2010 7.00,,"6,59965614","7,53347694","1,66432483",,,"0,46544225"
12/01/2010 8.00,,"8,92383362","9,85765634","1,56491072","58,8424851",,"0,38060615"
12/01/2010 9.00,,"15,07603396","18,26529394","1,59608612","53,26424565",,"0,32316904"
12/01/2010 10.00,,"20,954564","25,47776328","1,76889639","40,2234294",,"0,49438099"
