Stat,TA -S.VITO Colonia Marina,,,,,
Parm,SO2,NOX,NO2,PM10,CO,IPA TOT
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,mg/m3 293K,ng/m3
10/01/2014 13.00,"0,2","20,9","7,4","34,7","0,4","8,8"
10/01/2014 14.00,"0,3","17,9","5,3","34,7","0,3","8,7"
10/01/2014 15.00,"0,2","15,5","3,7","34,7","0,3","6,1"
10/01/2014 16.00,"0,4","17,2","5,1","34,7","0,3","14,2"
10/01/2014 17.00,"0,4","55,1","30,7","34,7","0,4","56,2"
10/01/2014 18.00,"0,6","98,7","51,9","34,7","0,6","96,5"
10/01/2014 19.00,"0,6","147,8","57,9","34,7","0,7","122,1"
10/01/2014 20.00,"0,7","200,9","68,6","34,7","0,9","184,3"
10/01/2014 21.00,"0,6","100,9","46,3","34,7","0,6","53,5"
10/01/2014 22.00,"0,7","161,6","62,1","34,7","0,7","138,6"
10/01/2014 23.00,"0,6","148,5","54,2","34,7","0,9","122,8"
11/01/2014 0.00,"0,6","112,6","43,4","34,7","0,7","81,5"
11/01/2014 1.00,"0,4","53,8","30,5","33,8","0,5","26,8"
11/01/2014 2.00,"0,5","24,5","12,1","33,8","0,4","12,7"
11/01/2014 3.00,"0,3","25,5","10,7","33,8","0,3","11,8"
11/01/2014 4.00,"0,5","20,5","5,5","33,8","0,3","6,6"
11/01/2014 5.00,"0,5","19,6","3,2","33,8","0,3","4,8"
11/01/2014 6.00,"0,5","27,7","8,2","33,8","0,3","9,1"
11/01/2014 7.00,"0,6","55,1","20,9","33,8","0,4","27,1"
11/01/2014 8.00,"0,6","62,5","27,9","33,8","0,4","44,3"
11/01/2014 9.00,"0,5","64,4","28,4","33,8","0,5","43,4"
11/01/2014 10.00,"0,7","73,5","34,4","33,8","0,5","38,3"
11/01/2014 11.00,"0,6","99,6","45,5","33,8","0,6","43,3"
11/01/2014 12.00,"0,5","66,2","40,6","33,8","0,4","20,4"
11/01/2014 13.00,"0,5","51,4","30,6","33,8","0,4","15,0"
11/01/2014 14.00,"0,3","39,9","21,6","33,8","0,4","11,3"
11/01/2014 15.00,"0,2","39,4","23,3","33,8","0,3","6,5"
11/01/2014 16.00,"0,3","30,3","17,1","33,8","0,3","7,7"
11/01/2014 17.00,"0,4","57,8","28,1","33,8","0,4","44,6"
11/01/2014 18.00,"0,7","142,9","56,8","33,8","0,7","119,7"
11/01/2014 19.00,"0,6","152,2","52,3","33,8","0,6","125,1"
11/01/2014 20.00,"0,6","119,8","61,5","33,8","0,6","85,3"
11/01/2014 21.00,"0,7","144,4","65,4","33,8","0,8","115,2"
11/01/2014 22.00,"0,5","71,3","41,8","33,8","0,6","49,2"
11/01/2014 23.00,"0,5","59,1","33,6","33,8","0,7","44,0"
12/01/2014 0.00,"0,5","54,7","31,1","33,8","0,7","43,8"
12/01/2014 1.00,,"68,5","32,9","36,5","0,8","55,5"
12/01/2014 2.00,"0,6",,,"36,5","0,8","55,9"
12/01/2014 3.00,"0,6","52,9","27,8","36,5",,"37,0"
12/01/2014 4.00,"0,8","40,1","19,2","36,5","0,6","29,7"
12/01/2014 5.00,"0,7","40,2","18,5","36,5","0,5","23,8"
12/01/2014 6.00,"0,8","50,4","22,5","36,5","0,6","55,4"
12/01/2014 7.00,"0,8","37,8","16,1","36,5","0,5","23,8"
12/01/2014 8.00,"0,9","50,4","20,0","36,5","0,4","18,5"
12/01/2014 9.00,"0,8","43,3","17,2","36,5","0,4","22,9"
12/01/2014 10.00,"0,8","47,1","23,3","36,5","0,4","16,4"
12/01/2014 11.00,"0,7","22,0","7,2","36,5","0,4","5,6"
12/01/2014 12.00,"0,4","32,1","15,2","36,5","0,4","7,5"
12/01/2014 13.00,"0,5","23,3","9,6","36,5","0,3","4,8"
12/01/2014 14.00,"0,4","15,2","3,5","36,5","0,3","4,4"
12/01/2014 15.00,"0,5","15,8","3,8","36,5","0,3","2,9"
12/01/2014 16.00,"0,3","17,7","5,4","36,5","0,3","6,1"
12/01/2014 17.00,"0,5","15,7","3,5","36,5","0,3","3,9"
12/01/2014 18.00,"0,5","14,3","2,3","36,5","0,3","3,9"
12/01/2014 19.00,"0,4","32,8","18,1","36,5","0,3","12,0"
12/01/2014 20.00,"0,6","56,0","35,4","36,5","0,6","41,2"
12/01/2014 21.00,"0,6","43,6","23,7","36,5","0,5","33,3"
12/01/2014 22.00,"0,5","58,2","29,4","36,5","0,6","48,9"
12/01/2014 23.00,"0,5","51,0","26,8","36,5","0,6","49,0"
13/01/2014 0.00,"0,5","58,3","30,0","36,5","0,6","33,6"
13/01/2014 1.00,"0,6","49,9","25,9","34,7","0,6","27,8"
13/01/2014 2.00,"0,5","45,2","23,0","34,7","0,5","23,3"
13/01/2014 3.00,"0,7","51,6","27,2","34,7","0,6","19,9"
13/01/2014 4.00,"0,6","29,5","14,4","34,7","0,5","9,5"
13/01/2014 5.00,"0,6","39,6","17,8","34,7","0,5","10,7"
13/01/2014 6.00,"0,7","38,7","17,7","34,7","0,4","10,3"
13/01/2014 7.00,"0,5","70,5","29,1","34,7","0,5","40,3"
13/01/2014 8.00,"0,8","79,5","33,1","34,7","0,5","55,6"
13/01/2014 9.00,"0,7","52,2","30,2","34,7","0,3","8,2"
13/01/2014 10.00,"0,7","70,1","38,5","34,7","0,3","15,0"
13/01/2014 11.00,"0,6","50,7","26,6","34,7","0,4","13,8"
13/01/2014 12.00,"1,2","35,1","14,4","34,7",,"7,6"
13/01/2014 13.00,"0,4","28,2","10,8","34,7",,"6,5"
13/01/2014 14.00,"0,5","27,5","13,5","34,7","0,3","8,8"
13/01/2014 15.00,"0,4","20,7","8,8","34,7","0,3","5,7"
13/01/2014 16.00,"0,3","17,1","6,2","34,7","0,3","4,6"
13/01/2014 17.00,"0,3","30,8","17,5","34,7","0,3","15,7"
13/01/2014 18.00,"0,4","104,6","54,7","34,7","0,6","100,2"
