"NetC","SIMAGE Brindisi","","","","","","","","","","","","",""
"Stat","Francavilla F.na Via F.Filzi","","","","","","","","","","","","",""
,NOX,NO2,CO,O3,SO2,Benzene
19/01/2011 0.00,,,"0,1","35,1","6,9","1,3"
19/01/2011 1.00,,,"0,1","38,3","6,9","0,8"
19/01/2011 2.00,,,"0,1",42,"6,3","0,6"
19/01/2011 3.00,,,"0,1",45,"5,3","0,6"
19/01/2011 4.00,,,"0,1","44,9","4,8","0,5"
19/01/2011 5.00,,,"0,1",44,"3,3","0,5"
19/01/2011 6.00,,,"0,1","40,4","2,1","0,6"
19/01/2011 7.00,,,"0,3","42,3","1,8","0,6"
19/01/2011 8.00,,,"0,2","39,1","1,5","0,6"
19/01/2011 9.00,,,"0,7","29,2","2,1","0,9"
19/01/2011 10.00,,,"0,6","29,4","2,3","1,7"
19/01/2011 11.00,,,"0,3","48,3",2,1
19/01/2011 12.00,,,"0,2","56,4",2,"0,8"
19/01/2011 13.00,,,"0,1","63,7","1,5",1
19/01/2011 14.00,,,"0,2","65,5","1,3","0,8"
19/01/2011 15.00,,,"0,2","63,8","1,2","0,9"
19/01/2011 16.00,,,"0,3","60,2","1,2","1,1"
19/01/2011 17.00,,,"0,6","55,9","1,7","1,1"
19/01/2011 18.00,,,"0,6","41,9","2,8","2,9"
19/01/2011 19.00,,,"0,6","36,3","3,5","1,9"
19/01/2011 20.00,,,"0,9","30,2","4,6","2,2"
19/01/2011 21.00,,,"1,2","21,5","6,1","2,8"
19/01/2011 22.00,,,"0,7","26,8","7,4","2,9"
19/01/2011 23.00,,,"0,4","33,6","7,8","1,8"
