,Foggia,,,
,manfredonia - viale Michelangelo - Zona 167,,,
Parm,SO2,NO2,CO,PM10



13/01/2010 17.00,"3,27259616","24,30652944","0,77946422","31,39999962"
13/01/2010 18.00,"3,76565302","40,83622832","1,68891215","31,39999962"
13/01/2010 19.00,"3,86859884","37,1113464","1,05989021","31,39999962"
13/01/2010 20.00,"3,85956788","41,11138424","0,99874984","31,39999962"
13/01/2010 21.00,"3,81622233","39,89137528","0,81848706","31,39999962"
13/01/2010 22.00,"4,17201774","22,00021768","0,52854303","31,39999962"
13/01/2010 23.00,"4,40138887","11,99103343","0,3538105","31,39999962"
14/01/2010 0.00,"4,36887945","10,0520207","0,52096004","31,39999962"
14/01/2010 1.00,,"8,78270126","0,55603237","33,59999084"
14/01/2010 2.00,"4,43389829",,"0,76433786","33,59999084"
14/01/2010 3.00,"4,52781316","4,84495638",,"33,59999084"
14/01/2010 4.00,"4,66868698","3,44325579",,"33,59999084"
14/01/2010 5.00,"4,22800563","2,73202047",,"33,59999084"
14/01/2010 6.00,"4,50794708","8,76323327",,"33,59999084"
14/01/2010 7.00,"4,44473443","13,56535894",,"33,59999084"
14/01/2010 8.00,"4,49710993","15,64454422",,"33,59999084"
14/01/2010 9.00,"4,28399453","25,211154",,"33,59999084"
14/01/2010 10.00,"4,4320921","27,31370392",,"33,59999084"
14/01/2010 11.00,"4,08893901","22,23772632",,"33,59999084"
14/01/2010 12.00,"3,63380914","16,49594634",,"33,59999084"
14/01/2010 13.00,"3,69702179","12,32718215",,"33,59999084"
14/01/2010 14.00,"3,86137408","12,21427473",,"33,59999084"
14/01/2010 15.00,"3,97876842","13,2123349",,"33,59999084"
14/01/2010 16.00,,"95,53504936",,"33,59999084"
14/01/2010 17.00,"4,44654062","72,39554736",,"33,59999084"
14/01/2010 18.00,"5,21231315","54,57811648","2,79370961","33,59999084"
14/01/2010 19.00,"4,79872365","35,28523344","1,97293216","33,59999084"
14/01/2010 20.00,"4,89083334","38,18988648","2,05457187","33,59999084"
14/01/2010 21.00,"5,25565972","46,23019064","2,07728238","33,59999084"
14/01/2010 22.00,"4,68132931","40,33006456","1,59277752","33,59999084"
14/01/2010 23.00,"4,65785085","34,32611688","1,36527748","33,59999084"
15/01/2010 0.00,"4,60366814","25,24230048","1,461729","33,59999084"
15/01/2010 1.00,"4,58741343","16,98394993","1,49190366","33,79999161"
15/01/2010 2.00,"4,6452075","13,0449068","1,43415927","33,79999161"
15/01/2010 3.00,"4,39235791","7,18631892","1,57816376","33,79999161"
15/01/2010 4.00,"4,28941209","7,70027408","1,64278048","33,79999161"
15/01/2010 5.00,"4,18827245","11,16299403","1,52219716","33,79999161"
15/01/2010 6.00,"4,26412743","12,51538222","1,52748975","33,79999161"
15/01/2010 7.00,"4,53503793","22,26627248","1,54123559","33,79999161"
15/01/2010 8.00,"4,71564492","36,19373936","1,27680505","33,79999161"
15/01/2010 9.00,"4,96849451","42,95956168","1,65466931","33,79999161"
15/01/2010 10.00,"5,07866409","45,1231044","2,07546498","33,79999161"
15/01/2010 11.00,"4,88902715","35,76805168","2,06574888","33,79999161"
15/01/2010 12.00,"4,44654062","21,58879352","1,9536584","33,79999161"
15/01/2010 13.00,"4,40500024","22,25719048","1,75562238","33,79999161"
15/01/2010 14.00,"4,03295113","24,46358112","1,64763853","33,79999161"
15/01/2010 15.00,"4,08532663","14,35446046","1,80526886","33,79999161"
15/01/2010 16.00,"4,17021155","21,97425272","1,63950217","33,79999161"
15/01/2010 17.00,"4,69036027","45,19707968","1,95290814","33,79999161"
15/01/2010 18.00,"5,15993765","46,99462736","2,37129459","33,79999161"
15/01/2010 19.00,"4,74995952","53,7383852","2,26876061","33,79999161"
15/01/2010 20.00,"4,89805811","45,4540716","2,26552308","33,79999161"
15/01/2010 21.00,"3,70605275","14,26880286","1,53629715","33,79999161"
15/01/2010 22.00,"3,82705948","21,04498248","1,58440466","33,79999161"
15/01/2010 23.00,"3,92097434","15,01248673","1,3930837","33,79999161"
16/01/2010 0.00,"3,58685222","6,29987174","1,43234304","33,79999161"
16/01/2010 1.00,,"9,16687177","1,62864088","34,90000153"
16/01/2010 2.00,"3,58323983",,"1,71399227","34,90000153"
16/01/2010 3.00,"3,63742152","6,19474425",,"34,90000153"
16/01/2010 4.00,"3,63380914","5,94944612","1,80858678","34,90000153"
16/01/2010 5.00,"4,2352304","8,47640268","1,78007107","34,90000153"
16/01/2010 6.00,"4,13228457","8,88393592","1,78698302","34,90000153"
16/01/2010 7.00,"4,13409076","10,68278185","1,72639486","34,90000153"
16/01/2010 8.00,"4,46098914","33,22551232","1,25764896","34,90000153"
16/01/2010 9.00,"4,63978994","34,09508992","1,50679353","34,90000153"
16/01/2010 10.00,"4,78427513","27,72254688","1,53625871","34,90000153"
16/01/2010 11.00,"4,37249183","28,85297864","1,54467117","34,90000153"
16/01/2010 12.00,"4,49710993","29,25402064","1,75096238","34,90000153"
16/01/2010 13.00,"4,59102581","29,04765848","2,19032116","34,90000153"
16/01/2010 14.00,"4,17743632","25,33185856","2,21587544","34,90000153"
16/01/2010 15.00,"3,40443903","15,29931158","1,69286267","34,90000153"
16/01/2010 16.00,"3,53628189","7,37580768","2,00713656","34,90000153"
16/01/2010 17.00,"2,93305546","4,45819128","1,68997929","34,90000153"
