,Provincia di Lecce,,,,,,
,Campi Salentina,,,,,,
Parm,NOX,NO2,PM10,PM2.5,CO,O3,BENZENE



07/01/2010 12.00,"8,70918486","6,39445456","25,64101982","11,91697025","0,22147815","62,21952135","1,12800047"
07/01/2010 13.00,"8,74809406","6,68079759","25,64101982","11,91697025","0,21427962","66,1877559","0,83716491"
07/01/2010 14.00,"10,34499454","7,59011994","25,64101982","11,91697025","0,26163803","70,8975918","0,86045116"
07/01/2010 15.00,"6,73697215","5,05358999","25,64101982","11,91697025","0,19268984","75,69442965","0,86997536"
07/01/2010 16.00,"8,0185456","6,24925537","25,64101982","11,91697025","0,20589045","73,95949785","0,53983275"
07/01/2010 17.00,"22,7667576","16,38887817","25,64101982","11,91697025","0,32149107","41,0860674","0,66579024"
07/01/2010 18.00,"42,64614664","28,69269568","25,64101982","11,91697025","0,46452162","15,68453439","1,22461547"
07/01/2010 19.00,"30,7699116","24,79582936","25,64101982","11,91697025","0,31998007","22,06172745","1,66816374"
07/01/2010 20.00,"18,70642675","16,7019892","25,64101982","11,91697025","0,26963343","39,87651885","1,49937632"
07/01/2010 21.00,"14,5715107","12,84812185","25,64101982","11,91697025","0,25891659","50,6349753","1,2034761"
07/01/2010 22.00,"8,9077843","7,88619505","25,64101982","11,91697025","0,23580649","62,46869685","0,98888605"
07/01/2010 23.00,"6,24412165","5,66845669","25,64101982","11,91697025","0,19994313","64,58459385","0,64377015"
08/01/2010 0.00,"5,78531813","4,81186157","25,64101982","11,91697025","0,17982591","64,6327332","0,52006939"
08/01/2010 1.00,"4,2297589","3,12787139","35,11598969","7,61904812","0,15476093","69,7100082","0,25422661"
08/01/2010 2.00,,,"35,11598969","7,61904812","0,17007486","68,8847565","0,14489504"
08/01/2010 3.00,"4,41944078","3,82791195","35,11598969","7,61904812",,"68,4438615","0,07927413"
08/01/2010 4.00,"2,97736831","2,90398958","35,11598969","7,61904812","0,15355982","66,4267968","0,17220047"
08/01/2010 5.00,"4,9439062","4,3576067","35,11598969","7,61904812","0,14127373",,"0,14489504"
08/01/2010 6.00,"3,43779321","3,06703538","35,11598969","7,61904812","0,15352021","69,1786998","0,07927413"
08/01/2010 7.00,"4,3537827","3,15950734","35,11598969","7,61904812","0,16174161","73,9417623","0,07927413"
08/01/2010 8.00,"4,76962358","3,7873527","35,11598969","7,61904812","0,1576944","75,2476095","0,07927413"
08/01/2010 9.00,"12,86436811","10,02687407","35,11598969","7,61904812","0,2179482","72,7963929","0,23027931"
08/01/2010 10.00,"7,5970299","6,24195344","35,11598969","7,61904812","0,18129614","72,96447165","0,48847019"
08/01/2010 11.00,"8,59245726","6,72946755","35,11598969","7,61904812","0,18143827","71,770125","0,42433511"
08/01/2010 12.00,"6,57566245","5,51433419","35,11598969","7,61904812","0,17333569","73,871658","0,43941926"
08/01/2010 13.00,"6,84721616","5,45593024","35,11598969","7,61904812","0,18227357","75,2628114","0,39284574"
08/01/2010 14.00,"5,86151515","4,16292494","35,11598969","7,61904812","0,17041038","78,77490915","0,40803972"
08/01/2010 15.00,"3,99792508","3,00214018","35,11598969","7,61904812","0,16103446","84,48060915","0,37060497"
08/01/2010 16.00,"4,5677833","3,40448043","35,11598969","7,61904812","0,17870634","87,1843728","0,33074772"
08/01/2010 17.00,"5,35083142","3,93093051","35,11598969","7,61904812","0,17678875","87,1446723","0,38811161"
