Comune Lecce,,,,,,
,Via_Romagna,,,,,,
Parm,NOX,NO2,PM10,CO,BENZENE,O3



11/01/2010 8.00,"60,381916","45,91480624",,"0,53436686",,"8,0046981"
11/01/2010 9.00,"151,0936586","71,9358452",,"1,12216645",,"6,69919005"
11/01/2010 10.00,"122,3021125","64,68204224",,"0,87454803",,"9,98999442"
11/01/2010 11.00,"52,45224016","38,42997632",,"0,52778345",,"36,5988735"
11/01/2010 12.00,"31,2116792","24,3234124",,"0,43610261",,"51,36628245"
11/01/2010 13.00,"35,7666368","24,03529312",,"0,41789133",,"51,5311692"
11/01/2010 14.00,"29,37516496","23,21242568",,"0,41718417",,"52,42582695"
11/01/2010 15.00,"32,77064752","28,34161424",,"0,39329352",,"48,34441605"
11/01/2010 16.00,"43,12179488","36,8569548",,"0,58816423",,"40,4221713"
11/01/2010 17.00,"54,93852848","47,98620968",,"0,68272961",,"31,82282355"
11/01/2010 18.00,"75,1142584","64,99612648",,"0,90529471",,"17,4338282"
11/01/2010 19.00,"97,78409672","76,94692952",,"0,94387718",,"8,18714684"
11/01/2010 20.00,"147,2156828","80,07738976",,"1,06586433",,"2,28802161"
11/01/2010 21.00,"95,51956216","63,19209712",,"1,12335125",,"5,56531185"
11/01/2010 22.00,"102,0524455","75,26618592",,"1,22825717",,"4,7841696"
11/01/2010 23.00,"82,6989712","61,80595448",,"1,12963759",,"2,65021386"
12/01/2010 0.00,"79,53954416","57,2867704",,"1,30437361",,"2,1501731"
12/01/2010 1.00,"48,33304648","43,05560144",,"0,87974043",,"4,24358445"
12/01/2010 2.00,,,,"0,7775676",,"14,40115289"
12/01/2010 3.00,"30,22210448","28,26115728",,,,"34,2419406"
12/01/2010 4.00,"15,41843492","14,53097247",,"0,43898948",,"50,6689302"
12/01/2010 5.00,"12,52099203","11,66526878",,"0,34546444",,
12/01/2010 6.00,"15,50144249","14,39858559",,"0,39140505",,"47,7227541"
12/01/2010 7.00,"27,15994088","24,27538296",,"0,47853657",,"36,0988467"
12/01/2010 8.00,"46,55486736","39,20481432",,"0,5207317",,"23,33294145"
12/01/2010 9.00,"94,26278544","60,99478848",,"0,75833345",,"17,34869357"
12/01/2010 10.00,"72,85234328","52,36912552",,"0,71522379",,"24,2722074"
12/01/2010 11.00,"45,91549456","33,07886192",,"0,53146368",,"42,4250316"
12/01/2010 12.00,"34,2738428","25,37598752",,"0,44259748",,"48,2025117"
12/01/2010 13.00,"36,73938592","26,2520468",,"0,44529096",,"54,0165003"
12/01/2010 14.00,"47,92967184","33,40332832",,"0,54758379",,"51,75822015"
12/01/2010 15.00,"33,05987576","25,69267208",,"0,32687803",,"58,4668665"
12/01/2010 16.00,"28,80579048","22,76727384",,"0,34336395",,"61,4035863"
12/01/2010 17.00,"34,84061696","30,84002464",,"0,4260207",,"50,87299875"
12/01/2010 18.00,"68,10800208","61,7073144",,"0,62658593",,"19,03126061"
12/01/2010 19.00,"70,792756","62,7300432",,"0,72823917",,"17,65142085"
12/01/2010 20.00,"69,07817","59,3348092",,"0,77449899",,"19,55021996"
12/01/2010 21.00,"46,75073264","42,60653",,"0,5207317",,"32,95398855"
12/01/2010 22.00,"43,07770416","40,13018408",,"0,44807648",,"36,21912525"
12/01/2010 23.00,"34,89637088","32,98150288",,"0,52429427",,"40,87896645"
13/01/2010 0.00,"23,65551256","22,06121048",,"0,49698551",,"45,80773365"
13/01/2010 1.00,"17,4079952","16,24805937",,"0,47753117",,"43,71837015"
13/01/2010 2.00,"17,87879652","17,03846296",,"0,52013872",,"37,5895107"
13/01/2010 3.00,"15,88275265","14,68542192",,"0,5604617",,"37,38137235"
13/01/2010 4.00,"17,02538488","15,5614812",,"0,59334149",,"32,67560625"
13/01/2010 5.00,"14,46904853","12,89045735",,"0,48365092",,"39,40585845"
13/01/2010 6.00,"20,27559368","18,49467466",,"0,56260763",,"26,1615522"
13/01/2010 7.00,"34,79780728","27,4188448",,"0,66165826",,"17,4770778"
13/01/2010 8.00,"62,94994232","43,21523432",,"0,78002459",,"8,70070173"
13/01/2010 9.00,"148,2804947","62,40945816",,"1,49547672",,"5,13960279"
13/01/2010 10.00,"182,5491751","73,55039536",,"1,50045476",,"6,3261849"
13/01/2010 11.00,"161,900034","75,43750112",,"1,08101049",,"11,32658856"
13/01/2010 12.00,"65,59576792","45,8914416",,"0,65316424",,"33,6108024"
13/01/2010 13.00,"24,09777728","19,55371808",,"0,42579236",,"61,8117234"
13/01/2010 14.00,"16,05265679","13,45762921",,"0,37930303",,"69,0636681"
13/01/2010 15.00,"25,752728","21,76010872",,"0,39875737",,"58,6249902"
13/01/2010 16.00,"26,8720128","23,61218664",,"0,46775915",,"52,3352739"
13/01/2010 17.00,"39,130992","34,13921888",,"0,54644209",,"39,7613076"
13/01/2010 18.00,"60,51810776","53,67999272",,"0,72408362",,"19,66779927"
13/01/2010 19.00,"71,66172176","63,34004768",,"0,80582584",,"11,85364961"
13/01/2010 20.00,"100,7476585","68,770338",,"1,14777431",,"4,92877518"
13/01/2010 21.00,"73,61368256","61,34261952",,"0,9901801",,"18,61500785"
13/01/2010 22.00,"71,89905832","65,54251872",,"1,11599078",,"9,83187272"
13/01/2010 23.00,"51,4756288","48,88045208",,"0,90053801",,"22,32746145"
14/01/2010 0.00,"32,46715576","31,07623312",,"0,71595541",,"24,20599335"
14/01/2010 1.00,"40,12968696","38,73237824",,"0,75554794",,"20,5678515"
14/01/2010 2.00,,,,"0,63982965",,"42,8466948"
14/01/2010 3.00,"22,05115336","20,3558212",,,,"58,61822715"
14/01/2010 4.00,"18,07593519","16,64131379",,"0,50696373",,"57,87357345"
14/01/2010 5.00,"14,61301257","13,27203519",,"0,41815112",,
14/01/2010 6.00,"19,6374828","18,32724465",,"0,50017528",,"41,22086955"
14/01/2010 7.00,"35,66289168","32,96333888",,"0,55095297",,"27,09946155"
14/01/2010 8.00,"80,45003856","62,15638584",,"0,66776053",,"9,67915946"
14/01/2010 9.00,"136,703698","82,17605832",,"1,08276265",,"6,93704592"
14/01/2010 10.00,"78,4371232","54,02522344",,"0,84620707",,"21,40170165"
14/01/2010 11.00,"57,8774828","43,92387888",,"0,74171007",,"31,70659485"
14/01/2010 12.00,"50,58199824","38,25346048",,"0,74885967",,"36,820518"
14/01/2010 13.00,"51,5767736","38,5013704",,"0,75460778",,"38,7423015"
14/01/2010 14.00,"63,54916312","43,60331296",,"0,81149473",,"49,48236405"
14/01/2010 15.00,"32,57998288","26,39741616",,"0,57439626",,"65,97016125"
14/01/2010 16.00,"41,63544432","34,55712472",,"0,62539996",,"61,537371"
14/01/2010 17.00,"57,78280056","51,21531",,"0,78366288",,"44,1643524"
