,Comune Lecce,,,,,
,SAN PIETRO IN LAMA,,,,,
Parm,NOX,NO2,PM10,CO,BENZENE,O3



09/01/2010 14.00,"11,51972926","7,39397742","74,72527313",,"0,39362985","78,138165"
09/01/2010 15.00,"10,03469415","6,1791691",,,"0,00022069","86,34984435"
09/01/2010 16.00,"8,6196937","4,91893548","54,70085144",,,"85,4296107"
09/01/2010 17.00,"12,58973417","9,1136589",,,,"81,17489415"
09/01/2010 18.00,"24,39478736","15,47192694","41,5140419",,"1,24212515","72,57213495"
09/01/2010 19.00,"33,58123992","25,54860288",,,"0,52601477","56,7996849"
09/01/2010 20.00,"45,34481992","34,0652436","31,74603081",,"0,72249917","49,11715935"
09/01/2010 21.00,"63,35329784","47,9278172",,,"1,12163608","39,1367529"
09/01/2010 22.00,"81,6640056","67,18305296","39,56044006",,"2,18622049","22,2667935"
09/01/2010 23.00,"53,40680616","45,71624504",,,"1,70404045","29,86544925"
10/01/2010 0.00,"31,23244352","24,5284744","42,97924042",,"1,43023964","44,4442908"
10/01/2010 1.00,"24,80334352","20,0923476",,,"0,36763736","46,77056055"
10/01/2010 2.00,,,"28,81562042",,"0,2456055",
10/01/2010 3.00,"36,72642256","32,9296112",,,"0,60751614","39,1313265"
10/01/2010 4.00,"23,30142928","21,68353312","18,07081032",,"0,44693591","46,94244975"
10/01/2010 5.00,"21,17440576","18,4804035",,,"0,076215","41,69308605"
10/01/2010 6.00,"25,42199024","21,93272408","18,07081032",,,"37,4018211"
10/01/2010 7.00,"17,96958402","15,50048075",,,,"60,2126511"
10/01/2010 8.00,"17,01501037","15,39016791","10,7448101",,,"71,566635"
10/01/2010 9.00,"9,80512796","7,44589204",,,,"69,52592955"
10/01/2010 10.00,"18,07723153","13,26944061","8,30280876",,,"63,9314508"
10/01/2010 11.00,"8,45108589","4,81121149",,,"0,01277555","80,30204175"
10/01/2010 12.00,"7,98028457","5,02795581","3,41880298",,,"82,65945345"
10/01/2010 13.00,"10,70263414","7,04874287",,,,"82,3333308"
10/01/2010 14.00,"10,57682837","6,76840352","1,46520102",,,"81,3711423"
10/01/2010 15.00,"6,85061952","4,44780721",,,"0,00022069","80,47393095"
10/01/2010 16.00,"8,09052858","5,75346803",,,"0,00022069","81,76086555"
10/01/2010 17.00,"21,86050784","16,80484524",,,"0,0392084","66,59878575"
10/01/2010 18.00,"37,66672504","31,9860392","3,90720391",,"0,32754722","50,57462655"
10/01/2010 19.00,"82,31638","64,46399776",,,"1,39874112","24,0707124"
10/01/2010 20.00,"87,35513096","69,6918264","38,58362961",,"3,03119189","21,1611645"
10/01/2010 21.00,"66,00562424","53,71242024",,,"3,14154961","27,7949385"
10/01/2010 22.00,"33,68760448","29,176164","37,6068306",,"2,68293855","39,4872345"
10/01/2010 23.00,"20,7930956","18,19097258",,,"0,64364099","46,9897911"
