 Brindisi,,,,
,Casale,,,,
Parm,SO2,NO2,NOX,PM10



16/01/2010 3.00,"0,09491763","4,1090639","8,14370321",
16/01/2010 4.00,"0,22272402","3,54578679","7,44982311","17,09399986"
16/01/2010 5.00,"0,0347336","5,24989312","8,92707638",
16/01/2010 6.00,"0,22727306","4,29855266","8,07885582","26,86202049"
16/01/2010 7.00,"0,30337822","4,68531776","9,30449562",
16/01/2010 8.00,"0,44372625","6,15840286","11,33166685","23,44322014"
16/01/2010 9.00,"0,33860405","5,84172213","11,5923604",
16/01/2010 10.00,"0,23022338","5,55229695","10,86086553","19,04759979"
16/01/2010 11.00,"0,37579574","4,37512635","10,18773637",
16/01/2010 12.00,"0,2245058","3,7936795","8,7623614","21,97801971"
16/01/2010 13.00,"0,22260096","3,85338362","8,42644403",
16/01/2010 14.00,"0,29630905","3,81704223","8,37197115","21,48962021"
16/01/2010 15.00,"0,29514052","3,22780781","7,51337417",
16/01/2010 16.00,"0,41095953","5,94165854","10,56126469","17,09399986"
16/01/2010 17.00,"0,26932194","4,69440358","8,68713567",
16/01/2010 18.00,"0,00098344","4,37772285","8,54706255","16,60560989"
16/01/2010 19.00,"0,13321581","4,36733878","8,46016598",
16/01/2010 20.00,"0,03915959","3,57563694","7,67809106","22,46640968"
16/01/2010 21.00,"0,00159872","3,66908402","7,53023418",
16/01/2010 22.00,"0,06067524","5,24599838","9,23964631","10,25640965"
16/01/2010 23.00,"0,10045011","3,30697799","7,3979429",
17/01/2010 0.00,"0,00903706","3,72748989","7,5535797","16,11721039"
17/01/2010 1.00,"0,09313483","1,7118939","5,48749927",
17/01/2010 2.00,"0,15436331","2,2349368","5,81822747","7,32600689"
17/01/2010 3.00,"0,13456842","6,16359586","10,21108189",
17/01/2010 4.00,"0,08458898","7,11493631","11,11636991","16,11721039"
17/01/2010 5.00,"0,09374909","6,60097733","10,35893685",
17/01/2010 6.00,"0,00129057","5,17202118","8,94134372","21,97801971"
17/01/2010 7.00,"0,01549196","5,96631761","10,240911",
17/01/2010 8.00,"0,0293852","6,73595688","10,8893983","24,42000961"
17/01/2010 9.00,"0,00202892","6,53997688","12,3640589",
17/01/2010 10.00,"0,15712955","6,10648824","10,70263414","26,86202049"
17/01/2010 11.00,"0,38766108","5,53542546","10,24480192",
17/01/2010 12.00,"0,65851869","5,40174416","10,0528505","23,44322014"
17/01/2010 13.00,"0,44729084","5,78721292","10,84919277",
17/01/2010 14.00,"0,20587945","6,69442442","11,38354706","22,46640968"
17/01/2010 15.00,"0,22997726","5,63925471","9,98411219",
17/01/2010 16.00,"0,14864675","8,53221205","12,85431673","25,39682007"
17/01/2010 17.00,"0,15128994","8,96440435","12,86209666",
17/01/2010 18.00,"0,08335942","14,99301874","19,9280112","33,69963074"
17/01/2010 19.00,"0,08335942","23,1137856","29,1469104",
17/01/2010 20.00,"0,06909803","28,85297864","34,61234328","42,49084091"
17/01/2010 21.00,"0,04026608","31,60188016","37,41122448",
