,Bari,,,
,ENAIP,,,
Parm,SO2,NO2,CO,PM10
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3


15/01/2010 19.00,"3,05532428","35,49545784","1,15999749",36
15/01/2010 20.00,"2,85720048","22,06641112","1,0825215",36
15/01/2010 21.00,"3,03961265","16,99043926","1,06451176",36
15/01/2010 22.00,"2,99626709","13,6276519","1,05609813",36
15/01/2010 23.00,"3,22563822","19,79382704","1,13532862",36
16/01/2010 0.00,"3,50864593","24,09729928","1,07971618",36
16/01/2010 1.00,,"18,34411996","1,09887344",31
16/01/2010 2.00,"3,8216409","13,87165369","1,0248971",31
16/01/2010 3.00,"3,85776169","11,76910377",,31
16/01/2010 4.00,"4,12506082","11,59777901","1,04037879",31
16/01/2010 5.00,"4,07810186","12,42971315","1,04310372",31
16/01/2010 6.00,"4,34720616","15,35512478","1,05396618",31
16/01/2010 7.00,"4,31289157","18,3311413","1,06573618",31
16/01/2010 8.00,"4,51155845","23,5394924","1,21712676",31
16/01/2010 9.00,"4,62273079","25,75309128","1,2264922",31
16/01/2010 10.00,"4,65965704","19,89896792","1,20057677",31
16/01/2010 11.00,"4,22078188","13,48358843","1,15250887",31
16/01/2010 12.00,"4,30024924","12,14548288","1,07975695",31
16/01/2010 13.00,"4,1235638","9,60721302","1,04807478",31
16/01/2010 14.00,"3,76023444","8,41540414","1,02165724",31
16/01/2010 15.00,"3,58323983","5,58863834","1,01956373",31
16/01/2010 16.00,"3,60671829","4,83067947","1,01308633",31
16/01/2010 17.00,"3,57194605","6,59846114","1,01362573",31
16/01/2010 18.00,"3,69160423","9,78984917","1,0251336",31
16/01/2010 19.00,"3,66237565","11,72568034","1,03672418",31
16/01/2010 20.00,"3,88844763","27,60643112","1,0398091",31
16/01/2010 21.00,"4,14017242","23,89269616","1,03325714",31
16/01/2010 22.00,"4,38761564","23,10304016","1,13896458",31
16/01/2010 23.00,"4,51697702","18,82823071","1,12699421",31
17/01/2010 0.00,"4,79511127","12,42582797","1,07173826",31
17/01/2010 1.00,"4,9862554","9,76707534","1,00943289","78,19998169"
17/01/2010 2.00,"5,13799994","4,9303941","0,97453066","78,19998169"
17/01/2010 3.00,"5,0606042","4,11944606","0,96833635","78,19998169"
17/01/2010 4.00,"5,40765545","3,02434998","0,95584173","78,19998169"
17/01/2010 5.00,"5,60603656","2,82027648","0,93132896","78,19998169"
