NetC,Provincia Bari,,,,
Stat,Altamura,,,,
Parm,O3,NO2,CO,Benzene,PM10
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3


16/01/2010 23.00,,"49,6267248","0,87948413","2,80664643",
17/01/2010 0.00,,"38,07696376","0,71121503",,"38,58362961"
17/01/2010 1.00,,"27,69786296","0,70818719",,
17/01/2010 2.00,,"13,00337625","0,60142193",,"37,11843109"
17/01/2010 3.00,,"26,64788816","0,66996471",,
17/01/2010 4.00,,"24,01580984","0,67067186",,"32,72283173"
17/01/2010 5.00,,"13,71201507","0,57511507",,
17/01/2010 6.00,,"11,08771286","0,55187448",,"30,28083038"
17/01/2010 7.00,,"25,89901512","0,62942154",,
17/01/2010 8.00,,"45,70326256","0,78978496",,"27,8388195"
17/01/2010 9.00,,"65,4360968","1,31444737",,
17/01/2010 10.00,,"41,59420248","0,83197893",,"17,58241081"
17/01/2010 11.00,,"27,47593712","0,80803119",,
17/01/2010 12.00,,"37,74989704","0,86001698",,"31,25761986"
17/01/2010 13.00,,"42,97772568","0,93835158",,
17/01/2010 14.00,,"39,799236","0,90535762",,"43,46763992"
17/01/2010 15.00,,"18,92297031","0,63492733",,
17/01/2010 16.00,,"14,86062995","0,63020792",,"36,14162064"
17/01/2010 17.00,,"25,81335752","0,75073532",,
17/01/2010 18.00,,"37,7083684","0,79257746",,"41,02563095"
17/01/2010 19.00,,"51,43077328","0,90181835",,
17/01/2010 20.00,,"59,03628864","1,0688677",,"39,07204056"
17/01/2010 21.00,,"54,57939752","0,98726993",,
17/01/2010 22.00,,"69,32063072","0,9870346",,"46,88644028"
17/01/2010 23.00,,"67,12594152","0,89230263",,
18/01/2010 0.00,,"57,44120264","0,88038817",,"47,86323166"
18/01/2010 1.00,,"40,4572508","0,68950875",,
18/01/2010 2.00,,"20,44537928","0,54357735",,"29,7924099"
18/01/2010 3.00,,"7,66263827","0,48427652",,
18/01/2010 4.00,,,"0,47188908",,"30,28083038"
18/01/2010 5.00,,"20,79709168",,,
18/01/2010 6.00,,"16,18575685","0,47188908",,"16,11721039"
18/01/2010 7.00,,"21,3538852","0,57822212",,
18/01/2010 8.00,,"27,26179312","0,64220159",,"17,58241081"
18/01/2010 9.00,,"35,7641512","0,87625825",,
18/01/2010 10.00,,"46,02772896","0,99537134",,"16,60560989"
18/01/2010 11.00,,"37,70056744","0,76457785",,
18/01/2010 12.00,,"24,47266312","0,64955507",,"25,39682007"
18/01/2010 13.00,,"25,2539828","0,61137103",,
18/01/2010 14.00,,"31,7109024","0,65970106",,"21,48962021"
18/01/2010 15.00,,"23,67577976","0,60991711",,
18/01/2010 16.00,,"22,412942","0,55442933",,"24,42000961"
18/01/2010 17.00,,"26,7296644","0,64983118",,
18/01/2010 18.00,,"38,2988896","0,78506671",,"23,44322014"
18/01/2010 19.00,,"39,16976736","0,91731285",,
18/01/2010 20.00,,"44,52220104","0,89422954",,"21,97801971"
18/01/2010 21.00,,"42,77266368","0,84822019",,
18/01/2010 22.00,,"40,51696256","0,79619479",,"21,48962021"
18/01/2010 23.00,,"30,03145896","0,65891352",,
19/01/2010 0.00,,"21,91456008","0,631663",,"21,48962021"
19/01/2010 1.00,,"13,78599609","0,50287691",,
19/01/2010 2.00,,"9,43163788","0,47346183",,"17,58241081"
19/01/2010 3.00,,"7,79372117","0,46433871",,
19/01/2010 4.00,,"6,06365944","0,39465657",,"17,09399986"
19/01/2010 5.00,,"5,44327662","0,36689345",,
19/01/2010 6.00,,"5,80278616","0,37212314",,"14,65200996"
19/01/2010 7.00,,"10,07148868","0,42391321",,
19/01/2010 8.00,,"22,3454484","0,55549181",,"10,25640965"
19/01/2010 9.00,,"28,17548056","0,63964558",,
19/01/2010 10.00,,"26,42726248","0,65045911",,"5,37240601"
19/01/2010 11.00,,"16,80744174","0,50676918",,
19/01/2010 12.00,,"18,5387998","0,5083827",,"5,37240601"
19/01/2010 13.00,,"23,32915328","0,5739955","0,66495121",
19/01/2010 14.00,,"23,56285704","0,70429493","2,75503673","18,55920982"
19/01/2010 15.00,"57,88638135","16,25194455","0,51616723","1,85192446",
19/01/2010 16.00,"54,4069617","16,44663586","0,48773657","1,09733385","13,18680954"
19/01/2010 17.00,"49,8963465","19,5290724","0,54998602",,
19/01/2010 18.00,"34,48650765","33,48768576","0,6297757","2,47363283","13,67521"
19/01/2010 19.00,"32,0752509","34,63890096","0,71750719","2,64744423",
19/01/2010 20.00,"34,35284265","34,1690652","0,67955965","2,3680367","21,97801971"
19/01/2010 21.00,"27,2662635","48,29251208","0,74578174","2,20930944",
19/01/2010 22.00,"33,03785835","37,411148","0,69249697","2,64955247","15,62880993"
19/01/2010 23.00,"36,48461985","26,14692504","0,58018748","2,24092187",
20/01/2010 0.00,"44,6026539","16,44792455","0,53295954","2,04581347","18,07081032"
20/01/2010 1.00,"49,7140833","11,90148109","0,46595107",,
20/01/2010 2.00,"51,26936535","7,41085082","0,41577336",,"12,69841003"
20/01/2010 3.00,,"5,49519125","0,42513297",,
20/01/2010 4.00,"50,3067579",,"0,43354776",,"10,25640965"
20/01/2010 5.00,"45,44376585","17,34865437",,,
20/01/2010 6.00,"46,1512128","14,6594627","0,50877531",,"11,23320961"
20/01/2010 7.00,"37,22715885","20,33503776","0,45490105",,
20/01/2010 8.00,"26,4143586","37,63049264","0,57185074",,"11,72161007"
20/01/2010 9.00,,"48,89861608","0,88317951","1,97604422",
20/01/2010 10.00,,"48,31197624","1,04932366","3,71383178","6,83760691"
20/01/2010 11.00,,"29,42403568","0,69882758","2,79818499",
20/01/2010 12.00,,"25,51485608","0,56744704","2,42560399","19,04759979"
20/01/2010 13.00,,"24,85554112","0,56524402","2,73740093",
20/01/2010 14.00,,"30,32477888","0,67110524","2,27996552","22,95482063"
20/01/2010 15.00,,"25,11381408","0,56276607","2,74039498",
20/01/2010 16.00,,"26,23128248","0,52367799","1,82463835","17,09399986"
20/01/2010 17.00,,"35,06070728","0,71994554","2,08840645",
20/01/2010 18.00,,"56,28740624","0,83618691","3,5056346","15,14041042"
20/01/2010 19.00,,"60,74169704","0,79049328","3,5206089",
20/01/2010 20.00,,"73,78012216","1,070755","4,14819554","20,02441978"
20/01/2010 21.00,,"85,62840376","1,20201904","6,16317255",
20/01/2010 22.00,,"70,1019504","0,90523995","5,19018017","15,62880993"
20/01/2010 23.00,,"76,07087024","0,88738749","4,20842533",
21/01/2010 0.00,,"48,8921344","0,66504841","3,95841113","30,76922989"
21/01/2010 1.00,,"20,61409416","0,47932061","2,46963907",
21/01/2010 2.00,,"9,71716831","0,37031506","1,31906324","29,30401993"
21/01/2010 3.00,,"6,6373168","0,35155739","0,65930991",
21/01/2010 4.00,,"6,09999891","0,3179751",,"17,58241081"
21/01/2010 5.00,,"8,24019038","0,31876148",,
21/01/2010 6.00,,"8,13895571","0,34778279",,"9,27960968"
21/01/2010 7.00,,"10,85409514","0,57955838",,
21/01/2010 8.00,,"26,93990792","1,04535217",,"5,37240601"
21/01/2010 9.00,,"28,0431128","0,85989932",,
21/01/2010 10.00,,"31,12556272","0,8074417","2,58699273","15,62880993"
21/01/2010 11.00,,"30,54800488","0,95356998","3,10754113",
21/01/2010 12.00,,,"0,57566611","2,46875225","9,76801014"
21/01/2010 13.00,,"57,82409976","0,56127254","1,96805772",
21/01/2010 14.00,,"76,40137856","1,1844788","4,63651622","19,53602028"
21/01/2010 15.00,,"62,408158","0,97924891","7,03001453",
21/01/2010 16.00,"33,6683382","54,75201288","0,87669046","4,91720517","17,09399986"
21/01/2010 17.00,"29,6518446","55,349054","1,04236278","5,94144316",
21/01/2010 18.00,"28,97276655","55,08946176","0,92159888","5,88143507","23,93161964"
21/01/2010 19.00,"20,8155507","63,48799824","1,08255295","5,53702802",
21/01/2010 20.00,"24,2704119","56,55087984","0,98113621","5,92746653","24,90842056"
21/01/2010 21.00,"16,90573175","61,24007896","0,90925105","5,0687219",
21/01/2010 22.00,"25,49224965","50,09656056","0,74326418","5,15202335","31,74603081"
21/01/2010 23.00,"39,0862395","37,34625472","0,57137891","3,3216176",
22/01/2010 0.00,"44,2340976","29,09568792","0,5246228","2,42793292","16,60560989"
22/01/2010 1.00,"55,7732574","16,1234658","0,48525978",,
22/01/2010 2.00,"58,24795515","9,94170021","0,43288022",,"16,60560989"
22/01/2010 3.00,,"8,74376529","0,41400489",,
22/01/2010 4.00,"63,0690921",,"0,38812907",,"10,25640965"
22/01/2010 5.00,"57,74976375","19,04627137",,,
22/01/2010 6.00,"56,2106811","14,65037878","0,45651341",,"13,18680954"
22/01/2010 7.00,"54,4083183","15,52643806","0,41911574",,
22/01/2010 8.00,"33,92351865","29,87310712","0,55620013",,"14,65200996"
22/01/2010 9.00,"25,63401435","36,29888024","0,79595829","2,903116",
22/01/2010 10.00,"28,5515223","37,8342736","0,88730827","5,18274896","7,81440783"
22/01/2010 11.00,"43,2161289","25,59273184","0,66182485","4,50535882",
22/01/2010 12.00,"51,83506755","20,33763808","0,60413638","3,50053231","16,60560989"
22/01/2010 13.00,"55,2494103","18,16242069","0,57185074","3,62786884",
22/01/2010 14.00,"50,8954026","24,30134792","0,66811585","3,50907307","20,51280975"
22/01/2010 15.00,"46,664247","25,23451864","0,64114028","4,85775237",
22/01/2010 16.00,"43,63330335","26,27931192","0,65423488",,"16,11721039"
22/01/2010 17.00,"42,56537985","30,22483864","0,74570252","4,56015274",
22/01/2010 18.00,"41,8025916","28,58820488","0,7551798","5,32883084","19,04759979"
22/01/2010 19.00,"38,6312598","35,30859808","0,80354827","4,7280869",
22/01/2010 20.00,"41,32871925","30,99965752","0,77669036","5,44274602","26,37360954"
22/01/2010 21.00,"41,78908545","33,418892","0,79120043","5,35689292",
22/01/2010 22.00,"38,5367367","36,69212128","0,78864442","5,65038793","14,16361046"
22/01/2010 23.00,"45,6300789","28,0586956","0,65372344","5,49265937",
23/01/2010 0.00,"46,1660556","21,24096248","0,63948831",,"25,88521957"
23/01/2010 1.00,"46,34562555","18,19097258","0,56634611",,
23/01/2010 2.00,"49,078197","13,85088172","0,52194796",,"21,0012207"
23/01/2010 3.00,"52,08077175","9,20191299","0,49446095",,
23/01/2010 4.00,"55,25481675","8,80865857","0,4835682",,"28,81562042"
23/01/2010 5.00,"54,2274117","7,66393461","0,47011944",,
23/01/2010 6.00,"56,8060689","6,84368087","0,46724888",,"16,60560989"
23/01/2010 7.00,"50,5335894","12,44789245","0,48561394",,
23/01/2010 8.00,"47,6295477","14,88269443","0,529263",,"22,95482063"
23/01/2010 9.00,"40,98039225","24,4609808","0,67920549",,
23/01/2010 10.00,"37,4215716","30,45196512","0,76013454","5,00638488","22,46640968"
23/01/2010 11.00,"35,6448645","31,5668332","0,78451566","5,27758522",
23/01/2010 12.00,"44,4987144","28,24947496","0,71341688","5,37330933","23,93161964"
23/01/2010 13.00,"47,44187805","30,18719136","0,68974408","4,44823494",
23/01/2010 14.00,"43,8196164","36,4740768","0,75081571","5,00527635","28,32722092"
23/01/2010 15.00,"47,6714028","34,04187896","0,67975653","5,74300612",
23/01/2010 16.00,"51,97411905","25,57974936","0,62812373","4,07654077","26,86202049"
23/01/2010 17.00,"41,76342975","31,44222816","0,70779459","5,01891941",
23/01/2010 18.00,"24,3865209","45,16723336","0,84314778","5,02324573","20,51280975"
23/01/2010 19.00,"14,41618122","53,47361144","1,0909293","7,22146275",
23/01/2010 20.00,"14,58899211","56,9467212","1,00587032","9,16678238","25,88521957"
23/01/2010 21.00,"18,97810383","44,79345648","0,89446603","7,93656528",
23/01/2010 22.00,"17,918294","44,34958568","0,92439139","7,49953903","24,90842056"
23/01/2010 23.00,"18,59739","42,6311948","0,87138272","7,69997244",
24/01/2010 0.00,"23,23762035","36,6856396","0,78538009","7,05242006","32,23442078"
24/01/2010 1.00,"30,5942028","25,43309896","0,68463206","5,74001207",
24/01/2010 2.00,"33,3578364","21,23318064","0,65195381","4,96645441","32,23442078"
24/01/2010 3.00,,"18,79318758","0,59843487",,
24/01/2010 4.00,"45,027948",,"0,49760645",,"28,81562042"
24/01/2010 5.00,"47,93196975","25,74588304",,,
24/01/2010 6.00,"49,1510943","15,25908119","0,48231",,"31,74603081"
24/01/2010 7.00,"43,6130541","17,92490631","0,46060372",,
24/01/2010 8.00,"44,6877207","17,34216313","0,46689472",,"18,55920982"
24/01/2010 9.00,"46,73445105","18,41550639","0,48423691",,
24/01/2010 10.00,"40,0677396","21,06834712","0,55340762",,"10,25640965"
24/01/2010 11.00,"40,79677245","25,97559072","0,650303",,
24/01/2010 12.00,,"21,77179104","0,67330709","6,41241077","17,09399986"
24/01/2010 13.00,,"24,96974488","0,69847342","6,80506837",
24/01/2010 14.00,"37,31625555","31,8731356","0,74519109","6,70745773","28,32722092"
24/01/2010 15.00,"43,60090455","24,38960584","0,62025882","6,25490392",
24/01/2010 16.00,"44,3650494","26,04828496","0,61923595","4,671739","31,74603081"
24/01/2010 17.00,"47,8847082","27,8964624","0,61274806","4,32566814",
24/01/2010 18.00,"37,3000761","37,62789232","0,76485396","5,28024773","26,37360954"
24/01/2010 19.00,,"58,18229384","0,87991635","6,40198449",
24/01/2010 20.00,,"71,25446576","1,055144","7,55854943","28,32722092"
24/01/2010 21.00,,"86,51872656","1,37178168","9,19118428",
24/01/2010 22.00,,"99,83232672","2,05830103","13,91183793","21,48962021"
24/01/2010 23.00,,"87,81142976","1,45632806","13,01293197",
25/01/2010 0.00,,"81,41550296","1,39966246","12,26133846","42,97924042"
25/01/2010 1.00,,"51,1945648","0,79072861","8,91887541",
25/01/2010 2.00,,"27,03336648","0,65639828","5,75676104","46,39804077"
25/01/2010 3.00,,"15,9573283","0,52135847","4,02673726",
25/01/2010 4.00,,"9,9274233","0,4829391","2,80206688","37,11843109"
25/01/2010 5.00,,"12,06111588","0,48537745",,
25/01/2010 6.00,,"17,28895408","0,57912616",,"21,48962021"
25/01/2010 7.00,,"41,07115576","0,66827429",,
25/01/2010 8.00,,"68,41602528","1,00622448","5,7503275","23,44322014"
25/01/2010 9.00,,"87,04827408","2,34080538","9,40437291",
25/01/2010 10.00,,"71,03642128","1,79471279","15,4535184","32,23442078"
25/01/2010 11.00,,"40,90372192","0,7866779","16,22618415",
25/01/2010 12.00,,"33,68756624","0,85581017","6,44868106","35,16482162"
25/01/2010 13.00,,"34,43513912","0,6970195","6,62360201",
25/01/2010 14.00,,"23,7692192","0,61719137","5,16078684","34,67642975"
25/01/2010 15.00,,"27,01520248","0,64342018","5,54401583",
25/01/2010 16.00,,"28,72189192","0,55101005","3,23509937","29,30401993"
25/01/2010 17.00,,"39,8939756","0,78887975","3,99346204",
25/01/2010 18.00,,"47,2723836","0,77016286","5,75409854","23,93161964"
25/01/2010 19.00,,"58,58333584","0,91125718","6,70601664",
25/01/2010 20.00,,"69,62951432","1,09961904","8,34985374","27,8388195"
25/01/2010 21.00,,"76,08903424","1,17638089","11,31940323",
25/01/2010 22.00,,"64,13693104","0,93748715","9,52538675","31,74603081"
25/01/2010 23.00,,"43,08804808","0,84519236","8,70502065",
26/01/2010 0.00,,"28,59340552","0,72718135","7,06839306","42,49084091"
26/01/2010 1.00,,"21,85614848","0,6587178","5,61522617",
26/01/2010 2.00,,"14,86062995","0,5532119",,"35,16482162"
26/01/2010 3.00,,"8,16361669","0,48616382",,
26/01/2010 4.00,,,"0,43645793",,"30,28083038"
26/01/2010 5.00,,"23,30328392",,,
26/01/2010 6.00,,"19,76268056","0,90834701",,"24,42000961"
26/01/2010 7.00,,"25,90163456","0,72792812",,
26/01/2010 8.00,,"38,45334096","0,75415693",,"38,58362961"
26/01/2010 9.00,,"50,84023296","1,03426254","7,93856165",
26/01/2010 10.00,,"45,12570472","0,97869786","8,65455203","31,25761986"
26/01/2010 11.00,,"36,34299008","0,69678417","7,11841726",
26/01/2010 12.00,,"25,68097064","0,58612548","4,15163401","28,81562042"
26/01/2010 13.00,,"28,25846136","0,62710902","4,5018044",
26/01/2010 14.00,,"31,99774064","0,69674456","5,22389983","34,67642975"
26/01/2010 15.00,,"27,41494432","0,5874629","5,17964202",
26/01/2010 16.00,,"22,42592448","0,59886709","4,11148082","28,81562042"
26/01/2010 17.00,,"27,17613552","0,66823468","4,51855846",
26/01/2010 18.00,,"30,99965752","0,71617094","5,71072857","30,76922989"
26/01/2010 19.00,,"39,62272016","0,84723693","5,37031427",
26/01/2010 20.00,,"49,91096272","0,91853144","7,3113086","18,55920982"
26/01/2010 21.00,,"56,76242352","1,10268648","8,28385655",
26/01/2010 22.00,,"37,49292424","0,80004861","8,57990219","22,95482063"
26/01/2010 23.00,,"21,83798448","0,569452","5,64384353",
27/01/2010 0.00,,"15,86388886","0,58734407","4,2510183","11,72161007"
27/01/2010 1.00,,"12,32718215","0,48844373",,
27/01/2010 2.00,,"6,67885118","0,3752698",,"10,25640965"
27/01/2010 3.00,,"5,57176494","0,36748411",,
27/01/2010 4.00,,"4,84884921","0,35084907",,"5,86080599"
27/01/2010 5.00,,"6,00395533","0,36838815",,
27/01/2010 6.00,,"6,35957394","0,65804909",,"3,41880298"
27/01/2010 7.00,,"8,83721238","0,46260869",,
27/01/2010 8.00,,"11,89759399","0,4943829",,"14,65200996"
27/01/2010 9.00,,"28,72189192","0,79953717",,
27/01/2010 10.00,,"31,32282376","0,78361046","6,87949548","8,30280876"
27/01/2010 11.00,,"28,48958392","0,68345191","4,84299977",
27/01/2010 12.00,,"26,43764464","0,58537872","5,47391402","4,39560509"
27/01/2010 13.00,,"22,69197928","0,64943741","5,33481995",
27/01/2010 14.00,,"28,90878992","0,73595031","5,24320045","2,93040299"
27/01/2010 15.00,,"25,59531304","0,69752977","6,45999519",
27/01/2010 16.00,,"33,90041008","0,71939449","4,26366266","6,34920597"
27/01/2010 17.00,,"25,35910456","0,7384271","7,43709116",
27/01/2010 18.00,,"30,76344904","0,80476686","7,72448621","3,41880298"
27/01/2010 19.00,,"34,84656328","0,83123333","7,95930439",
27/01/2010 20.00,,"35,2446608","0,77225404","7,23934059","4,88400507"
27/01/2010 21.00,"32,67253395","37,70316776","0,84810253","7,53470078",
27/01/2010 22.00,"33,33391635","36,97375888","0,82037902","8,20665608","2,93040299"
27/01/2010 23.00,"40,54296855","28,08464144","0,68628403","7,15191521",
28/01/2010 0.00,"44,9118789","21,98075352","0,62533123","6,62216092","6,83760691"
28/01/2010 1.00,"53,2752381","13,65230714","0,56626689","5,62143801",
28/01/2010 2.00,"57,85621695","9,33689254","0,54802066","4,96135111","8,79120922"
28/01/2010 3.00,,"8,49327417","0,51262796",,
28/01/2010 4.00,"61,127199",,"0,49465784",,"13,18680954"
28/01/2010 5.00,"60,2561022","18,31297348",,,
28/01/2010 6.00,"58,6132197","14,0027385","0,57102475",,"15,14041042"
28/01/2010 7.00,"53,7798933","17,25910011","0,55969979",,
28/01/2010 8.00,"45,184356","24,93341688","0,62096714",,"19,04759979"
28/01/2010 9.00,"36,9297243","34,61423616","0,80028394","5,17442888",
28/01/2010 10.00,"39,41551425","36,4442496","0,9042963","7,70185796","19,53602028"
28/01/2010 11.00,"50,74112925","25,82634","0,66760442","7,27758793",
28/01/2010 12.00,"46,2930174","30,49349376","0,69505415","6,36338324","20,02441978"
28/01/2010 13.00,"47,41243185","31,86923512","0,68003147","6,62715236",
28/01/2010 14.00,"42,8931783","40,43778664","0,77047625","5,75077091","15,62880993"
28/01/2010 15.00,"44,6072025","34,43383896","0,67755468","7,1463695",
28/01/2010 16.00,"54,6483168","24,4674816","0,59532782","5,55577337","21,48962021"
28/01/2010 17.00,"51,1719894","27,62130648","0,64310563","5,50963004",
28/01/2010 18.00,"47,54665545","32,84783496","0,66725026","6,94904201","14,16361046"
28/01/2010 19.00,"44,4501561","42,0614188","0,70460831","7,83340894",
28/01/2010 20.00,"40,49732295","45,80318368","0,76442174","7,52571661","22,46640968"
28/01/2010 21.00,"27,06039945","64,32772952","0,90999898","8,56481805",
28/01/2010 22.00,"13,24766583","76,49009536","1,1124387","9,62687929","23,44322014"
28/01/2010 23.00,"20,2150956","61,0856276","0,84625484","8,80606977",
29/01/2010 0.00,"27,9596856","45,64745128","0,74098311","7,11043178","26,86202049"
29/01/2010 1.00,"48,55197585","24,1637604","0,53826845","5,50796623",
29/01/2010 2.00,"55,6938963","13,20065641","0,52273434","4,13488504","22,95482063"
29/01/2010 3.00,"60,8104329","9,5692101","0,51459565","3,93023718",
29/01/2010 4.00,"57,7300332","8,51533865","0,51376966","3,30375908","16,60560989"
29/01/2010 5.00,"57,96761775","7,58865917","0,48006854","3,54578779",
29/01/2010 6.00,"65,7256341","8,04421229","0,44196256","2,9650096","11,23320961"
29/01/2010 7.00,"49,2163707","22,9424704","0,52847546","2,63846005",
29/01/2010 8.00,"36,42504915","35,17102968","0,59701823","3,16910218","6,34920597"
29/01/2010 9.00,"24,5303205","50,0978416","0,88923635","5,52671259",
29/01/2010 10.00,"28,44692445","52,15368136","1,07126643","8,66464575","4,39560509"
29/01/2010 11.00,"40,6087437","45,56049352","0,89678555","7,7568746",
29/01/2010 12.00,"44,6581947","37,74989704","0,86866944","8,08187119","15,62880993"
29/01/2010 13.00,"50,7196431","30,24560296","0,70453026","6,99585045",
29/01/2010 14.00,"53,4537507","29,60055152","0,64491488","4,63824105","12,21000957"
29/01/2010 15.00,"56,3059623","23,68096128","0,56634611","5,34369327",
29/01/2010 16.00,"43,41397305","30,45584648","0,73736578","5,12850828","7,81440783"
29/01/2010 17.00,"44,6836908","30,82964248","0,79497503","6,54673512",
29/01/2010 18.00,"34,7110449","43,98227136","0,81597532","7,44241515","24,42000961"
29/01/2010 19.00,"29,6240343","46,56893968","0,8336309","6,67373808",
29/01/2010 20.00,"21,84590835","63,62556664","1,22522118","8,64002113","23,93161964"
29/01/2010 21.00,"18,68363984","75,75418568","1,31853652",,
29/01/2010 22.00,"28,43216145","56,65730176","0,93563713","9,53536963","22,46640968"
29/01/2010 23.00,"36,6908031","47,83955928","0,78766116","6,97721596",
30/01/2010 0.00,"44,41259025","34,18334784","0,67747546","6,09684178","33,21123123"
