,Foggia,,
,Manfredonia - Scuola Elementare Ungaretti,,
Parm,SO2,NO2,PM10



18/01/2010 14.00,"5,17619236","6,3725526","20,7999897"
18/01/2010 15.00,"5,12562203","5,89104217","20,7999897"
18/01/2010 16.00,"4,97752446","5,05002029","20,7999897"
18/01/2010 17.00,"4,9522398","5,30699882","20,7999897"
18/01/2010 18.00,"5,03531853","11,36026654","20,7999897"
18/01/2010 19.00,"4,61631047","19,16695872","20,7999897"
18/01/2010 20.00,"4,49169237","19,16955904","20,7999897"
18/01/2010 21.00,"4,72286867","28,04181264","20,7999897"
18/01/2010 22.00,"4,59644439","22,49471824","20,7999897"
18/01/2010 23.00,"4,63075898","6,89040442","20,7999897"
19/01/2010 0.00,"4,54406787","3,24987038","20,7999897"
19/01/2010 1.00,"4,48988618","2,35304295","15,30000019"
19/01/2010 2.00,"4,46279533","2,00780841","15,30000019"
19/01/2010 3.00,"4,68494169","2,76187253","15,30000019"
19/01/2010 4.00,"4,56935252","2,98251159","15,30000019"
19/01/2010 5.00,"4,46279533","2,82287106","15,30000019"
19/01/2010 6.00,"4,42306114","6,40499924","15,30000019"
19/01/2010 7.00,"4,28399453","14,59846225","15,30000019"
19/01/2010 8.00,"4,36346189","12,89435401","15,30000019"
19/01/2010 9.00,"3,91013821","3,80536182","15,30000019"
19/01/2010 10.00,"4,13950832","2,75927603","15,30000019"
19/01/2010 11.00,"4,35984951","2,84753204","15,30000019"
19/01/2010 12.00,"4,5223956","5,03704163","15,30000019"
19/01/2010 13.00,"4,773439","4,73853254","15,30000019"
19/01/2010 14.00,"4,71022635","4,49193617","15,30000019"
19/01/2010 15.00,"5,34054464","3,77161694","15,30000019"
19/01/2010 16.00,"4,99016678","5,06559544","15,30000019"
19/01/2010 17.00,"5,01184007","5,96242478","15,30000019"
19/01/2010 18.00,"4,67049317","15,7496698","15,30000019"
19/01/2010 19.00,"4,85290636","29,88478944","15,30000019"
19/01/2010 20.00,"4,72286867","31,43964696","15,30000019"
19/01/2010 21.00,"4,72286867","29,49542976","15,30000019"
19/01/2010 22.00,"4,4664067","21,10727544","15,30000019"
19/01/2010 23.00,"4,56935252","15,32527081","15,30000019"
20/01/2010 0.00,"4,45737676","12,81259306","15,30000019"
20/01/2010 1.00,,"7,84044662","19,5"
20/01/2010 2.00,"4,51697702","6,88780792","19,5"
20/01/2010 3.00,"4,38694035","5,792404","19,5"
20/01/2010 4.00,"4,22078188","5,33944546","19,5"
20/01/2010 5.00,"4,13409076","6,11038298","19,5"
20/01/2010 6.00,"4,1810487","10,92548157","19,5"
20/01/2010 7.00,"4,31289157","17,3473523","19,5"
20/01/2010 8.00,"4,18466007","34,28976976","19,5"
20/01/2010 9.00,"4,30024924","40,04064512","19,5"
20/01/2010 10.00,"4,47182528","25,6641068","19,5"
20/01/2010 11.00,"4,7210635","8,5477872","19,5"
20/01/2010 12.00,"4,92334277","8,82293356","19,5"
20/01/2010 13.00,"5,05337944","5,95593545","19,5"
20/01/2010 14.00,"5,30081147","6,86963818","19,5"
20/01/2010 15.00,"5,10033738","6,46729602","19,5"
20/01/2010 16.00,"5,25927109","7,23563705","19,5"
20/01/2010 17.00,"5,03893092","7,90923274","19,5"
20/01/2010 18.00,"5,53198777","25,12809672","19,5"
20/01/2010 19.00,"5,43265433","43,7759092","19,5"
20/01/2010 20.00,"4,95765736","45,618886","19,5"
20/01/2010 21.00,"4,60005575","24,88020592","19,5"
20/01/2010 22.00,"4,63437137","28,5479764","19,5"
20/01/2010 23.00,"4,2153633","23,82633064","19,5"
21/01/2010 0.00,"4,09435759","13,98846733","19,5"
