,TARANTO,,
,TA Carcere,,
,SO2,NO2,PM10



21/01/2010 0.00,"1,919851","32,812789","34,18803"
21/01/2010 1.00,"1,90179","18,309077",
21/01/2010 2.00,"1,83316","13,931352","24,42001"
21/01/2010 3.00,"1,84219","7,287551",
21/01/2010 4.00,"1,856638","4,462084","20,02442"
21/01/2010 5.00,"1,849414","8,138955",
21/01/2010 6.00,"1,815099","10,502375","17,582411"
21/01/2010 7.00,"2,048081","16,909972",
21/01/2010 8.00,"2,490568","23,009964","16,11721"
21/01/2010 9.00,"2,71452","24,318211",
21/01/2010 10.00,"2,824691","25,453844","18,55921"
21/01/2010 11.00,"2,580871","21,658887",
21/01/2010 12.00,"2,649503","22,972315","19,53602"
21/01/2010 13.00,"2,784958","19,189023",
21/01/2010 14.00,"2,837333","12,929395","17,582411"
21/01/2010 15.00,"3,612137","15,408333",
21/01/2010 16.00,"2,459865","20,032655","17,582411"
21/01/2010 17.00,"2,286482","26,166389",
21/01/2010 18.00,"1,874699","30,490892","11,72161"
21/01/2010 19.00,"1,834966","26,105396",
21/01/2010 20.00,"1,862057","20,826937","16,60561"
21/01/2010 21.00,"1,896371","14,695796",
21/01/2010 22.00,"1,881923","11,287589","15,62881"
21/01/2010 23.00,"1,863863","7,083786",
22/01/2010 0.00,"2,772316","15,120207","15,14041"
22/01/2010 1.00,,"20,64394",
22/01/2010 2.00,"5,48503",,"19,0476"
22/01/2010 3.00,"3,548924","8,189572",
22/01/2010 4.00,"12,015763","28,461019","19,0476"
22/01/2010 5.00,"5,432654","12,64386",
22/01/2010 6.00,"10,144686","28,952918","13,67521"
22/01/2010 7.00,"11,443243","30,014575",
22/01/2010 8.00,"19,353824","37,644774","18,07081"
22/01/2010 9.00,"19,491079","36,11328",
22/01/2010 10.00,"17,77893","31,575916","31,25762"
22/01/2010 11.00,"13,968128","18,915187",
22/01/2010 12.00,"5,837212","10,258371","35,653221"
22/01/2010 13.00,"4,092551","10,020872",
22/01/2010 14.00,"3,460427","10,188286","27,35042"
22/01/2010 15.00,"3,552537","7,966338",
22/01/2010 16.00,"3,615749","10,746377","26,37361"
22/01/2010 17.00,"7,780543","21,591393",
22/01/2010 18.00,"26,195204","26,563529","28,327221"
22/01/2010 19.00,"96,214666","21,774391",
22/01/2010 20.00,"39,632358","30,257284","26,86202"
22/01/2010 21.00,"30,63092","47,975828",
22/01/2010 22.00,"43,101821","34,126235","37,118431"
22/01/2010 23.00,"37,326014","24,943799",
23/01/2010 0.00,"10,215114","8,712617","35,164822"
23/01/2010 1.00,"6,07742","7,383595",
23/01/2010 2.00,"5,098531","5,955935","29,30402"
23/01/2010 3.00,"5,143683","4,040276",
23/01/2010 4.00,"4,665074","4,24534","25,39682"
23/01/2010 5.00,"4,01489","6,684042",
23/01/2010 6.00,"4,256904","21,653685","18,07081"
23/01/2010 7.00,"11,369195","22,515463",
23/01/2010 8.00,"9,969498","20,760745","26,37361"
23/01/2010 9.00,"7,858203","14,054654",
23/01/2010 10.00,"6,061165","10,47902","26,86202"
23/01/2010 11.00,"7,986434","16,344101",
23/01/2010 12.00,"5,385696","13,565358","36,141621"
23/01/2010 13.00,"6,019626","13,55238",
23/01/2010 14.00,"5,391114","13,453744","34,18803"
23/01/2010 15.00,"5,488642","11,714593",
23/01/2010 16.00,"5,177998","9,889785","32,234421"
23/01/2010 17.00,"5,161744","10,212954",
23/01/2010 18.00,"5,152712","13,204544","27,83882"
23/01/2010 19.00,"5,138264","14,998206",
23/01/2010 20.00,"4,647013","14,602359","30,28083"
23/01/2010 21.00,"8,526449","28,257256",
23/01/2010 22.00,"14,331146","37,542232","35,164822"
23/01/2010 23.00,"20,193643","46,341813",
24/01/2010 0.00,"8,102023","16,964483","40,04884"
24/01/2010 1.00,,"14,493336",
24/01/2010 2.00,"4,98836",,"31,746031"
24/01/2010 3.00,"5,268302","16,726969",
24/01/2010 4.00,"3,361093","7,909233","27,35042"
