,Bari,,,,,
,Caldarola,,,,,
Parm,SO2,NO2,CO,O3,BENZENE,PM10



10/01/2010 23.00,"8,75943117","47,58646784","0,64857298","31,66334325","1,460412","11,39999962"
11/01/2010 0.00,"8,96351765","45,94855304","0,6320626","34,27707255","1,625166","11,39999962"
11/01/2010 1.00,"9,17302168","39,94978688","0,61681741","32,66613","1,6378785",
11/01/2010 2.00,"8,72331038","35,34234488","0,58099366","34,42438335","1,441089",
11/01/2010 3.00,"8,97616099","31,34230704","0,557336","31,41332985","1,5534675",
11/01/2010 4.00,"8,97796616","28,83091416","0,5149568","41,48712225","1,570248",
11/01/2010 5.00,"8,88946886","25,79649368","0,47901422","47,9835804","1,146159",
11/01/2010 6.00,"8,09660447","35,3111984","0,46953461","50,45540535",,
11/01/2010 7.00,"6,62285248","46,14453304","0,50081603","34,0432785",,
11/01/2010 8.00,"7,60896619","57,3049344","0,73408281","22,14771195","1,283454",
11/01/2010 9.00,"9,94421278","82,88598392","1,39375474","10,34542562","2,7809865",
11/01/2010 10.00,"9,35904623","77,16887448","1,18059236","10,98196428","4,335471",
11/01/2010 11.00,"8,30249612","66,75214552","1,04887047","13,76056238","3,362202",
11/01/2010 12.00,"9,06285109","62,98053432","0,95186675","24,29113995","3,057102",
11/01/2010 13.00,"8,47046079","59,79296264","0,86868808","36,4042812","2,6528445",
11/01/2010 14.00,"8,73775992","61,13105672","1,00514802","33,8932545","2,4514785",
11/01/2010 15.00,"7,17009205","53,4658296","0,75082969","35,49609735","2,531313",
11/01/2010 16.00,"8,07673839","52,82727896","0,70686958","37,20297945","1,560078",
11/01/2010 17.00,"7,96476161","56,89869176","0,72744697","31,0633071","1,6633035",
11/01/2010 18.00,"6,1731422","62,89617688","0,83100732","21,3814524","1,8738225",
11/01/2010 19.00,"5,19425326","65,7151532","0,92157325","13,4186493","2,2887585",
11/01/2010 20.00,"5,97086192","65,30112872","0,95534311","15,05796873","2,3914755",
11/01/2010 21.00,"7,09604326","71,77491216","0,97007453","12,14016153","2,709288",
11/01/2010 22.00,"9,37710714","76,1915748","1,09618695","6,88568864","2,7291195",
11/01/2010 23.00,"9,5829998","58,65472992","0,80979733","17,40950915","2,8145475",
12/01/2010 0.00,"8,56618286","54,3016604","0,75679332","17,77305201","1,868229",
12/01/2010 1.00,,"47,569604","0,66685998","18,63393641","1,889586",
12/01/2010 2.00,"8,91114113",,"0,6597896","15,56476257","1,60686",
12/01/2010 3.00,"8,8984988","48,959628",,"17,00406729","1,47465",
12/01/2010 4.00,"8,08215595","36,3274264","0,56397184","30,0767397","1,23057",
12/01/2010 5.00,"8,15259236","36,59220016","0,55484756",,"1,265148",
12/01/2010 6.00,"7,66495509","40,42222296","0,54015458","29,73617325","1,215315",
12/01/2010 7.00,"6,46753116","47,57608568","0,57929509","29,91185295","1,2066705",
12/01/2010 8.00,"7,70107588","58,5236432","0,86299938","16,19183696","1,327185",
12/01/2010 9.00,"9,48005398","71,75934848","1,35208619","10,23054554","2,96964",
12/01/2010 10.00,"7,92141605","73,54649488","1,36290787","12,73074936","5,360607",
12/01/2010 11.00,"8,92197828","64,42765064","1,01277062","22,83020145","4,758543",
12/01/2010 12.00,"8,95629288","58,77023384","0,90328625","35,65825095","3,184227",
12/01/2010 13.00,"8,57521281","52,27698624","0,83665524","39,7045299","1,326168",
12/01/2010 14.00,"9,24526427","61,06098192","0,8692799","43,4210553",,
12/01/2010 15.00,"8,69441334","36,37415568","0,62155663","47,4078633","1,0744605",
12/01/2010 16.00,"8,39460581","51,19194536","0,76729929","35,39068155","1,534653",
12/01/2010 17.00,"8,34403549",,"1,06277358","14,18762205",,
12/01/2010 18.00,,"86,28381824","1,07264812","16,83513668",,
12/01/2010 19.00,"5,73607323","82,48496104","1,16376627","16,14048366",,
12/01/2010 20.00,"5,7234309","73,04553176","0,99404907","23,58838125","3,300165",
12/01/2010 21.00,"6,45127645","81,33244568","1,06004748","9,60212652","2,934045",
12/01/2010 22.00,"6,90460013","65,22713432","0,91509585","10,49273841","2,9172645",
12/01/2010 23.00,"6,55241608","53,19975568","0,75031592","19,21910981","2,4799545",
13/01/2010 0.00,"6,4061247","47,48134608","0,6754705","27,19677765","1,8626355",
13/01/2010 1.00,"6,50365195","44,05884696","0,62076792","30,58217295","1,732968",
13/01/2010 2.00,"6,32123978","38,13795656","0,57313457","33,32430045","1,611945",
13/01/2010 3.00,"5,420012","31,54736904","0,55002912","36,7799796",,
13/01/2010 4.00,"4,09616276","28,35071536","0,54335484","35,28390915",,
13/01/2010 5.00,"5,57172095","27,4460908","0,54655393","37,79896575",,
