Stat,San Vito dei Normanni,,,,,,,
,,,,,,,,,
Parm,NO2,NOX,CO,O3,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,
,,,,,
,,,,,,,
13/01/2014 13.00,"5,3","7,8","0,2","51,1","0,9",,,
13/01/2014 14.00,"6,4","9,1","0,2","52,5","0,7",,,
13/01/2014 15.00,"5,0","7,4","0,2","55,1","0,7",,,
13/01/2014 16.00,"5,9","8,6","0,2","55,3","0,7",,,
13/01/2014 17.00,"7,3","9,7","0,2","54,5","0,7",,,
13/01/2014 18.00,"20,8","27,3","0,3","27,2","1,7",,,
13/01/2014 19.00,"24,3","39,7","0,5","9,8","3,6",,,
13/01/2014 20.00,"30,3","58,6","0,9","11,3","4,8",,,
13/01/2014 21.00,"25,5","52,5","0,7","4,3","6,5",,,
13/01/2014 22.00,"23,3","32,7","0,9","8,6","5,5",,,
13/01/2014 23.00,"18,3","31,4","0,7","7,8","5,2",,,
14/01/2014 0.00,"15,4","21,5","0,9","13,8","4,9",,,
14/01/2014 1.00,"14,5","18,8","1,3","8,2","4,5",,,
14/01/2014 2.00,"10,8","15,1","1,1","10,0","4,8",,,
14/01/2014 3.00,"8,3","11,6",,"10,7","3,4",,,
14/01/2014 4.00,"5,8","8,2",,"13,9","2,7",,,
14/01/2014 5.00,"5,6","7,9",,"14,0","2,4",,,
14/01/2014 6.00,"6,2","9,0",,"20,4","1,9",,,
14/01/2014 7.00,"7,6","11,5",,"25,0","1,9",,,
14/01/2014 8.00,"10,1","17,8",,"26,8","1,4",,,
14/01/2014 9.00,"13,9","26,1",,"22,5","1,8",,,
14/01/2014 10.00,"10,1","18,9",,"25,4","1,8",,,
14/01/2014 11.00,"10,0","15,5",,"31,9","1,7",,,
14/01/2014 12.00,"8,5","12,8",,"39,2","1,8",,,
14/01/2014 13.00,"4,3","7,1",,"53,1","1,4",,,
14/01/2014 14.00,"3,6","6,5",,"57,8","0,7",,,
14/01/2014 15.00,"3,2","6,2",,"62,2","0,5",,,
14/01/2014 16.00,"3,4","6,3",,"64,0","0,6",,,
14/01/2014 17.00,"3,6","6,4",,"61,5","0,6",,,
14/01/2014 18.00,"4,1","7,2",,"56,5","0,5",,,
14/01/2014 19.00,"4,0","6,6",,"53,2","0,6",,,
14/01/2014 20.00,"4,7","7,5",,"46,9","0,7",,,
14/01/2014 21.00,"4,2","6,7",,"47,0","1,2",,,
14/01/2014 22.00,"3,9","6,2",,"45,3","0,9",,,
14/01/2014 23.00,"2,8","5,2",,"46,6","0,8",,,
15/01/2014 0.00,"2,0","4,3",,"51,7","0,7",,,
15/01/2014 1.00,"2,0","4,4",,"54,2","0,6",,,
15/01/2014 2.00,"1,9","4,2",,"58,8","0,5",,,
15/01/2014 3.00,"1,9","4,2",,"60,1","0,4",,,
15/01/2014 4.00,"2,0","4,4",,"57,6","0,5",,,
15/01/2014 5.00,"1,9","4,2",,"57,3","0,4",,,
15/01/2014 6.00,"2,2","4,7",,"52,0","0,4",,,
15/01/2014 7.00,"4,2","6,6",,"43,3","0,8",,,
15/01/2014 8.00,"7,9","12,8",,"36,2","1,3",,,
15/01/2014 9.00,"13,2","21,1",,"26,1","1,2",,,
15/01/2014 10.00,"12,6","17,4",,"24,0","1,6",,,
15/01/2014 11.00,"12,8","24,7",,"25,1","1,7",,,
15/01/2014 12.00,"8,9","13,4",,"39,5","1,3",,,
15/01/2014 13.00,"8,9","13,7",,"45,2","1,2",,,
15/01/2014 14.00,"7,8","12,5",,"49,0","1,1",,,
15/01/2014 15.00,"9,5","12,8","0,3","46,9","1,3",,,
15/01/2014 16.00,"10,9","14,0","0,3","43,1","1,1",,,
15/01/2014 17.00,"10,6","13,4","0,3","46,9","1,1",,,
15/01/2014 18.00,"15,8","19,9","0,5","39,6","1,9",,,
15/01/2014 19.00,"26,8","30,9","1,0","26,6","4,1",,,
15/01/2014 20.00,"14,3","17,9","0,6","28,7","5,1",,,
15/01/2014 21.00,"10,8","13,7","0,5","39,8","1,9",,,
15/01/2014 22.00,"8,9","11,5","0,4","46,9","1,9",,,
15/01/2014 23.00,"7,1","9,7","0,4","46,1","1,7",,,
16/01/2014 0.00,"6,2","8,7","0,3","44,7","1,1",,,
