,Provincia di BARI,,
,VERDI,,
Parm,SO2,NO2,PM10
,,,,,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,
22/01/2005 0.00,"0,93749806","56,85976344",
22/01/2005 1.00,,"45,21136232",
22/01/2005 2.00,"0,37578862",,
22/01/2005 3.00,"0,19769056","23,76791904",
22/01/2005 4.00,"0,31763351",,
22/01/2005 5.00,"1,01708441",,
22/01/2005 6.00,"0,48225733","31,98129744",
22/01/2005 7.00,"0,44005997","34,85046376",
22/01/2005 8.00,"0,87320535","60,32119088",
22/01/2005 9.00,"1,10227748","85,62580344",
22/01/2005 10.00,"2,8222706","98,23852176",
22/01/2005 11.00,"2,29072334","68,70802592",
22/01/2005 12.00,"1,17257761","22,8477308",
22/01/2005 13.00,"1,02656997","24,31693072",
22/01/2005 14.00,"1,15945729","36,58699952",
22/01/2005 15.00,"0,40043358","42,009508",
22/01/2005 16.00,"0,87799237","24,5894672",
22/01/2005 17.00,"0,66771338","21,57581104",
22/01/2005 18.00,"0,15726583","30,25728528",
22/01/2005 19.00,"0,82099054","94,10999752",
22/01/2005 20.00,"0,56922304","91,70762688",
22/01/2005 21.00,"1,12231238","96,53701384",
22/01/2005 22.00,"0,35903354","90,38639664",
22/01/2005 23.00,"0,40194077","62,06292728",
23/01/2005 0.00,"0,41337592","47,69679024",
23/01/2005 1.00,"0,00806684","38,06268112",
23/01/2005 2.00,"0,05514072","37,11782808",
23/01/2005 3.00,"0,00806684","19,37332088",
23/01/2005 4.00,"0,00806684","25,799094",
23/01/2005 5.00,"0,0034578","17,6458633",
23/01/2005 6.00,"0,00576232","14,27269951",
23/01/2005 7.00,"0,00922012","16,72178222",
23/01/2005 8.00,"0,02420155","30,77253104",
23/01/2005 9.00,"0,01498143","41,82262912",
23/01/2005 10.00,"0,3866034","54,29775992",
23/01/2005 11.00,"1,21965047","53,86817176",
23/01/2005 12.00,"0,4560167","43,41121432",
23/01/2005 13.00,"0,54262849","38,85438296",
23/01/2005 14.00,"0,89004891","43,2554628",
23/01/2005 15.00,"0,14866608","22,79061936",
23/01/2005 16.00,"0,15389651","21,1669872",
23/01/2005 17.00,"0,50158338","25,01647416",
23/01/2005 18.00,"0,22774291","43,9199784",
23/01/2005 19.00,"0,02827972","53,93306504",
23/01/2005 20.00,"0,17393141","47,13741552",
23/01/2005 21.00,"0,19875434","47,8784876",
23/01/2005 22.00,"0,8446602","62,68981472",
23/01/2005 23.00,"0,14210643","56,06157992",
24/01/2005 0.00,"0,20513704","35,28913392",
24/01/2005 1.00,,"21,01903664",
24/01/2005 2.00,"0,01534348",,
24/01/2005 3.00,"0,90181763","14,08061426",
24/01/2005 4.00,"0,25623112","12,21297266",
24/01/2005 5.00,"0,76210421","13,67177703",
24/01/2005 6.00,"0,51625259","18,43497629",
