,,ARPA Puglia,,,,
,,Via Garilliano,,,,
Parm,SO2,NO2,CO,,PM10,Benzene
,,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,,
14/01/2008 14.00,"5,55528879","30,89064726","0,5020486",,"17,37634087",
14/01/2008 15.00,"1,47639501","15,39301678","0,391023",,"17,37634087",
14/01/2008 16.00,"0,312314","20,51083782","0,39694665",,"17,37634087",
14/01/2008 17.00,"0,145723","28,57353741","0,5067567",,"17,37634087",
14/01/2008 18.00,"0,216077","54,74701287","0,70558365",,"17,37634087",
14/01/2008 19.00,"0,55758202","73,24439067","0,8647862",,"17,37634087",
14/01/2008 20.00,"0,1374","68,57828802","0,7348891",,"17,37634087",
14/01/2008 21.00,"0,17183501","80,80947171","0,79193255",,"17,37634087",
14/01/2008 22.00,"0,358836","68,39837037","0,9178265",,"17,37634087",
14/01/2008 23.00,"1,34070396","88,72803027","1,3845678",,"17,37634087",
15/01/2008 0.00,"7,50853395","112,30239636","3,21476865",,"17,37634087",
15/01/2008 1.00,"5,46293116","84,68198046","2,6550487",,"38,59543991",
15/01/2008 2.00,"2,30501294","60,35350266","2,05837235",,"38,59543991",
15/01/2008 3.00,"2,18859291","53,58079287","1,97123915",,"38,59543991",
15/01/2008 4.00,"1,12827694","54,17029827","1,3099098",,"38,59543991",
15/01/2008 5.00,"0,126112","40,063419","0,6184493",,"38,59543991",
15/01/2008 6.00,"0,26944199","42,15467718","0,52629405",,"38,59543991",
15/01/2008 7.00,"0,219383","70,54067889","0,62276525",,"38,59543991",
15/01/2008 8.00,"1,24663401","90,29998197","1,12701035",,"38,59543991",
15/01/2008 9.00,"1,65461504","82,82930832","1,3211683",,"38,59543991",
15/01/2008 10.00,"0,29749101","47,51748342","0,6637616",,"38,59543991",
15/01/2008 11.00,"1,09840298","28,59266718","0,48443405",,"38,59543991",
15/01/2008 12.00,,"25,06212423","0,4417104",,"38,59543991",
15/01/2008 13.00,,"28,99587834","0,52625495",,"38,59543991",
15/01/2008 14.00,,"29,86478748","0,4415931",,"38,59543991",
15/01/2008 15.00,,"24,53516208","0,34351305",,"38,59543991",
15/01/2008 16.00,,"33,96820779","0,4295089",,"38,59543991",
15/01/2008 17.00,,"45,8702541","0,50008785",,"38,59543991",
15/01/2008 18.00,,"56,7298314","0,5910655",,"38,59543991",
15/01/2008 19.00,,"58,65394392","0,6175477",,"38,59543991",
