,Regione Puglia,,,
,Scuola Elementare G.Ungaretti Via Ca del Fico,,,
Parm,SO2,NOX,NO,NO2



17/01/2006 11.00,4,"111,52554512","21,25891835","78,94435768"
17/01/2006 12.00,4,"33,69798664","1,7175779","31,08273392"
17/01/2006 13.00,4,"23,82541288","0,54999683","23,24099096"
17/01/2006 14.00,4,"24,41295136","0,47311554","23,7354724"
17/01/2006 15.00,4,"44,32928024","2,77448272","40,09775656"
17/01/2006 16.00,4,"41,38904488","3,37686104","36,23008648"
17/01/2006 17.00,4,"30,9393148","3,4571217","25,64982416"
17/01/2006 18.00,4,"111,29855248","31,26700366","63,342648"
17/01/2006 19.00,4,"101,9538628","17,89896414","74,52769504"
17/01/2006 20.00,4,"89,22277256","9,23250867","75,1013524"
17/01/2006 21.00,4,"158,14268632","36,9562167","101,4793044"
17/01/2006 22.00,4,"142,49470624","22,55069812","107,9504684"
17/01/2006 23.00,4,"110,55797752","12,03655776","92,14371584"
18/01/2006 0.00,4,"82,3371252","5,12992232","74,51343152"
18/01/2006 1.00,,"54,2160984","2,02172369","51,16341832"
18/01/2006 2.00,3,,,
18/01/2006 3.00,3,"16,65964031","0,00675874","16,88141893"
18/01/2006 4.00,3,"14,64024901","0,01520717","14,78016152"
18/01/2006 5.00,3,"15,0384211","0,01774232","15,10463366"
18/01/2006 6.00,3,"21,84104368","0,27880052","21,49275376"
18/01/2006 7.00,3,"34,34256008","0,8119005","33,12947256"
18/01/2006 8.00,4,"80,68605584","7,46255054","69,27782104"
18/01/2006 9.00,4,"147,94069408","33,42052278","96,70184736"
18/01/2006 10.00,4,"68,0924384","3,40136209","62,91434088"
18/01/2006 11.00,4,"48,125518","1,8122015","45,37489568"
