,Provincia di TARANTO,,,,,
,MARTINA FRANCA,,,,,
Parm,NOX,NO,NO2,CO,O3,Benzene
,,,,,,,
,,,,,,
,,,,,,
,,,,,
,,,,
13/01/2008 14.00,"14,162964","2,563036","10,240205","0,288737","65,447094","0,064259"
13/01/2008 15.00,"8,728639","1,454925","6,502339","0,220683","66,748391","0,011443"
13/01/2008 16.00,"11,410783","1,383871","9,29536","0,295455","59,807207","0,108273"
13/01/2008 17.00,"29,539883","5,230963","21,534282","0,40382","44,512479","0,268042"
13/01/2008 18.00,"53,912623","10,379025","38,025053","0,761639","12,399631","0,773316"
13/01/2008 19.00,"75,981962","21,121785","43,626656","0,81594","11,955484","1,003066"
13/01/2008 20.00,"44,359126","6,01087","35,16713","0,622448","22,497256","0,856062"
13/01/2008 21.00,"42,839067","7,220489","31,790059","0,633118","27,158114","0,807206"
13/01/2008 22.00,"39,197166","6,452424","29,324113","0,545066","28,95503","1,011869"
13/01/2008 23.00,"31,799216","6,127603","22,45837","0,425082","37,272008","0,691011"
14/01/2008 0.00,"41,101117","7,291544","29,941901","0,484204","31,886684","0,642156"
14/01/2008 1.00,"19,088872","3,209294","14,177948","0,296166","49,472589","0,407124"
14/01/2008 2.00,"0,213332","67,279203","0,113115",,,
14/01/2008 3.00,"16,629808",0,"17,321402","59,595956","0,182656",
14/01/2008 4.00,"7,787037",0,"8,71651","0,230666","0,053697",
14/01/2008 5.00,"45,0932","8,932564","31,494157","0,201833","40,754799","0,002641"
