SIMAGE Brindisi,,,,,,,
,Torchiarolo,,,,,,,
Parm,SO2,NO2,CO,PM10,O3,BENZENE,NOX



10/01/2010 5.00,"1,40172296","13,10738331","0,20781736","69,19998169","40,09760475","0,58034698","20,98551928"
10/01/2010 6.00,"1,7084939","11,30316275","0,18762092","69,19998169","33,95120925",,"18,73739159"
10/01/2010 7.00,"2,11791267","11,67955142","0,10229166","69,19998169","30,9704598","0,788115","18,80353914"
10/01/2010 8.00,"0,93393958","10,09744599","0,06901111","69,19998169","65,19055515","0,83831717","18,50004547"
10/01/2010 9.00,"1,57410345","16,99562842","0,28115178","69,19998169","56,1515094","0,977935","25,93171032"
10/01/2010 10.00,"2,98864163","27,85103328","0,35625001","69,19998169","51,36376875","1,8351765","44,81047328"
10/01/2010 11.00,"2,38225538","17,74709605","0,40203102","69,19998169","59,78973105","3,12325175","30,02235784"
10/01/2010 12.00,"3,73005192","13,40831682","0,39037752","69,19998169","69,6126123","2,58298677","25,10941648"
10/01/2010 13.00,"6,50144099","20,58942936","0,54083261","69,19998169","63,616161","4,52047652","36,43331296"
10/01/2010 14.00,"9,60291877","20,03265496","0,52519132","69,19998169","56,6449527","5,8282358","37,24780584"
10/01/2010 15.00,"7,25018588","12,54132998","0,29557332","69,19998169","62,6225712","5,36205317","25,345472"
10/01/2010 16.00,"5,59466955","15,42390515","0,07347772","69,19998169","59,3648559","4,3426317","28,62422696"
10/01/2010 17.00,"8,95451414","30,48441176","0,56966869","69,19998169","37,73057715","5,74144502","46,83763304"
10/01/2010 18.00,"17,71341444","36,39492","0,93235649","69,19998169","25,4324595","7,55800025","55,34060296"
10/01/2010 19.00,"18,64979685","35,98349584","0,9208626","69,19998169","14,54878887","11,89457775","60,17572592"
10/01/2010 20.00,"24,46733178","39,66294864","1,35982528","69,19998169","7,52021435","11,20753323","75,610996"
10/01/2010 21.00,"30,97493172","41,83949296","1,23595316","69,19998169","5,74108731","13,4682327","86,59767304"
10/01/2010 22.00,"14,4134325","30,12229808","0,61686983","69,19998169","13,46362259","10,59094647","63,30272544"
10/01/2010 23.00,"8,23366048","22,62190448",,"69,19998169","23,870175","5,96157061","51,06059096"
11/01/2010 0.00,"4,03396813","18,57903784",,"69,19998169","29,61519645","3,03832411","38,9338648"
11/01/2010 1.00,"2,56138264","15,8431188",,76,"32,81912655","1,80301082","30,62932224"
11/01/2010 2.00,"4,78026815","16,83339905",,76,"25,27112385","4,1429051","29,1105824"
11/01/2010 3.00,"2,24379083","16,4634997",,76,"20,3018781","3,12127877","26,89793952"
11/01/2010 4.00,"1,88979347","14,93980014",,76,"17,63709276","1,82191889","23,92139528"
11/01/2010 5.00,"1,61114259","18,55308053",,76,"14,79886611","2,09371214","28,55159008"
11/01/2010 6.00,"1,63378202","26,7543292",,76,"10,0958192","1,99437158","43,87013256"
11/01/2010 7.00,"2,5479796","30,23652096",,76,"12,06012213","2,59949675","52,57544944"
11/01/2010 8.00,"11,85585039","45,55919336",,76,"6,61680254","2,60158872","94,46385136"
11/01/2010 9.00,"10,51574949","54,13162624",,76,"4,38919751","5,71018651","146,4854709"
11/01/2010 10.00,"12,01179717","53,56967032",,76,"6,96139689","5,21748357","139,6958059"
11/01/2010 11.00,,"45,41512416",,76,"19,01116697","7,65601261","80,89100312"
11/01/2010 12.00,,"33,59152648",,76,,"6,03765644","61,30279256"
11/01/2010 13.00,"5,96877503","36,7103044",,76,"42,5083827","4,63103357","65,03417528"
11/01/2010 14.00,"2,29956413","26,14562488",,76,"56,09315565","2,83855175","44,33448088"
11/01/2010 15.00,"9,20726814","41,07375608",,76,"34,43479725","3,66497409","66,0458336"
11/01/2010 16.00,"11,03105322","39,13212008",,76,"36,5985543","7,28828677","65,95245152"
11/01/2010 17.00,"16,99262586","50,6857816",,76,"20,3166411","8,94887183","87,72087744"
11/01/2010 18.00,"13,99561839","40,14188552",,76,"12,377778","11,74321764","65,92648656"
11/01/2010 19.00,"9,63077643","33,80567048",,76,"9,96930827","5,04587703","58,58823056"
11/01/2010 20.00,"5,0046153","22,9852992",,76,"13,72635212","4,4876142","43,14384024"
11/01/2010 21.00,"11,2545288","42,97772568",,76,"13,62874674","4,35635306","81,28527664"
