"NetC","SIMAGE Brindisi","","","",""
"Stat","P.za San Giusto Casale","","","",""
"Parm","SO2","NOX","NO","NO2","PM10"
"PtId","1","2","3","4","5"
"Unit","ug/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3"
"Arch","2","2","2","2","4"
"Field","Aver","Aver","Aver","Aver","Aver"
"2013-01-13 09:00:00","1.793918","58.543489","13.468236","38.813751",""
"2013-01-13 10:00:00","1.949126","33.065056","5.544233","25.49694","21.97802"
"2013-01-13 11:00:00","1.949126","28.942631","5.258322","21.811904",""
"2013-01-13 12:00:00","1.881448","14.070877","2.259841","11.557315","21.48962"
"2013-01-13 13:00:00","1.705486","14.740765","2.258152","12.212586",""
"2013-01-13 14:00:00","2.113358","14.412631","1.881864","12.462366","9.27961"
"2013-01-13 15:00:00","1.949126","9.998378","1.278367","8.973243",""
"2013-01-13 16:00:00","1.952736","11.439316","1.148714","10.614","13.67521"
"2013-01-13 17:00:00","1.949126","16.61165","1.261895","15.614771",""
"2013-01-13 18:00:00","1.949126","24.169764","1.377612","22.998491","7.570208"
"2013-01-13 19:00:00","1.967173","29.087236","1.552031","27.650253",""
"2013-01-13 20:00:00","1.981611","26.414814","1.939722","24.381039","12.69841"
"2013-01-13 21:00:00","1.949126","20.013611","1.266542","19.011128",""
"2013-01-13 22:00:00","1.949126","19.11157","1.203616","18.205346","13.43101"
"2013-01-13 23:00:00","1.949126","9.719528","0.717947","9.555197",""
"2013-01-14 00:00:00","1.949126","7.572386","0.608142","7.575776","19.0476"
"2013-01-14 01:00:00","1.949126","5.632762","0.608142","5.635283",""
"2013-01-14 02:00:00","","4.548489","0.608142","4.550525","12.69841"
"2013-01-14 03:00:00","2.037558","","","",""
"2013-01-14 04:00:00","1.949126","4.696994","0.732306","4.508356","15.14041"
"2013-01-14 05:00:00","1.95093","4.585454","0.608142","4.587507",""
"2013-01-14 06:00:00","1.949126","6.829869","0.625035","6.806974","18.07081"
"2013-01-14 07:00:00","1.851669","8.781816","0.782561","8.517801",""
"2013-01-14 08:00:00","1.949126","16.32891","1.203616","15.421435","13.67521"
"2013-01-14 09:00:00","1.949126","24.074432","2.426658","21.291573",""
"2013-01-14 10:00:00","5.397094","58.461099","9.542772","44.761753","16.36141"
"2013-01-14 11:00:00","2.501379","21.211364","2.284758","18.645218",""
"2013-01-14 12:00:00","2.34617","14.173987","1.661412","12.562274","13.91941"
"2013-01-14 13:00:00","2.444761","17.023569","2.128065","14.696255",""
"2013-01-14 14:00:00","2.541082","16.282219","2.371334","13.580861","10.25641"
"2013-01-14 15:00:00","2.095311","17.544824","2.093446","15.270924",""
"2013-01-14 16:00:00","2.1675","16.258225","1.816825","14.408696","9.27961"
