"NetC","SIMAGE Brindisi","","","","","","","","","","",""
"Stat","valzani_sanpietrovernotico","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3
12/01/2012 14.00,"1,518134","20,177449","26,597697","0,285192","54,018436"
12/01/2012 15.00,"1,483069","17,427596","22,074499","0,284379","56,493053"
12/01/2012 16.00,"1,472662","18,139462","22,697848","0,274207","54,402532"
12/01/2012 17.00,"1,212426","25,582884","30,759375","0,354716","48,123371"
12/01/2012 18.00,"1,199275","58,452555","74,986211","1,338406","28,318667"
12/01/2012 19.00,"1,497314","68,580227","91,00382","2,227523","16,179413"
12/01/2012 20.00,"1,397054","65,295662","84,880503","2,159353","14,388529"
12/01/2012 21.00,"1,178457","53,604811","71,521667","1,815473","19,523021"
12/01/2012 22.00,"0,910004","47,380888","54,512629","1,405664","15,813212"
12/01/2012 23.00,"0,530334","34,186769","37,138056","1,437606","24,147899"
13/01/2012 0.00,"0,17203","25,626344","28,359146","0,77573","36,5808"
13/01/2012 1.00,,"21,095172","24,02969","0,497705","39,602585"
13/01/2012 2.00,,"16,767398","19,396245","0,390278","48,121673"
13/01/2012 3.00,,"13,492651","16,03466","0,339423","40,867656"
13/01/2012 4.00,,"14,635899","17,758825","0,360233","34,012256"
13/01/2012 5.00,,"16,471334","19,371924","0,447144","35,681093"
13/01/2012 6.00,,"17,118409","19,251966","0,484973","34,359686"
13/01/2012 7.00,,"22,860082","27,79983","0,590554","38,345196"
13/01/2012 8.00,,"41,052818","58,690522","0,711599","23,250747"
13/01/2012 9.00,,"59,65239","87,112113","0,909658","12,96726"
13/01/2012 10.00,,"52,923298","69,239789","0,990732","17,252406"
13/01/2012 11.00,,"41,411242","50,576298","1,296834","25,975479"
13/01/2012 12.00,,"31,510695","39,039731","1,390641","39,828798"
13/01/2012 13.00,,"26,503054","32,357082","0,848137","48,631257"
13/01/2012 14.00,,"29,29639","39,50341","0,894068","50,953097"
13/01/2012 15.00,,"31,412285","42,368905","0,868431","51,816952"
13/01/2012 16.00,,"29,294745","33,915877","0,448376","51,350881"
13/01/2012 17.00,,"28,261404","31,889348","0,399933","51,872454"
13/01/2012 18.00,,"42,191989","45,994764","0,89062","40,937641"
13/01/2012 19.00,,"61,459117","79,670707","0,764895","19,77313"
13/01/2012 20.00,,"51,369167","56,476749","0,575653","22,881134"
13/01/2012 21.00,,"55,642813","67,396452","1,008958","16,885352"
13/01/2012 22.00,,"60,000106","67,321079","1,481051","17,971149"
13/01/2012 23.00,,"48,340444","54,735568","1,338355","34,909387"
14/01/2012 0.00,,"48,479046","55,120606","2,967199","27,123601"
14/01/2012 1.00,,"32,919667","35,520867","1,535602","31,058759"
14/01/2012 2.00,,,,"0,637518","34,766009"
14/01/2012 3.00,,,,"0,374197","39,693079"
14/01/2012 4.00,,"24,557402","27,506375","0,299081","43,122903"
14/01/2012 5.00,"0,042136","16,653401","19,212234","0,249678",
14/01/2012 6.00,"0,174426","14,446452","17,425665","0,199535","47,394378"
14/01/2012 7.00,"0,071603","12,647103","15,735545","0,183971","53,450778"
14/01/2012 8.00,"0,129773","11,646553","15,47615","0,164169","57,140113"
14/01/2012 9.00,"0,101019","17,425133","23,021282","0,196531","52,155844"
14/01/2012 10.00,"0,582625","22,038324","27,482074","0,213401","44,313678"
14/01/2012 11.00,"0,196506","19,610752","23,99646","0,215446","45,914228"
14/01/2012 12.00,"0,369947","17,543233","22,041267","0,237291","49,133199"
14/01/2012 13.00,"0,59688","17,646568","22,116658","0,229532","49,764856"
14/01/2012 14.00,"0,537917","20,240604","28,791201","0,262509","50,516033"
