NetC,ARPA Puglia,CERRATE,,,,,
Stat,Cerrate,,,,,,
Parm,SO2,NO2,NOx,CO,O3,PM10,BENZENE
,,,,,,,
,,,,,
,,,,,,,
,,,,,,,,,,,
,,,,,,,
11/07/2009 0.00,"0,5","13,3","14,2","0,0",,"18,2","0,4"
11/07/2009 1.00,,"9,3","9,8","0,0",,"15,6","0,3"
11/07/2009 2.00,"0,9",,,"0,1",,"15,6","0,2"
11/07/2009 3.00,"1,0","14,8","15,2",,,"15,6","0,4"
11/07/2009 4.00,"1,0","8,0","8,3","0,2",,"15,6","0,1"
11/07/2009 5.00,"0,7","5,1","5,4","0,3",,"15,6","0,0"
11/07/2009 6.00,"1,0","7,7","8,3","0,3",,"15,6","0,3"
11/07/2009 7.00,"0,8","5,5","6,0","0,3",,"15,6","0,3"
11/07/2009 8.00,"0,7","4,8","5,4","0,3",,"15,6","0,0"
11/07/2009 9.00,"0,6","5,0","5,7","0,4",,"15,6","0,1"
11/07/2009 10.00,"0,6","1,1","1,3","0,4",,"15,6","0,1"
11/07/2009 11.00,"0,8","2,0","2,4","0,4",,"15,6","0,3"
11/07/2009 12.00,"1,1","1,9","2,1","0,5",,"15,6","0,3"
11/07/2009 13.00,"0,9","2,6","2,8","0,5",,"15,6","0,3"
11/07/2009 14.00,"1,0","2,1","2,3","0,5",,"15,6","0,1"
11/07/2009 15.00,"1,2","0,4","0,4","0,6",,"15,6","0,2"
11/07/2009 16.00,"0,9","0,3","0,4","0,5",,"15,6","0,0"
11/07/2009 17.00,"1,0","4,4","4,8","0,4",,"15,6","0,1"
11/07/2009 18.00,"1,1","4,4","4,7","0,4",,"15,6","0,1"
11/07/2009 19.00,"0,9","2,1","2,4","0,4",,"15,6","0,1"
11/07/2009 20.00,"1,0","1,6","1,8","0,3",,"15,6","0,0"
11/07/2009 21.00,"1,1","2,5","2,6","0,2",,"15,6","0,1"
11/07/2009 22.00,"0,9","3,1","3,2","0,2",,"15,6","0,1"
11/07/2009 23.00,"0,7","4,7","4,8","0,2",,"15,6","0,4"
12/07/2009 0.00,"0,9","5,8","6,0","0,3",,"15,6","0,4"
12/07/2009 1.00,"0,7","6,5","6,6","0,3",,"10,8","0,4"
12/07/2009 2.00,"0,8","4,7","5,0","0,2",,"10,8","0,1"
12/07/2009 3.00,"0,8","4,4","4,6","0,3",,"10,8","0,2"
12/07/2009 4.00,"0,9","3,5","3,6","0,3",,"10,8","0,2"
12/07/2009 5.00,"0,7","3,8","3,9","0,2",,"10,8","0,0"
12/07/2009 6.00,"0,8","4,5","4,8","0,2",,"10,8","0,2"
12/07/2009 7.00,"0,6","4,3","5,0","0,2",,"10,8","0,2"
12/07/2009 8.00,"0,6","2,3","2,7","0,3",,"10,8","0,1"
12/07/2009 9.00,"0,7","1,0","1,1","0,3",,"10,8","0,1"
12/07/2009 10.00,"1,2","1,1","1,4","0,4",,"10,8","0,2"
12/07/2009 11.00,"1,6","1,2","1,5","0,4",,"10,8","0,2"
12/07/2009 12.00,"1,7","0,8","0,9","0,5",,"10,8","0,2"
12/07/2009 13.00,"2,0","1,1","1,5","0,5",,"10,8","0,0"
12/07/2009 14.00,"2,3","0,8","1,0","0,6",,"10,8","0,0"
12/07/2009 15.00,"2,4","1,3","1,5","0,6",,"10,8","0,2"
12/07/2009 16.00,"1,8","0,5","0,5","0,6",,"10,8","0,2"
12/07/2009 17.00,"1,6","1,1","1,3","0,5",,"10,8","0,0"
12/07/2009 18.00,"1,5","3,4","3,5","0,5",,"10,8","0,0"
12/07/2009 19.00,"1,3","3,6","3,8","0,3",,"10,8","0,2"
12/07/2009 20.00,"1,2","4,0","4,1","0,3",,"10,8","0,1"
12/07/2009 21.00,"1,2","12,3","12,8","0,2",,"10,8","0,2"
12/07/2009 22.00,"0,9","15,5","15,9","0,2",,"10,8","0,3"
12/07/2009 23.00,"0,7","19,0","19,5","0,2",,"10,8","0,5"
13/07/2009 0.00,"0,7","15,7","16,0","0,2",,"10,8","0,6"
13/07/2009 1.00,,"8,5","8,7","0,2",,"9,5","0,5"
13/07/2009 2.00,"0,5",,,"0,4",,"9,5","0,4"
13/07/2009 3.00,"0,3","17,1","17,5",,,"9,5","0,4"
13/07/2009 4.00,"0,1","9,4","9,8","0,2",,"9,5","0,1"
13/07/2009 5.00,"0,2","12,2","12,6","0,4",,"9,5","0,4"
13/07/2009 6.00,"0,1","14,2","15,2","0,3",,"9,5","0,3"
13/07/2009 7.00,"0,1","11,2","12,7","0,3",,"9,5","0,1"
13/07/2009 8.00,"0,1","9,9","11,4",,,"9,5","0,3"
13/07/2009 9.00,"0,2","6,3","7,5","0,7",,"9,5","0,1"
13/07/2009 10.00,"0,4","4,4","5,1","0,7",,"9,5","0,0"
13/07/2009 11.00,"0,5","2,1","2,5","0,8",,"9,5","0,1"
13/07/2009 12.00,"0,8","1,1","1,4","0,8",,"9,5","0,1"
13/07/2009 13.00,"0,7","0,9","1,1","0,8",,"9,5","0,1"
13/07/2009 14.00,"1,0","0,8","1,0","0,8",,"9,5","0,0"
13/07/2009 15.00,"0,6","0,8","0,9","0,8",,"9,5","0,0"
13/07/2009 16.00,"0,6","0,8","0,9","0,8",,"9,5","0,0"
13/07/2009 17.00,"0,3","1,2","1,2","0,8",,"9,5","0,0"
13/07/2009 18.00,"0,7","1,8","2,1","0,8",,"9,5","0,0"
13/07/2009 19.00,"0,5","7,1","7,4","0,7",,"9,5","0,2"
13/07/2009 20.00,"0,4","13,6","13,9","0,6",,"9,5","0,0"
13/07/2009 21.00,"0,8","34,3","35,4","0,5",,"9,5","0,2"
13/07/2009 22.00,"0,8","15,9","16,4","0,5",,"9,5","0,4"
13/07/2009 23.00,"0,6","17,3","18,0","0,5",,"9,5","0,3"
14/07/2009 0.00,"0,3","17,6","18,4","0,6",,"9,5","0,4"
14/07/2009 1.00,"0,4","16,2","16,8","0,6",,"18,1","0,5"
14/07/2009 2.00,"0,3","9,2","9,6","0,6",,"18,1","0,5"
14/07/2009 3.00,"0,3","6,4","6,6","0,6",,"18,1","0,2"
14/07/2009 4.00,"0,2","8,1","8,3","0,6",,"18,1","0,5"
14/07/2009 5.00,"0,7","20,6","22,3","0,6",,"18,1","0,5"
14/07/2009 6.00,"0,2","22,2","24,0","0,6",,"18,1","0,7"
14/07/2009 7.00,"0,4","15,3","16,8","0,6",,"18,1","0,7"
14/07/2009 8.00,"0,2","13,0","14,3","0,6",,"18,1","0,4"
14/07/2009 9.00,"0,3","10,7","12,1","0,7",,"18,1","0,0"
14/07/2009 10.00,"1,1","7,8","8,7","0,8",,"18,1","0,0"
14/07/2009 11.00,"1,3","5,5","6,3","1,0",,"18,1","0,1"
14/07/2009 12.00,"1,4","1,0","1,3","0,9",,"18,1","0,1"
14/07/2009 13.00,"1,6","2,2","2,5","0,8",,"18,1","0,2"
14/07/2009 14.00,,,,,,"18,1","0,3"
14/07/2009 15.00,,,,"0,0",,"18,1","0,3"
14/07/2009 16.00,"0,9","6,3","6,5","0,3",,"18,1","0,1"
14/07/2009 17.00,"1,1","3,1","3,2","0,3",,"18,1","0,3"
14/07/2009 18.00,"0,7","3,4","3,4","0,3",,"18,1","0,1"
14/07/2009 19.00,"0,7","9,7","9,8","0,1",,"18,1","0,1"
14/07/2009 20.00,"0,7","28,9","30,1","0,0",,"18,1","0,3"
14/07/2009 21.00,"0,5","35,3","36,5","0,3",,"18,1","0,5"
14/07/2009 22.00,"0,6","40,4","42,8","0,1",,"18,1","0,7"
14/07/2009 23.00,"0,7","43,7","45,5","0,0",,"18,1","0,8"
15/07/2009 0.00,"0,4","43,3","45,9","0,0",,"18,1","0,6"
15/07/2009 1.00,,"33,2","34,9","0,0",,"25,7","0,8"
15/07/2009 2.00,"1,3",,,"0,0",,"25,7","0,9"
15/07/2009 3.00,"1,4","29,5","30,3",,,"25,7","0,9"
15/07/2009 4.00,"1,2","17,4","18,1","0,3",,"25,7","1,1"
15/07/2009 5.00,"1,2","23,6","26,4","0,5",,"25,7","1,8"
15/07/2009 6.00,"1,1","38,2","63,7","0,8",,"25,7","1,4"
15/07/2009 7.00,"1,1","28,1","32,2","1,1",,"25,7","1,8"
15/07/2009 8.00,"1,3","11,9","12,9","0,7",,"25,7","1,7"
15/07/2009 9.00,"1,6","5,6","5,6","0,7",,"25,7","1,0"
15/07/2009 10.00,"2,6","3,6","3,6","0,7",,"25,7","0,6"
15/07/2009 11.00,"3,4","4,3","4,4","0,7",,"25,7","0,5"
15/07/2009 12.00,"3,4","2,0","2,1","0,6",,"25,7","0,4"
15/07/2009 13.00,"4,1","2,4","2,4","0,5",,"25,7","0,4"
15/07/2009 14.00,"4,1","1,6","1,6","0,4",,"25,7","0,4"
15/07/2009 15.00,"3,7","1,2","1,2","0,4",,"25,7","0,3"
15/07/2009 16.00,"3,6","1,2","1,2","0,5",,"25,7","0,2"
15/07/2009 17.00,"3,5","0,9","0,9","0,5",,"25,7","0,1"
15/07/2009 18.00,"3,1","0,5","0,5","0,5",,"25,7","0,0"
15/07/2009 19.00,"2,9","15,4","15,6","0,5",,"25,7","0,1"
15/07/2009 20.00,"2,2","12,6","13,2","0,4",,"25,7","0,4"
15/07/2009 21.00,"2,0","43,2","45,1","0,4",,"25,7","0,3"
15/07/2009 22.00,"2,1","66,3","75,5","0,5",,"25,7","0,7"
15/07/2009 23.00,"2,3","35,2","37,0","0,6",,"25,7","1,0"
16/07/2009 0.00,"2,1","29,3","30,9","0,7",,"25,7","0,9"
16/07/2009 1.00,"1,9","24,9","25,9","0,7",,"20,4","0,9"
16/07/2009 2.00,"1,9","17,7","18,2","0,8",,"20,4","0,7"
16/07/2009 3.00,"1,7","22,1","22,6","0,5",,"20,4","0,7"
16/07/2009 4.00,"1,6","18,3","18,9","0,6",,"20,4","0,7"
16/07/2009 5.00,"1,7","22,9","24,1","0,5",,"20,4","0,6"
16/07/2009 6.00,"1,6","20,3","22,0","0,6",,"20,4","0,6"
16/07/2009 7.00,"1,4","19,3","21,7","0,5",,"20,4","0,5"
16/07/2009 8.00,"1,3","8,8","9,5","0,5",,"20,4","0,5"
16/07/2009 9.00,"1,6","5,4","5,6","0,5",,"20,4","0,6"
16/07/2009 10.00,"1,6","9,6","10,0","0,7",,"20,4","0,5"
16/07/2009 11.00,"2,3","4,3","4,4","0,5",,"20,4","0,7"
16/07/2009 12.00,"2,4","2,8","2,9","0,3",,"20,4","0,6"
16/07/2009 13.00,"2,2","8,7","9,2","0,3",,"20,4","0,3"
16/07/2009 14.00,"2,6","8,2","8,5","0,3",,"20,4","0,3"
16/07/2009 15.00,"2,4","15,0","16,1","0,3",,"20,4","0,2"
16/07/2009 16.00,"2,9","15,3","16,4","0,4",,"20,4","0,4"
16/07/2009 17.00,"3,1","11,5","11,7","0,3",,"20,4","0,3"
16/07/2009 18.00,"3,1","6,2","6,2","0,4",,"20,4","0,3"
16/07/2009 19.00,"2,6","4,3","4,3","0,4",,"20,4","0,5"
16/07/2009 20.00,"2,2","8,4","8,5","0,2",,"20,4","0,6"
16/07/2009 21.00,"2,2","6,2","6,3","0,1",,"20,4","0,7"
16/07/2009 22.00,"2,2","4,4","4,4","0,3",,"20,4","0,1"
16/07/2009 23.00,"1,9","10,8","10,8","0,3",,"20,4","0,1"
17/07/2009 0.00,"1,9","15,9","16,0","0,3",,"20,4","0,2"
17/07/2009 1.00,,"9,4","9,4","0,4",,"24,7","0,3"
17/07/2009 2.00,"1,1",,,"0,5",,"24,7","0,1"
17/07/2009 3.00,"0,8","11,8","11,9",,,"24,7","0,2"
17/07/2009 4.00,"0,9","7,0","7,0","0,2",,"24,7","0,2"
17/07/2009 5.00,"1,0","10,7","10,9","0,5",,"24,7","0,1"
17/07/2009 6.00,"0,9","15,2","15,8","0,5",,"24,7","0,3"
17/07/2009 7.00,"0,7","11,4","11,9","0,4",,"24,7","0,3"
17/07/2009 8.00,"0,7","14,6","15,5","0,5",,"24,7","0,4"
17/07/2009 9.00,"0,8","14,4","15,3","0,9",,"24,7","0,3"
17/07/2009 10.00,"0,8","10,9","11,4","0,8",,"24,7","0,4"
17/07/2009 11.00,"1,0","9,9","10,3","0,9",,"24,7","0,4"
17/07/2009 12.00,"1,3","8,7","9,0","0,8",,"24,7","0,5"
17/07/2009 13.00,"1,2","8,9","9,2","0,8",,"24,7","0,6"
17/07/2009 14.00,"1,4","2,4","2,5","0,8",,"24,7","0,5"
17/07/2009 15.00,"1,1","1,0","1,0","0,9",,"24,7","0,3"
17/07/2009 16.00,"1,0","1,5","1,5","0,8",,"24,7","0,3"
17/07/2009 17.00,"1,0","0,8","0,8","0,8",,"24,7","0,3"
17/07/2009 18.00,"0,9","1,9","1,9","0,7",,"24,7","0,3"
17/07/2009 19.00,"0,8","5,6","5,9","0,7",,"24,7","0,4"
17/07/2009 20.00,"1,0","12,8","14,3","0,6",,"24,7","0,3"
17/07/2009 21.00,"0,8","13,1","13,3","0,6",,"24,7","0,3"
17/07/2009 22.00,"0,9","23,4","23,8","0,7",,"24,7","0,5"
17/07/2009 23.00,"1,0","11,0","11,3","0,7",,"24,7","0,5"
18/07/2009 0.00,"0,9","10,1","10,5","0,6",,"24,7","0,5"
18/07/2009 1.00,"1,1","15,1","15,4","0,6",,"28,0","0,5"
18/07/2009 2.00,"1,0","16,4","17,0","0,8",,"28,0","0,4"
18/07/2009 3.00,"0,9","7,7","8,1","0,7",,"28,0","0,4"
18/07/2009 4.00,"0,6","4,9","5,1","0,7",,"28,0","0,4"
18/07/2009 5.00,"0,8","5,5","5,6","0,8",,"28,0","0,3"
18/07/2009 6.00,"0,8","4,4","4,5","0,7",,"28,0","0,4"
18/07/2009 7.00,"0,8","6,5","6,8","0,7",,"28,0","0,4"
18/07/2009 8.00,"1,0","8,7","9,0","0,8",,"28,0","0,4"
18/07/2009 9.00,"0,7","6,3","6,6","0,8",,"28,0","0,4"
18/07/2009 10.00,"1,2","3,2","3,2","0,7",,"28,0","0,5"
18/07/2009 11.00,"0,8","2,1","2,2","0,7",,"28,0","0,3"
18/07/2009 12.00,"1,3","1,8","1,9","0,7",,"28,0","0,3"
18/07/2009 13.00,"1,4","1,5","1,5","0,5",,"28,0","0,3"
18/07/2009 14.00,"1,6","0,3","0,3","0,4",,"28,0","0,2"
18/07/2009 15.00,"1,4","0,2","0,2","0,4",,"28,0","0,3"
18/07/2009 16.00,"1,7","0,5","0,5","0,4",,"28,0","0,4"
18/07/2009 17.00,"1,6","1,5","1,5","0,4",,"28,0","0,4"
18/07/2009 18.00,"1,6","1,3","1,3","0,6",,"28,0","0,4"
18/07/2009 19.00,"1,3","2,5","2,6","0,5",,"28,0","0,3"
18/07/2009 20.00,"1,4","5,0","5,0","0,5",,"28,0","0,3"
18/07/2009 21.00,"1,5","5,4","5,4","0,4",,"28,0","0,4"
18/07/2009 22.00,"1,5","8,5","8,5","0,4",,"28,0","0,4"
18/07/2009 23.00,"0,9","3,4","3,4","0,5",,"28,0","0,3"
19/07/2009 0.00,"1,0","3,1","3,1","0,5",,"28,0","0,4"
19/07/2009 1.00,,"2,9","2,9","0,5",,"14,6","0,6"
19/07/2009 2.00,"0,4",,,"0,6",,"14,6","0,6"
19/07/2009 3.00,"0,5","14,6","14,6",,,"14,6","0,4"
19/07/2009 4.00,"0,5","3,8","3,8","0,2",,"14,6","0,5"
19/07/2009 5.00,"0,5","1,6","1,6","0,3",,"14,6","0,2"
19/07/2009 6.00,"0,5","2,0","2,0","0,3",,"14,6","0,0"
19/07/2009 7.00,"0,6","1,9","1,9","0,2",,"14,6","0,0"
19/07/2009 8.00,"0,6","2,3","2,3","0,3",,"14,6","0,0"
19/07/2009 9.00,"0,7","2,0","2,0","0,4",,"14,6","0,0"
19/07/2009 10.00,"0,8","3,3","3,5","0,4",,"14,6","0,0"
19/07/2009 11.00,"1,5","4,8","5,4","0,4",,"14,6","0,1"
19/07/2009 12.00,"2,9","6,5","7,3","0,4",,"14,6","0,3"
19/07/2009 13.00,"3,2","4,9","5,5","0,4",,"14,6","0,2"
19/07/2009 14.00,"3,6","5,0","5,7","0,4",,"14,6","0,1"
19/07/2009 15.00,"3,7","6,8","8,2","0,4",,"14,6","0,0"
19/07/2009 16.00,"2,0","2,5","2,7","0,4",,"14,6","0,0"
19/07/2009 17.00,"2,7","9,8","11,2","0,4",,"14,6","0,0"
19/07/2009 18.00,"5,0","12,7","14,1","0,4",,"14,6","0,0"
19/07/2009 19.00,"3,2","9,6","10,1","0,3",,"14,6","0,0"
19/07/2009 20.00,"1,3","6,1","6,2","0,2",,"14,6","0,1"
19/07/2009 21.00,"0,8","9,7","10,0","0,2",,"14,6","0,1"
19/07/2009 22.00,"0,7","11,6","11,8","0,3",,"14,6","0,3"
19/07/2009 23.00,"0,5","11,1","11,4","0,3",,"14,6","0,3"
20/07/2009 0.00,"0,7","15,4","15,8","0,2",,"14,6","0,3"
20/07/2009 1.00,"0,7","8,6","8,8","0,3",,"14,1","0,3"
20/07/2009 2.00,"0,5","5,8","5,9","0,2",,"14,1","0,3"
20/07/2009 3.00,"0,6","4,5","4,5","0,2",,"14,1","0,3"
20/07/2009 4.00,"0,5","8,6","8,6","0,2",,"14,1","0,3"
20/07/2009 5.00,"0,5","13,5","13,5","0,3",,"14,1","0,0"
20/07/2009 6.00,"0,2","10,7","11,3","0,3",,"14,1","0,0"
20/07/2009 7.00,"0,3","3,2","3,4","0,2",,"14,1","0,2"
20/07/2009 8.00,"0,4","1,9","2,2","0,2",,"14,1","0,3"
20/07/2009 9.00,"0,4","2,2","2,6","0,3",,"14,1","0,3"
20/07/2009 10.00,"0,6","1,2","1,3","0,4",,"14,1","0,3"
20/07/2009 11.00,"0,8","1,0","1,0","0,5",,"14,1","0,3"
20/07/2009 12.00,"1,0","0,6","0,6","0,5",,"14,1","0,3"
20/07/2009 13.00,"1,1","0,2","0,2","0,5",,"14,1","0,2"
20/07/2009 14.00,"0,9","0,3","0,3","0,5",,"14,1","0,2"
20/07/2009 15.00,"1,2","0,2","0,2","0,5",,"14,1","0,3"
20/07/2009 16.00,"1,1","1,1","1,2","0,6",,"14,1","0,1"
20/07/2009 17.00,"1,2","1,7","1,8","0,5",,"14,1","0,2"
20/07/2009 18.00,"1,6","2,0","2,1","0,4",,"14,1","0,1"
20/07/2009 19.00,"1,6","4,0","4,2","0,5",,"14,1","0,3"
20/07/2009 20.00,"1,4","4,3","4,3","0,4",,"14,1","0,5"
20/07/2009 21.00,"0,8","7,5","7,5","0,3",,"14,1","0,6"
20/07/2009 22.00,"0,8","17,1","17,6","0,2",,"14,1","1,5"
20/07/2009 23.00,"0,7","7,9","8,0","0,1",,"14,1","1,4"
21/07/2009 0.00,"0,6","11,3","11,5","0,2",,"14,1","0,4"
21/07/2009 1.00,,"6,7","6,8","0,2",,,"0,5"
21/07/2009 2.00,"0,9",,,"0,3",,,"0,3"
21/07/2009 3.00,"0,6","17,4","17,5",,,,"0,3"
21/07/2009 4.00,"0,4","10,2","10,4","0,3",,,"0,5"
21/07/2009 5.00,"0,5","10,8","11,0","0,4",,,"0,4"
21/07/2009 6.00,"0,4","16,8","18,0","0,4",,,"0,3"
21/07/2009 7.00,"0,3","8,3","8,9","0,4",,,"0,4"
21/07/2009 8.00,"0,6","3,9","4,4","0,4",,,"0,4"
21/07/2009 9.00,"0,6","3,0","3,4","0,7",,,"0,4"
21/07/2009 10.00,"0,7","2,1","2,1","0,6",,,"0,3"
21/07/2009 11.00,"1,0","1,5","1,5","0,6",,,"0,2"
21/07/2009 12.00,"1,3","0,8","0,8","0,6",,,"0,3"
21/07/2009 13.00,"1,1","1,3","1,4","0,6",,,"0,3"
21/07/2009 14.00,"1,7","1,2","1,2","0,6",,,"0,3"
21/07/2009 15.00,"2,5","1,1","1,1","0,6",,,"0,2"
21/07/2009 16.00,"2,1","5,5","5,8",,,,"0,2"
21/07/2009 17.00,,,,,,,
21/07/2009 18.00,,,,,,,
21/07/2009 19.00,,,,,,,
21/07/2009 20.00,,,,,,,
21/07/2009 21.00,,,,,,,
21/07/2009 22.00,,,,,,,
21/07/2009 23.00,,,,,,,
22/07/2009 0.00,,,,,,,
22/07/2009 1.00,,,,,,,
22/07/2009 2.00,,,,,,,
22/07/2009 3.00,,,,,,,
22/07/2009 4.00,,,,,,,
22/07/2009 5.00,,,,,,,
22/07/2009 6.00,,,,,,,
22/07/2009 7.00,,,,,,,
22/07/2009 8.00,,,,,,,
22/07/2009 9.00,,,,,,,
22/07/2009 10.00,,,,,,,
22/07/2009 11.00,,,,,,,
22/07/2009 12.00,,,,,,,
22/07/2009 13.00,,,,,,,
22/07/2009 14.00,,,,,,,
22/07/2009 15.00,,,,,,,
22/07/2009 16.00,,,,,,,
22/07/2009 17.00,,,,,,,
22/07/2009 18.00,,,,,,,
22/07/2009 19.00,,,,,,,
22/07/2009 20.00,,,,,,,
22/07/2009 21.00,,,,,,,
22/07/2009 22.00,,,,,,,
22/07/2009 23.00,,,,,,,
23/07/2009 0.00,,,,,,,
23/07/2009 1.00,,,,,,"17,0",
23/07/2009 2.00,,,,,,"17,0",
23/07/2009 3.00,,,,,,"17,0",
23/07/2009 4.00,,,,,,"17,0",
23/07/2009 5.00,,,,,,"17,0",
23/07/2009 6.00,,,,,,"17,0",
23/07/2009 7.00,,,,,,"17,0",
23/07/2009 8.00,,,,,,"17,0",
23/07/2009 9.00,,,,,,"17,0",
23/07/2009 10.00,,,,,,"17,0",
23/07/2009 11.00,,,,,,"17,0",
23/07/2009 12.00,,,,,,"17,0",
23/07/2009 13.00,,,,,,"17,0",
23/07/2009 14.00,,,,,,"17,0",
23/07/2009 15.00,,,,,,"17,0",
23/07/2009 16.00,,,,,,"17,0",
23/07/2009 17.00,,,,,,"17,0",
23/07/2009 18.00,,,,,,"17,0",
23/07/2009 19.00,,,,,,"17,0",
23/07/2009 20.00,,,,,,"17,0",
23/07/2009 21.00,,,,,,"17,0",
23/07/2009 22.00,,,,,,"17,0",
23/07/2009 23.00,,,,,,"17,0",
24/07/2009 0.00,,,,,,"17,0",
24/07/2009 1.00,,,,,,"32,9",
24/07/2009 2.00,,,,,,"32,9",
24/07/2009 3.00,,,,,,"32,9",
24/07/2009 4.00,,,,,,"32,9",
24/07/2009 5.00,,,,,,"32,9",
24/07/2009 6.00,,,,,,"32,9",
24/07/2009 7.00,,,,,,"32,9",
24/07/2009 8.00,,,,,,"32,9",
24/07/2009 9.00,,,,,,"32,9",
24/07/2009 10.00,,,,,,"32,9",
24/07/2009 11.00,,,,,,"32,9",
24/07/2009 12.00,,,,,,"32,9",
24/07/2009 13.00,,,,,,"32,9",
24/07/2009 14.00,,,,,,"32,9",
24/07/2009 15.00,,,,,,"32,9","1,0"
24/07/2009 16.00,"3,8","1,3","1,3",,,"32,9","0,9"
24/07/2009 17.00,"4,3","4,5","4,5","0,2",,"32,9","0,8"
24/07/2009 18.00,"5,9","5,4","5,5","0,1",,"32,9","1,1"
24/07/2009 19.00,"5,9","10,9","11,2","0,2",,"32,9","1,1"
24/07/2009 20.00,"4,0","50,6","55,5","0,3",,"32,9","1,4"
24/07/2009 21.00,"3,4","28,4","29,0","0,2",,"32,9","1,8"
24/07/2009 22.00,"2,4","30,5","31,2","0,3",,"32,9","1,7"
24/07/2009 23.00,"2,5","25,9","26,4","0,2",,"32,9","1,8"
25/07/2009 0.00,"2,6","22,6","23,0","0,2",,"32,9","1,7"
25/07/2009 1.00,,"16,2","16,5","0,2",,"44,3","1,2"
25/07/2009 2.00,"0,7",,,"0,2",,"44,3","0,9"
25/07/2009 3.00,"0,4","24,3","25,0",,,"44,3","0,8"
25/07/2009 4.00,"0,3","20,9","22,3","0,2",,"44,3","0,9"
25/07/2009 5.00,"0,3","27,3","28,5","0,4",,"44,3","1,1"
25/07/2009 6.00,"0,2","24,2","26,3","0,5",,"44,3","1,2"
25/07/2009 7.00,"0,2","27,5","31,4","0,4",,"44,3","1,2"
25/07/2009 8.00,"0,6","13,0","14,1","0,4",,"44,3","1,3"
25/07/2009 9.00,"1,2","10,5","11,2","0,3",,"44,3","1,3"
25/07/2009 10.00,"2,8","10,2","10,9","0,3",,"44,3","1,5"
25/07/2009 11.00,"7,5","15,7","16,9","0,2",,"44,3","1,2"
25/07/2009 12.00,"5,0","10,8","11,2","0,2",,"44,3","1,4"
25/07/2009 13.00,"3,6","9,3","9,8","0,4",,"44,3","1,2"
25/07/2009 14.00,"1,8","3,6","3,6","0,4",,"44,3","1,7"
25/07/2009 15.00,"1,0","1,5","1,5","0,5",,"44,3","1,0"
25/07/2009 16.00,"0,9","1,7","1,7","0,5",,"44,3","0,6"
25/07/2009 17.00,"0,9","2,7","2,7","0,5",,"44,3","0,5"
25/07/2009 18.00,"0,6","3,6","3,6","0,5",,"44,3","0,4"
25/07/2009 19.00,"0,6","5,3","5,5","0,5",,"44,3","0,4"
25/07/2009 20.00,"0,5","12,9","13,3","0,3",,"44,3","0,5"
25/07/2009 21.00,"0,5","13,2","13,6","0,3",,"44,3","0,6"
25/07/2009 22.00,"0,5","8,2","8,3","0,3",,"44,3","0,4"
25/07/2009 23.00,"0,3","8,6","8,8","0,3",,"44,3","0,4"
26/07/2009 0.00,"0,4","7,6","7,8","0,2",,"44,3","0,4"
26/07/2009 1.00,"0,3","6,1","6,2","0,3",,"18,4","0,3"
26/07/2009 2.00,"0,2","2,5","2,5","0,3",,"18,4","0,3"
26/07/2009 3.00,"0,2","6,6","6,7","0,3",,"18,4","0,3"
26/07/2009 4.00,"0,1","4,6","4,8","0,3",,"18,4","0,3"
26/07/2009 5.00,"0,1","1,0","1,0","0,4",,"18,4","0,2"
26/07/2009 6.00,"0,2","3,9","4,0","0,3",,"18,4","0,3"
26/07/2009 7.00,"0,2","9,3","10,1","0,3",,"18,4","0,3"
26/07/2009 8.00,"0,1","3,1","3,1","0,3",,"18,4","0,6"
26/07/2009 9.00,"0,2","1,6","1,6","0,4",,"18,4","0,8"
26/07/2009 10.00,"0,2","1,1","1,2","0,5",,"18,4","0,4"
26/07/2009 11.00,"0,1","0,9","0,9","0,5",,"18,4","0,3"
26/07/2009 12.00,"0,2","0,8","0,8","0,6",,"18,4","0,4"
26/07/2009 13.00,"0,3","0,6","0,6","0,5",,"18,4","0,3"
26/07/2009 14.00,"0,2","1,1","1,2","0,5",,"18,4","0,3"
26/07/2009 15.00,"0,3","1,3","1,4","0,4",,"18,4","0,3"
26/07/2009 16.00,"0,4","0,8","0,8","0,4",,"18,4","0,1"
26/07/2009 17.00,"0,4","0,8","0,8","0,5",,"18,4","0,4"
26/07/2009 18.00,"0,7","2,6","2,7","0,6",,"18,4","0,4"
26/07/2009 19.00,"0,7","4,5","4,6","0,5",,"18,4","0,4"
26/07/2009 20.00,"0,5","8,9","8,9","0,3",,"18,4","0,5"
26/07/2009 21.00,"0,4","9,6","9,7","0,2",,"18,4","0,3"
26/07/2009 22.00,"0,3","9,8","9,9","0,2",,"18,4","0,0"
26/07/2009 23.00,"0,4","7,7","7,8","0,2",,"18,4","0,1"
27/07/2009 0.00,"0,2","6,8","6,9","0,3",,"18,4","0,1"
27/07/2009 1.00,,"5,6","5,6","0,2",,"18,1","0,1"
27/07/2009 2.00,"0,9",,,"0,3",,"18,1","0,4"
27/07/2009 3.00,"1,0","10,9","11,0",,,"18,1","0,3"
27/07/2009 4.00,"1,1","7,1","7,1","0,2",,"18,1","0,4"
27/07/2009 5.00,"1,0","4,0","4,2","0,4",,"18,1","0,3"
27/07/2009 6.00,"1,1","5,5","5,6","0,3",,"18,1","0,3"
27/07/2009 7.00,"1,1","3,8","3,8","0,3",,"18,1","0,4"
27/07/2009 8.00,"1,0","3,7","3,8","0,4",,"18,1","0,3"
27/07/2009 9.00,"1,0","1,9","2,0","0,4",,"18,1","0,3"
