"NetC","Provincia Bari","","","","","","","","","","",""
"Stat","Altamura","","","","","","","","","","",""
Parm,NO2,NOX,CO,O3,PM10,BENZENE
09/01/2012 14.00,"34,00618192","60,4429088","0,5569667","28,597926","7,57020807","2,65116035"
09/01/2012 15.00,"30,33644208","48,75391592","0,46695414","29,67931575",,"2,30303718"
09/01/2012 16.00,"28,15538544","40,9876396","0,47304942","28,176183","4,63980484","1,95219659"
09/01/2012 17.00,"22,82046568","33,62341864","0,52643205","34,5719136",,"2,16061548"
09/01/2012 18.00,"36,96467688","55,11687984","0,64265361","22,45633845","8,30280876","1,88342603"
09/01/2012 19.00,"41,01209408","66,46215248","0,63018811","15,64630421",,"3,30470184"
09/01/2012 20.00,"41,76746792","66,80455344","0,68673605","13,86336872","5,61660624","3,77267439"
09/01/2012 21.00,"49,27629344","88,71825312","0,72354306","9,22219872",,"3,70346042"
09/01/2012 22.00,"58,66444288","105,52377712","0,7947397","1,48893434","13,43101025","3,86290873"
09/01/2012 23.00,"41,73047072","61,97721232","0,56522422","10,89090849",,"4,37286406"
10/01/2012 0.00,"25,69915376","33,98396448","0,42057199","18,14093201","11,23320961","2,69109184"
10/01/2012 1.00,"13,8541283","17,43717614","0,34866703","26,90016105",,"1,79441209"
10/01/2012 2.00,"7,76776577","9,1190297","0,3382461","32,1644673","12,69841003","1,27580514"
10/01/2012 3.00,"5,28623259","6,17943486","0,32336206",,,"0,88980178"
10/01/2012 4.00,,,"0,2937699","35,22142575","6,83760691","0,69713418"
10/01/2012 5.00,"13,64711988","14,59420805",,"36,75159075",,"0,58299728"
10/01/2012 6.00,"9,09029617","10,16244443","0,29023063","38,12698365","4,39560509","0,37396717"
10/01/2012 7.00,"12,93783862","15,49106415","0,35570596","33,73451235",,"0,48028435"
10/01/2012 8.00,"24,02684208","32,7051424","0,37306795","22,1940957","2,686203","0,52443131"
10/01/2012 9.00,"34,64278232","58,2451604","0,55244417","14,78660883",,"1,01003965"
10/01/2012 10.00,"33,91337344","59,8851784","0,56105585","19,03510098","11,23320961","2,56625102"
10/01/2012 11.00,"24,5713032","40,27041016","0,48409944","28,80135615",,"2,44091085"
10/01/2012 12.00,"20,01837232","32,56248808","0,45452708","35,4011952","12,45421028","2,22955283"
10/01/2012 13.00,"21,99178576","34,69861272","0,451441","34,97811555",,"2,40342017"
10/01/2012 14.00,"27,9451228","44,75143072","0,51974611","33,9055038","3,90720391","2,04159801"
10/01/2012 15.00,"23,6530652","34,47942104","0,45539151","35,77563675",,"2,36836926"
10/01/2012 16.00,"23,9561172","34,99560368","0,44251477","33,9514686","4,88400507","1,5735146"
10/01/2012 17.00,"31,59084792","45,42588872","0,56174436","22,4826924",,"2,78465279"
10/01/2012 18.00,"38,77522616","55,5396804","0,616405","13,5186806","13,91940975","2,95624611"
10/01/2012 19.00,"45,98164976","72,22008312","0,68357074","10,17178281",,"3,36709479"
10/01/2012 20.00,"45,36126312","76,36262232","0,69609566","13,34565824","11,96580982","3,98408835"
10/01/2012 21.00,"43,1912196","72,30373312","0,64937799","16,76013665",,"3,7339633"
10/01/2012 22.00,"41,42028696","65,35711208","0,63585001","16,83447633","11,96580982","2,95491486"
10/01/2012 23.00,"36,5299072","48,98932136","0,53514159","17,56103538",,"2,8584697"
11/01/2012 0.00,"21,60955784","28,01139272","0,40228499","29,07846165","11,96580982","2,01131683"
11/01/2012 1.00,"13,98261852","17,61356388","0,35295306","32,90116095",,"1,22882991"
11/01/2012 2.00,"9,86901935","11,36992788","0,33616192","35,0240604","12,45421028","0,85452917"
11/01/2012 3.00,"7,55361603","8,21633435","0,35088868","37,3889334",,"0,76668071"
11/01/2012 4.00,"7,28560526","8,15732238","0,31229223","37,38284865","7,08180714","0,77466721"
11/01/2012 5.00,"7,10974332","7,75850213","0,35078966","37,4761149",,"0,7586942"
11/01/2012 6.00,"5,96826402","6,74102559","0,2937699","42,6397335","7,81440783","0,6588665"
11/01/2012 7.00,"11,68604075","14,51444323","0,3534843","34,74019185",,"0,52310005"
11/01/2012 8.00,"21,71793","30,78562824","0,41457457","25,4200107","7,57020807","0,55105128"
11/01/2012 9.00,"40,93033696","74,60845792","0,64817921","11,39307992",,"1,22982861"
