TARANTO -  V. Machiavelli,,,,,,
,SO2,NO2,CO,PM10,BENZENE,PM2.5
12/01/2011 0.00,"3,276208","48,201652","0,764511","38,900002","2,843532","26,5"
12/01/2011 1.00,,"35,784914","0,538013","34,200001","2,944215","17,200001"
12/01/2011 2.00,"3,117274",,"0,463949","34,200001","1,732459","17,200001"
12/01/2011 3.00,"2,779539","33,369579",,"34,200001","1,663303","17,200001"
12/01/2011 4.00,"2,555587","25,456462","0,409856","34,200001","1,343965","17,200001"
12/01/2011 5.00,"2,974595","26,424661","0,433975","34,200001","1,648557","17,200001"
12/01/2011 6.00,"2,626023","25,2475","0,363925","34,200001","1,428885","17,200001"
12/01/2011 7.00,"3,89569","54,814322","0,710066","34,200001","1,202602","17,200001"
12/01/2011 8.00,"4,376104","60,492522","0,905749","34,200001","3,227449","17,200001"
12/01/2011 9.00,"5,465162","71,48549","1,474897","34,200001","3,621028","17,200001"
12/01/2011 10.00,"4,811366","77,359654","1,344805","34,200001","4,897872","17,200001"
12/01/2011 11.00,"4,693972","100,35277","0,729063","34,200001","4,801257","17,200001"
12/01/2011 12.00,"3,494742","71,747648","0,491397","34,200001","3,622554","17,200001"
12/01/2011 13.00,"3,137141","47,01931","0,495189","34,200001","4,138681","17,200001"
12/01/2011 14.00,"2,700072","24,120949","0,409817","34,200001","1,929757","17,200001"
12/01/2011 15.00,"2,880679","25,142359","0,387458","34,200001","1,235146","17,200001"
12/01/2011 16.00,"2,757866","30,139181","0,47713","34,200001","0,597996","17,200001"
12/01/2011 17.00,"3,039612","24,197526","0,409387","34,200001","1,621606","17,200001"
12/01/2011 18.00,"2,963759","31,655071","0,668591","34,200001","1,842804","17,200001"
12/01/2011 19.00,"3,772877","75,181828","1,942956","34,200001","1,937893","17,200001"
12/01/2011 20.00,"3,547118","48,362605","0,682273","34,200001","3,347964","17,200001"
12/01/2011 21.00,"3,38999","32,880281","0,528376","34,200001","1,87128","17,200001"
12/01/2011 22.00,"3,509191","62,142099","1,140092","34,200001","4,086814","17,200001"
12/01/2011 23.00,"3,633809","44,13154","0,83312","34,200001","6,427441","17,200001"
13/01/2011 0.00,"3,745786","25,038539","0,45782","34,200001","2,688948","17,200001"
13/01/2011 1.00,"3,622973","27,108641","0,530409","41,299992","1,434478","21,79999"
13/01/2011 2.00,"3,648259","39,886191","0,733989","41,299992","2,477412","21,79999"
13/01/2011 3.00,"3,427917","34,126235","0,76483","41,299992","4,509887","21,79999"
13/01/2011 4.00,"3,350257","38,284625","0,823817","41,299992","3,286944","21,79999"
13/01/2011 5.00,"3,94626","25,335739","0,546318","41,299992","6,525072","21,79999"
13/01/2011 6.00,"3,758428","12,571183","0,42002","41,299992","4,284621","21,79999"
13/01/2011 7.00,"3,33942","20,396049","0,493038","41,299992","3,814258","21,79999"
13/01/2011 8.00,"3,579627","30,454546","0,603625","41,299992","7,23087","21,79999"
13/01/2011 9.00,"3,534476","30,03274","0,55402","41,299992","7,14951","21,79999"
13/01/2011 10.00,"3,808998","32,105442","0,53467","41,299992","3,514752","21,79999"
13/01/2011 11.00,"3,877629","31,151506","0,786682","41,299992","3,536617","21,79999"
13/01/2011 12.00,"4,152152","33,834217","1,042016","41,299992","3,414577","21,79999"
13/01/2011 13.00,"3,878879","33,612882","0,725598","41,299992","2,633013","21,79999"
13/01/2011 14.00,"3,581434","28,288402","0,656865","41,299992","2,172312","21,79999"
13/01/2011 15.00,"3,742173","24,712771","0,560704","41,299992","2,020779","21,79999"
13/01/2011 16.00,"3,749398","31,800441","0,635912","41,299992","1,691779","21,79999"
13/01/2011 17.00,"3,442367","34,490949","0,506056","41,299992","1,009881","21,79999"
13/01/2011 18.00,"3,657288","48,872669","0,61461","41,299992","2,107732","21,79999"
13/01/2011 19.00,"3,435142","55,455474","0,714052","41,299992","2,347744","21,79999"
13/01/2011 20.00,,,,"41,299992",,"21,79999"
13/01/2011 21.00,"3,960707","64,793665","0,837225","41,299992","2,455038","21,79999"
13/01/2011 22.00,"5,053379","72,843052","1,106436","41,299992","3,981555","21,79999"
13/01/2011 23.00,"4,457376","65,225854","0,745581","41,299992","3,146089","21,79999"
14/01/2011 0.00,"3,799968","54,859732","0,77695","41,299992","3,323556","21,79999"
14/01/2011 1.00,,"41,909587","0,682469","47,5","2,843532","31,6"
14/01/2011 2.00,"3,455009",,"0,617735","47,5","2,512498","31,6"
14/01/2011 3.00,"3,27079","44,819402",,"47,5","1,828057","31,6"
14/01/2011 4.00,"3,33942","33,386446","0,560987","47,5","1,741104","31,6"
14/01/2011 5.00,"3,438755","31,006157","0,562147","47,5","2,050272","31,6"
14/01/2011 6.00,"3,601301","32,695984","0,576628","47,5","2,012134","31,6"
14/01/2011 7.00,"4,020308","37,27098","0,873798","47,5","2,14587","31,6"
14/01/2011 8.00,"5,14007","46,522208","1,119276","47,5","3,831547","31,6"
14/01/2011 9.00,"6,308597","62,762486","1,387941","47,5","3,660691","31,6"
14/01/2011 10.00,"7,524081","76,413501","1,278419","47,5","4,453443","31,6"
14/01/2011 11.00,"5,683697","81,475213","1,036382","47,5","5,502987","31,6"
14/01/2011 12.00,"4,757184","94,804356","0,582649","47,5","4,513446","31,6"
14/01/2011 13.00,"3,527252","49,457988","0,307337","47,5","2,463682","31,6"
14/01/2011 14.00,"3,819835","64,012328","0,243171","47,5","2,89845","31,6"
14/01/2011 15.00,"3,440561","47,107549","0,300259","47,5","1,831617","31,6"
14/01/2011 16.00,"3,547897","55,904985","0,419575","47,5","1,740595","31,6"
14/01/2011 17.00,"3,749398","59,102482","0,426752","47,5","1,343457","31,6"
