,Provincia Bari,,,,,
,Monopoli,,,,,
Parm,O3,NO2,CO,Benzene,PM10,BENZENE
,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,
15/01/2010 18.00,"64,63578555","7,8170839","0,35764918",,"15,62880993",
15/01/2010 19.00,"63,5443809","8,27134068","0,35566052",,,
15/01/2010 20.00,"68,99003265","4,76708444","0,32015482",,"20,51280975",
15/01/2010 21.00,"73,004631","1,7404458","0,2929975",,,
15/01/2010 22.00,"75,58961235","0,67099919","0,25594002",,"16,11721039",
15/01/2010 23.00,"75,2982825","0,49059626","0,23924207",,,
16/01/2010 0.00,"67,20797895","2,28166034","0,27955923",,"16,11721039",
16/01/2010 1.00,"60,33839595","1,44323305","0,29709364",,,
16/01/2010 2.00,,"1,70280808","0,3005933",,"11,72161007",
16/01/2010 3.00,"60,70100715",,"0,29426968",,,
16/01/2010 4.00,"60,08838255","14,7243598",,,"24,90842056",
16/01/2010 5.00,"59,00844915","9,01242423","0,29529139",,,
16/01/2010 6.00,"59,26347","3,71191474","0,29517139",,"23,93161964",
16/01/2010 7.00,"59,91457815","0,45555312","0,28037939",,,
16/01/2010 8.00,"60,4944249","0,1220009","0,25993364",,"27,35042",
