,ARPA Puglia,,
,Verdi,,
Parm,SO2,NO2,PM10



16/01/2010 8.00,"7,53311121","40,90993592","38,40000153"
16/01/2010 9.00,"8,37293354","48,18098512","38,40000153"
16/01/2010 10.00,"8,51380635","51,13288368","38,40000153"
16/01/2010 11.00,"8,9707414","55,9821172","38,40000153"
16/01/2010 12.00,"9,07368824","57,2049368","38,40000153"
16/01/2010 13.00,"9,17121549","59,29438952","38,40000153"
16/01/2010 14.00,"8,72872896","55,02292416","38,40000153"
16/01/2010 15.00,"8,34042412","41,64896216","38,40000153"
16/01/2010 16.00,"8,39279962","34,38494912","38,40000153"
16/01/2010 17.00,"8,6853834","32,48059712","38,40000153"
16/01/2010 18.00,"9,10258528","34,09606504","38,40000153"
16/01/2010 19.00,"9,22178581","34,808438","38,40000153"
16/01/2010 20.00,"9,05201495","42,81289216","38,40000153"
16/01/2010 21.00,"9,20733729","58,92558384","38,40000153"
16/01/2010 22.00,"9,38794429","57,41808656","38,40000153"
16/01/2010 23.00,"9,33015021","52,8843904","38,40000153"
17/01/2010 0.00,"9,70400653","49,59873312","38,40000153"
17/01/2010 1.00,"9,67872086","46,11537504","75,19998169"
17/01/2010 2.00,"9,26513137","42,00516776","75,19998169"
17/01/2010 3.00,"8,79194161","37,94404152","75,19998169"
17/01/2010 4.00,"9,12064516","31,26056904","75,19998169"
17/01/2010 5.00,"8,4686546","26,74788576","75,19998169"
17/01/2010 6.00,"9,0104766","25,19132656","75,19998169"
17/01/2010 7.00,"8,64384302","28,18666576","75,19998169"
17/01/2010 8.00,"8,93100822","36,14766016","75,19998169"
17/01/2010 9.00,"9,0791058","44,88693416","75,19998169"
17/01/2010 10.00,"9,223592","53,08912736","75,19998169"
17/01/2010 11.00,"9,26693756","59,92544512","75,19998169"
17/01/2010 12.00,"9,98214078","62,59966392","75,19998169"
17/01/2010 13.00,"10,22956569","65,05514992","75,19998169"
17/01/2010 14.00,"10,16635914","64,88545992","75,19998169"
17/01/2010 15.00,"9,87558257","60,7429972","75,19998169"
17/01/2010 16.00,"8,02977944","56,18404352","75,19998169"
17/01/2010 17.00,"7,88890663","58,1192552","75,19998169"
17/01/2010 18.00,"8,08576834","64,0062076","75,19998169"
17/01/2010 19.00,"9,64260007","67,96355048","75,19998169"
17/01/2010 20.00,"9,69316938","64,12679744","75,19998169"
17/01/2010 21.00,"9,85210309","61,7288244","75,19998169"
17/01/2010 22.00,"9,9947831","64,2432","75,19998169"
17/01/2010 23.00,"9,37530196","63,65982968","75,19998169"
18/01/2010 0.00,"8,03519801","59,6169248","75,19998169"
18/01/2010 1.00,,"53,71876808","36,09999084"
18/01/2010 2.00,"7,50060179",,"36,09999084"
18/01/2010 3.00,"7,02921822","40,0249476","36,09999084"
18/01/2010 4.00,"6,57047698","26,341624","36,09999084"
18/01/2010 5.00,"6,95336324","21,87092824","36,09999084"
18/01/2010 6.00,"7,02018828","22,48204168","36,09999084"
18/01/2010 7.00,"7,13216405","30,34103088","36,09999084"
18/01/2010 8.00,"7,7155244","43,2244884","36,09999084"
18/01/2010 9.00,"6,99490261","57,72306968","36,09999084"
18/01/2010 10.00,"7,66495408","58,55932112","36,09999084"
18/01/2010 11.00,"6,59937402","58,43066264","36,09999084"
18/01/2010 12.00,"6,35194301","55,32341408","36,09999084"
18/01/2010 13.00,"6,44947025","52,19660576","36,09999084"
18/01/2010 14.00,"6,46753116","45,68567216","36,09999084"
18/01/2010 15.00,"6,35374818","36,48839768","36,09999084"
18/01/2010 16.00,"6,21648776","36,9009308","36,09999084"
18/01/2010 17.00,"6,20565162","48,16501992","36,09999084"
18/01/2010 18.00,"7,29290395","56,87005","36,09999084"
18/01/2010 19.00,"7,77151229","58,84038512","36,09999084"
18/01/2010 20.00,"7,48073571","59,8780084","36,09999084"
18/01/2010 21.00,"6,51268291","61,10998648","36,09999084"
18/01/2010 22.00,"6,27066945","56,11352896","36,09999084"
18/01/2010 23.00,"5,90501524","44,06253712","36,09999084"
19/01/2010 0.00,"5,82276434","34,07476536","36,09999084"
19/01/2010 1.00,"6,35736056","25,92769512","20,5"
19/01/2010 2.00,"6,33207591","23,10013392","20,5"
19/01/2010 3.00,"5,60964894","16,20043527","20,5"
19/01/2010 4.00,"6,41876702","11,09628626","20,5"
19/01/2010 5.00,"6,18759072","10,65858358","20,5"
19/01/2010 6.00,"6,25983332","12,83030201","20,5"
19/01/2010 7.00,"6,26705808","24,2160536","20,5"
19/01/2010 8.00,"6,39890095","42,53226792","20,5"
19/01/2010 9.00,"6,40793089","56,31627744","20,5"
19/01/2010 10.00,"6,39348237","56,65749296","20,5"
19/01/2010 11.00,"6,38625862","55,80586904","20,5"
