Parm,Foggia,,,
,Unit,monte Sant'Angelo - Suolo Giuffreda,,,
01/01/2009 1.00,SO2,NO2,O3,PM10
,,,,,,,
,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
21/01/2009 2.00,"7,23149851","3,46661661",,
21/01/2009 3.00,"6,84319367","2,49191534",,
21/01/2009 4.00,"7,21704897","2,84883029",,
21/01/2009 5.00,"6,57408937","2,62040365",,
21/01/2009 6.00,"5,90764927","1,84038222",,
21/01/2009 7.00,"6,25802712","1,3251269",,
21/01/2009 8.00,"6,19481447","1,00714791",,
21/01/2009 9.00,"6,83777509","0,50097842",,
21/01/2009 10.00,"6,23996622","2,03766046",,
21/01/2009 11.00,"6,3862576","2,77614752",,
21/01/2009 12.00,"6,41696083","5,62108498",,
21/01/2009 13.00,"6,37542147","6,00265899",,
21/01/2009 14.00,"6,46933735","4,93321238",,
21/01/2009 15.00,"6,18578453","3,87155335",,
21/01/2009 16.00,"6,14063278","4,58538134",,
21/01/2009 17.00,"6,21106918","7,1292113",,
21/01/2009 18.00,"6,40793089","4,48804142",,
21/01/2009 19.00,"6,15146891","2,18950959",,
21/01/2009 20.00,"6,37361528","3,0824461",,
21/01/2009 21.00,"6,46030639","2,02078706",,
21/01/2009 22.00,"6,21106918","4,197318",,
21/01/2009 23.00,"5,86430371","2,66972178",,
22/01/2009 0.00,"6,37361528","2,31151049",,
22/01/2009 1.00,"5,98350425","3,75863637",,
22/01/2009 2.00,"6,64813815","3,93385014",,
22/01/2009 3.00,,"5,83782738",,
22/01/2009 4.00,"6,50545814",,,
22/01/2009 5.00,"5,71801233","10,76194821",,
22/01/2009 6.00,"6,01059611","16,14163171",,
22/01/2009 7.00,"6,29956649","14,21559381",,
22/01/2009 8.00,"6,25802712","14,24933296",,
22/01/2009 9.00,"6,21648776","14,10137475",,
22/01/2009 10.00,"5,75232794","14,09878017",,
22/01/2009 11.00,"6,33930068","15,18380193",,
22/01/2009 12.00,"6,62827106","14,56082644",,
22/01/2009 13.00,"5,98892282","14,00014391",,
22/01/2009 14.00,"6,46753116","13,06308418",,
22/01/2009 15.00,"6,39528856","15,23571846",,
22/01/2009 16.00,"6,22732389","12,6983721",,
22/01/2009 17.00,"6,52713143","10,41152832",,
22/01/2009 18.00,"6,91182388","10,6879691",,
22/01/2009 19.00,"6,68425894","9,95338253",,
22/01/2009 20.00,"6,86847832","13,12407507",,
22/01/2009 21.00,"6,35374818","22,45707096",,
22/01/2009 22.00,"6,72218694","17,49401799",,
22/01/2009 23.00,"6,37000391","11,37324711",,
23/01/2009 0.00,"6,12437807","6,77878759",,
23/01/2009 1.00,"6,68606513","4,72295548",,
23/01/2009 2.00,"6,36819772","6,41667965",,
23/01/2009 3.00,"6,30679126","11,4744856",,
23/01/2009 4.00,"5,95099584","5,78461642",,
23/01/2009 5.00,"6,41876702","4,43742505",,
23/01/2009 6.00,"6,13160284","2,56589444",,
23/01/2009 7.00,"6,01781986","2,30891399",,
23/01/2009 8.00,"5,80650963","8,67367902",,
23/01/2009 9.00,"6,12076568","17,20589298",,
23/01/2009 10.00,"6,22010014","14,77756694",,
23/01/2009 11.00,"6,01601367","13,76003878",,
