Stat,Maglie,,,,,,,  ,
,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,,,
,,,,
,,,,
,,,,
10/01/2014 9.00,"2,8","43,8","174,1","1,2","7,2","38,0",,,
10/01/2014 10.00,"2,5","43,0","125,8","0,9","9,2","38,0",,,
10/01/2014 11.00,"1,6","30,6","55,5","0,7","22,6","38,0",,,
10/01/2014 12.00,"2,5","15,8","25,7","0,4","52,2","38,0",,,
10/01/2014 13.00,"2,6","11,5","18,0","0,3","65,9","38,0",,,
10/01/2014 14.00,"2,9","13,9","23,4","0,3","64,7","38,0",,,
10/01/2014 15.00,"2,7","10,0","17,4","0,3","70,5","38,0",,,
10/01/2014 16.00,"2,8","14,4","23,1","0,3","65,3","38,0",,,
10/01/2014 17.00,"2,3","30,1","47,3","0,5","39,5","38,0",,,
10/01/2014 18.00,"2,5","55,5","137,9","1,0","8,0","38,0",,,
10/01/2014 19.00,"4,0","56,6","153,3","1,3","13,4","38,0",,,
10/01/2014 20.00,"5,1","56,8","193,1","1,6","8,1","38,0",,,
10/01/2014 21.00,"4,9","49,3","150,4","1,3","6,8","38,0",,,
10/01/2014 22.00,"5,9","43,1","178,3","1,7","12,0","38,0",,,
10/01/2014 23.00,"5,2","34,7","113,5","1,4","8,4","38,0",,,
11/01/2014 0.00,"5,0","26,4","66,4","1,0","6,0","38,0",,,
11/01/2014 1.00,"5,0","21,5","45,9","0,8","5,7","63,1",,,
11/01/2014 2.00,"4,7","21,5","48,5","0,8","5,2","63,1",,,
11/01/2014 3.00,"4,6","23,3","40,0","0,8","6,2","63,1",,,
11/01/2014 4.00,"4,6","13,9","35,2","0,9","4,9","63,1",,,
11/01/2014 5.00,"2,0","10,5","27,8","0,8","4,9","63,1",,,
11/01/2014 6.00,"1,7","12,0","26,3","0,8","5,0","63,1",,,
11/01/2014 7.00,"1,7","21,8","51,0","0,8","5,3","63,1",,,
11/01/2014 8.00,"2,4","31,0","112,6","0,9","6,4","63,1",,,
11/01/2014 9.00,"2,6","22,5","84,2","0,9","7,2","63,1",,,
11/01/2014 10.00,"3,3","35,1","88,7","0,8","10,6","63,1",,,
11/01/2014 11.00,"3,8","30,5","69,1","0,6","26,2","63,1",,,
11/01/2014 12.00,"3,4","15,5","25,5","0,3","58,5","63,1",,,
11/01/2014 13.00,"3,0","14,3","24,0","0,3","63,1","63,1",,,
11/01/2014 14.00,"2,7","19,1","37,2","0,2","58,6","63,1",,,
11/01/2014 15.00,"2,6","10,1","18,4","0,2","72,8","63,1",,,
11/01/2014 16.00,"2,5","14,9","24,5","0,3","62,9","63,1",,,
11/01/2014 17.00,"2,4","34,1","57,2","0,6","27,9","63,1",,,
11/01/2014 18.00,"3,0","45,9","84,8","0,8","9,9","63,1",,,
11/01/2014 19.00,"4,1","52,2","145,7","1,4","8,5","63,1",,,
11/01/2014 20.00,"5,8","56,1","243,7","2,3","10,9","63,1",,,
11/01/2014 21.00,"8,3","49,8","243,9","2,5","11,7","63,1",,,
11/01/2014 22.00,"8,3","42,2","206,4","2,3","11,8","63,1",,,
11/01/2014 23.00,"8,3","42,9","174,0","1,9","10,7","63,1",,,
12/01/2014 0.00,"8,3","31,8","125,9","1,9","10,3","63,1",,,
12/01/2014 1.00,"8,7","28,2","140,7","2,1",,"55,8",,,
12/01/2014 2.00,"8,8",,,"2,1","10,1","55,8",,,
12/01/2014 3.00,"8,0","23,7","76,1",,"8,9","55,8",,,
12/01/2014 4.00,"7,5","21,6","38,8","1,1","6,5","55,8",,,
12/01/2014 5.00,,"20,0","39,9","1,0","5,8","55,8",,,
12/01/2014 6.00,"1,6","17,6","40,7","1,0","5,1","55,8",,,
12/01/2014 7.00,"2,0","17,4","50,4","1,1","4,9","55,8",,,
12/01/2014 8.00,"1,6","17,4","59,7","1,1","5,4","55,8",,,
12/01/2014 9.00,"1,3","18,2","31,9","0,8","18,2","55,8",,,
12/01/2014 10.00,"1,9","27,4","48,7","0,8","23,7","55,8",,,
12/01/2014 11.00,"1,4","14,6","23,0","0,4","56,0","55,8",,,
12/01/2014 12.00,"1,1","8,7","16,4","0,3","72,4","55,8",,,
12/01/2014 13.00,"0,7","8,8","15,1","0,3","72,3","55,8",,,
12/01/2014 14.00,"0,3","7,3","12,7","0,3","73,3","55,8",,,
12/01/2014 15.00,"0,2","7,9","14,1","0,3","73,3","55,8",,,
12/01/2014 16.00,,"11,7","18,0","0,3","60,8","55,8",,,
12/01/2014 17.00,"1,4","38,0","64,3","0,6","16,6","55,8",,,
12/01/2014 18.00,"2,4","44,9","110,8","1,0","8,8","55,8",,,
12/01/2014 19.00,"2,7","42,1","87,7","1,0","11,7","55,8",,,
12/01/2014 20.00,"2,8","37,6","62,3","0,8","14,5","55,8",,,
12/01/2014 21.00,"2,7","26,2","39,3","0,7","27,3","55,8",,,
12/01/2014 22.00,"2,5","30,8","44,2","0,8","19,1","55,8",,,
12/01/2014 23.00,"2,6","19,7","29,6","0,5","27,3","55,8",,,
13/01/2014 0.00,"2,4","22,0","34,8","0,5","17,4","55,8",,,
13/01/2014 1.00,"2,0","14,9","22,8","0,5","22,4","33,9",,,
13/01/2014 2.00,"2,1","15,7","23,7","0,4","20,3","33,9",,,
13/01/2014 3.00,"1,9","12,6","19,3","0,4","20,8","33,9",,,
13/01/2014 4.00,"1,6","10,6","16,8","0,4","19,1","33,9",,,
13/01/2014 5.00,"1,9","9,8","16,0","0,4","25,8","33,9",,,
13/01/2014 6.00,"1,4","14,9","23,7","0,4","22,2","33,9",,,
13/01/2014 7.00,"1,3","19,0","31,6","0,5","11,6","33,9",,,
13/01/2014 8.00,"2,2","39,2","86,5","0,5","10,4","33,9",,,
13/01/2014 9.00,"1,9","33,3","61,1","0,4","20,0","33,9",,,
13/01/2014 10.00,"2,1","26,9","45,8","0,4","24,7","33,9",,,
13/01/2014 11.00,"2,4","24,1","41,8","0,5","32,4","33,9",,,
13/01/2014 12.00,"1,9","20,3","32,5","0,4","39,8","33,9",,,
13/01/2014 13.00,"2,1","16,3","26,4","0,3","51,0","33,9",,,
13/01/2014 14.00,"2,6","23,7","42,3","0,3","43,9","33,9",,,
13/01/2014 15.00,"2,4","16,3","28,8","0,3","51,5","33,9",,,
13/01/2014 16.00,"2,5","16,6","25,2","0,4","49,0","33,9",,,
13/01/2014 17.00,"2,6","30,3","46,9","0,5","28,7","33,9",,,
13/01/2014 18.00,"3,4","32,1","47,0","0,6","22,8","33,9",,,
13/01/2014 19.00,"4,1","46,5","89,7","0,8","8,3","33,9",,,
13/01/2014 20.00,"4,6","50,8","122,1","1,2","8,4","33,9",,,
13/01/2014 21.00,"4,8","43,8","91,3","1,1","10,1","33,9",,,
13/01/2014 22.00,"4,8","32,3","49,2","0,8","11,9","33,9",,,
13/01/2014 23.00,"4,8","32,1","54,4","0,9","7,3","33,9",,,
14/01/2014 0.00,"4,7","28,2","50,8","1,0","7,3","33,9",,,
14/01/2014 1.00,"4,5","22,4","36,7","1,0",,"28,6",,,
14/01/2014 2.00,"4,5",,,"1,0","8,1","28,6",,,
14/01/2014 3.00,"4,4","15,3","23,4",,"10,3","28,6",,,
14/01/2014 4.00,"4,8","13,3","19,8","0,8","10,6","28,6",,,
14/01/2014 5.00,,"11,5","19,4","0,8","8,2","28,6",,,
14/01/2014 6.00,"1,1","11,4","20,2","0,6","10,1","28,6",,,
14/01/2014 7.00,"0,4","23,4","42,5","0,5","9,2","28,6",,,
14/01/2014 8.00,"0,1","36,8","74,6","0,5","11,5","28,6",,,
14/01/2014 9.00,"0,1","31,3","54,3","0,4","25,3","28,6",,,
14/01/2014 10.00,,"19,1","31,2","0,3","42,1","28,6",,,
14/01/2014 11.00,"0,4","11,3","17,6","0,3","61,5","28,6",,,
14/01/2014 12.00,"1,3","11,6","19,8","0,3","65,0","28,6",,,
14/01/2014 13.00,"1,0","9,5","17,8","0,3","69,2","28,6",,,
14/01/2014 14.00,"0,9","10,4","18,6","0,3","66,2","28,6",,,
