Stat,Maglie,,,,,,,  ,
,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,,,
,,,,
,,,,
,,,,
29/09/2014 18.00,"0,4","11,3","18,7","0,3","69,5","16,5",,,
29/09/2014 19.00,"0,3","9,9","16,8","0,3","63,9","16,5",,,
29/09/2014 20.00,"0,2","12,8","21,0","0,3","45,1","16,5",,,
29/09/2014 21.00,"0,2","8,9","15,0","0,3","49,8","16,5",,,
29/09/2014 22.00,"0,1","8,2","14,7","0,2","52,5","16,5",,,
29/09/2014 23.00,"1,0","7,2","13,0","0,2","51,1","16,5",,,
30/09/2014 0.00,"1,5","5,5","11,6","0,2","49,7","16,5",,,
30/09/2014 1.00,"1,1","5,4","12,0","0,2","48,4","18,6",,,
30/09/2014 2.00,"1,0","5,6","11,6","0,2","44,1","18,6",,,
30/09/2014 3.00,"1,2","5,6","12,2","0,2","36,1","18,6",,,
30/09/2014 4.00,"1,2","6,0","12,0","0,2","28,6","18,6",,,
30/09/2014 5.00,"1,0","6,0","12,3","0,2","24,2","18,6",,,
30/09/2014 6.00,"1,1","6,7","13,3","0,2","21,8","18,6",,,
30/09/2014 7.00,"1,8","11,5","25,9","0,3","17,7","18,6",,,
30/09/2014 8.00,"2,3","12,9","26,7","0,3","32,4","18,6",,,
30/09/2014 9.00,"4,6","7,0","14,0","0,2","65,1","18,6",,,
30/09/2014 10.00,"6,1","6,3","12,3","0,2","72,6","18,6",,,
30/09/2014 11.00,"4,2","6,0","11,7","0,2","77,4","18,6",,,
30/09/2014 12.00,"4,0","6,7","13,4","0,2","83,2","18,6",,,
30/09/2014 13.00,"3,5","8,1","17,0","0,2","85,3","18,6",,,
30/09/2014 14.00,"2,2","4,9","10,3","0,2","91,4","18,6",,,
30/09/2014 15.00,"1,4","5,2","11,8","0,2","87,2","18,6",,,
30/09/2014 16.00,"1,0","5,4","12,1","0,2","85,4","18,6",,,
30/09/2014 17.00,"0,6","7,0","13,0","0,2","78,2","18,6",,,
30/09/2014 18.00,"0,3","10,2","18,2","0,3","65,7","18,6",,,
30/09/2014 19.00,"0,1","11,1","18,0","0,3","53,2","18,6",,,
30/09/2014 20.00,"0,2","10,5","17,1","0,3","43,0","18,6",,,
30/09/2014 21.00,"0,2","7,0","13,5","0,3","43,9","18,6",,,
30/09/2014 22.00,"0,1","6,3","12,4","0,3","43,8","18,6",,,
30/09/2014 23.00,"1,7","6,6","12,9","0,2","35,6","18,6",,,
01/10/2014 0.00,"2,0","6,0","12,3","0,2","52,5","18,6",,,
01/10/2014 1.00,"1,9","5,4","12,7","0,2",,"16,7",,,
01/10/2014 2.00,"1,7",,,"0,2","57,4","16,7",,,
01/10/2014 3.00,"1,7","4,8","10,0",,"51,6","16,7",,,
01/10/2014 4.00,"1,4","4,7","10,8","0,2","47,7","16,7",,,
01/10/2014 5.00,,"5,2","9,8","0,2","45,6","16,7",,,
01/10/2014 6.00,"1,5","6,3","12,4","0,2","37,4","16,7",,,
01/10/2014 7.00,"2,4","9,9","23,1","0,3","26,2","16,7",,,
01/10/2014 8.00,"3,5","9,5","19,6","0,3","37,2","16,7",,,
01/10/2014 9.00,,,,,,"16,7",,,
01/10/2014 10.00,,,,,,"16,7",,,
01/10/2014 11.00,,,,,,"16,7",,,
01/10/2014 12.00,,,,,,"16,7",,,
01/10/2014 13.00,,,,,,"16,7",,,
01/10/2014 14.00,,,,,,"16,7",,,
01/10/2014 15.00,,"3,7","9,3","0,2","88,6","16,7",,,
01/10/2014 16.00,,"4,8","9,9","0,2","85,2","16,7",,,
01/10/2014 17.00,,"6,3","11,9","0,2","80,2","16,7",,,
01/10/2014 18.00,,"8,5","15,0","0,2","70,5","16,7",,,
01/10/2014 19.00,,"10,5","17,8","0,3","63,8","16,7",,,
01/10/2014 20.00,,"8,6","14,6","0,3","62,6","16,7",,,
01/10/2014 21.00,,"7,8","14,6","0,2","60,1","16,7",,,
01/10/2014 22.00,,"6,6","12,5","0,2","50,1","16,7",,,
01/10/2014 23.00,,"7,2","13,0","0,2","46,8","16,7",,,
02/10/2014 0.00,"2,2","6,0","11,4","0,2","48,2","16,7",,,
02/10/2014 1.00,"1,9","5,7","11,0","0,2","42,2","20,8",,,
02/10/2014 2.00,"1,5","5,4","10,4","0,2","42,8","20,8",,,
02/10/2014 3.00,"1,4","4,5","9,2","0,2","48,3","20,8",,,
02/10/2014 4.00,"1,6","4,3","9,4","0,2","43,9","20,8",,,
02/10/2014 5.00,"2,1","4,8","9,9","0,2","42,0","20,8",,,
02/10/2014 6.00,"5,0","6,7","13,5","0,2","33,4","20,8",,,
02/10/2014 7.00,"7,4","15,4","37,6","0,4","17,2","20,8",,,
02/10/2014 8.00,"7,2","14,4","32,9","0,3","26,7","20,8",,,
02/10/2014 9.00,,,,"0,2",,"20,8",,,
02/10/2014 10.00,"9,8","5,3","11,7","0,2","73,5","20,8",,,
02/10/2014 11.00,"2,1","5,0","10,7","0,2","75,7","20,8",,,
02/10/2014 12.00,"1,8","5,4","11,0","0,2","78,1","20,8",,,
02/10/2014 13.00,"1,4","5,8","12,8","0,2","74,8","20,8",,,
02/10/2014 14.00,"1,5","4,5","9,2","0,2","79,5","20,8",,,
02/10/2014 15.00,"2,4","5,2","10,6","0,2","78,8","20,8",,,
02/10/2014 16.00,"1,3","6,2","12,1","0,2","73,0","20,8",,,
02/10/2014 17.00,"0,8","7,5","13,7","0,3","67,2","20,8",,,
02/10/2014 18.00,"0,7","9,0","15,0","0,3","59,7","20,8",,,
02/10/2014 19.00,"1,0","9,0","16,1","0,3","55,5","20,8",,,
02/10/2014 20.00,"0,9","7,2","13,9","0,3","60,6","20,8",,,
02/10/2014 21.00,"0,7","6,4","12,8","0,2","62,3","20,8",,,
02/10/2014 22.00,"0,5","5,9","11,7","0,2","63,6","20,8",,,
02/10/2014 23.00,"0,4","4,5","9,9","0,2","63,9","20,8",,,
03/10/2014 0.00,"1,6","4,7","10,6","0,2","58,0","20,8",,,
03/10/2014 1.00,"1,4","4,0","8,6","0,2",,"23,1",,,
03/10/2014 2.00,"1,5",,,"0,2","67,3","23,1",,,
03/10/2014 3.00,"1,5","4,5","9,0",,"69,9","23,1",,,
03/10/2014 4.00,"1,4","4,2","8,6","0,2","71,3","23,1",,,
03/10/2014 5.00,,"5,0","9,9","0,2","66,1","23,1",,,
03/10/2014 6.00,"1,3","9,0","15,0","0,2","50,5","23,1",,,
03/10/2014 7.00,"1,3","13,6","24,7","0,3","35,3","23,1",,,
03/10/2014 8.00,"2,0","8,5","14,9","0,3","64,5","23,1",,,
03/10/2014 9.00,"3,1","6,9","13,9","0,2","74,1","23,1",,,
03/10/2014 10.00,"4,5","4,9","9,8","0,2","80,9","23,1",,,
03/10/2014 11.00,"4,7","4,4","9,7","0,2","81,6","23,1",,,
03/10/2014 12.00,"1,2","5,6","11,4","0,2","82,2","23,1",,,
03/10/2014 13.00,"1,0","7,0","14,9","0,2","78,7","23,1",,,
03/10/2014 14.00,"0,5","5,0","11,0","0,2","83,1","23,1",,,
03/10/2014 15.00,"0,1","5,0","10,7","0,2","81,6","23,1",,,
03/10/2014 16.00,"0,3","6,0","11,5","0,3","67,3","23,1",,,
03/10/2014 17.00,"0,3","6,7","12,5","0,3","63,8","23,1",,,
03/10/2014 18.00,"0,3","14,5","23,8","0,4","37,7","23,1",,,
03/10/2014 19.00,"0,4","16,3","25,5","0,4","24,6","23,1",,,
03/10/2014 20.00,"0,7","17,2","28,6","0,5","17,0","23,1",,,
03/10/2014 21.00,"0,9","13,4","22,0","0,5","21,2","23,1",,,
03/10/2014 22.00,"0,9","11,5","18,9","0,5","25,0","23,1",,,
03/10/2014 23.00,"0,8","7,0","12,0","0,5","45,3","23,1",,,
04/10/2014 0.00,"1,6","6,4","12,7","0,5","45,8","23,1",,,
04/10/2014 1.00,"1,6","6,4","12,4","0,4","44,6","23,9",,,
04/10/2014 2.00,"4,2","6,4","12,0","0,4","36,0","23,9",,,
04/10/2014 3.00,"4,6","5,6","10,1","0,4","36,6","23,9",,,
04/10/2014 4.00,"2,5","5,4","10,5","0,3","47,2","23,9",,,
04/10/2014 5.00,"1,7","5,7","11,5","0,3","48,7","23,9",,,
04/10/2014 6.00,"2,1","15,2","30,7","0,3","20,5","23,9",,,
04/10/2014 7.00,"1,8","18,7","37,0","0,4","15,6","23,9",,,
04/10/2014 8.00,"1,7","11,3","20,5","0,3","46,0","23,9",,,
04/10/2014 9.00,"2,1","6,6","12,6","0,3","67,7","23,9",,,
04/10/2014 10.00,"1,3","8,1","15,3","0,3","61,8","23,9",,,
04/10/2014 11.00,"1,7","5,9","12,0","0,3","67,2","23,9",,,
04/10/2014 12.00,"1,1","5,6","12,2","0,3","67,9","23,9",,,
04/10/2014 13.00,"0,8","5,0","11,3","0,3","70,1","23,9",,,
04/10/2014 14.00,"0,5","3,9","9,3","0,2","74,3","23,9",,,
04/10/2014 15.00,"0,4","4,0","8,9","0,2","76,1","23,9",,,
04/10/2014 16.00,"0,2","4,9","11,0","0,2","74,7","23,9",,,
04/10/2014 17.00,"0,4","5,5","10,8","0,3","68,0","23,9",,,
04/10/2014 18.00,"1,0","10,6","17,4","0,3","52,3","23,9",,,
04/10/2014 19.00,"0,5","15,7","25,0","0,4","33,4","23,9",,,
04/10/2014 20.00,"0,2","13,8","22,1","0,4","35,7","23,9",,,
04/10/2014 21.00,"0,1","12,1","19,9","0,4","35,6","23,9",,,
04/10/2014 22.00,"0,1","8,9","15,3","0,4","45,0","23,9",,,
04/10/2014 23.00,"0,1","9,4","16,0","0,3","39,8","23,9",,,
05/10/2014 0.00,"0,8","7,6","14,3","0,3","49,4","23,9",,,
05/10/2014 1.00,"0,9","5,8","11,4","0,3",,"5,6",,,
05/10/2014 2.00,"1,7",,,"0,3","64,7","5,6",,,
05/10/2014 3.00,"1,4","4,3","9,4",,"64,4","5,6",,,
05/10/2014 4.00,"1,3","4,1","8,4","0,3","57,9","5,6",,,
05/10/2014 5.00,,"4,0","9,2","0,2","55,0","5,6",,,
05/10/2014 6.00,"1,3","3,9","9,4","0,2","56,9","5,6",,,
05/10/2014 7.00,"1,3","3,6","8,9","0,2","62,9","5,6",,,
05/10/2014 8.00,"1,3","3,9","8,7","0,2","65,6","5,6",,,
05/10/2014 9.00,"1,3","4,2","9,7","0,2","63,6","5,6",,,
05/10/2014 10.00,"1,4","5,0","10,0","0,2","60,0","5,6",,,
05/10/2014 11.00,"1,2","4,6","9,8","0,2","57,6","5,6",,,
05/10/2014 12.00,"1,5","4,7","10,2","0,2","60,9","5,6",,,
05/10/2014 13.00,"1,6","3,9","9,0","0,2","65,3","5,6",,,
05/10/2014 14.00,"1,4","3,8","8,8","0,2","67,9","5,6",,,
05/10/2014 15.00,"1,5","4,1","9,1","0,2","67,4","5,6",,,
05/10/2014 16.00,"1,6","4,1","9,3","0,2","67,3","5,6",,,
05/10/2014 17.00,"1,3","4,8","10,8","0,2","64,8","5,6",,,
05/10/2014 18.00,"1,4","5,3","11,3","0,2","63,2","5,6",,,
05/10/2014 19.00,"1,4","5,3","11,1","0,2","61,5","5,6",,,
05/10/2014 20.00,"1,3","5,2","11,2","0,2","58,1","5,6",,,
05/10/2014 21.00,"1,1","5,6","10,1","0,2","54,7","5,6",,,
05/10/2014 22.00,"1,1","4,6","9,5","0,2","54,8","5,6",,,
05/10/2014 23.00,"1,1","5,2","10,2","0,2","45,3","5,6",,,
06/10/2014 0.00,"1,1","4,3","8,9","0,2","53,3","5,6",,,
06/10/2014 1.00,"1,0","3,8","8,6","0,2","72,1","4,0",,,
06/10/2014 2.00,"1,0","3,7","9,6","0,2","70,9","4,0",,,
06/10/2014 3.00,"0,9","3,6","8,6","0,2","71,7","4,0",,,
06/10/2014 4.00,"1,0","3,6","8,8","0,2","70,9","4,0",,,
06/10/2014 5.00,"0,9","3,6","8,6","0,2","74,3","4,0",,,
06/10/2014 6.00,"0,9","4,2","9,5","0,2","77,4","4,0",,,
06/10/2014 7.00,"0,8","7,2","13,3","0,2","67,2","4,0",,,
06/10/2014 8.00,"1,0","5,0","9,8","0,2","65,6","4,0",,,
06/10/2014 9.00,"1,0","6,1","12,7","0,2","62,9","4,0",,,
06/10/2014 10.00,"1,0","7,6","13,8","0,2","60,7","4,0",,,
06/10/2014 11.00,"1,2","7,1","13,7","0,2","62,4","4,0",,,
06/10/2014 12.00,"0,8","8,1","15,3","0,2","59,6","4,0",,,
06/10/2014 13.00,"0,9","6,1","12,8","0,2","59,3","4,0",,,
06/10/2014 14.00,"1,1","4,7","10,6","0,2","65,4","4,0",,,
06/10/2014 15.00,"1,6","5,1","10,7","0,2","69,7","4,0",,,
06/10/2014 16.00,"1,1","4,9","10,7","0,2","69,2","4,0",,,
06/10/2014 17.00,"1,0","5,9","12,0","0,2","63,9","4,0",,,
06/10/2014 18.00,"0,8","9,3","16,1","0,3","47,4","4,0",,,
06/10/2014 19.00,"0,9","8,6","14,7","0,2","45,0","4,0",,,
06/10/2014 20.00,"0,8","8,2","14,1","0,2","43,8","4,0",,,
06/10/2014 21.00,"0,6","5,8","11,1","0,2","46,7","4,0",,,
06/10/2014 22.00,"0,4","5,3","9,8","0,2","42,0","4,0",,,
06/10/2014 23.00,"0,3","5,0","11,0","0,2","41,1","4,0",,,
07/10/2014 0.00,"1,2","4,9","10,2","0,1","34,6","4,0",,,
07/10/2014 1.00,"1,2","4,9","10,4","0,1",,"5,1",,,
07/10/2014 2.00,"1,1",,,"0,1","37,6","5,1",,,
07/10/2014 3.00,"1,1","4,3","9,6",,"23,1","5,1",,,
07/10/2014 4.00,"1,1","4,0","9,2","0,1","25,0","5,1",,,
07/10/2014 5.00,,"5,3","11,1","0,1","16,5","5,1",,,
07/10/2014 6.00,"1,3","7,6","19,6","0,2","9,7","5,1",,,
07/10/2014 7.00,"1,6","12,0","46,8","0,4","7,5","5,1",,,
07/10/2014 8.00,"1,5","15,9","40,7","0,5","12,8","5,1",,,
07/10/2014 9.00,"2,0","10,3","22,0","0,3","28,1","5,1",,,
07/10/2014 10.00,"2,5","5,7","12,2","0,2","57,7","5,1",,,
07/10/2014 11.00,"2,6","4,9","10,5","0,2","66,8","5,1",,,
07/10/2014 12.00,"0,7","5,5","11,8","0,2","70,4","5,1",,,
07/10/2014 13.00,"0,6","5,7","12,8","0,2","69,6","5,1",,,
07/10/2014 14.00,"0,1","4,4","9,4","0,2","73,0","5,1",,,
07/10/2014 15.00,"0,1","4,2","9,2","0,2","79,5","5,1",,,
07/10/2014 16.00,"0,2","5,5","10,8","0,2","77,9","5,1",,,
07/10/2014 17.00,"0,1","9,7","17,1","0,3","60,4","5,1",,,
07/10/2014 18.00,,"9,1","15,4","0,3","60,6","5,1",,,
07/10/2014 19.00,,"7,7","13,6","0,2","65,1","5,1",,,
07/10/2014 20.00,,"14,6","24,1","0,3","32,6","5,1",,,
07/10/2014 21.00,,"13,1","21,5","0,2","24,9","5,1",,,
07/10/2014 22.00,"0,1","10,2","18,2","0,2","27,5","5,1",,,
07/10/2014 23.00,"0,1","8,8","16,1","0,2","20,4","5,1",,,
08/10/2014 0.00,"1,3","8,3","14,7","0,2","19,4","5,1",,,
08/10/2014 1.00,"1,1","8,3","14,4","0,2","21,8","6,2",,,
08/10/2014 2.00,"1,2","6,4","12,2","0,2","23,4","6,2",,,
08/10/2014 3.00,"1,6","6,2","12,5","0,2","20,2","6,2",,,
08/10/2014 4.00,"1,4","5,3","10,6","0,2","26,2","6,2",,,
08/10/2014 5.00,"1,3","6,1","11,1","0,2","18,5","6,2",,,
08/10/2014 6.00,"1,5","10,5","29,3","0,3","11,2","6,2",,,
08/10/2014 7.00,"1,4","11,3","29,8","0,3","17,5","6,2",,,
08/10/2014 8.00,"1,5","15,7","39,7","0,4","21,9","6,2",,,
08/10/2014 9.00,"2,6","7,3","15,4","0,3","56,2","6,2",,,
08/10/2014 10.00,"3,3","5,6","11,4","0,2","69,2","6,2",,,
08/10/2014 11.00,"3,5","5,8","11,8","0,1","71,6","6,2",,,
08/10/2014 12.00,"1,0","5,2","12,0","0,1","72,8","6,2",,,
08/10/2014 13.00,"1,0","6,0","13,1","0,1","73,3","6,2",,,
08/10/2014 14.00,"1,1","4,4","9,3","0,1","76,4","6,2",,,
08/10/2014 15.00,"1,0","4,5","9,5","0,1","72,9","6,2",,,
08/10/2014 16.00,"0,6","5,7","11,6","0,1","73,1","6,2",,,
08/10/2014 17.00,"0,4","8,1","15,1","0,2","63,4","6,2",,,
08/10/2014 18.00,"1,4","12,3","20,4","0,2","41,8","6,2",,,
08/10/2014 19.00,"4,7","14,2","23,7","0,4","31,8","6,2",,,
08/10/2014 20.00,"6,9","16,0","27,2","0,4","21,3","6,2",,,
08/10/2014 21.00,"4,3","11,8","19,8","0,2","24,9","6,2",,,
08/10/2014 22.00,"3,0","8,3","14,6","0,2","32,0","6,2",,,
08/10/2014 23.00,"1,3","8,5","14,8","0,2","19,8","6,2",,,
09/10/2014 0.00,"1,2","7,2","13,1","0,2","20,8","6,2",,,
09/10/2014 1.00,"1,2","7,6","13,1","0,2",,"14,3",,,
09/10/2014 2.00,"1,4",,,"0,2","20,5","14,3",,,
09/10/2014 3.00,"1,2","6,3","12,2","0,2","21,0","14,3",,,
09/10/2014 4.00,"1,1","5,6","11,0","0,2","16,1","14,3",,,
09/10/2014 5.00,,"5,3","10,8","0,1","17,9","14,3",,,
09/10/2014 6.00,"0,9","7,6","15,1","0,2","19,5","14,3",,,
09/10/2014 7.00,"1,1","11,1","32,8","0,4","13,9","14,3",,,
09/10/2014 8.00,"1,5","12,3","32,6","0,3","20,7","14,3",,,
09/10/2014 9.00,"2,3","6,6","13,1","0,2","55,8","14,3",,,
09/10/2014 10.00,"3,4","5,4","11,2","0,2","64,0","14,3",,,
09/10/2014 11.00,"4,0","4,7","9,6","0,2","70,0","14,3",,,
09/10/2014 12.00,"1,6","5,3","11,6","0,2","76,7","14,3",,,
09/10/2014 13.00,"1,4","5,0","10,9","0,2","80,8","14,3",,,
09/10/2014 14.00,"0,9","4,5","10,0","0,2","74,8","14,3",,,
09/10/2014 15.00,"0,5","4,7","9,9","0,2","74,3","14,3",,,
09/10/2014 16.00,"0,6","5,8","12,4","0,2","73,6","14,3",,,
09/10/2014 17.00,"0,5","8,7","15,3","0,3","62,4","14,3",,,
09/10/2014 18.00,"0,5","9,7","16,7","0,3","51,5","14,3",,,
09/10/2014 19.00,"0,4","10,1","17,4","0,4","46,1","14,3",,,
09/10/2014 20.00,"0,3","8,8","15,7","0,3","45,8","14,3",,,
09/10/2014 21.00,"0,1","10,9","19,2","0,3","28,1","14,3",,,
09/10/2014 22.00,,"8,5","14,3","0,3","27,4","14,3",,,
09/10/2014 23.00,,"8,5","16,4","0,3","14,7","14,3",,,
10/10/2014 0.00,"1,4","8,3","15,8","0,3","15,2","14,3",,,
10/10/2014 1.00,"1,4","7,8","14,8","0,3","10,5","21,8",,,
10/10/2014 2.00,"1,2","6,5","12,6","0,3","11,6","21,8",,,
10/10/2014 3.00,"1,4","7,2","20,7","0,3","6,1","21,8",,,
10/10/2014 4.00,"2,1","5,8","14,2","0,2","6,4","21,8",,,
10/10/2014 5.00,"1,5","5,9","15,0","0,2","7,4","21,8",,,
10/10/2014 6.00,"1,5","6,6","30,6","0,3","5,2","21,8",,,
10/10/2014 7.00,"1,6","10,0","40,8","0,5","10,0","21,8",,,
10/10/2014 8.00,"2,4","17,0","39,4","0,5","23,3","21,8",,,
10/10/2014 9.00,"2,7","13,1","25,2","0,3","45,2","21,8",,,
10/10/2014 10.00,"4,2","7,2","14,0","0,2","67,2","21,8",,,
10/10/2014 11.00,"5,2","5,7","11,6","0,2","75,3","21,8",,,
10/10/2014 12.00,"2,1","5,6","11,5","0,2","81,4","21,8",,,
10/10/2014 13.00,"2,0","5,5","11,2","0,2","90,5","21,8",,,
10/10/2014 14.00,"1,5","4,8","10,2","0,2","97,1","21,8",,,
10/10/2014 15.00,"1,8","4,9","10,2","0,2","78,9","21,8",,,
10/10/2014 16.00,"1,2","5,6","11,8","0,2","73,7","21,8",,,
10/10/2014 17.00,"1,0","8,4","14,7","0,2","63,0","21,8",,,
10/10/2014 18.00,"0,7","14,6","23,0","0,2","45,9","21,8",,,
10/10/2014 19.00,"0,8","19,8","32,6","0,5","29,5","21,8",,,
10/10/2014 20.00,"0,9","21,2","42,5","0,6","11,3","21,8",,,
10/10/2014 21.00,"0,4","10,6","18,7","0,3","26,8","21,8",,,
10/10/2014 22.00,"0,3","7,2","12,8","0,3","31,7","21,8",,,
10/10/2014 23.00,"0,1","9,1","17,9","0,3","12,9","21,8",,,
11/10/2014 0.00,"1,0","8,4","15,6","0,3","12,3","21,8",,,
11/10/2014 1.00,"1,0","6,0","12,2","0,3",,"25,6",,,
11/10/2014 2.00,"0,7",,,"0,3","15,2","25,6",,,
11/10/2014 3.00,"0,6","5,1","9,7","0,2","23,2","25,6",,,
11/10/2014 4.00,"0,5","5,5","10,8","0,2","16,2","25,6",,,
11/10/2014 5.00,,"6,7","20,1","0,3","6,2","25,6",,,
11/10/2014 6.00,"0,7","8,1","31,2","0,4","5,9","25,6",,,
11/10/2014 7.00,"0,8","13,7","35,6","0,5","12,4","25,6",,,
11/10/2014 8.00,"1,2","17,4","42,4","0,5","18,8","25,6",,,
11/10/2014 9.00,"1,6","10,1","19,2","0,3","54,2","25,6",,,
11/10/2014 10.00,"3,0","8,7","16,8","0,2","65,9","25,6",,,
11/10/2014 11.00,"3,6","4,6","9,8","0,2","78,7","25,6",,,
11/10/2014 12.00,"2,3","4,8","10,9","0,1","80,3","25,6",,,
11/10/2014 13.00,"1,9","4,6","11,5","0,2","85,8","25,6",,,
11/10/2014 14.00,"1,9","4,3","9,5","0,2","96,8","25,6",,,
11/10/2014 15.00,"1,4","4,2","8,9","0,2","92,2","25,6",,,
11/10/2014 16.00,"1,3","4,9","10,7","0,2","86,2","25,6",,,
11/10/2014 17.00,"0,9","6,1","12,3","0,2","75,8","25,6",,,
11/10/2014 18.00,"0,5","7,7","13,7","0,2","63,3","25,6",,,
11/10/2014 19.00,"0,4","9,1","15,0","0,3","46,4","25,6",,,
11/10/2014 20.00,"0,4","8,5","14,4","0,3","42,5","25,6",,,
11/10/2014 21.00,"0,2","7,2","13,5","0,3","37,4","25,6",,,
11/10/2014 22.00,"0,1","6,4","12,0","0,3","38,9","25,6",,,
11/10/2014 23.00,"0,2","9,5","16,5","0,3","24,0","25,6",,,
12/10/2014 0.00,"1,3","10,3","17,5","0,3","15,6","25,6",,,
12/10/2014 1.00,"1,1","8,1","14,0","0,3","24,0","13,9",,,
12/10/2014 2.00,"1,0","6,6","12,4","0,2","26,0","13,9",,,
12/10/2014 3.00,"0,9","5,7","11,2","0,2","19,6","13,9",,,
12/10/2014 4.00,"0,9","6,1","11,7","0,2","25,7","13,9",,,
12/10/2014 5.00,"0,8","4,4","9,9","0,1","41,6","13,9",,,
12/10/2014 6.00,"0,8","4,3","9,1","0,1","43,9","13,9",,,
12/10/2014 7.00,"0,8","4,6","9,5","0,2","53,2","13,9",,,
12/10/2014 8.00,"1,1","4,4","9,2","0,2","56,1","13,9",,,
12/10/2014 9.00,"1,4","3,9","9,3","0,2","71,7","13,9",,,
12/10/2014 10.00,"1,9","4,0","8,7","0,2","77,5","13,9",,,
12/10/2014 11.00,"2,0","3,8","8,4","0,2","83,8","13,9",,,
12/10/2014 12.00,"1,5","3,7","8,5","0,2","86,6","13,9",,,
12/10/2014 13.00,"1,4","3,6","8,3","0,2","86,7","13,9",,,
12/10/2014 14.00,"1,5","3,3","7,9","0,2","84,1","13,9",,,
12/10/2014 15.00,"1,3","3,4","9,2","0,2","81,6","13,9",,,
12/10/2014 16.00,"1,2","3,8","8,9","0,2","78,7","13,9",,,
12/10/2014 17.00,"1,0","4,5","9,7","0,2","71,6","13,9",,,
12/10/2014 18.00,"0,7","5,7","10,8","0,3","63,1","13,9",,,
12/10/2014 19.00,"0,6","5,3","9,8","0,3","59,8","13,9",,,
12/10/2014 20.00,"0,7","4,7","10,2","0,3","55,6","13,9",,,
12/10/2014 21.00,"0,6","8,0","15,0","0,3","35,0","13,9",,,
12/10/2014 22.00,"0,5","11,5","21,9","0,3","14,4","13,9",,,
12/10/2014 23.00,"0,5","9,8","17,1","0,3","18,6","13,9",,,
13/10/2014 0.00,"0,6","6,2","11,4","0,3","30,0","13,9",,,
13/10/2014 1.00,"0,3","5,2","9,9","0,3",,"13,9",,,
13/10/2014 2.00,"0,6",,,"0,3","30,7","13,9",,,
13/10/2014 3.00,"0,2","5,0","9,7","0,3","25,0","13,9",,,
13/10/2014 4.00,"0,1","4,9","10,0","0,2","18,8","13,9",,,
13/10/2014 5.00,,"5,5","10,6","0,2","16,3","13,9",,,
13/10/2014 6.00,"0,1","6,8","16,0","0,2","12,5","13,9",,,
13/10/2014 7.00,"0,2","9,7","28,0","0,3","9,5","13,9",,,
13/10/2014 8.00,"0,5","12,7","40,6","0,5","10,2","13,9",,,
13/10/2014 9.00,"0,8","10,3","19,3","0,3","43,4","13,9",,,
13/10/2014 10.00,"1,0","5,2","10,8","0,2","68,1","13,9",,,
13/10/2014 11.00,"1,7","4,4","10,4","0,3","77,1","13,9",,,
13/10/2014 12.00,"1,1","4,1","9,2","0,3","81,7","13,9",,,
13/10/2014 13.00,"1,5","4,7","10,1","0,3","84,9","13,9",,,
13/10/2014 14.00,"1,6","3,9","8,1","0,3","91,1","13,9",,,
13/10/2014 15.00,"1,0","4,7","10,5","0,3","75,2","13,9",,,
13/10/2014 16.00,"0,5","5,0","10,7","0,3","70,4","13,9",,,
13/10/2014 17.00,"0,3","6,7","12,5","0,3","65,0","13,9",,,
13/10/2014 18.00,"0,2","8,9","15,6","0,3","50,9","13,9",,,
13/10/2014 19.00,"1,4","8,6","14,6","0,3","43,9","13,9",,,
13/10/2014 20.00,,"9,5","16,5","0,4","30,1","13,9",,,
13/10/2014 21.00,,"8,2","14,8","0,4","29,2","13,9",,,
13/10/2014 22.00,,"6,5","11,8","0,3","31,2","13,9",,,
13/10/2014 23.00,,"5,8","10,9","0,3","32,8","13,9",,,
14/10/2014 0.00,,"4,8","9,7","0,2","35,4","13,9",,,
14/10/2014 1.00,,"3,9","9,0","0,2","38,9",,,,
14/10/2014 2.00,,"3,6","8,9","0,2","43,5",,,,
14/10/2014 3.00,,"3,2","8,4","0,2","63,6",,,,
14/10/2014 4.00,,"3,3","8,1","0,2","58,7",,,,
14/10/2014 5.00,,"4,5","9,1","0,2","43,1",,,,
14/10/2014 6.00,,"6,0","12,4","0,2","34,5",,,,
14/10/2014 7.00,,"10,1","18,6","0,3","30,1",,,,
14/10/2014 8.00,,"6,8","13,7","0,3","51,0",,,,
14/10/2014 9.00,,"5,4","10,4","0,3","59,9",,,,
14/10/2014 10.00,,"4,8","10,3","0,2","65,6",,,,
14/10/2014 11.00,,"4,5","9,4","0,2","69,7",,,,
14/10/2014 12.00,,"4,7","10,6","0,2","72,6",,,,
14/10/2014 13.00,,"4,6","9,5","0,2","69,1",,,,
14/10/2014 14.00,,"3,6","8,5","0,2","72,1",,,,
14/10/2014 15.00,,"3,9","9,1","0,2","69,8",,,,
14/10/2014 16.00,,"4,5","9,6","0,2","67,4",,,,
14/10/2014 17.00,,"5,7","11,1","0,2","68,8",,,,
14/10/2014 18.00,,"6,1","11,0","0,3","66,5",,,,
14/10/2014 19.00,,"5,7","10,9","0,2","63,8",,,,
14/10/2014 20.00,,"5,0","10,5","0,2","61,8",,,,
14/10/2014 21.00,,"4,3","9,8","0,2","59,7",,,,
