,TARANTO,,,
,S.VITO Colonia Marina,,,
Parm,SO2,NOX,NO2,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3


17/01/2009 23.00,"1,230327","41,37606","26,396115",
18/01/2009 0.00,"1,106451","29,48931","22,584256",
18/01/2009 1.00,,"32,310198","23,19036",
18/01/2009 2.00,"0,583492",,,
18/01/2009 3.00,"0,426093","20,209458","17,595249",
18/01/2009 4.00,"0,541779","8,683245","10,246694",
18/01/2009 5.00,"0,529643","10,081383","11,017629",
18/01/2009 6.00,"0,600384","6,107453","8,741169",
18/01/2009 7.00,"0,519093","5,073765","7,839149",
18/01/2009 8.00,"0,728511","6,261794","8,399829",
18/01/2009 9.00,"0,562453","8,570408","8,717808",
18/01/2009 10.00,"0,723815","7,464088","7,099361",
18/01/2009 11.00,"0,537084","6,222885","4,717766",
18/01/2009 12.00,"0,276378","9,269477","5,647042",
18/01/2009 13.00,"0,440912","9,444571","5,780723",
18/01/2009 14.00,"0,336813","7,914139","4,981232",
18/01/2009 15.00,"0,345412","5,758567","3,222617",
18/01/2009 16.00,"0,367976","6,495249","3,754743",
18/01/2009 17.00,"0,417678","13,409422","9,775572",
18/01/2009 18.00,"0,639109","52,958038","31,475974",
18/01/2009 19.00,"0,903046","50,899752","29,84066",
18/01/2009 20.00,"1,216381","73,170116","38,686968",
18/01/2009 21.00,"0,95287","57,948819","33,273539",
18/01/2009 22.00,"0,838037","22,925318","18,501164",
18/01/2009 23.00,"0,699239","21,100469","16,5868",
19/01/2009 0.00,"0,772298","16,48325","13,671776",
19/01/2009 1.00,"0,506531","6,958269","5,396553",
19/01/2009 2.00,"0,3695","4,907752","3,00587",
19/01/2009 3.00,"0,324799","3,96096","2,133702",
19/01/2009 4.00,"0,374745","4,785835","2,602234",
19/01/2009 5.00,"0,233385","4,634089","1,992233",
19/01/2009 6.00,"0,245398","9,6884","6,817723",
19/01/2009 7.00,"0,38499","22,874727","16,135142",
19/01/2009 8.00,"0,817364","60,28207","26,640106",
19/01/2009 9.00,"0,892557","76,171306","33,958819",
19/01/2009 10.00,"0,590749","44,788408","22,288336",
19/01/2009 11.00,"0,224115","22,811172","12,431015",
19/01/2009 12.00,"0,263084","12,137089","6,725575",
19/01/2009 13.00,"0,169047","10,827145","5,513361",
19/01/2009 14.00,"0,156485","10,461397","5,374488",
19/01/2009 15.00,"0,208869","10,908855","5,885851",
19/01/2009 16.00,"0,157155","14,384746","9,253829",
19/01/2009 17.00,"0,34096","22,774864","14,63869",
19/01/2009 18.00,"0,269061","10,816769","6,07534",
19/01/2009 19.00,"0,281135","11,438019","6,598382",
19/01/2009 20.00,"0,340716","10,251287","5,583445",
19/01/2009 21.00,"0,298637","11,808953","5,929978",
19/01/2009 22.00,"0,287966","11,322588","5,611999",
19/01/2009 23.00,"0,506713","16,62462","10,319372",
20/01/2009 0.00,"0,574284","15,069548","8,99036",
20/01/2009 1.00,,"12,553418","6,899488",
20/01/2009 2.00,"0,601992",,,
20/01/2009 3.00,"0,552096","9,401768","3,894914",
20/01/2009 4.00,"0,619744","7,844102","2,411447",
20/01/2009 5.00,"0,451225","7,465385","2,366021",
20/01/2009 6.00,"0,530746","8,543171","3,591212",
20/01/2009 7.00,"0,844397","19,341772","11,97546",
20/01/2009 8.00,"1,11019","44,156799","24,214389",
20/01/2009 9.00,"1,047099","38,403418","19,801627",
20/01/2009 10.00,"0,681274","10,572937","5,423808",
20/01/2009 11.00,"0,497522","11,256443","4,652871",
20/01/2009 12.00,"0,520191","10,697447","4,703489",
20/01/2009 13.00,"0,553895","10,326513","4,094785",
20/01/2009 14.00,"0,583161","10,559966","5,029254",
20/01/2009 15.00,"0,531466","12,627345","6,478978",
20/01/2009 16.00,"0,685592","11,479521","6,249255",
20/01/2009 17.00,"0,619504","12,62086","5,998766",
20/01/2009 18.00,"0,592636","12,192858","6,036404",
20/01/2009 19.00,"1,001401","10,041177","4,918935",
20/01/2009 20.00,"0,995404","10,873834","5,802786",
20/01/2009 21.00,"0,799178","10,292791","4,565915",
20/01/2009 22.00,"0,801217","8,059401","3,440659",
20/01/2009 23.00,"0,812251","8,897245","3,534106",
21/01/2009 0.00,"0,723374","7,593787","2,748894",
21/01/2009 1.00,"0,828324","5,912908","2,125914",
21/01/2009 2.00,"0,706462","5,793585","1,793659",
21/01/2009 3.00,"0,98485","5,451184","1,980553",
21/01/2009 4.00,"0,942749","4,667811","1,283596",
21/01/2009 5.00,"0,794141","5,312408","1,238171",
21/01/2009 6.00,"0,738846","5,099703","1,519809",
21/01/2009 7.00,"0,594435","5,59904","2,595745",
21/01/2009 8.00,"0,618304","15,007293","8,67887",
21/01/2009 9.00,"0,790543","16,929409","9,140912",
21/01/2009 10.00,"1,230971","12,655879","4,56202",
21/01/2009 11.00,"0,529067","9,353781","3,060382",
21/01/2009 12.00,"0,629339","8,873899","2,633382",
21/01/2009 13.00,"0,620824","8,799974","3,493872",
21/01/2009 14.00,"0,436352","8,997113","2,851425",
21/01/2009 15.00,"0,529307","8,780517","2,782639",
21/01/2009 16.00,"0,48169","8,851852","2,97602",
21/01/2009 17.00,"0,430475","10,26685","4,116852",
21/01/2009 18.00,"0,561811","10,55867","4,839765",
21/01/2009 19.00,"0,573566","10,850489","4,328403",
