NetC,Regione Puglia,,,
Stat,Capitaneria di Porto,,,
Parm,SO2,NOX,NO,NO2



08/08/2006 15.00,"0,95658512",69,"0,0043246",70
08/08/2006 16.00,1,67,"0,0043246",68
08/08/2006 17.00,1,72,"0,44975549",72
08/08/2006 18.00,"0,98899589",95,3,91
08/08/2006 19.00,1,111,6,103
08/08/2006 20.00,1,97,2,93
08/08/2006 21.00,1,110,6,101
08/08/2006 22.00,1,153,22,120
08/08/2006 23.00,1,239,69,136
09/08/2006 0.00,"0,92613614",189,46,121
09/08/2006 1.00,"0,92152404",187,51,111
09/08/2006 2.00,"0,74176014",111,21,81
09/08/2006 3.00,"0,722429",109,21,78
09/08/2006 4.00,"0,86326113",148,43,83
09/08/2006 5.00,"0,91544747",156,51,79
09/08/2006 6.00,"0,63586806",105,21,74
09/08/2006 7.00,1,160,54,80
09/08/2006 8.00,1,223,92,86
09/08/2006 9.00,1,186,60,96
09/08/2006 10.00,"0,87462",106,7,96
09/08/2006 11.00,"0,83060831",90,2,86
09/08/2006 12.00,"0,79033206",125,14,104
09/08/2006 13.00,"0,91133472",156,26,116
09/08/2006 14.00,"0,73187998",151,22,118
09/08/2006 15.00,"0,71573409",145,19,117
09/08/2006 16.00,"0,61712679",135,16,111
09/08/2006 17.00,"0,67287669",130,14,109
09/08/2006 18.00,"0,66900396",164,29,121
09/08/2006 19.00,"0,57445754",147,20,117
09/08/2006 20.00,"0,46504054",145,17,120
09/08/2006 21.00,"0,54203049",158,23,125
09/08/2006 22.00,"0,64886634",172,30,128
09/08/2006 23.00,"0,56647103",142,15,119
10/08/2006 0.00,"0,67115491",182,34,131
10/08/2006 1.00,,168,32,120
10/08/2006 2.00,"0,36177233",107,12,90
10/08/2006 3.00,"0,27263329",116,20,86
10/08/2006 4.00,"0,2904491",121,26,82
10/08/2006 5.00,"0,24616485",112,19,83
10/08/2006 6.00,"0,37061616",155,44,89
10/08/2006 7.00,"0,44919263",174,50,99
10/08/2006 8.00,"0,4103178",133,18,106
10/08/2006 9.00,"0,45447391",147,23,112
10/08/2006 10.00,"0,47413455",151,27,111
10/08/2006 11.00,"0,35661817",129,15,108
10/08/2006 12.00,"0,39600251",120,12,102
10/08/2006 13.00,"0,46007249",124,12,106
10/08/2006 14.00,"0,31182644",119,10,104
10/08/2006 15.00,"0,29216681",104,8,93
10/08/2006 16.00,"0,27613279",73,"0,96870327",71
10/08/2006 17.00,"0,25150919",101,6,92
10/08/2006 18.00,"0,25488257",116,8,104
10/08/2006 19.00,"0,32436096",99,4,92
10/08/2006 20.00,"0,32786046",136,18,110
10/08/2006 21.00,"0,44200346",167,31,121
10/08/2006 22.00,"0,49551189",243,70,138
10/08/2006 23.00,"0,3743699",205,54,125
11/08/2006 0.00,"0,24947417",177,45,110
11/08/2006 1.00,"0,27257024",152,31,107
11/08/2006 2.00,"0,17102482",94,6,85
11/08/2006 3.00,"0,2691338",69,4,64
11/08/2006 4.00,"0,2387855",98,19,69
11/08/2006 5.00,"0,32792351",118,20,87
11/08/2006 6.00,"0,40478227",107,17,82
11/08/2006 7.00,"0,41349898",127,29,84
11/08/2006 8.00,"0,45141884",110,22,77
11/08/2006 9.00,"0,52070705",151,41,89
11/08/2006 10.00,"0,35649104",92,8,79
11/08/2006 11.00,"0,41178127",68,"0,47137722",67
11/08/2006 12.00,"0,3064821",59,"0,08216732",60
11/08/2006 13.00,"0,39243894",73,2,71
11/08/2006 14.00,"0,35999054",95,5,88
11/08/2006 15.00,"0,29063928",83,2,80
11/08/2006 16.00,"0,39943794",76,"0,52759822",75
11/08/2006 17.00,"0,65648265",89,3,84
11/08/2006 18.00,"0,61175499",98,5,90
11/08/2006 19.00,"0,77310611",106,8,94
11/08/2006 20.00,"0,46013657",111,9,99
11/08/2006 21.00,"0,4689804",120,9,107
11/08/2006 22.00,"0,40331881",128,12,111
11/08/2006 23.00,"0,35121078",142,19,114
12/08/2006 0.00,"0,32436096",193,46,123
12/08/2006 1.00,,175,45,108
12/08/2006 2.00,"0,2155145",116,16,92
12/08/2006 3.00,"0,14723007",77,2,74
12/08/2006 4.00,"0,18882741",96,12,79
12/08/2006 5.00,"0,24817241",118,19,90
12/08/2006 6.00,"0,27528665",165,49,92
12/08/2006 7.00,"0,32113707",213,76,99
12/08/2006 8.00,"0,45259144",232,88,101
12/08/2006 9.00,"0,34414466",192,58,105
12/08/2006 10.00,"0,23397",125,18,97
12/08/2006 11.00,"0,2363864",90,5,82
12/08/2006 12.00,"0,21040815",62,"0,98600165",62
12/08/2006 13.00,"0,2416392",35,0.00,38
12/08/2006 14.00,"0,27954788",33,0.00,37
12/08/2006 15.00,"0,29644025",24,0.00,29
12/08/2006 16.00,"0,26889887",21,0.00,25
12/08/2006 17.00,"0,32327277",23,0.00,27
12/08/2006 18.00,"0,54869998",29,0.00,33
12/08/2006 19.00,"0,55821299",33,0.00,37
12/08/2006 20.00,"0,45956094",39,0.00,42
12/08/2006 21.00,"0,39837212",44,0.00,48
12/08/2006 22.00,"0,43117546",53,0.00,56
12/08/2006 23.00,"0,36827807",53,0.00,55
13/08/2006 0.00,"0,48567547",86,3,81
13/08/2006 1.00,"0,40418733",69,1,68
13/08/2006 2.00,"0,52754638",126,19,98
13/08/2006 3.00,"0,31617615",103,10,88
13/08/2006 4.00,"0,34937713",154,38,97
13/08/2006 5.00,"0,35749279",171,50,96
13/08/2006 6.00,"0,38006307",79,6,70
13/08/2006 7.00,"0,36528809",106,14,85
13/08/2006 8.00,"0,36146316",175,49,101
13/08/2006 9.00,"0,4393979",193,66,94
13/08/2006 10.00,"0,31433131",162,42,99
13/08/2006 11.00,"0,21026272",87,3,82
13/08/2006 12.00,"0,24149275",129,15,106
13/08/2006 13.00,"0,20543807",150,24,114
13/08/2006 14.00,"0,23908551",144,23,111
13/08/2006 15.00,"0,14254069",133,22,100
13/08/2006 16.00,"0,23070747",78,4,72
13/08/2006 17.00,"0,14125927",47,"0,01297379",48
13/08/2006 18.00,"0,17448974",43,"0,00864919",45
13/08/2006 19.00,"0,19663288",36,0.00,39
13/08/2006 20.00,"0,37879182",50,"0,01729838",52
13/08/2006 21.00,"0,44492225",131,12,112
13/08/2006 22.00,"0,48099625",172,32,124
13/08/2006 23.00,"0,4034795",179,42,116
14/08/2006 0.00,"0,5103723",149,29,106
14/08/2006 1.00,,217,70,112
14/08/2006 2.00,"0,47570073",158,38,100
14/08/2006 3.00,"0,5346847",167,50,92
14/08/2006 4.00,"0,45093068",144,41,82
14/08/2006 5.00,"0,45691369",143,39,84
14/08/2006 6.00,"0,45245313",121,31,74
14/08/2006 7.00,"0,6891253",136,39,77
14/08/2006 8.00,"0,67989094",150,45,82
14/08/2006 9.00,"0,51920291",145,37,90
14/08/2006 10.00,"0,48577615",85,4,79
14/08/2006 11.00,"0,50067927",87,4,81
14/08/2006 12.00,"0,37158638",75,4,70
14/08/2006 13.00,"0,42469208",105,11,89
14/08/2006 14.00,"0,35127689",62,1,62
14/08/2006 15.00,"0,34765738",34,0.00,37
14/08/2006 16.00,"0,32467318",29,0.00,33
14/08/2006 17.00,"0,51232901",36,0.00,39
14/08/2006 18.00,"0,61009525",37,0.00,40
14/08/2006 19.00,"0,5874253",51,0.00,53
14/08/2006 20.00,"0,68623804",65,"0,01297379",66
14/08/2006 21.00,"0,78154314",90,5,83
14/08/2006 22.00,"0,70481558",162,34,111
14/08/2006 23.00,"0,61382255",159,34,108
15/08/2006 0.00,"0,44384626",117,14,97
15/08/2006 1.00,"0,67952584",130,24,95
15/08/2006 2.00,"0,65234143",122,19,93
15/08/2006 3.00,"0,5538938",139,32,90
15/08/2006 4.00,"0,41634861",105,16,81
15/08/2006 5.00,"0,45575838",52,1,51
15/08/2006 6.00,"0,59004916",112,28,70
15/08/2006 7.00,"0,54345022",104,23,69
15/08/2006 8.00,"0,51474235",51,1,50
15/08/2006 9.00,"0,5921991",55,1,53
15/08/2006 10.00,"0,51826117",45,"0,26812371",46
15/08/2006 11.00,"0,48965906",39,0.00,41
15/08/2006 12.00,"0,48047453",51,"0,0043246",52
15/08/2006 13.00,"0,44442392",68,"0,39786034",68
15/08/2006 14.00,"0,4854619",74,2,72
15/08/2006 15.00,"0,53693939",98,5,90
15/08/2006 16.00,"0,34487487",111,10,96
15/08/2006 17.00,"0,35211794",115,12,97
15/08/2006 18.00,"0,27455644",94,7,84
15/08/2006 19.00,"0,26358911",107,12,90
15/08/2006 20.00,"0,29838068",114,15,92
15/08/2006 21.00,"0,34204151",134,26,96
15/08/2006 22.00,"0,44599721",162,39,103
15/08/2006 23.00,"0,57944999",184,52,107
16/08/2006 0.00,"0,93892186",275,108,113
16/08/2006 1.00,,231,84,105
16/08/2006 2.00,"0,49849475",172,47,101
16/08/2006 3.00,"0,50438115",171,50,96
16/08/2006 4.00,"0,41616555",165,50,90
16/08/2006 5.00,"0,48102269",141,35,89
16/08/2006 6.00,"0,51254156",162,47,92
16/08/2006 7.00,"0,66052726",212,75,99
16/08/2006 8.00,"0,9651808",239,94,98
16/08/2006 9.00,"0,60610658",182,57,96
16/08/2006 10.00,"0,39676933",116,20,87
16/08/2006 11.00,"0,4023669",106,13,87
16/08/2006 12.00,"0,41621742",163,34,112
16/08/2006 13.00,"0,30296837",134,20,103
16/08/2006 14.00,"0,36243744",95,6,86
16/08/2006 15.00,"0,32617021",78,2,75
16/08/2006 16.00,"0,27862952",79,3,75
16/08/2006 17.00,"0,20575436",94,5,87
16/08/2006 18.00,"0,26017504",99,6,90
16/08/2006 19.00,"0,23350727",120,14,99
16/08/2006 20.00,"0,2774915",139,21,107
16/08/2006 21.00,"0,31251596",173,38,116
16/08/2006 22.00,"0,41735544",222,63,127
16/08/2006 23.00,"0,8717602",279,94,138
17/08/2006 0.00,"0,97642679",381,159,143
17/08/2006 1.00,"0,83172599",363,155,130
17/08/2006 2.00,"0,42477141",227,75,114
17/08/2006 3.00,"0,25260246",93,8,81
17/08/2006 4.00,"0,34586645",106,15,84
17/08/2006 5.00,"0,29500424",86,10,71
17/08/2006 6.00,"0,47301789",197,66,98
17/08/2006 7.00,"0,50329499",240,98,93
17/08/2006 8.00,"0,56192708",266,112,98
17/08/2006 9.00,"0,42473073",213,80,93
17/08/2006 10.00,"0,3121234",182,59,94
17/08/2006 11.00,"0,29248005",120,18,94
17/08/2006 12.00,"0,38039461",108,6,100
17/08/2006 13.00,"0,37718598",97,"0,38701269",96
17/08/2006 14.00,"0,28545665",76,0.00,77
17/08/2006 15.00,"0,3154856",64,0.00,64
17/08/2006 16.00,"0,20189687",57,"0,0562185",57
17/08/2006 17.00,"0,32503218",52,0.00,52
17/08/2006 18.00,"0,38311509",61,"0,23352694",61
17/08/2006 19.00,"0,45184293",75,"0,52759822",74
17/08/2006 20.00,"0,60308507",100,4,95
17/08/2006 21.00,"0,29594497",151,16,128
17/08/2006 22.00,"0,28476305",173,23,139
17/08/2006 23.00,"0,19298999",182,23,147
18/08/2006 0.00,"0,23375643",199,33,150
18/08/2006 1.00,,178,32,130
18/08/2006 2.00,"0,16903659",178,32,131
18/08/2006 3.00,"0,25510733",190,42,127
18/08/2006 4.00,"0,24161581",153,33,104
18/08/2006 5.00,"0,18327764",188,62,96
18/08/2006 6.00,"0,20469362",216,83,92
18/08/2006 7.00,"0,25143189",208,75,95
18/08/2006 8.00,"0,18224335",194,64,98
18/08/2006 9.00,"0,25935534",152,42,89
18/08/2006 10.00,"0,22817819",166,58,79
18/08/2006 11.00,"0,23926044",150,42,87
18/08/2006 12.00,"0,30104319",106,11,90
18/08/2006 13.00,"0,22553704",84,3,80
18/08/2006 14.00,"0,3123563",62,"0,12108869",63
18/08/2006 15.00,"0,22341354",56,"0,02594758",57
18/08/2006 16.00,"0,1647896",64,"0,02594758",65
18/08/2006 17.00,"0,14922746",57,0.00,58
18/08/2006 18.00,"0,24425696",61,"0,0043246",62
18/08/2006 19.00,"0,28019876",68,"0,01297379",69
18/08/2006 20.00,"0,25803426",94,"0,52759822",94
18/08/2006 21.00,"0,25723184",136,3,131
18/08/2006 22.00,"0,38700511",234,40,175
18/08/2006 23.00,"0,37121212",239,57,154
19/08/2006 0.00,"0,35697107",225,67,124
19/08/2006 1.00,"0,34146385",219,73,111
19/08/2006 2.00,"0,20572791",198,63,103
19/08/2006 3.00,"0,19912453",176,50,101
19/08/2006 4.00,"0,26618958",160,40,100
19/08/2006 5.00,"0,2289267",163,43,98
19/08/2006 6.00,"0,26779644",197,71,91
19/08/2006 7.00,"0,22949825",186,63,91
19/08/2006 8.00,"0,27175766",187,62,94
19/08/2006 9.00,"0,30339856",241,88,109
19/08/2006 10.00,"0,23156785",180,55,98
19/08/2006 11.00,"0,13338057",123,26,85
19/08/2006 12.00,"0,13125707",87,4,80
19/08/2006 13.00,"0,19011188",76,2,73
19/08/2006 14.00,"0,12149489",77,2,75
19/08/2006 15.00,"0,13969817",58,"0,01729838",58
19/08/2006 16.00,"0,20073139",59,"0,06486769",60
19/08/2006 17.00,"0,23288893",60,"0,09081652",60
19/08/2006 18.00,"0,11144795",75,2,73
19/08/2006 19.00,"0,12253019",91,4,86
19/08/2006 20.00,"0,15370735",116,9,102
19/08/2006 21.00,"0,20917249",130,12,112
19/08/2006 22.00,"0,12413604",132,15,110
19/08/2006 23.00,"0,23317471",124,11,108
20/08/2006 0.00,"0,24293588",175,38,119
20/08/2006 1.00,,220,66,121
20/08/2006 2.00,"0,384665",229,77,114
20/08/2006 3.00,"0,27660671",193,57,107
20/08/2006 4.00,"0,22132564",203,69,99
20/08/2006 5.00,"0,21490329",170,60,81
20/08/2006 6.00,"0,27844545",209,92,71
20/08/2006 7.00,"0,34105705",250,116,76
20/08/2006 8.00,"0,31528526",245,107,84
20/08/2006 9.00,"0,32540441",194,66,95
20/08/2006 10.00,"0,18509095",115,21,85
20/08/2006 11.00,"0,13968698",91,8,79
20/08/2006 12.00,"0,16424753",79,4,74
20/08/2006 13.00,"0,1492",86,4,80
20/08/2006 14.00,"0,19248352",71,"0,66165945",70
20/08/2006 15.00,"0,19371613",56,"0,01729838",56
20/08/2006 16.00,"0,13906051",45,"0,0043246",46
20/08/2006 17.00,"0,23974555",39,0.00,41
20/08/2006 18.00,"0,18450617",44,0.00,45
20/08/2006 19.00,"0,18604083",41,0.00,42
20/08/2006 20.00,"0,30482236",61,2,59
20/08/2006 21.00,"0,21367068",86,3,81
20/08/2006 22.00,"0,28919005",112,11,95
20/08/2006 23.00,"0,27476899",109,7,99
21/08/2006 0.00,"0,26646722",116,11,99
21/08/2006 1.00,"0,19801804",94,11,77
21/08/2006 2.00,"0,23946384",133,27,93
21/08/2006 3.00,"0,19187841",92,4,86
21/08/2006 4.00,"0,27781898",88,7,77
21/08/2006 5.00,"0,21213603",93,12,75
21/08/2006 6.00,"0,23299979",114,29,70
21/08/2006 7.00,"0,30853949",178,73,68
21/08/2006 8.00,"0,21183296",153,47,82
21/08/2006 9.00,"0,18143585",70,2,67
21/08/2006 10.00,"0,17866859",62,2,59
21/08/2006 11.00,"0,1906458",68,3,64
21/08/2006 12.00,"0,13875745",73,3,68
21/08/2006 13.00,"0,21241774",53,"0,71787795",52
21/08/2006 14.00,"0,19678543",147,36,92
21/08/2006 15.00,"0,13508201",116,20,87
21/08/2006 16.00,"0,12280173",50,0.00,51
21/08/2006 17.00,"0,24220974",31,0.00,33
21/08/2006 18.00,"0,21857873",40,0.00,42
21/08/2006 19.00,"0,21336863",63,"0,35461438",63
21/08/2006 20.00,"0,25081457",62,"0,09081652",63
21/08/2006 21.00,"0,25879294",69,"0,19028098",69
21/08/2006 22.00,"0,20967184",81,1,79
21/08/2006 23.00,"0,26002453",89,1,88
22/08/2006 0.00,"0,29777353",78,"0,82599285",77
22/08/2006 1.00,,75,1,74
22/08/2006 2.00,"0,12747993",114,8,103
22/08/2006 3.00,"0,11427622",66,1,66
22/08/2006 4.00,"0,11688788",50,"0,48435226",51
22/08/2006 5.00,"0,17702105",77,3,73
22/08/2006 6.00,"0,17917608",83,4,78
22/08/2006 7.00,"0,12501371",54,"0,16000881",54
22/08/2006 8.00,"0,24047982",57,"0,73085174",57
22/08/2006 9.00,"0,86954009",72,2,69
22/08/2006 10.00,"0,98478754",70,"0,33731724",69
22/08/2006 11.00,"0,94331632",86,5,79
22/08/2006 12.00,2,101,10,87
22/08/2006 13.00,1,104,8,92
22/08/2006 14.00,1,90,4,85
22/08/2006 15.00,"0,75400075",72,1,70
22/08/2006 16.00,"0,73068094",64,2,61
22/08/2006 17.00,"0,7951801",63,"0,81734366",62
22/08/2006 18.00,1,70,3,67
22/08/2006 19.00,1,86,5,78
22/08/2006 20.00,1,97,9,84
22/08/2006 21.00,"0,90889392",81,2,78
22/08/2006 22.00,"0,95809028",60,"0,04324596",61
22/08/2006 23.00,1,92,7,82
23/08/2006 0.00,"0,94654834",111,12,93
23/08/2006 1.00,"0,88876952",108,15,86
23/08/2006 2.00,"0,74017667",81,7,70
23/08/2006 3.00,"0,82965843",104,18,77
23/08/2006 4.00,"0,66523292",133,33,83
23/08/2006 5.00,"0,70150016",148,42,86
23/08/2006 6.00,"0,64786663",169,55,87
23/08/2006 7.00,1,220,85,93
23/08/2006 8.00,1,246,95,104
23/08/2006 9.00,"0,89443014",175,55,93
23/08/2006 10.00,"0,82374051",123,33,74
23/08/2006 11.00,"0,93239577",103,20,74
23/08/2006 12.00,"0,78473449",107,16,83
23/08/2006 13.00,"0,73973936",109,15,87
23/08/2006 14.00,"0,7350815",110,13,91
23/08/2006 15.00,"0,64048829",76,2,73
23/08/2006 16.00,"0,72774079",62,"0,13838583",62
23/08/2006 17.00,"0,70761741",70,1,68
23/08/2006 18.00,"0,78873435",92,6,84
23/08/2006 19.00,"0,84616536",105,9,92
23/08/2006 20.00,"0,8084011",113,11,96
23/08/2006 21.00,"0,6624199",119,16,94
23/08/2006 22.00,"0,74952595",122,20,92
23/08/2006 23.00,"0,76614475",121,22,89
24/08/2006 0.00,1,175,49,102
24/08/2006 1.00,,166,42,104
24/08/2006 2.00,1,,,
24/08/2006 3.00,1,205,65,108
24/08/2006 4.00,1,176,56,92
24/08/2006 5.00,1,142,37,87
24/08/2006 6.00,1,148,37,93
24/08/2006 7.00,1,200,68,99
24/08/2006 8.00,2,241,88,109
24/08/2006 9.00,2,217,74,106
24/08/2006 10.00,1,126,22,93
24/08/2006 11.00,1,95,9,81
24/08/2006 12.00,1,126,20,95
24/08/2006 13.00,1,112,11,96
24/08/2006 14.00,1,92,2,88
24/08/2006 15.00,1,70,"0,07351813",70
24/08/2006 16.00,1,69,"0,06919354",69
24/08/2006 17.00,1,75,"0,26812371",74
24/08/2006 18.00,1,89,4,84
24/08/2006 19.00,1,106,8,95
24/08/2006 20.00,1,118,10,103
24/08/2006 21.00,1,133,15,111
24/08/2006 22.00,1,129,14,108
24/08/2006 23.00,2,210,49,137
25/08/2006 0.00,2,270,86,141
25/08/2006 1.00,2,229,65,132
25/08/2006 2.00,1,220,62,127
25/08/2006 3.00,1,134,22,101
25/08/2006 4.00,1,73,3,69
25/08/2006 5.00,1,51,"0,19028098",51
25/08/2006 6.00,1,32,0.00,33
25/08/2006 7.00,1,35,0.00,36
25/08/2006 8.00,1,57,2,54
25/08/2006 9.00,1,84,7,73
25/08/2006 10.00,1,59,"0,47137722",58
25/08/2006 11.00,1,57,"0,98600165",56
25/08/2006 12.00,1,93,11,76
25/08/2006 13.00,1,87,4,81
25/08/2006 14.00,"0,99143059",77,"0,80869446",76
25/08/2006 15.00,1,77,1,75
25/08/2006 16.00,"0,99359781",62,"0,37623736",63
25/08/2006 17.00,1,79,1,77
25/08/2006 18.00,"0,98327526",101,6,92
25/08/2006 19.00,1,110,9,97
25/08/2006 20.00,1,125,13,106
25/08/2006 21.00,1,121,10,106
25/08/2006 22.00,1,129,13,110
25/08/2006 23.00,2,180,38,123
26/08/2006 0.00,1,179,37,123
26/08/2006 1.00,,157,40,98
26/08/2006 2.00,2,,,
26/08/2006 3.00,2,67,4,61
26/08/2006 4.00,1,94,16,70
26/08/2006 5.00,2,64,5,56
26/08/2006 6.00,2,50,1,48
26/08/2006 7.00,2,47,"0,61841349",46
26/08/2006 8.00,2,63,5,56
26/08/2006 9.00,2,76,8,64
26/08/2006 10.00,2,45,0.00,46
26/08/2006 11.00,2,45,0.00,46
26/08/2006 12.00,2,71,"0,55787039",70
26/08/2006 13.00,2,88,2,84
26/08/2006 14.00,2,91,3,87
26/08/2006 15.00,2,47,0.00,49
26/08/2006 16.00,2,33,0.00,36
26/08/2006 17.00,2,34,0.00,37
26/08/2006 18.00,2,75,4,70
26/08/2006 19.00,2,103,9,90
26/08/2006 20.00,2,115,14,94
26/08/2006 21.00,2,134,21,102
26/08/2006 22.00,2,132,21,101
26/08/2006 23.00,2,131,21,99
