,Foggia,,
,Capitaneria di Porto,,
Parm,SO2,NO2,PM10
,,,,
,,,,,
,,,,
,,,,
,,,,
17/01/2010 18.00,"5,524763","33,49416744","42,5"
17/01/2010 19.00,"5,9744743","43,74996336","42,5"
17/01/2010 20.00,"6,41334947","50,01996584","42,5"
17/01/2010 21.00,"6,46878614","52,07414216","42,5"
17/01/2010 22.00,"6,39167618","53,01805832","42,5"
17/01/2010 23.00,"5,92390499","55,79162464","42,5"
18/01/2010 0.00,"5,62770985","40,67011376","42,5"
18/01/2010 1.00,,"43,94724352","27,10000038"
18/01/2010 2.00,"5,6150665",,"27,10000038"
18/01/2010 3.00,"5,34234982","28,9736832","27,10000038"
18/01/2010 4.00,"5,32067755","19,06054445","27,10000038"
18/01/2010 5.00,"5,44890803","15,26686494","27,10000038"
18/01/2010 6.00,"5,55907862","21,31623792","27,10000038"
18/01/2010 7.00,"5,53018158","29,17484472","27,10000038"
18/01/2010 8.00,"5,58797566","39,17236768","27,10000038"
18/01/2010 9.00,"5,88958938","55,98888568","27,10000038"
18/01/2010 10.00,"6,14605034","65,48152592","27,10000038"
18/01/2010 11.00,"5,62409746","54,4911396","27,10000038"
18/01/2010 12.00,"5,57713952","50,8454336","27,10000038"
18/01/2010 13.00,"5,41459343","44,15490584","27,10000038"
18/01/2010 14.00,"5,51212068","41,95889736","27,10000038"
18/01/2010 15.00,"5,4723875","43,63444032","27,10000038"
18/01/2010 16.00,"5,3658293","34,55454352","27,10000038"
18/01/2010 17.00,"5,30622903","37,26837896","27,10000038"
18/01/2010 18.00,"5,51392687","39,7654892","27,10000038"
18/01/2010 19.00,"5,48502983","47,4527808","27,10000038"
18/01/2010 20.00,"5,46877512","45,10234008","27,10000038"
18/01/2010 21.00,"5,42542956","42,95176072","27,10000038"
18/01/2010 22.00,"5,60784275","52,66244544","27,10000038"
18/01/2010 23.00,"5,53379396","50,39896248","27,10000038"
19/01/2010 0.00,"5,3459622","40,23272464","27,10000038"
19/01/2010 1.00,"5,37486026","36,0951184","14,80000019"
19/01/2010 2.00,"5,22495649","23,98726368","14,80000019"
19/01/2010 3.00,"5,21953791","13,06308418","14,80000019"
19/01/2010 4.00,"5,0606042","10,96182486","14,80000019"
19/01/2010 5.00,"5,15813145","8,28561567","14,80000019"
19/01/2010 6.00,"5,30803522","8,77751018","14,80000019"
19/01/2010 7.00,"5,40375628","19,19940536","14,80000019"
19/01/2010 8.00,"5,47961126","21,78607368","14,80000019"
19/01/2010 9.00,"5,35318697","28,63753448","14,80000019"
19/01/2010 10.00,"5,48864222","32,77255952","14,80000019"
19/01/2010 11.00,"5,45071422","24,13261392","14,80000019"
19/01/2010 12.00,"5,49406079","26,32472192","14,80000019"
19/01/2010 13.00,"5,50850931","29,35526104","14,80000019"
19/01/2010 14.00,"5,30984141","27,0359668","14,80000019"
19/01/2010 15.00,"5,40375628","28,0768596","14,80000019"
19/01/2010 16.00,"5,33693226","20,08066528","14,80000019"
19/01/2010 17.00,"5,3116476","22,32338392","14,80000019"
19/01/2010 18.00,"5,38750258","22,67121496","14,80000019"
19/01/2010 19.00,"5,56630339","36,02502448","14,80000019"
19/01/2010 20.00,"5,59881179","42,88426712","14,80000019"
19/01/2010 21.00,"5,743298","45,93297024","14,80000019"
19/01/2010 22.00,"5,64576973","42,48322512","14,80000019"
