"NetC","Provincia di TARANTO","","","","",""
"Stat","MARTINA FRANCA","","","","",""
,NO2,NOX,CO,O3,PM10
12/01/2012 8.00,"50,904686","180,184755","0,80471","24,545563","9,277344"
12/01/2012 9.00,"65,051512","245,435225","0,931265","17,286995",
12/01/2012 10.00,"32,080662","80,83263","0,442837","39,454538","15,13671"
12/01/2012 11.00,"27,677748","68,393347","0,450702","50,655047",
12/01/2012 12.00,"24,721051","62,154914","0,374071","59,190592","18,55468"
12/01/2012 13.00,"28,819269","73,153253","0,397581","61,3338",
12/01/2012 14.00,"27,671209","68,390765","0,41104","69,411897","20,99609"
12/01/2012 15.00,"22,807961","55,048774","0,325997","72,156019",
12/01/2012 16.00,"32,147049","72,84198","0,432826","63,898592","18,55468"
12/01/2012 17.00,"52,650167","134,332817","0,65435","36,98718",
12/01/2012 18.00,"73,117383","214,92811","1,05475","15,365763","13,18359"
12/01/2012 19.00,"83,362968","284,210961","1,34794","10,065641",
12/01/2012 20.00,"94,618418","394,713272","1,809241","7,907557","28,320311"
12/01/2012 21.00,"75,658391","271,212798","1,400725","8,799484",
12/01/2012 22.00,"55,972499","168,855712","1,243046","5,703458","44,43359"
12/01/2012 23.00,"40,222722","117,971506","1,059082","3,929077",
13/01/2012 0.00,"35,231066","86,798717","0,708816","8,223587","50,78125"
13/01/2012 1.00,"30,921704","63,309208","0,497051","19,338825",
13/01/2012 2.00,"13,344822","21,293714","0,221481","50,536622","49,80468"
13/01/2012 3.00,"10,240133","17,208258","0,229683","34,868353",
13/01/2012 4.00,"13,50914","25,118498","0,259419","38,404926","36,132801"
13/01/2012 5.00,"6,764365","13,052753","0,246885","73,211715",
13/01/2012 6.00,"32,835884","75,019594","0,257358","44,059676","20,99609"
13/01/2012 7.00,"51,236572","151,334871","0,351023","31,079347",
13/01/2012 8.00,"73,435155","218,233761","0,842647","22,830741","11,23046"
13/01/2012 9.00,"51,85034","174,786775","0,788811","32,433491",
13/01/2012 10.00,"32,579084","79,726307","0,440018","51,052967","14,16015"
13/01/2012 11.00,"30,500587","70,714918","0,415246","59,616264",
13/01/2012 12.00,"24,147546","57,125243","0,346437","75,304165","18,55468"
13/01/2012 13.00,"29,496155","70,120919","0,355901","73,12982",
13/01/2012 14.00,"35,621724","84,901232","0,370874","66,849798","14,16015"
13/01/2012 15.00,"49,505233","120,56546","0,525524","55,021959",
13/01/2012 16.00,"56,065002","127,710472","0,549119","43,470911","7,8125"
13/01/2012 17.00,"74,450445","172,576739","0,865611","20,686854",
13/01/2012 18.00,"75,470119","206,977626","1,005625","8,835351","19,53125"
13/01/2012 19.00,"79,295206","268,340013","1,463057","9,395003",
13/01/2012 20.00,"51,639217","120,776868","0,727406","27,178703","35,644531"
13/01/2012 21.00,"34,997095","65,642477","0,364355","50,523753",
13/01/2012 22.00,"23,389076","40,199721","0,267577","69,018702","48,33984"
13/01/2012 23.00,"17,408228","29,638446","0,331466","67,734278",
14/01/2012 0.00,"7,063628","11,550856","0,210798","86,569632","27,83202"
14/01/2012 1.00,"3,461624","7,124282","0,160874","93,917541",
14/01/2012 2.00,"1,219894","3,560196","0,147753","97,508258","20,99609"
14/01/2012 3.00,"0,404816","2,680846",,"94,585461",
14/01/2012 4.00,"0,315583","2,06219","0,178341",,"12,69531"
14/01/2012 5.00,"0,811812","3,042703","0,180019","85,248648",
14/01/2012 6.00,"3,61615","7,458901","0,192857","79,020734","9,765625"
14/01/2012 7.00,"9,854907","23,750194","0,395741","74,448095",
14/01/2012 8.00,"25,392467","67,139174","0,450027","57,718722","17,08984"
14/01/2012 9.00,"56,068269","167,371984","0,878113","29,305653",
14/01/2012 10.00,"39,526258","104,294913","0,619726","44,096202","13,18359"
14/01/2012 11.00,"28,367674","75,686231","0,543623","55,687193",
14/01/2012 12.00,"26,041056","66,556815","0,453509","57,826332","7,324219"
14/01/2012 13.00,"35,769732","98,262687","0,585324","50,100136",
14/01/2012 14.00,"36,679482","105,305251","0,626606","60,512239","15,13671"
14/01/2012 15.00,"15,911931","37,69397","0,444321","74,802706",
14/01/2012 16.00,"32,012119","72,983354","0,469787","57,135383","13,18359"
14/01/2012 17.00,"36,787203","83,136054","0,560909","51,213347",
14/01/2012 18.00,"49,512844","123,709322","0,775748","34,587513","11,23046"
14/01/2012 19.00,"56,889875","152,450282","0,889607","30,061558",
14/01/2012 20.00,"63,779403","207,264239","1,201023","24,523896","15,13671"
14/01/2012 21.00,"70,928981","216,829403","1,159154","13,576496",
14/01/2012 22.00,"55,289112","145,562053","1,016263","20,662494","22,46093"
14/01/2012 23.00,"41,733164","89,003581","0,668265","31,417042",
15/01/2012 0.00,"26,800637","48,01269","0,593421","37,846625","37,597641"
15/01/2012 1.00,"32,869632","64,673611","0,62648","32,858467",
15/01/2012 2.00,"29,917293","59,01883","0,58952","36,411962","25,878901"
15/01/2012 3.00,"20,787148","33,909397","0,447636","43,437076",
15/01/2012 4.00,"16,564863","26,633356","0,370442","40,986636","24,90234"
15/01/2012 5.00,"9,184563","15,060468","0,343132","49,388221",
15/01/2012 6.00,"7,636031","15,675236","0,280538","56,054653","18,55468"
15/01/2012 7.00,"17,44196","34,950842","0,3446","38,706074",
15/01/2012 8.00,"30,969601","62,654233","0,564515","23,209012","13,18359"
15/01/2012 9.00,"45,323193","104,127595","0,71693","26,483027",
15/01/2012 10.00,"21,29425","45,257918","0,422589","59,553323","9,765625"
15/01/2012 11.00,"17,858751","39,844358","0,404005","65,428678",
15/01/2012 12.00,"21,433538","53,266733","0,423596","68,139641","16,601561"
15/01/2012 13.00,"20,558607","54,050117","0,495713","71,850145",
15/01/2012 14.00,"16,002247","39,399493","0,462403","78,263492","13,18359"
15/01/2012 15.00,"6,018938","14,744007","0,369352","88,990962",
15/01/2012 16.00,"8,636102","19,998048","0,418101","84,003485","9,277344"
15/01/2012 17.00,"13,747465","27,847323","0,497055","74,797295",
15/01/2012 18.00,"28,809499","59,077165","0,675816","54,27689","6,347656"
15/01/2012 19.00,"46,585535","95,181061","0,893299","29,031579",
15/01/2012 20.00,"44,892266","94,434004","0,935044","22,608078","12,69531"
15/01/2012 21.00,"34,182028","70,877057","0,654798","41,229588",
15/01/2012 22.00,"31,185064","59,428667","0,643345","38,827207","21,48436"
15/01/2012 23.00,"17,757551","28,228652","0,552139","49,446413",
16/01/2012 0.00,"14,527716","25,540017","0,462948","53,692193","22,9492"
16/01/2012 1.00,"14,957558","25,303962","0,467144","51,848794",
16/01/2012 2.00,"12,110776","22,649055","0,432533","58,149124","19,04295"
16/01/2012 3.00,"5,620649","9,850522",,"63,707752",
16/01/2012 4.00,"2,600842","6,125612","0,285923",,"16,601561"
16/01/2012 5.00,"3,750002","7,736452","0,269558","73,991978",
16/01/2012 6.00,"8,071316","15,239452","0,275","69,65822","8,789063"
