,ARPA Puglia,
,S.Barbara,
Parm,SO2,NO2



29/01/2008 1.00,"1,56946898",
29/01/2008 2.00,"1,57644498",
29/01/2008 3.00,"1,61655295",
29/01/2008 4.00,"1,218431",
29/01/2008 5.00,"1,19802797",
29/01/2008 6.00,"1,17282903",
29/01/2008 7.00,"1,03925002",
29/01/2008 8.00,"1,24336803",
29/01/2008 9.00,"1,30431604",
29/01/2008 10.00,"2,41175103",
29/01/2008 11.00,"2,8581779",
29/01/2008 12.00,"3,3621521","5,88873572"
29/01/2008 13.00,"4,0021472","6,68803281"
29/01/2008 14.00,"4,03179312","5,51845711"
29/01/2008 15.00,"4,07190084","5,16604988"
29/01/2008 16.00,"3,81729794","6,2539093"
29/01/2008 17.00,"3,29239798","6,69186065"
29/01/2008 18.00,"2,36641097","10,82622529"
29/01/2008 19.00,"1,96358001","13,79485899"
29/01/2008 20.00,"1,86941195","16,40725763"
