,Provincia di TARANTO,,,,
,STATTE sc.elementare,,,,
Parm,SO2,NOX,NO,NO2,PM10



14/01/2008 23.00,"1,734939","46,445919","8,31845","33,714812",
15/01/2008 0.00,"1,198761","32,902939","4,149921","26,558349",
15/01/2008 1.00,"0,810117","25,525754","2,053813","22,392176","20,42016"
15/01/2008 2.00,"0,783892","16,444342","1,82204","13,660098","20,42016"
15/01/2008 3.00,"0,930483","12,552121","2,076652","9,37453","20,42016"
15/01/2008 4.00,"0,893882","10,431568","2,362561","6,813829","20,42016"
15/01/2008 5.00,"0,681072","9,650787","2,418391","5,946849","20,42016"
15/01/2008 6.00,"1,27583","9,461431","2,763513","5,423808","20,42016"
15/01/2008 7.00,"0,668997","12,684412","2,477602","8,891722","20,42016"
15/01/2008 8.00,"0,895108","20,634857","2,760974","16,412884","20,42016"
15/01/2008 9.00,"0,812663","28,390771","3,501124","23,038509","20,42016"
15/01/2008 10.00,"0,649565","25,117198","3,846247","19,233152","20,42016"
15/01/2008 11.00,"0,837756","22,16658","4,682829","14,996903","20,42016"
15/01/2008 12.00,"0,97312","21,11085","6,46342","11,208421","20,42016"
15/01/2008 13.00,"0,872658","19,983783","7,717024","8,157127","20,42016"
15/01/2008 14.00,"1,032172","21,173105","8,162807","8,663297","20,42016"
15/01/2008 15.00,"1,133955","20,669885","8,394581","7,804105","20,42016"
15/01/2008 16.00,"0,905862","19,442935","8,6272","6,219403","20,42016"
15/01/2008 17.00,"1,020663","22,821554","8,68049","9,518593","20,42016"
15/01/2008 18.00,"1,11141","30,591731","8,846284","17,039754","20,42016"
15/01/2008 19.00,"1,198949","27,166421","8,142506","14,691911","20,42016"
15/01/2008 20.00,"1,135559","27,240339","7,432807","15,854806","20,42016"
15/01/2008 21.00,"1,091601","31,603351","7,132517","20,681586","20,42016"
15/01/2008 22.00,"1,089808","32,188309","6,540396","22,175433","20,42016"
15/01/2008 23.00,"1,35752","45,803928","7,999551","33,561659","20,42016"
16/01/2008 0.00,"0,752103","33,153237","6,378833","23,388941","20,42016"
16/01/2008 1.00,"24,900606","5,66575","16,224694","26,739651",
16/01/2008 2.00,"1,399083","26,739651",,,
16/01/2008 3.00,"1,604209","14,706394","5,439052","6,371254","26,739651"
16/01/2008 4.00,"12,108554","4,890071","4,625615","26,739651",
16/01/2008 5.00,"26,739651",,,,
16/01/2008 6.00,"26,739651",,,,
16/01/2008 7.00,"1,011539","46,654767","25,787698","7,120127","26,739651"
16/01/2008 8.00,"1,268622","52,418512","15,784239","28,236491","26,739651"
16/01/2008 9.00,"1,553697","62,101721","16,616586","36,649312","26,739651"
