,,,ARPA Puglia,,,,
,,,De Santis,,,,
Field,,,Aver,Aver,Aver,Aver,Aver



13/01/2008 12.00,,,"17,5602335","0,4191014","35,46940878","11,23320961","1,00845206"
13/01/2008 13.00,,,"17,58193836","0,4016007","39,35630736",,"1,22352803"
13/01/2008 14.00,,,"20,70888831","0,46195385","35,84585772","8,30280876","1,37925696"
13/01/2008 15.00,,,"10,25549227","0,37199855","42,6873321",,"1,59259999"
13/01/2008 16.00,,,"14,60692055","0,4397623","38,49695136","27,35042","1,12779403"
13/01/2008 17.00,,,"38,20527315","1,01627455","4,98118642",,"2,69332099"
13/01/2008 18.00,,,"47,4610158","1,29402945","2,1878419","31,74603081","4,71065807"
13/01/2008 19.00,,,"38,70069093","1,0187643","4,38881546",,"5,67081022"
13/01/2008 20.00,,,"43,52071581","1,15057615","1,55972329","42,97924042","4,72711802"
13/01/2008 21.00,,,"36,62711415","1,14383715","2,28486868",,"6,69312286"
13/01/2008 22.00,,,"40,00559706","1,24807545","4,40559448","46,39804077","7,9211998"
13/01/2008 23.00,,,"19,4741811","0,6393747","22,6196037",,"5,39443779"
14/01/2008 0.00,,,"9,0501644","0,4100256","37,46393874","26,37360954","8,88806534"
14/01/2008 1.00,,,"8,15383216","0,30172665","36,12014532",,"1,84016502"
14/01/2008 2.00,,,,"0,23568675","45,30048066","20,51280975","0,69829202"
14/01/2008 3.00,,,"19,13072931",,"48,0770442",,"0,27550501"
14/01/2008 4.00,,,"12,07625136","0,24057425","40,68989838","8,79120922","0,55880702"
14/01/2008 5.00,,,"9,36043535","0,2538349",,,"0,30582801"
14/01/2008 6.00,,,"9,33489889","0,271055","34,12147554","5,86080599","0,36625701"
14/01/2008 7.00,,,"13,97616482","0,2959686","35,41166712",,"0,344165"
14/01/2008 8.00,,,"40,17159531","0,51869715","9,53822572","9,27960968","0,65562397"
14/01/2008 9.00,,,"54,75935223","0,79233735","9,17356252",,"3,07473898"
14/01/2008 10.00,,,"43,15425939","0,6362283","12,08785846","22,95482063","3,6920259"
14/01/2008 11.00,,,"33,7504068","0,6475995","15,35908732",,"3,01365995"
14/01/2008 12.00,,,"32,24630277","0,57814985","19,57946116","25,88521957","3,14513111"
14/01/2008 13.00,,,"28,39282974","0,66133625","21,4588845",,"2,35630298"
14/01/2008 14.00,,,"36,40878648","0,8210333","19,54463958","26,37360954","3,21054196"
14/01/2008 15.00,,,"30,66176718","0,58990285","30,48887178",,"8,16443253"
14/01/2008 16.00,,,"22,654764","0,47565725","36,97616592","18,55920982","2,75526595"
14/01/2008 17.00,,,"32,9498532","0,68030205","24,15685032",,"2,32186508"
