, Brindisi,,,,
,S.I.S.R.I.,,,,
Parm,SO2,NO2,PM10,CO,BENZENE



14/01/2008 20.00,"2,465754","50,062811","22,46641","0,619409","1,694077"
14/01/2008 21.00,"1,648696","43,546199",,"0,668888","1,504819"
14/01/2008 22.00,"0,361571","38,218431","27,35042","0,385322","1,37674"
14/01/2008 23.00,"1,226863","43,077666",,"0,698184","1,495577"
15/01/2008 0.00,"1,171583","34,941302","40,537231","0,904374","2,363081"
15/01/2008 1.00,"1,265256","35,019177",,"1,240018","3,519974"
15/01/2008 2.00,"1,8115","29,934098","61,53846","1,78353","3,974413"
15/01/2008 3.00,"1,66279","24,875005",,"1,691806","4,397162"
15/01/2008 4.00,"1,038788","23,87434","72,77166","1,557517","3,221123"
15/01/2008 5.00,"0,37129","15,50048",,"0,751301","0,94849"
15/01/2008 6.00,"0,350879","19,379803","52,74725","0,500467","1,152051"
15/01/2008 7.00,"1,660481","33,547378",,"0,459661","1,130265"
15/01/2008 8.00,"3,393374","40,476733","44,932831","0,586956","0,533883"
15/01/2008 9.00,"5,618567","56,522313",,"0,712373","1,268027"
15/01/2008 10.00,"2,720895","48,055001","42,490841","0,516814","3,169456"
15/01/2008 11.00,"0,320505","13,988458",,,
15/01/2008 12.00,"0,276038","6,429658","20,51281",,
15/01/2008 13.00,"0,34602","4,929317",,"0,247337","0,635074"
15/01/2008 14.00,"0,34602","3,702829","9,76801","0,218163","0,344081"
15/01/2008 15.00,"0,364487","3,669084",,"0,213464","0,192307"
15/01/2008 16.00,"0,350879","10,20386","5,372406","0,2034","0,19539"
15/01/2008 17.00,"0,816573","7,50819",,"0,269542","0,606877"
15/01/2008 18.00,"0,525712","8,584126","12,69841","0,268954","1,220144"
15/01/2008 19.00,"0,37129","5,762553",,"0,28223","2,210974"
15/01/2008 20.00,"0,333384","3,46402","16,60561","0,260221","1,28006"
15/01/2008 21.00,"0,350879","4,192127",,"0,27518","0,722526"
15/01/2008 22.00,"0,34116","5,853404","16,60561","0,289748","0,524052"
15/01/2008 23.00,"0,322692","18,144244",,"0,491503","0,9992"
16/01/2008 0.00,"0,357683","22,811383","20,51281","0,583764","1,412891"
16/01/2008 1.00,,"19,536854",,"0,617286","1,664012"
16/01/2008 2.00,"0,382561",,"17,582411","0,582041","1,596826"
16/01/2008 3.00,"0,359486","26,746547",,,"1,282484"
16/01/2008 4.00,"0,460288","15,091655","20,02442","0,399158","0,912189"
16/01/2008 5.00,"0,431141","12,780144",,"0,392773","0,877826"
16/01/2008 6.00,"0,423853","13,448545","13,18681","0,358188","0,891042"
16/01/2008 7.00,"0,432355","16,229883",,"0,372132","0,735743"
16/01/2008 8.00,"0,994052","29,343578","13,67521","0,42164","0,776054"
16/01/2008 9.00,"1,831436","32,520767",,"0,449724","0,922983"
16/01/2008 10.00,"0,656427","19,11376","14,65201","0,410008","1,485364"
16/01/2008 11.00,"0,432355","10,80348",,"0,34499","1,532064"
16/01/2008 12.00,"0,405029","8,48419","12,21001","0,336176","0,824737"
16/01/2008 13.00,"0,460895","8,096127",,"0,334297","0,878486"
16/01/2008 14.00,"0,654605","5,413425","6,837607","0,281106","0,520087"
16/01/2008 15.00,"0,539229","6,790468",,"0,281224","0,362585"
16/01/2008 16.00,"0,630922","9,464082","4,395605","0,273469","0,357298"
16/01/2008 17.00,"1,011662","19,944377",,"0,314399","0,238787"
16/01/2008 18.00,"0,676466","24,085903","9,27961","0,35529","0,529338"
16/01/2008 19.00,"0,426283","29,915935",,"0,412162","0,867031"
16/01/2008 20.00,"0,422639","25,512255","22,954821","0,543139","1,376765"
16/01/2008 21.00,"0,471826","23,529109",,"0,632206","2,12176"
16/01/2008 22.00,"0,428711","27,941871","40,537231","0,63107","2,468924"
16/01/2008 23.00,"0,394706","23,335729",,"0,650066","2,296884"
17/01/2008 0.00,"0,449357","18,274036","40,537231","0,54259","1,843323"
17/01/2008 1.00,"0,433569","22,954152",,"0,59813","1,814686"
17/01/2008 2.00,"0,435391","17,199402","31,25762","0,47154","1,483821"
17/01/2008 3.00,"0,434784","7,536744",,"0,28189","0,706225"
