NetC,ARPA Puglia,
Stat,Suolo Giuffreda,
Parm,SO2,NO2
PtId,1,4
Unit,ug/m3,ug/m3
Field,Aver,Aver
24/01/2008 11.00,"4,59242201",
24/01/2008 12.00,"5,155375",
24/01/2008 13.00,"5,27435923",
24/01/2008 14.00,"5,75917387",
24/01/2008 15.00,"5,77515697",
24/01/2008 16.00,"6,51037121",
24/01/2008 17.00,"5,949193",
24/01/2008 18.00,"5,90479612",
24/01/2008 19.00,"5,38624001",
24/01/2008 20.00,"4,88188982",
24/01/2008 21.00,"5,31520414",
24/01/2008 22.00,"4,34912586",
24/01/2008 23.00,"4,8357172",
25/01/2008 0.00,"4,32248783",
25/01/2008 1.00,"4,52493906",
25/01/2008 2.00,"4,25500488",
25/01/2008 3.00,"4,12358999",
25/01/2008 4.00,"4,52316189",
25/01/2008 5.00,"3,8714149",
25/01/2008 6.00,"4,3420229",
25/01/2008 7.00,"3,81813908",
25/01/2008 8.00,"3,96553707",
25/01/2008 9.00,"4,07564116",
25/01/2008 10.00,"4,36866093",
25/01/2008 11.00,"5,59224081",
25/01/2008 12.00,"6,03798723",
25/01/2008 13.00,"7,13015223",
25/01/2008 14.00,"11,04773998",
25/01/2008 15.00,"10,61087036",
25/01/2008 16.00,"7,05911684",
25/01/2008 17.00,"6,512146",
25/01/2008 18.00,"5,48746395",
25/01/2008 19.00,"5,09499502",
25/01/2008 20.00,"5,1393919",
25/01/2008 21.00,"4,9884429",
25/01/2008 22.00,"5,36137676",
25/01/2008 23.00,"5,11097813",
26/01/2008 0.00,"4,51783514",
26/01/2008 1.00,,
26/01/2008 2.00,"4,79842377",
26/01/2008 3.00,"4,36510897",
26/01/2008 4.00,"4,76823378",
26/01/2008 5.00,"4,48054123",
26/01/2008 6.00,"4,28697109",
26/01/2008 7.00,"4,14489985",
26/01/2008 8.00,"3,9300189",
26/01/2008 9.00,"4,13602114",
26/01/2008 10.00,"4,21771097",
26/01/2008 11.00,"5,15892696",
26/01/2008 12.00,"5,51410294",
26/01/2008 13.00,"5,34894609",
26/01/2008 14.00,"5,87460613",
26/01/2008 15.00,"6,08238411",
26/01/2008 16.00,"5,94031286",
26/01/2008 17.00,"5,88526201",
26/01/2008 18.00,"5,60467196",
26/01/2008 19.00,"5,3578248",
26/01/2008 20.00,"5,10387516",
26/01/2008 21.00,"4,27276421",
26/01/2008 22.00,"4,51783514",
26/01/2008 23.00,"4,1946249",
27/01/2008 0.00,"4,18219423",
27/01/2008 1.00,"4,24790096",
27/01/2008 2.00,"3,68672395",
27/01/2008 3.00,"4,10227919",
27/01/2008 4.00,"3,70270705",
27/01/2008 5.00,"4,11826181",
27/01/2008 6.00,"4,07031298",
27/01/2008 7.00,"3,69382691",
27/01/2008 8.00,"3,8163631",
27/01/2008 9.00,"3,9335711",
27/01/2008 10.00,"4,9422698",
27/01/2008 11.00,"5,62065601",
27/01/2008 12.00,"6,14631605",
27/01/2008 13.00,"5,73963881",
27/01/2008 14.00,"5,81600189",
27/01/2008 15.00,"6,22267818",
27/01/2008 16.00,"5,66505194",
27/01/2008 17.00,"5,29211807",
27/01/2008 18.00,"5,650846",
27/01/2008 19.00,"5,49634409",
27/01/2008 20.00,"4,63681889",
27/01/2008 21.00,"4,76645803",
27/01/2008 22.00,"4,36333418",
27/01/2008 23.00,"4,73804379",
28/01/2008 0.00,"4,72738791",
28/01/2008 1.00,,
28/01/2008 2.00,"5,18378878",
28/01/2008 3.00,"5,38268805","5,23883141"
28/01/2008 4.00,"5,70589781","5,80446692"
28/01/2008 5.00,"5,26015186","7,12853856"
28/01/2008 6.00,"5,72543192","8,52921957"
28/01/2008 7.00,"5,27435923","9,26978055"
28/01/2008 8.00,"5,57803392","10,48532225"
28/01/2008 9.00,"5,23884201","8,85353406"
28/01/2008 10.00,"6,27240276","16,53365518"
28/01/2008 11.00,"6,78740692","12,8385078"
28/01/2008 12.00,"6,35942078","8,25342359"
28/01/2008 13.00,"6,45354319","8,03636183"
28/01/2008 14.00,"6,22800589","8,18702993"
28/01/2008 15.00,"6,39848995","8,072114"
28/01/2008 16.00,"5,76450205","5,28990244"
28/01/2008 17.00,"6,18538523","8,77181778"
28/01/2008 18.00,"6,42512798","6,1223973"
28/01/2008 19.00,"5,42886114","6,00748137"
28/01/2008 20.00,"5,26548004","5,03198348"
28/01/2008 21.00,"4,80375099","4,14586508"
28/01/2008 22.00,"4,62616301","4,0539312"
28/01/2008 23.00,"4,99021912","4,92473075"
29/01/2008 0.00,"4,59952497","5,9730064"
29/01/2008 1.00,"5,00620079","5,10987005"
29/01/2008 2.00,"4,61373186","4,69107104"
29/01/2008 3.00,"4,21771097","4,04116485"
29/01/2008 4.00,"4,30828094","4,86727372"
29/01/2008 5.00,"4,51428318","9,76391361"
29/01/2008 6.00,"4,01526117","5,5503758"
29/01/2008 7.00,"4,53381777","3,62619556"
29/01/2008 8.00,"4,37398911","4,16501742"
29/01/2008 9.00,"4,67944002","3,11418736"
29/01/2008 10.00,"4,53559399","6,09685897"
29/01/2008 11.00,"5,66149998","14,42943879"
29/01/2008 12.00,"6,5796299","18,52806255"
29/01/2008 13.00,"7,33082581","15,23894783"
29/01/2008 14.00,"8,32354259","17,60236414"
29/01/2008 15.00,"7,63272619","17,83985732"
29/01/2008 16.00,"7,62206984","9,80477269"
29/01/2008 17.00,"5,70589781","7,77078156"
29/01/2008 18.00,"5,85329485","10,47255215"
29/01/2008 19.00,"5,37558413","11,40718719"
29/01/2008 20.00,"5,09144402","8,89822286"
29/01/2008 21.00,"4,9919939","6,51310546"
29/01/2008 22.00,"4,31360912","6,18113153"
29/01/2008 23.00,"4,94759798","5,83766281"
30/01/2008 0.00,"4,49119711","4,80981481"
30/01/2008 1.00,,"4,17906096"
30/01/2008 2.00,"4,75402689",
30/01/2008 3.00,"4,69009495","4,9975104"
30/01/2008 4.00,"4,40240288","6,72633562"
30/01/2008 5.00,"4,21593618","6,40840712"
30/01/2008 6.00,"3,99572706","5,10093154"
30/01/2008 7.00,"3,91048503","5,61166442"
30/01/2008 8.00,"4,21948719","5,374175"
30/01/2008 9.00,"4,15377998","5,94108583"
30/01/2008 10.00,"4,76468182","12,8283015"
30/01/2008 11.00,"5,33651495","19,95682689"
30/01/2008 12.00,"6,02910805","22,68540549"
30/01/2008 13.00,"6,64000988","22,34321397"
30/01/2008 14.00,"5,94564104","21,09321423"
30/01/2008 15.00,"6,4659729","19,07964135"
30/01/2008 16.00,"5,87815809","18,33782198"
30/01/2008 17.00,"5,35249805","16,65112551"
30/01/2008 18.00,"5,7858119","13,60972157"
30/01/2008 19.00,"5,40932608","12,08645955"
30/01/2008 20.00,"5,54429197","11,34972828"
30/01/2008 21.00,"5,07013321","9,8558456"
30/01/2008 22.00,"4,68299198","8,4934674"
30/01/2008 23.00,"4,49474907","8,22916433"
31/01/2008 0.00,"4,97068405","7,82441075"
31/01/2008 1.00,"4,27809095","7,2370685"
31/01/2008 2.00,"4,08451986","6,37520935"
31/01/2008 3.00,"4,52849007","4,92217635"
31/01/2008 4.00,"3,96731305","3,97349212"
31/01/2008 5.00,"4,94759798","3,62619556"
31/01/2008 6.00,"4,36155701","8,77181778"
31/01/2008 7.00,"4,34735107","9,95926863"
31/01/2008 8.00,"4,10405493","10,67045968"
31/01/2008 9.00,"4,10227919","4,32206775"
31/01/2008 10.00,"4,13424492","8,06317736"
31/01/2008 11.00,"5,30810118","9,87627515"
31/01/2008 12.00,"4,67411184","9,29020821"
31/01/2008 13.00,"5,16070318","20,02066803"
31/01/2008 14.00,"5,59224081","17,06482137"
31/01/2008 15.00,"5,59934521","18,11948114"
31/01/2008 16.00,"5,81955385","19,81893078"
31/01/2008 17.00,"5,57625914","14,03617624"
31/01/2008 18.00,"5,35249805","12,34182411"
31/01/2008 19.00,"5,18734121","10,32571188"
31/01/2008 20.00,"4,66700888","7,97890668"
31/01/2008 21.00,"4,06498623","8,38366026"
31/01/2008 22.00,"4,16265917","11,57700575"
31/01/2008 23.00,"5,17668581","9,81626372"
01/02/2008 0.00,"4,14134884","8,25725518"
01/02/2008 1.00,,"8,97738663"
01/02/2008 2.00,"4,06143379",
01/02/2008 3.00,"4,70074987","5,62443265"
01/02/2008 4.00,"4,34735107","5,47759803"
01/02/2008 5.00,"4,77711296","6,92679943"
01/02/2008 6.00,"3,76308703","6,17219302"
01/02/2008 7.00,"3,91581202","5,11114725"
01/02/2008 8.00,"4,15910721","4,94516029"
01/02/2008 9.00,"3,3457551","4,61829139"
01/02/2008 10.00,"4,11470985","10,77643146"
01/02/2008 11.00,"4,81795788","42,2502696"
01/02/2008 12.00,"5,29389381","31,40359596"
01/02/2008 13.00,"5,36137676","18,60850728"
01/02/2008 14.00,"5,75917387","8,41813523"
01/02/2008 15.00,"5,13228893","6,24241827"
01/02/2008 16.00,"5,28856611","11,12245269"
01/02/2008 17.00,"5,03283978","11,23864206"
01/02/2008 18.00,"4,71673298","16,12507189"
01/02/2008 19.00,"5,61710405","12,17967251"
01/02/2008 20.00,"4,65102577","9,09613228"
01/02/2008 21.00,"4,67055988","7,27920478"
01/02/2008 22.00,"4,93871784","6,55779425"
01/02/2008 23.00,"5,08256388","5,43929334"
02/02/2008 0.00,"4,54980087","4,59147774"
02/02/2008 1.00,"4,50718021","4,67830282"
02/02/2008 2.00,"4,38109207","4,98857189"
02/02/2008 3.00,"4,44147205","4,54423454"
02/02/2008 4.00,"4,26743603","4,23524267"
02/02/2008 5.00,"4,49119711","4,35654084"
02/02/2008 6.00,"4,20705605","4,78044864"
02/02/2008 7.00,"3,96020889","5,0383676"
02/02/2008 8.00,"3,85898399","5,49419597"
02/02/2008 9.00,"4,20883179","5,62953956"
02/02/2008 10.00,"3,8714149","23,09399631"
02/02/2008 11.00,"5,01863194","29,9314125"
02/02/2008 12.00,"6,34521389","24,18569109"
02/02/2008 13.00,"5,85152006","9,03101394"
02/02/2008 14.00,"5,87638187","12,6125113"
02/02/2008 15.00,"6,08415985","22,29854022"
02/02/2008 16.00,"5,64374208","6,99574748"
02/02/2008 17.00,"5,84441614","7,60479459"
02/02/2008 18.00,"5,40044594","17,07120736"
02/02/2008 19.00,"5,45372295","6,99064057"
02/02/2008 20.00,"5,14294386","5,21584747"
02/02/2008 21.00,"5,14472008","4,95792663"
02/02/2008 22.00,"4,61195707","5,52611654"
02/02/2008 23.00,"4,94937277","4,89025578"
03/02/2008 0.00,"5,43596411","4,10628319"
03/02/2008 1.00,,"4,38207917"
03/02/2008 2.00,"5,37913609",
03/02/2008 3.00,"4,79487181","4,95792663"
03/02/2008 4.00,"5,01863194","4,45102723"
03/02/2008 5.00,"4,21415901","4,01945811"
03/02/2008 6.00,"4,49652386","4,23524267"
03/02/2008 7.00,"4,81085491","4,14714227"
03/02/2008 8.00,"4,391747","5,35374546"
03/02/2008 9.00,"4,64392185","5,28607273"
03/02/2008 10.00,"4,35978222","8,5407106"
03/02/2008 11.00,"5,01152897","8,85480938"
03/02/2008 12.00,"5,77160501","6,38670038"
03/02/2008 13.00,"5,37203312","7,72226304"
03/02/2008 14.00,"5,19444513","10,05375126"
03/02/2008 15.00,"5,64551783","11,64085065"
03/02/2008 16.00,"5,13761711","13,83443711"
03/02/2008 17.00,"5,70057011","9,89287309"
03/02/2008 18.00,"4,97423601","9,7077319"
03/02/2008 19.00,"5,39334297","11,34079353"
03/02/2008 20.00,"5,31165314","10,74962345"
03/02/2008 21.00,"4,42193699","8,1729845"
03/02/2008 22.00,"4,73093987","7,12087537"
03/02/2008 23.00,"4,60307693","6,28455455"
04/02/2008 0.00,"4,46811008","6,36627083"
04/02/2008 1.00,"4,60130119","6,34201158"
04/02/2008 2.00,"4,0383482","11,56806912"
04/02/2008 3.00,"4,37221289","9,69879527"
04/02/2008 4.00,"4,508955","5,56314403"
04/02/2008 5.00,"3,86786294","6,55141014"
04/02/2008 6.00,"3,88562202","5,09071771"
04/02/2008 7.00,"3,94422603","3,93135772"
04/02/2008 8.00,"4,391747","4,49571603"
04/02/2008 9.00,"4,23014307","3,97987623"
04/02/2008 10.00,"4,61195707","4,40378403"
04/02/2008 11.00,"4,84992409","5,34736135"
04/02/2008 12.00,"5,54074097","9,77795904"
04/02/2008 13.00,"6,0113492","20,25816309"
04/02/2008 14.00,"7,44981098","18,22928639"
04/02/2008 15.00,"6,743011","22,47601257"
04/02/2008 16.00,"6,01312399","8,57646276"
04/02/2008 17.00,"6,14631605","8,38621466"
04/02/2008 18.00,"6,05752087","8,89694566"
04/02/2008 19.00,"5,48391294","8,63008819"
04/02/2008 20.00,"4,96535587","8,65690185"
04/02/2008 21.00,"4,88544178","14,35410662"
04/02/2008 22.00,"4,82861423","7,78610606"
04/02/2008 23.00,"5,2175312","6,69696944"
05/02/2008 0.00,"4,97956324","6,12622702"
05/02/2008 1.00,,"5,58102105"
05/02/2008 2.00,"4,8747859",
05/02/2008 3.00,"4,42371321","27,91402119"
05/02/2008 4.00,"4,48586893","17,55384939"
05/02/2008 5.00,"4,56578398","5,95896098"
05/02/2008 6.00,"4,46811008","10,14312509"
05/02/2008 7.00,"5,30632496","3,99264446"
05/02/2008 8.00,"3,97086406","3,57129105"
05/02/2008 9.00,"4,58531809","3,38359735"
05/02/2008 10.00,"4,61728382","4,02584223"
05/02/2008 11.00,"4,99377012","4,65659608"
05/02/2008 12.00,"4,77888918","4,46507078"
05/02/2008 13.00,"4,92983913","3,74110961"
05/02/2008 14.00,"5,004426","4,40889095"
05/02/2008 15.00,"5,22996187","4,5723254"
05/02/2008 16.00,"4,391747","4,95920383"
05/02/2008 17.00,"4,87656307","5,51590271"
05/02/2008 18.00,"4,17686605","6,58460791"
05/02/2008 19.00,"4,39352322","11,11990018"
05/02/2008 20.00,"4,35267782","12,83340465"
05/02/2008 21.00,"4,03479624","13,1219745"
05/02/2008 22.00,"4,8250618","8,20873667"
05/02/2008 23.00,"4,19284916","5,37162061"
06/02/2008 0.00,"4,55868006","4,38973861"
06/02/2008 1.00,"4,97068405","4,00286017"
06/02/2008 2.00,"4,23902178","4,7191619"
06/02/2008 3.00,"4,29052305","5,88235161"
06/02/2008 4.00,"4,36155701","5,48908906"
06/02/2008 5.00,"3,73289704","6,63185111"
06/02/2008 6.00,"4,00105381","7,01362263"
06/02/2008 7.00,"3,63699889","5,82617178"
06/02/2008 8.00,"4,00993299","7,10172491"
06/02/2008 9.00,"4,06498623","6,45564843"
06/02/2008 10.00,"4,1555562","12,60102403"
06/02/2008 11.00,"4,80375099","14,54563757"
06/02/2008 12.00,"5,42708492","17,25379039"
06/02/2008 13.00,"5,88881302","17,29464947"
06/02/2008 14.00,"6,16940212","13,01088829"
06/02/2008 15.00,"5,38446379","9,09230068"
06/02/2008 16.00,"5,3542738","9,02718234"
06/02/2008 17.00,"5,48746395","8,33514175"
06/02/2008 18.00,"5,650846","9,25828952"
06/02/2008 19.00,"5,4039979","9,97842097"
06/02/2008 20.00,"4,42548895","6,21943621"
06/02/2008 21.00,"4,25500488","4,55061866"
06/02/2008 22.00,"4,74159622","4,73958956"
06/02/2008 23.00,"3,85720801","4,14586508"
07/02/2008 0.00,"4,43259287","4,32462027"
07/02/2008 1.00,,"4,18289256"
07/02/2008 2.00,"3,62811995",
07/02/2008 3.00,"4,39352322","8,48325357"
07/02/2008 4.00,"4,7185092","5,02176965"
07/02/2008 5.00,"4,65280199","4,4803934"
07/02/2008 6.00,"4,34912586","4,43187489"
07/02/2008 7.00,"4,46278286","5,20563364"
07/02/2008 8.00,"4,28341913","11,47485428"
07/02/2008 9.00,"4,15910721","5,90788806"
07/02/2008 10.00,"4,41483402","5,59123488"
07/02/2008 11.00,"4,48231697","7,45795997"
07/02/2008 12.00,"4,58354187","5,85298544"
07/02/2008 13.00,"4,00460577","5,47632083"
07/02/2008 14.00,"4,16443491","5,49802757"
07/02/2008 15.00,"4,57999086","4,90046961"
07/02/2008 16.00,"4,8250618","4,61701419"
07/02/2008 17.00,"4,5764389","4,87238063"
07/02/2008 18.00,"5,05237389","5,21839999"
07/02/2008 19.00,"4,94937277","5,17754279"
07/02/2008 20.00,"4,94049406","5,13796091"
07/02/2008 21.00,"4,89964914","5,24649084"
07/02/2008 22.00,"4,96002913","5,00006291"
07/02/2008 23.00,"4,39707518","4,77789424"
08/02/2008 0.00,"4,54269695","4,63744373"
08/02/2008 1.00,"4,04722691","4,59275494"
08/02/2008 2.00,"4,27809095","4,41655226"
08/02/2008 3.00,"4,70607805","4,07946954"
08/02/2008 4.00,"4,67944002","4,08585365"
08/02/2008 5.00,"3,8749671","4,0117968"
08/02/2008 6.00,"4,46455908","4,09989908"
08/02/2008 7.00,"4,15200377","3,52660226"
08/02/2008 8.00,"4,04367495","3,75770944"
08/02/2008 9.00,"4,40950584","3,74621653"
08/02/2008 10.00,"4,54802513","3,48957477"
08/02/2008 11.00,"4,81440592","3,64407071"
08/02/2008 12.00,"5,33829117","4,42165918"
08/02/2008 13.00,"5,53008604","4,39739992"
08/02/2008 14.00,"6,23688507","5,16732708"
08/02/2008 15.00,"6,59738922","4,74980527"
08/02/2008 16.00,"5,8479681","5,59123488"
08/02/2008 17.00,"6,07350397","6,06876999"
08/02/2008 18.00,"5,64906883","6,61397596"
08/02/2008 19.00,"5,57093096","7,09406359"
08/02/2008 20.00,"5,35072184","5,84532412"
08/02/2008 21.00,"5,06125402","5,09965622"
08/02/2008 22.00,"4,68654299","4,71277778"
08/02/2008 23.00,"4,55157709","3,46276112"
09/02/2008 0.00,"4,8410449","3,99519886"
09/02/2008 1.00,,"4,04499645"
09/02/2008 2.00,"4,81795788",
09/02/2008 3.00,"4,21415901","4,08329925"
09/02/2008 4.00,"4,49297285","3,7360027"
09/02/2008 5.00,"4,54802513","3,19079673"
09/02/2008 6.00,"4,11470985","3,03502172"
09/02/2008 7.00,"4,02946901","2,81923904"
09/02/2008 8.00,"4,75402689","3,74110961"
09/02/2008 9.00,"5,004426","4,83535127"
09/02/2008 10.00,"4,75580311","9,17657324"
09/02/2008 11.00,"6,38783503","4,14075816"
09/02/2008 12.00,"7,11594486","4,23396547"
09/02/2008 13.00,"8,19567966","4,2467337"
09/02/2008 14.00,"6,53168106","5,51207111"
09/02/2008 15.00,"7,48000002","5,00006291"
09/02/2008 16.00,"6,69328594","6,36627083"
09/02/2008 17.00,"6,92592621","6,92296783"
09/02/2008 18.00,"6,78740692","6,13261113"
09/02/2008 19.00,"6,05929804","4,86727372"
09/02/2008 20.00,"5,81955385","4,68085533"
09/02/2008 21.00,"5,86395121","3,5457546"
09/02/2008 22.00,"4,8197341","3,74493933"
09/02/2008 23.00,"4,92806292","3,94540126"
10/02/2008 0.00,"4,55690384","4,12543553"
10/02/2008 1.00,"4,58709383","4,4369818"
10/02/2008 2.00,"4,86590719","3,59299779"
10/02/2008 3.00,"4,77711296","4,08968337"
10/02/2008 4.00,"5,10920191","4,19566079"
10/02/2008 5.00,"5,28323793","3,96327829"
10/02/2008 6.00,"4,77178621","3,6874823"
10/02/2008 7.00,"5,28501511","3,17164439"
10/02/2008 8.00,"5,34716988","3,91603509"
10/02/2008 9.00,"5,302773","3,82921189"
10/02/2008 10.00,"5,80712318","3,80112104"
10/02/2008 11.00,"7,9683671","3,41551792"
10/02/2008 12.00,"8,69647694","3,38359735"
10/02/2008 13.00,"9,44412231","3,71812756"
10/02/2008 14.00,"8,68582153","4,85961241"
10/02/2008 15.00,"9,08184242","4,30674512"
10/02/2008 16.00,"7,9062109","5,11497885"
10/02/2008 17.00,"7,82984781","6,03046531"
10/02/2008 18.00,"6,12322903","5,49036626"
10/02/2008 19.00,"5,79469204","3,92752612"
10/02/2008 20.00,"5,89946795","3,40658129"
10/02/2008 21.00,"5,61532784","3,00437834"
10/02/2008 22.00,"5,43596411","3,29677227"
10/02/2008 23.00,"5,04882193","3,04906902"
11/02/2008 0.00,"5,28678989","3,81133487"
11/02/2008 1.00,,"3,23676273"
11/02/2008 2.00,"5,50877523",
11/02/2008 3.00,"5,63486195","4,02456691"
11/02/2008 4.00,"5,15004778","3,41296352"
11/02/2008 5.00,"4,91385603","3,42317923"
11/02/2008 6.00,"5,4661541","3,43722466"
11/02/2008 7.00,"4,96535587","2,89201869"
11/02/2008 8.00,"5,22640991","5,82617178"
11/02/2008 9.00,"5,302773","5,95640846"
11/02/2008 10.00,"5,03994322","4,29780661"
11/02/2008 11.00,"4,98666716","4,35526552"
11/02/2008 12.00,"5,95807219","5,59506648"
11/02/2008 13.00,"6,93125391","4,98346497"
11/02/2008 14.00,"6,85133886","5,76488504"
11/02/2008 15.00,"6,04331398","7,26643467"
11/02/2008 16.00,"5,94209003","7,88059058"
11/02/2008 17.00,"5,32763481","9,32723758"
11/02/2008 18.00,"5,7858119","10,63343219"
11/02/2008 19.00,"5,30632496","10,0282148"
11/02/2008 20.00,"5,004426","5,98832903"
11/02/2008 21.00,"4,9369421","6,56417837"
11/02/2008 22.00,"5,00264978","7,72226304"
11/02/2008 23.00,"4,64036989","4,88770138"
12/02/2008 0.00,"5,04527092","3,24314684"
12/02/2008 1.00,"4,65812922","3,0324692"
12/02/2008 2.00,"4,69897509","3,04651463"
12/02/2008 3.00,"4,66700888","3,34018387"
12/02/2008 4.00,"4,18041801","3,79601224"
12/02/2008 5.00,"4,80907917","5,75466933"
12/02/2008 6.00,"4,91030407","3,95944669"
12/02/2008 7.00,"4,30828094","3,85091675"
12/02/2008 8.00,"5,16425514","4,47784088"
12/02/2008 9.00,"5,33473921","4,17778565"
12/02/2008 10.00,"4,96890783","4,86854904"
12/02/2008 11.00,"5,63131094","5,09454931"
12/02/2008 12.00,"5,52475786","5,53633225"
12/02/2008 13.00,"4,95114899","5,70104202"
12/02/2008 14.00,"5,45549917","5,10731753"
12/02/2008 15.00,"5,49989605","4,54423454"
12/02/2008 16.00,"5,76272583","4,49571603"
12/02/2008 17.00,"5,37558413","7,7924883"
12/02/2008 18.00,"5,27968693","10,70365181"
12/02/2008 19.00,"5,29034185","7,19876381"
12/02/2008 20.00,"5,57270718","5,42141632"
12/02/2008 21.00,"5,18023777","5,60655751"
12/02/2008 22.00,"5,17491007","4,9962332"
12/02/2008 23.00,"5,11630583","5,52867094"
13/02/2008 0.00,"4,69364691","4,12671085"
13/02/2008 1.00,,"3,69642082"
13/02/2008 2.00,"4,31005716",
13/02/2008 3.00,"4,48054123",
13/02/2008 4.00,"4,48231697",
13/02/2008 5.00,"4,37043715",
13/02/2008 6.00,"4,8250618",
13/02/2008 7.00,"4,5373702",
13/02/2008 8.00,"5,20332384",
13/02/2008 9.00,"5,22818613",
13/02/2008 10.00,"5,65439701",
13/02/2008 11.00,"6,67019987",
13/02/2008 12.00,"7,88845301",
13/02/2008 13.00,"8,0749197",
13/02/2008 14.00,"9,17951584",
13/02/2008 15.00,"8,58637238",
13/02/2008 16.00,"7,65225983",
13/02/2008 17.00,"7,12127304",
13/02/2008 18.00,"6,90461493",
13/02/2008 19.00,"6,31680012",
13/02/2008 20.00,"5,533638",
13/02/2008 21.00,"5,269032","5,94364023"
13/02/2008 22.00,"4,97245979","4,55700277"
13/02/2008 23.00,"4,71318102","4,47273209"
14/02/2008 0.00,"4,76645803","4,49188631"
14/02/2008 1.00,"5,02396011","8,89056155"
14/02/2008 2.00,"5,038167","11,67149026"
14/02/2008 3.00,"4,50362778","11,16330989"
14/02/2008 4.00,"4,6385951","9,81881624"
14/02/2008 5.00,"4,18752098","5,39843426"
14/02/2008 6.00,"4,61195707","10,8594287"
14/02/2008 7.00,"4,40595388","5,47759803"
14/02/2008 8.00,"4,30472898","6,27178444"
14/02/2008 9.00,"4,78776789","6,15942479"
14/02/2008 10.00,"5,22818613","7,74396978"
14/02/2008 11.00,"6,22800589","10,31167022"
14/02/2008 12.00,"7,29353285","10,00268023"
14/02/2008 13.00,"8,39457798","7,9814592"
14/02/2008 14.00,"8,7710638","11,0994744"
14/02/2008 15.00,"8,1193161","10,74068681"
14/02/2008 16.00,"7,39120579","8,76287927"
14/02/2008 17.00,"6,90816689","8,11041868"
14/02/2008 18.00,"6,41269684","8,23171685"
14/02/2008 19.00,"5,91367483","7,40305546"
14/02/2008 20.00,"6,07705593","6,54630511"
14/02/2008 21.00,"5,42530918","5,7865899"
14/02/2008 22.00,"5,23884201","4,82003052"
14/02/2008 23.00,"5,08078909","4,40761563"
15/02/2008 0.00,"5,12873697","4,81364641"
15/02/2008 1.00,,"4,09862188"
15/02/2008 2.00,"4,18041801",
15/02/2008 3.00,"4,9032011","3,02863948"
15/02/2008 4.00,"4,69364691","2,51407688"
15/02/2008 5.00,"4,55335188","3,16653747"
15/02/2008 6.00,"4,34912586","3,54320208"
15/02/2008 7.00,"5,30099678","3,90837566"
15/02/2008 8.00,"4,95470095","6,46586226"
15/02/2008 9.00,"5,34361792","14,68991779"
15/02/2008 10.00,"5,62420702","12,35332266"
15/02/2008 11.00,"6,45709419","9,27871907"
15/02/2008 12.00,"6,59028482","10,7713283"
15/02/2008 13.00,"7,21184301","8,04274782"
15/02/2008 14.00,"10,9376297","22,49644023"
15/02/2008 15.00,"10,81332016","18,94174524"
15/02/2008 16.00,"11,09391022","19,78701021"
15/02/2008 17.00,"7,40363693","8,03891623"
15/02/2008 18.00,"6,94013309","9,41278546"
15/02/2008 19.00,"6,80694199","10,19930304"
15/02/2008 20.00,"5,96695185","12,87299218"
15/02/2008 21.00,"5,91545105","17,34572615"
15/02/2008 22.00,"5,39511919","15,52113357"
15/02/2008 23.00,"5,5212059","12,91384938"
16/02/2008 0.00,"5,87993383","12,29841439"
16/02/2008 1.00,"5,64374208",
16/02/2008 2.00,"5,35605001",
16/02/2008 3.00,"5,59401798",
16/02/2008 4.00,"5,12340879",
16/02/2008 5.00,"5,16070318",
16/02/2008 6.00,"4,9919939",
16/02/2008 7.00,"4,4929719",
16/02/2008 8.00,"4,6101799",
16/02/2008 9.00,"4,92628717",
16/02/2008 10.00,"5,19977188",
16/02/2008 11.00,"5,77338123",
