, Brindisi,,
,Quartiere Bozzano,,
Parm,SO2,NO2,PM10



16/01/2008 7.00,"1,597985","33,22811",
16/01/2008 8.00,"3,210498","47,284064","6,349206"
16/01/2008 9.00,"1,75052","50,959637",
16/01/2008 10.00,"0,853469","42,859621","5,372406"
16/01/2008 11.00,"0,646457","0,488",
16/01/2008 12.00,"0,285095","1,669063","2,930403"
16/01/2008 13.00,"1,138564","4,03119",
16/01/2008 14.00,"1,599801","13,159116","5,372406"
16/01/2008 15.00,"1,449082","2,716447",
16/01/2008 16.00,"1,514454","24,054737","0,4884"
16/01/2008 17.00,"2,593095","69,21809",
16/01/2008 18.00,"2,934482","68,149949","24,908421"
16/01/2008 19.00,"2,740181","57,05316",
16/01/2008 20.00,"1,854026","42,585765","38,09523"
16/01/2008 21.00,"1,968427","57,792934",
16/01/2008 22.00,"2,137305","50,64037","63,492062"
16/01/2008 23.00,"1,632487","28,161216",
17/01/2008 0.00,"1,612512","19,039781","36,630032"
17/01/2008 1.00,"1,716018","16,684137",
17/01/2008 2.00,"0,911578","1,820914","36,630032"
17/01/2008 3.00,"0,697303","1,284893",
17/01/2008 4.00,"0,78265","6,764509","33,211231"
17/01/2008 5.00,"0,87526","5,40953",
17/01/2008 6.00,"0,161615","3,355","31,25762"
17/01/2008 7.00,"0,317781","1,881915",
17/01/2008 8.00,"0,522977","5,187594","27,35042"
17/01/2008 9.00,"0,71183","29,215091",
17/01/2008 10.00,"0,433999","32,230048","2,442003"
17/01/2008 11.00,"0,394049","3,118787",
17/01/2008 12.00,"0,584717","1,93902","0,976801"
17/01/2008 13.00,"0,697303","0,434787",
17/01/2008 14.00,"0,348651","15,9184","0,976801"
17/01/2008 15.00,"0,379521","11,621143",
17/01/2008 16.00,"0,205196","1,674256","5,372406"
17/01/2008 17.00,"0,481212","22,676415",
17/01/2008 18.00,"0,426734","9,270701","1,465201"
17/01/2008 19.00,"0,179773","5,884552",
17/01/2008 20.00,"0,074452","2,09217","16,11721"
17/01/2008 21.00,"0,181589","3,383554",
17/01/2008 22.00,"0,121665","1,401702","2,442003"
17/01/2008 23.00,"0,154351","1,495148",
18/01/2008 0.00,"0,125296","0,64634","2,930403"
18/01/2008 1.00,,"0,138872",
18/01/2008 2.00,"0,025569",,"2,930403"
18/01/2008 3.00,"0,312318","1,406893",
18/01/2008 4.00,"0,869374","1,598979","0,976801"
18/01/2008 5.00,"0,94791","10,096148",
18/01/2008 6.00,"0,001827","0,157042","1,953602"
18/01/2008 7.00,"0,036529","11,371955",
18/01/2008 8.00,"2,792591","73,995566","1,465201"
18/01/2008 9.00,"2,149693","72,615941",
18/01/2008 10.00,"0,443819","49,049165","25,39682"
18/01/2008 11.00,"0,109585","31,299477",
18/01/2008 12.00,"0,551578","57,494432","6,349206"
18/01/2008 13.00,"0,069404","8,755445",
18/01/2008 14.00,"0,679427","26,977554","6,349206"
18/01/2008 15.00,"0,50957","0,891638",
18/01/2008 16.00,"0,284921","14,201313","4,395605"
18/01/2008 17.00,"1,349722","57,739723",
18/01/2008 18.00,"2,907656","68,614587","6,837607"
18/01/2008 19.00,"10,492765","96,120403",
18/01/2008 20.00,"10,850739","85,765973","57,631241"
18/01/2008 21.00,"9,654441","77,38562",
18/01/2008 22.00,"7,230785","66,256344","68,864471"
18/01/2008 23.00,"5,040911","52,007031",
19/01/2008 0.00,"1,455653","43,677267","55,189251"
19/01/2008 1.00,"1,320499","7,073404",
19/01/2008 2.00,"0,195427","4,879999","33,211231"
19/01/2008 3.00,"0,003653","2,977319",
19/01/2008 4.00,"0,007306","0,29332",
19/01/2008 5.00,"0,003653","2,963042",
19/01/2008 6.00,"0,00548","2,03766",
19/01/2008 7.00,"0,001827","2,184318",
19/01/2008 8.00,"0,074883","17,970335",
19/01/2008 9.00,0,"28,71281",
19/01/2008 10.00,"0,007306","0,552893",
19/01/2008 11.00,"0,012785","4,504915",
19/01/2008 12.00,"0,052966","2,511383",
19/01/2008 13.00,"0,00548","4,305042",
19/01/2008 14.00,"0,003653","10,049423",
19/01/2008 15.00,"0,007306","1,85985",
19/01/2008 16.00,"0,00548","0,74368",
19/01/2008 17.00,0,"1,933829",
19/01/2008 18.00,"0,003653","2,236233",
19/01/2008 19.00,"0,012785","16,385633",
19/01/2008 20.00,"0,009132","23,690043",
19/01/2008 21.00,"0,00548","5,470532",
19/01/2008 22.00,"0,010958","2,746297",
19/01/2008 23.00,"0,001827","0,324468",
20/01/2008 0.00,"0,001827",,
