,,,Provincia di Lecce,,,
,,,Galatina,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,
15/01/2009 2.00,"0,4","10,4","40,5","0,3","28,5",
15/01/2009 3.00,"0,5","9,6","41,5","0,3","25,7",
15/01/2009 4.00,"0,5","9,1","45,4","0,2","19,9",
15/01/2009 5.00,"0,4","9,3","43,8","0,3","18,5","25,6"
15/01/2009 6.00,"0,4","8,5","42,1","0,3","21,0","25,6"
15/01/2009 7.00,"0,4","9,1","40,7","0,3","19,5","25,6"
15/01/2009 8.00,"0,9","21,9","68,6","0,3","8,5","25,6"
15/01/2009 9.00,"1,0","29,0","84,4","0,4","9,4","25,6"
15/01/2009 10.00,"1,3","31,8","92,9","0,5","11,4","25,6"
15/01/2009 11.00,"0,4","28,0","62,7","0,3","35,3","25,6"
15/01/2009 12.00,"0,2","15,2","32,8","0,2","52,0","25,6"
15/01/2009 13.00,"0,3","14,0","29,1","0,2","58,5","25,6"
15/01/2009 14.00,"0,2","13,0","25,3","0,2","60,9","25,6"
15/01/2009 15.00,"0,2","13,8","28,5","0,1","55,7","25,6"
15/01/2009 16.00,"0,1","13,2","24,5","0,2","49,8","25,6"
15/01/2009 17.00,"0,2","25,6","42,8","0,3","41,0","25,6"
15/01/2009 18.00,"0,5","39,8","65,4","0,5","24,7","25,6"
15/01/2009 19.00,"1,3","54,1","104,7","0,9","10,5","25,6"
15/01/2009 20.00,"1,2","36,8","89,7","1,0","8,5","25,6"
15/01/2009 21.00,"2,5","34,0","130,3","1,6","6,3","25,6"
15/01/2009 22.00,"2,3","32,6","127,4","1,2","6,9","25,6"
15/01/2009 23.00,"1,6","27,5","97,7","0,8","5,9","25,6"
16/01/2009 0.00,"1,4","26,5","90,7","0,8","6,1","25,6"
16/01/2009 1.00,"1,4","23,7","88,0","0,8","6,1",
16/01/2009 2.00,"0,6",,,"0,6","14,2",
16/01/2009 3.00,"0,6","30,9","60,9",,"16,9",
16/01/2009 4.00,,"31,8","63,8","0,5","10,9",
16/01/2009 5.00,"0,7","23,9","54,7","0,4",,"17,0"
16/01/2009 6.00,"0,5","20,1","48,0","0,4","17,5","17,0"
16/01/2009 7.00,"0,5","26,5","50,4","0,4","18,9","17,0"
16/01/2009 8.00,"0,5","29,5","52,4","0,3","19,9","17,0"
16/01/2009 9.00,"0,5","32,6","62,8","0,5","17,9","17,0"
16/01/2009 10.00,"0,5","28,3","51,7","0,4","28,0","17,0"
16/01/2009 11.00,"0,5","26,3","44,7","0,3","32,1","17,0"
