Stat,LECCE Piazza_libertini,,,,,,  ,
,,,,,,
Parm,NO2,NOX,CO,PM10,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,
,,,,,
,,,,,
13/10/2014 18.00,"42,9","51,7","0,9","41,5","0,7",,,
13/10/2014 19.00,"47,8","68,6","1,1",,"0,8",,,
13/10/2014 20.00,"56,0","90,4","1,2","52,7","1,1",,,
13/10/2014 21.00,"35,7","43,7","0,9",,"1,2",,,
13/10/2014 22.00,"23,7","28,7","0,8","52,7","1,2",,,
13/10/2014 23.00,"19,9","24,2","0,8",,"1,1",,,
14/10/2014 0.00,"15,1","18,4","0,8","59,6","1,0",,,
14/10/2014 1.00,"10,3","12,3","0,7",,"0,9",,,
14/10/2014 2.00,"5,8","6,2","0,7","36,6","0,8",,,
14/10/2014 3.00,"3,6","3,8","0,6",,"0,7",,,
14/10/2014 4.00,"5,7","6,7","0,6","30,3","0,6",,,
14/10/2014 5.00,"22,2","31,7","0,7",,"0,5",,,
14/10/2014 6.00,"33,0","49,8","0,7","41,5","0,5",,,
14/10/2014 7.00,"41,1","60,3","0,9",,"0,5",,,
14/10/2014 8.00,"41,8","65,7","0,9","43,5","0,6",,,
14/10/2014 9.00,"48,1","81,1","1,1",,"0,7",,,
14/10/2014 10.00,"38,5","60,6","0,9","45,4","0,9",,,
14/10/2014 11.00,"29,5","45,8","0,9",,"1,0",,,
14/10/2014 12.00,"27,0","40,2","0,9","38,6","1,0",,,
14/10/2014 13.00,"27,4","40,7","0,8",,"0,9",,,
14/10/2014 14.00,"94,1","364,6","0,8","38,1","0,8",,,
14/10/2014 15.00,"216,9","603,7","0,8",,"0,7",,,
14/10/2014 16.00,"18,0","23,5","0,7","46,9","0,5",,,
14/10/2014 17.00,"29,6","37,0","0,9",,"0,5",,,
14/10/2014 18.00,"36,2","44,7","1,0","55,7","0,6",,,
14/10/2014 19.00,"37,5","49,0","1,0",,"0,7",,,
14/10/2014 20.00,"31,4","43,7","0,9","55,2","0,8",,,
14/10/2014 21.00,"18,2","20,6","0,8",,"0,8",,,
14/10/2014 22.00,"14,0","17,4","0,8","54,2","0,8",,,
14/10/2014 23.00,"9,0","11,0","0,7",,"0,7",,,
15/10/2014 0.00,"5,5","6,9","0,7","39,1","0,5",,,
15/10/2014 1.00,"2,2","2,7","0,7",,"0,4",,,
15/10/2014 2.00,"2,3","2,9","0,7","50,8","0,3",,,
15/10/2014 3.00,"1,9","2,6",,,"0,3",,,
15/10/2014 4.00,,,"0,7","43,5","0,3",,,
15/10/2014 5.00,"20,9","28,5","0,7",,,,,
15/10/2014 6.00,"26,8","36,4","0,7","31,3","0,4",,,
15/10/2014 7.00,"50,8","135,5","0,8",,"0,4",,,
15/10/2014 8.00,"36,8","57,4","0,9","40,5","0,5",,,
15/10/2014 9.00,"22,3","31,7","0,8",,"0,6",,,
15/10/2014 10.00,"16,6","24,4","0,7","34,2","0,6",,,
15/10/2014 11.00,"21,8","33,0","0,8",,"0,5",,,
15/10/2014 12.00,"22,8","36,1","0,8","37,1","0,6",,,
15/10/2014 13.00,"19,7","30,7","0,8",,"0,7",,,
15/10/2014 14.00,"108,5","293,0","0,8","42,0","0,6",,,
15/10/2014 15.00,"16,3","23,4","0,7",,"0,5",,,
15/10/2014 16.00,"17,4","23,9","0,7","37,6","0,4",,,
15/10/2014 17.00,"19,4","26,1","0,8",,"0,4",,,
15/10/2014 18.00,"24,0","31,9","0,8","44,9","0,5",,,
15/10/2014 19.00,"24,1","31,5","0,8",,"0,6",,,
15/10/2014 20.00,"22,3","29,3","0,8","39,6","0,6",,,
15/10/2014 21.00,"9,5","12,2","0,7",,"0,6",,,
15/10/2014 22.00,"8,9","12,0","0,7","30,8","0,4",,,
15/10/2014 23.00,"10,1","15,2","0,7",,"0,4",,,
16/10/2014 0.00,"7,2","9,6","0,7","38,6","0,4",,,
16/10/2014 1.00,"8,1","10,5","0,7",,"0,3",,,
16/10/2014 2.00,"8,9","11,5","0,7","38,1","0,4",,,
16/10/2014 3.00,"4,7","6,5","0,7",,"0,3",,,
16/10/2014 4.00,"5,4","7,6","0,7","40,5","0,3",,,
16/10/2014 5.00,"13,0","19,1","0,7",,"0,3",,,
16/10/2014 6.00,"23,5","34,9","0,7","40,0","0,3",,,
16/10/2014 7.00,"38,9","75,2","0,9",,"0,4",,,
16/10/2014 8.00,"40,2","71,5","1,0","61,5","0,5",,,
16/10/2014 9.00,"37,7","65,5","1,0",,"0,7",,,
16/10/2014 10.00,"36,4","71,5","1,0","44,9","0,8",,,
16/10/2014 11.00,"35,1","65,2","1,0",,"1,1",,,
16/10/2014 12.00,"14,4","21,8","0,7","46,4","1,1",,,
16/10/2014 13.00,"11,7","16,8","0,7",,"0,9",,,
16/10/2014 14.00,"14,5","21,5","0,7","44,0","0,6",,,
16/10/2014 15.00,"18,6","27,5","0,7",,"0,5",,,
16/10/2014 16.00,"25,0","34,6","0,8","58,6","0,5",,,
16/10/2014 17.00,"54,7","91,9","1,1",,"0,6",,,
16/10/2014 18.00,"84,4","161,5","1,5","65,4","0,9",,,
16/10/2014 19.00,"81,4","161,0","1,4",,"1,4",,,
16/10/2014 20.00,"58,9","98,0","1,2","71,3","1,6",,,
16/10/2014 21.00,"32,6","49,3","0,9",,"1,6",,,
16/10/2014 22.00,"17,3","21,6","0,8","66,9","1,4",,,
16/10/2014 23.00,"13,8","16,8","0,8",,"1,2",,,
17/10/2014 0.00,"14,6","19,4","0,8","43,0","0,9",,,
17/10/2014 1.00,"13,4","17,8","0,7",,"0,8",,,
17/10/2014 2.00,"7,0","8,3","0,7","30,8","0,7",,,
17/10/2014 3.00,"7,8","9,2",,,"0,6",,,
17/10/2014 4.00,,,"0,7","27,4","0,5",,,
17/10/2014 5.00,"27,7","39,7","0,7",,"0,5",,,
17/10/2014 6.00,"51,4","90,8","0,8","24,4","0,5",,,
17/10/2014 7.00,"80,4","190,2","1,5",,"0,6",,,
17/10/2014 8.00,"61,3","111,8","1,3","40,5","1,1",,,
17/10/2014 9.00,"31,8","51,2","0,9",,"1,3",,,
17/10/2014 10.00,"20,2","29,6","0,8","28,3","1,2",,,
17/10/2014 11.00,"19,4","31,5","0,8",,"1,0",,,
17/10/2014 12.00,"16,8","25,5","0,7","30,8","0,9",,,
17/10/2014 13.00,"17,8","25,9","0,7",,"0,8",,,
17/10/2014 14.00,"16,0","22,8","0,7","31,3","0,6",,,
17/10/2014 15.00,"20,1","29,3","0,7",,"0,5",,,
17/10/2014 16.00,"39,5","62,7","0,9","38,1","0,5",,,
17/10/2014 17.00,"61,9","106,0","1,1",,"0,6",,,
17/10/2014 18.00,"87,6","171,4","1,5","51,3","0,9",,,
17/10/2014 19.00,"75,5","140,1","1,4",,"1,3",,,
17/10/2014 20.00,"64,1","115,5","1,3","63,5","1,6",,,
17/10/2014 21.00,"52,2","81,5","1,0",,"1,6",,,
17/10/2014 22.00,"57,1","92,3","1,0","53,2","1,5",,,
17/10/2014 23.00,"25,6","32,8","0,9",,"1,5",,,
18/10/2014 0.00,"15,4","18,2","0,8","46,9","1,3",,,
18/10/2014 1.00,"10,2","12,5","0,7",,"1,1",,,
18/10/2014 2.00,"7,3","9,0","0,7","39,6","1,0",,,
18/10/2014 3.00,"6,9","8,4","0,7",,"0,8",,,
18/10/2014 4.00,"11,5","14,3","0,7","31,3","0,7",,,
18/10/2014 5.00,"12,6","17,0","0,7",,"0,7",,,
18/10/2014 6.00,"23,5","34,6","0,7","28,3","0,6",,,
18/10/2014 7.00,"35,1","65,6","0,8",,"0,6",,,
18/10/2014 8.00,"26,2","38,5","0,8","21,0","0,6",,,
18/10/2014 9.00,"18,0","25,9","0,7",,"0,7",,,
18/10/2014 10.00,"16,9","24,3","0,8","23,4","0,6",,,
18/10/2014 11.00,"25,2","35,4","0,8",,"0,6",,,
18/10/2014 12.00,"24,1","32,3","0,8","26,4","0,7",,,
18/10/2014 13.00,"18,2","23,6","0,8",,"0,7",,,
18/10/2014 14.00,"14,2","19,1","0,7","20,5","0,6",,,
18/10/2014 15.00,"12,9","17,2","0,7",,"0,5",,,
18/10/2014 16.00,"15,5","19,3","0,7","29,3","0,4",,,
18/10/2014 17.00,"18,7","22,7","0,9",,"0,4",,,
18/10/2014 18.00,"24,0","27,7","1,0","20,5","0,4",,,
18/10/2014 19.00,"26,4","29,0","1,0",,"0,5",,,
18/10/2014 20.00,"29,4","33,3","1,1","22,0","0,7",,,
18/10/2014 21.00,"25,8","30,2","0,9",,"0,8",,,
18/10/2014 22.00,"24,5","29,1","0,8","18,6","0,9",,,
18/10/2014 23.00,"28,4","34,6","0,8",,"0,8",,,
19/10/2014 0.00,"21,3","24,5","0,7","23,9","0,7",,,
19/10/2014 1.00,"17,8","20,9","0,7",,"0,7",,,
19/10/2014 2.00,"15,8","18,3","0,7","17,6","0,6",,,
19/10/2014 3.00,"23,9","30,3",,,"0,6",,,
19/10/2014 4.00,,,"0,7","19,5","0,6",,,
19/10/2014 5.00,"15,5","20,5","0,7",,,,,
19/10/2014 6.00,"29,3","46,6","0,7","19,5","0,6",,,
19/10/2014 7.00,"29,0","39,5","0,7",,"0,6",,,
19/10/2014 8.00,"14,8","19,3","0,7","20,5","0,6",,,
19/10/2014 9.00,"14,1","19,7","0,7",,"0,7",,,
19/10/2014 10.00,"19,7","30,7","0,8","20,0","0,6",,,
19/10/2014 11.00,"23,6","36,2","0,8",,"0,7",,,
19/10/2014 12.00,"19,7","29,3","0,8","11,2","0,8",,,
19/10/2014 13.00,"11,8","15,9","0,7",,"0,7",,,
19/10/2014 14.00,"9,8","13,7","0,6","15,6","0,6",,,
19/10/2014 15.00,"11,7","16,0","0,7",,"0,5",,,
19/10/2014 16.00,"20,1","24,5","0,7","12,2","0,4",,,
19/10/2014 17.00,"34,8","42,1","0,9",,"0,4",,,
19/10/2014 18.00,"60,4","83,9","1,2","21,5","0,6",,,
19/10/2014 19.00,"68,0","90,2","1,1",,"0,9",,,
19/10/2014 20.00,"58,0","74,6","1,2","12,2","1,1",,,
19/10/2014 21.00,"45,4","53,9","1,1",,"1,2",,,
19/10/2014 22.00,"43,0","52,3","1,1","15,6","1,2",,,
19/10/2014 23.00,"47,0","63,3","1,2",,"1,2",,,
20/10/2014 0.00,"44,7","58,6","1,1","18,1","1,2",,,
20/10/2014 1.00,"36,5","46,2","1,0",,"1,1",,,
20/10/2014 2.00,"37,8","46,0","0,8","11,2","1,0",,,
20/10/2014 3.00,"32,9","41,0","0,8",,"0,8",,,
20/10/2014 4.00,"23,7","27,3","0,7","13,2","0,8",,,
20/10/2014 5.00,"33,4","43,3","0,8",,"0,7",,,
20/10/2014 6.00,"45,9","74,5","0,9","22,5","0,6",,,
20/10/2014 7.00,"58,6","93,0","0,9",,"0,8",,,
20/10/2014 8.00,"58,8","94,9","1,0","30,3","1,0",,,
20/10/2014 9.00,"40,7","64,3","0,8",,"1,1",,,
20/10/2014 10.00,"16,8","23,4","0,7","24,9","1,1",,,
20/10/2014 11.00,"18,1","24,7","0,7",,"1,0",,,
20/10/2014 12.00,"15,7","19,9","0,7","18,6","0,9",,,
20/10/2014 13.00,"21,4","28,2","0,7",,"0,8",,,
20/10/2014 14.00,"19,0","25,0","0,7","16,1","0,7",,,
20/10/2014 15.00,"18,1","22,7","0,7",,"0,6",,,
20/10/2014 16.00,"19,6","24,2","0,8","13,7","0,5",,,
20/10/2014 17.00,"29,2","33,8","0,8",,"0,5",,,
20/10/2014 18.00,"35,7","40,2","0,9","14,7","0,6",,,
20/10/2014 19.00,"50,7","61,0","1,0",,"0,7",,,
20/10/2014 20.00,"52,8","77,9","1,1","14,7","0,9",,,
20/10/2014 21.00,"42,0","47,0","0,9",,"1,0",,,
20/10/2014 22.00,"43,2","53,2","0,9","20,5","1,0",,,
20/10/2014 23.00,"32,2","37,4","0,9",,"0,9",,,
21/10/2014 0.00,"28,0","32,7","0,9","28,3","0,9",,,
21/10/2014 1.00,"37,1","48,3","0,9",,"0,9",,,
21/10/2014 2.00,"24,2","29,0","0,8","19,5","0,8",,,
21/10/2014 3.00,"17,7","20,1",,,"0,7",,,
21/10/2014 4.00,,,"0,8","28,3","0,8",,,
21/10/2014 5.00,"35,2","54,6","0,8",,"0,9",,,
21/10/2014 6.00,"55,3","158,2","1,1","42,0","1,0",,,
21/10/2014 7.00,"80,5","233,4","1,6",,"1,5",,,
21/10/2014 8.00,"80,9","160,0","1,5","50,3","2,1",,,
21/10/2014 9.00,"46,2","67,8","1,0",,"2,2",,,
21/10/2014 10.00,"26,7","34,9","0,9","37,6","1,9",,,
21/10/2014 11.00,"22,9","29,5","0,9",,"1,7",,,
21/10/2014 12.00,"21,3","28,8","0,8","27,8","1,4",,,
21/10/2014 13.00,"33,2","47,9","0,9",,"0,8",,,
21/10/2014 14.00,"19,3","24,8","0,7","26,9","0,7",,,
21/10/2014 15.00,"14,7","19,9","0,7",,"0,6",,,
21/10/2014 16.00,"21,2","27,2","0,8","20,5","0,6",,,
21/10/2014 17.00,"70,6","112,2","1,3",,"0,7",,,
21/10/2014 18.00,"85,5","129,6","1,4","30,3","1,1",,,
21/10/2014 19.00,"73,4","108,9","1,3",,"1,5",,,
21/10/2014 20.00,"54,2","75,3","1,1","38,1","1,6",,,
21/10/2014 21.00,"42,8","56,6","1,0",,"1,5",,,
21/10/2014 22.00,"26,7","33,5","1,0","38,1","1,4",,,
21/10/2014 23.00,"24,7","31,5","0,9",,"1,3",,,
22/10/2014 0.00,"16,2","20,4","0,8","28,3","1,2",,,
22/10/2014 1.00,"9,1","10,7","0,8",,"1,0",,,
22/10/2014 2.00,"5,2","5,8","0,7","24,4","0,8",,,
22/10/2014 3.00,"3,3","3,5","0,7",,"0,6",,,
22/10/2014 4.00,"4,8","5,3","0,7","18,1","0,5",,,
22/10/2014 5.00,"11,7","15,1","0,7",,"0,4",,,
22/10/2014 6.00,"25,6","37,2","0,7","12,7","0,4",,,
22/10/2014 7.00,"56,7","162,8","0,9",,"0,4",,,
22/10/2014 8.00,"46,4","136,0","0,9","20,5","0,7",,,
22/10/2014 9.00,"28,4","45,4","0,9",,"0,7",,,
22/10/2014 10.00,"25,1","40,4","0,8","2,0","0,8",,,
22/10/2014 11.00,"29,5","48,2","0,9",,"0,8",,,
22/10/2014 12.00,"40,0","70,4","1,0","17,6","0,9",,,
22/10/2014 13.00,"42,4","69,1","0,9",,"1,0",,,
22/10/2014 14.00,"19,2","28,7","0,7","25,4","1,0",,,
22/10/2014 15.00,"10,8","13,8","0,7",,"0,8",,,
22/10/2014 16.00,"14,3","17,8","0,7","33,7","0,4",,,
22/10/2014 17.00,"20,3","25,8","0,7",,"0,3",,,
22/10/2014 18.00,"15,3","17,3","0,6","29,8","0,3",,,
22/10/2014 19.00,"10,7","12,9","0,6",,"0,2",,,
22/10/2014 20.00,"9,6","11,3","0,6","15,6","0,2",,,
22/10/2014 21.00,"8,3","9,7","0,6",,"0,1",,,
22/10/2014 22.00,"12,4","15,9","0,7","14,2","0,2",,,
22/10/2014 23.00,"20,9","28,7","0,7",,"0,2",,,
23/10/2014 0.00,"25,5","33,2","0,7","15,6","0,3",,,
23/10/2014 1.00,"14,4","16,5","0,6",,"0,3",,,
23/10/2014 2.00,"11,7","13,6","0,6","10,7","0,2",,,
23/10/2014 3.00,"4,1","5,8",,,"0,2",,,
23/10/2014 4.00,,,"0,6","6,8","0,2",,,
23/10/2014 5.00,"12,1","13,9","0,6",,,,,
23/10/2014 6.00,"16,2","19,2","0,6","11,7","0,2",,,
23/10/2014 7.00,"26,3","37,1","0,7",,"0,2",,,
23/10/2014 8.00,"20,7","28,6","0,7","12,2","0,3",,,
23/10/2014 9.00,"19,1","34,0","0,6",,"0,3",,,
23/10/2014 10.00,"13,4","22,3","0,6","14,7","0,3",,,
23/10/2014 11.00,"20,5","32,2","0,7",,"0,3",,,
23/10/2014 12.00,"29,6","49,3","0,8","13,2","0,4",,,
23/10/2014 13.00,"13,0","18,2","0,7",,"0,6",,,
23/10/2014 14.00,"13,0","16,4","0,6","13,2","0,4",,,
23/10/2014 15.00,"15,6","21,4","0,7",,"0,3",,,
23/10/2014 16.00,"21,6","28,9","0,7","18,6","0,3",,,
23/10/2014 17.00,"27,6","34,9","0,7",,"0,4",,,
23/10/2014 18.00,"31,1","40,3","0,8","14,7","0,4",,,
23/10/2014 19.00,"38,6","51,0","0,8",,"0,5",,,
23/10/2014 20.00,"37,7","45,3","0,8","12,7","0,6",,,
23/10/2014 21.00,"25,1","28,7","0,8",,"0,6",,,
23/10/2014 22.00,"28,2","34,7","0,8","12,2","0,6",,,
23/10/2014 23.00,"18,3","21,3","0,7",,"0,6",,,
24/10/2014 0.00,"14,6","17,8","0,7","15,6","0,5",,,
24/10/2014 1.00,"12,4","14,8","0,7",,"0,5",,,
24/10/2014 2.00,"13,1","17,7","0,7","8,8","0,5",,,
24/10/2014 3.00,"9,4","12,5","0,6",,"0,4",,,
24/10/2014 4.00,"8,0","10,5","0,6","6,3","0,3",,,
24/10/2014 5.00,"9,8","12,3","0,6",,"0,3",,,
24/10/2014 6.00,"24,4","33,9","0,7","8,3","0,2",,,
24/10/2014 7.00,"29,9","35,0","0,7",,"0,3",,,
24/10/2014 8.00,"42,3","53,6","0,7","11,7","0,3",,,
24/10/2014 9.00,"32,9","43,0","0,7",,"0,4",,,
24/10/2014 10.00,"27,8","39,8","0,7","13,2","0,4",,,
24/10/2014 11.00,"34,4","44,1","0,7",,"0,4",,,
24/10/2014 12.00,"43,4","77,8","0,9","14,7","0,4",,,
24/10/2014 13.00,"33,9","49,5","0,8",,"0,7",,,
24/10/2014 14.00,"23,3","33,0","0,7","14,7","0,6",,,
24/10/2014 15.00,"22,1","29,5","0,7",,"0,5",,,
24/10/2014 16.00,"28,5","39,9","0,8","8,3","0,5",,,
24/10/2014 17.00,"30,4","43,4","0,8",,"0,6",,,
24/10/2014 18.00,"23,7","33,1","0,8","6,3","0,6",,,
24/10/2014 19.00,"24,1","33,0","0,8",,"0,6",,,
24/10/2014 20.00,"21,0","29,0","0,8","3,9","0,5",,,
24/10/2014 21.00,"13,3","17,3","0,7",,"0,5",,,
24/10/2014 22.00,"13,3","17,8","0,7","7,8","0,4",,,
24/10/2014 23.00,"13,0","17,5","0,7",,"0,4",,,
25/10/2014 0.00,"12,8","17,2","0,7","14,7","0,4",,,
25/10/2014 1.00,"10,7","14,1","0,7",,"0,4",,,
25/10/2014 2.00,"7,0","9,4","0,7","8,3","0,4",,,
25/10/2014 3.00,"3,9","5,9",,,"0,4",,,
25/10/2014 4.00,,,"0,7","16,1","0,3",,,
25/10/2014 5.00,"10,4","16,2","0,7",,"0,4",,,
25/10/2014 6.00,"13,7","17,1","0,7","13,2","0,5",,,
25/10/2014 7.00,"37,4","60,6","0,8",,"0,5",,,
25/10/2014 8.00,"41,4","71,8","0,9","13,7","0,7",,,
25/10/2014 9.00,"28,2","39,8","0,8",,"0,8",,,
25/10/2014 10.00,"31,2","43,7","0,8","19,0","0,7",,,
25/10/2014 11.00,"28,7","42,9","0,8",,"0,8",,,
25/10/2014 12.00,"22,6","35,8","0,8","12,7","0,7",,,
25/10/2014 13.00,"15,9","24,5","0,7",,"0,7",,,
25/10/2014 14.00,"11,6","17,7","0,7","7,8","0,6",,,
25/10/2014 15.00,"10,9","14,6","0,7",,"0,5",,,
25/10/2014 16.00,"15,0","21,7","0,7","13,2","0,5",,,
25/10/2014 17.00,"19,0","26,8","0,8",,"0,5",,,
25/10/2014 18.00,"27,7","40,2","0,9","15,1","0,6",,,
25/10/2014 19.00,"32,0","43,3","0,9",,"0,6",,,
25/10/2014 20.00,"35,9","53,0","0,9","12,2","0,8",,,
25/10/2014 21.00,"30,1","41,9","0,9",,"0,9",,,
25/10/2014 22.00,"32,7","45,9","0,8","20,0","0,9",,,
25/10/2014 23.00,"31,4","45,0","0,8",,"0,9",,,
26/10/2014 0.00,"32,5","46,4","1,0","13,7","0,8",,,
26/10/2014 1.00,"28,2","39,7","0,9",,"0,8",,,
26/10/2014 2.00,"23,7","32,9","0,8","12,2","0,8",,,
26/10/2014 3.00,"14,8","18,2","0,7",,"0,8",,,
26/10/2014 4.00,"14,6","19,4","0,7","15,6","0,7",,,
26/10/2014 5.00,"5,7","7,9","0,6",,"0,6",,,
26/10/2014 6.00,"7,7","11,8","0,6","22,5","0,5",,,
26/10/2014 7.00,"11,3","16,3","0,7",,"0,4",,,
26/10/2014 8.00,"8,1","12,0","0,7","12,2","0,4",,,
26/10/2014 9.00,"9,8","15,1","0,7",,"0,4",,,
26/10/2014 10.00,"9,8","16,2","0,7","9,3","0,5",,,
26/10/2014 11.00,"17,2","28,1","0,7",,"0,5",,,
26/10/2014 12.00,"19,7","32,5","0,7","11,7","0,5",,,
26/10/2014 13.00,"17,2","26,8","0,8",,"0,6",,,
26/10/2014 14.00,"9,9","14,1","0,7","6,8","0,6",,,
26/10/2014 15.00,"13,0","19,0","0,7",,"0,5",,,
26/10/2014 16.00,"16,9","22,0","0,7","8,3","0,5",,,
26/10/2014 17.00,"44,1","66,6","1,0",,"0,5",,,
26/10/2014 18.00,"40,6","44,8","1,0","12,2","0,8",,,
26/10/2014 19.00,"62,7","73,9","1,1",,"1,0",,,
26/10/2014 20.00,"50,7","57,1","1,1","21,5","1,1",,,
26/10/2014 21.00,"48,4","63,3","1,2",,"1,2",,,
26/10/2014 22.00,"34,6","41,3","0,9","23,0","1,4",,,
26/10/2014 23.00,"23,7","28,3","0,8",,"1,2",,,
27/10/2014 0.00,"38,0","54,8","0,9","20,5","1,0",,,
27/10/2014 1.00,"25,5","37,2","0,8",,"1,1",,,
27/10/2014 2.00,"8,6","11,8","0,7","11,7","1,0",,,
27/10/2014 3.00,"7,8","10,7",,,"0,7",,,
27/10/2014 4.00,,,"0,6","35,2","0,6",,,
27/10/2014 5.00,"6,7","8,8","0,7",,,,,
27/10/2014 6.00,"19,2","27,2","0,7","25,4","0,5",,,
27/10/2014 7.00,"49,1","97,1","0,9",,"0,5",,,
27/10/2014 8.00,"44,7","81,0","0,9","15,1","0,8",,,
27/10/2014 9.00,"31,8","54,1","0,9",,"0,9",,,
27/10/2014 10.00,"26,3","45,9","0,8","8,8","1,0",,,
27/10/2014 11.00,"21,2","34,2","0,8",,"1,0",,,
27/10/2014 12.00,"20,5","32,9","0,8","5,9","0,9",,,
27/10/2014 13.00,"21,2","32,4","0,8",,"0,9",,,
27/10/2014 14.00,"22,5","33,3","0,8","3,9","0,9",,,
27/10/2014 15.00,"16,5","22,4","0,7",,"0,8",,,
27/10/2014 16.00,"24,9","35,4","0,7","11,2","0,7",,,
27/10/2014 17.00,"38,4","49,4","0,9",,"0,7",,,
27/10/2014 18.00,"50,1","62,6","1,0","6,8","0,8",,,
27/10/2014 19.00,"64,1","80,8","1,0",,"1,0",,,
27/10/2014 20.00,"62,1","76,0","1,1","3,9","1,1",,,
27/10/2014 21.00,"56,6","65,6","1,0",,"1,3",,,
27/10/2014 22.00,"44,5","50,7","0,9","8,3","1,3",,,
27/10/2014 23.00,"46,7","60,6","1,0",,"1,4",,,
28/10/2014 0.00,"44,6","59,6","1,0","17,1","1,6",,,
28/10/2014 1.00,"32,9","42,9","0,9",,"1,6",,,
28/10/2014 2.00,"18,0","21,2","0,8","14,7","1,5",,,
28/10/2014 3.00,"14,1","17,4","0,7",,"1,3",,,
28/10/2014 4.00,"12,2","14,7","0,7","16,1","1,1",,,
28/10/2014 5.00,"19,1","24,7","0,7",,"1,0",,,
28/10/2014 6.00,"33,1","54,3","0,8","15,1","0,9",,,
28/10/2014 7.00,"52,0","147,5","1,0",,"1,0",,,
28/10/2014 8.00,"50,8","124,5","1,1","12,7","1,3",,,
28/10/2014 9.00,"45,7","85,3","1,1",,"1,7",,,
28/10/2014 10.00,"31,9","59,4","0,9","22,5","1,7",,,
28/10/2014 11.00,"22,3","32,1","0,8",,"1,6",,,
28/10/2014 12.00,"23,9","34,7","0,8","23,9","1,3",,,
28/10/2014 13.00,"27,8","38,8","0,8",,"1,1",,,
28/10/2014 14.00,"30,6","40,9","0,8","2,9","1,0",,,
28/10/2014 15.00,"23,0","31,0","0,8",,"0,6",,,
28/10/2014 16.00,"31,7","42,3","0,8","13,2","0,6",,,
28/10/2014 17.00,"46,5","59,7","0,9",,"0,7",,,
28/10/2014 18.00,"63,0","88,0","1,1","7,8","0,9",,,
28/10/2014 19.00,"60,0","69,9","1,0",,"1,1",,,
28/10/2014 20.00,"74,2","109,7","1,2","13,7","1,2",,,
28/10/2014 21.00,"63,8","75,1","1,1",,"1,5",,,
28/10/2014 22.00,"61,7","78,0","1,1","35,7","1,7",,,
28/10/2014 23.00,"54,3","68,8","1,0",,"1,8",,,
29/10/2014 0.00,"40,7","49,5","1,0","30,8","1,8",,,
29/10/2014 1.00,"29,5","33,6","0,8",,"1,8",,,
29/10/2014 2.00,"19,9","23,2","0,8","44,4","1,6",,,
29/10/2014 3.00,"15,8","19,2",,,"1,4",,,
29/10/2014 4.00,,,"0,7","23,9","1,2",,,
29/10/2014 5.00,"27,5","32,9","0,7",,"1,1",,,
29/10/2014 6.00,"40,1","49,6","0,7","21,5","1,1",,,
29/10/2014 7.00,"49,4","68,6","0,8",,"1,0",,,
29/10/2014 8.00,"51,3","85,4","0,8","30,3","1,0",,,
29/10/2014 9.00,"39,0","60,2","0,8",,"1,1",,,
29/10/2014 10.00,"26,3","40,7","0,8","21,5","1,1",,,
29/10/2014 11.00,"27,8","40,1","0,8",,"1,1",,,
29/10/2014 12.00,"19,9","27,1","0,8","15,6","1,1",,,
29/10/2014 13.00,"24,4","32,9","0,8",,"0,9",,,
29/10/2014 14.00,"25,7","33,3","0,7","16,1","0,9",,,
29/10/2014 15.00,"29,0","36,2","0,8",,"0,8",,,
29/10/2014 16.00,"31,9","39,6","0,8","16,1","0,7",,,
29/10/2014 17.00,"39,6","47,7","0,8",,"0,8",,,
29/10/2014 18.00,"48,4","52,0","0,9","11,7","0,8",,,
29/10/2014 19.00,"71,0","78,1","1,0",,"0,9",,,
29/10/2014 20.00,"60,1","67,7","1,0","23,9","1,1",,,
29/10/2014 21.00,"53,6","69,4","1,1",,"1,4",,,
29/10/2014 22.00,"48,1","52,1","1,0","42,5","1,6",,,
29/10/2014 23.00,"32,3","36,7","1,0",,"1,6",,,
30/10/2014 0.00,"28,0","30,7","0,9","57,6","1,8",,,
30/10/2014 1.00,"25,3","29,1","0,9",,"1,6",,,
30/10/2014 2.00,"20,6","22,6","0,8","43,5","1,5",,,
30/10/2014 3.00,"12,7","14,5","0,8",,"1,3",,,
30/10/2014 4.00,"20,8","24,4","0,8","38,6","1,2",,,
30/10/2014 5.00,"16,9","20,3","0,8",,"1,2",,,
30/10/2014 6.00,"20,4","26,3","0,7","28,3","1,0",,,
30/10/2014 7.00,"26,3","32,2","0,8",,"0,8",,,
30/10/2014 8.00,"41,2","56,8","0,8","28,3","0,8",,,
30/10/2014 9.00,"34,3","52,2","0,9",,"0,9",,,
30/10/2014 10.00,"27,4","38,6","0,8","23,0","1,1",,,
30/10/2014 11.00,"27,8","37,8","0,8",,"1,0",,,
30/10/2014 12.00,"23,3","30,5","0,8","22,0","0,9",,,
30/10/2014 13.00,"22,2","28,4","0,7",,"0,8",,,
30/10/2014 14.00,"22,9","30,5","0,7","22,0","0,7",,,
30/10/2014 15.00,"25,6","32,9","0,7",,"0,7",,,
30/10/2014 16.00,"21,4","23,7","0,7","18,1","0,6",,,
30/10/2014 17.00,"41,6","47,7","0,8",,"0,6",,,
30/10/2014 18.00,"60,5","90,9","1,1","19,5","0,8",,,
